DateTime,Entries,UniqueIPs
1578001215,55648,55648
1578003154,55672,55672
1578005061,55632,55632
1578007222,55657,55657
1578009135,55650,55650
1578011057,55624,55624
1578012973,55646,55646
1578014891,55674,55674
1578017777,55284,55284
1578019930,55186,55186
1578021877,55176,55176
1578023786,55178,55178
1578025689,55165,55165
1578027646,55179,55179
1578029537,55168,55168
1578031705,55158,55158
1578033611,55439,55439
1578035577,55567,55567
1578037451,55572,55572
1578039381,55515,55515
1578041312,55610,55610
1578043207,55601,55601
1578045128,55585,55585
1578047065,55622,55622
1578048974,55548,55548
1578050886,55558,55558
1578053784,54148,54148
1578055725,51834,51834
1578057616,49844,49844
1578059531,47127,47127
1578061488,44121,44121
1578063371,38554,38554
1578065310,34479,34479
1578068190,28577,28577
1578070093,28551,28551
1578072271,28564,28564
1578074179,28519,28519
1578076333,28655,28655
1578078516,28692,28692
1578080415,28701,28701
1578082358,28768,28768
1578084255,28917,28917
1578086208,29029,29029
1578088086,29141,29141
1578090013,29204,29204
1578091971,29461,29461
1578094122,29573,29573
1578096983,29674,29674
1578099160,29839,29839
1578101052,29925,29925
1578102988,30053,30053
1578104891,30235,30235
1578106838,30325,30325
1578108737,30413,30413
1578110905,30559,30559
1578112811,30775,30775
1578114752,30906,30906
1578116663,31097,31097
1578118576,31184,31184
1578120512,31425,31425
1578122427,31046,31046
1578124331,31143,31143
1578126279,31179,31179
1578128172,31245,31245
1578130343,31633,31633
1578132501,31789,31789
1578134437,31844,31844
1578136592,31894,31894
1578138519,31948,31948
1578140420,31707,31707
1578142349,31815,31815
1578144252,31924,31924
1578147380,32000,32000
1578149289,32089,32089
1578151215,32170,32170
1578153132,32221,32221
1578155072,32229,32229
1578156967,32708,32708
1578159139,34764,34764
1578161098,34873,34873
1578162990,34820,34820
1578164891,34770,34770
1578166813,34741,34741
1578168753,34750,34750
1578170653,34720,34720
1578172595,34713,34713
1578174489,34652,34652
1578176428,34618,34618
1578178337,34415,34415
1578180268,34390,34390
1578182170,34413,34413
1578184093,34391,34391
1578187217,34411,34411
1578189238,34372,34372
1578191069,34411,34411
1578192968,34416,34416
1578194905,34367,34367
1578196841,34317,34317
1578198755,34111,34111
1578200672,34031,34031
1578202589,33877,33877
1578204492,33886,33886
1578206410,33831,33831
1578208348,33005,33005
1578210254,32759,32759
1578212170,32566,32566
1578214110,32563,32563
1578216007,32288,32288
1578218169,32106,32106
1578220087,32041,32041
1578223216,31873,31873
1578225132,31765,31765
1578227067,31610,31610
1578228986,31483,31483
1578231144,31323,31323
1578233320,31376,31376
1578235223,33252,33252
1578237169,35078,35078
1578239061,36846,36846
1578240976,38518,38518
1578242912,38438,38438
1578244826,36891,36891
1578246732,36262,36262
1578248682,36324,36324
1578250572,36901,36901
1578252748,37382,37382
1578254903,37460,37460
1578256814,37509,37509
1578258755,37494,37494
1578260654,37607,37607
1578262597,37710,37710
1578264496,37908,37908
1578266414,37886,37886
1578268462,37986,37986
1578270491,38889,38889
1578273371,40741,40741
1578275292,41757,41757
1578277234,42293,42293
1578279127,43011,43011
1578281051,43741,43741
1578282996,44573,44573
1578284887,45331,45331
1578287813,46485,46485
1578289707,47132,47132
1578291613,47690,47690
1578293529,48327,48327
1578295475,48764,48764
1578297373,49272,49272
1578299541,49933,49933
1578301703,50558,50558
1578303616,51267,51267
1578305811,51802,51802
1578307691,52553,52553
1578309630,53139,53139
1578311537,53870,53870
1578313471,54464,54464
1578315378,54579,54579
1578317312,54552,54552
1578319255,54505,54505
1578321160,53506,53506
1578323089,52288,52288
1578324994,51024,51024
1578326910,49798,49798
1578328816,49347,49347
1578330753,49402,49402
1578332681,49443,49443
1578334590,49255,49255
1578336737,48766,48766
1578338653,48682,48682
1578340603,48657,48657
1578342494,48671,48671
1578344453,48696,48696
1578346334,48604,48604
1578348504,48513,48513
1578350411,48439,48439
1578352353,48431,48431
1578354261,48449,48449
1578356438,47336,47336
1578358331,45685,45685
1578360286,44306,44306
1578362177,42921,42921
1578364338,46273,46273
1578366518,45279,45279
1578368434,44344,44344
1578370341,43558,43558
1578372253,42521,42521
1578374183,41637,41637
1578376095,40739,40739
1578378038,40870,40870
1578379943,41112,41112
1578381855,41825,41825
