DateTime,AddedIPs,RemovedIPs
1578003155,5,2
1578005062,7,4
1578007223,8,2
1578009136,5,9
1578011057,4,4
1578012974,3,2
1578014894,7,6
1578017778,4,16
1578019931,1,8
1578021878,4,5
1578023792,4,4
1578025690,1,4
1578027660,4,2
1578029538,4,2
1578031706,12,5
1578033612,16,5
1578035578,6,2
1578037452,2,5
1578039398,4,18
1578041313,6,7
1578043208,4,3
1578045129,10,5
1578047066,3,6
1578048975,9,6
1578050887,5,5
1578054009,8,822
1578055932,5,822
1578057879,4,1183
1578059765,5,942
1578061939,15,2490
1578064110,7,3490
1578066031,6,2942
1578067937,6,3135
1578069849,6,40
1578071787,2,9
1578073705,8,6
1578075650,2,6
1578077531,7,5
1578079468,5,5
1578081367,8,6
1578083535,14,12
1578085707,8,12
1578087630,10,10
1578089543,8,4
1578091447,11,8
1578093743,8,6
1578095560,4,7
1578097691,7,6
1578099627,6,4
1578101555,12,10
1578103466,3,4
1578105609,7,3
1578107555,5,9
1578109450,8,5
1578111615,7,4
1578113532,5,4
1578115467,11,3
1578117378,10,10
1578119544,5,5
1578121700,11,19
1578123617,12,4
1578125549,3,5
1578127448,11,3
1578129376,9,4
1578131305,11,5
1578133206,5,3
1578135146,7,5
1578137073,7,6
1578138969,4,4
1578141150,7,10
1578143094,7,5
1578145016,12,5
1578146932,6,7
1578148820,6,13
1578150769,3,7
1578152653,5,5
1578154575,6,6
1578156514,12,4
1578158414,52,7
1578160331,17,8
1578162273,9,3
1578164172,7,7
1578166337,9,5
1578168507,14,10
1578170432,8,9
1578172335,6,7
1578174252,9,15
1578176170,7,6
1578178338,6,9
1578180268,10,4
1578182170,11,3
1578184094,11,7
1578187217,9,13
1578189238,12,7
1578191070,5,7
1578192969,8,3
1578194905,7,5
1578196876,8,8
1578198756,5,7
1578200690,5,2
1578202589,7,10
1578204492,8,4
1578206411,8,6
1578208348,6,10
1578210255,5,14
1578212171,6,8
1578214110,11,13
1578216008,9,11
1578218170,11,6
1578220088,16,4
1578223217,19,13
1578225134,14,6
1578227068,6,6
1578228986,8,9
1578231165,7,7
1578233339,6,6
1578235223,38,9
1578237169,32,4
1578239062,48,7
1578240976,49,8
1578242912,6,11
1578244826,6,34
1578246733,5,26
1578248683,8,11
1578250572,8,9
1578252748,59,10
1578254904,12,11
1578256814,6,8
1578258756,9,6
1578260657,8,8
1578262598,10,9
1578264497,68,7
1578266414,13,8
1578268463,80,10
1578270492,262,12
1578272430,359,4
1578274360,394,5
1578276274,305,9
1578278435,177,8
1578280590,139,8
1578282490,186,15
1578284427,171,3
1578286333,190,7
1578288272,293,8
1578290168,196,8
1578292090,130,7
1578294974,241,14
1578296906,317,2
1578298806,263,5
1578300729,174,8
1578302667,199,6
1578304568,136,11
1578306509,252,16
1578308455,211,10
1578310354,249,6
1578312286,244,13
1578314187,154,11
1578316108,4,4
1578318030,0,3
