DateTime,Entries,UniqueIPs
1577502981,21,21
1577506825,20,20
1577508731,20,20
1577512588,20,20
1577516497,22,22
1577520275,20,20
1577522173,19,19
1577524094,18,18
1577528189,20,20
1577533936,19,19
1577535860,20,20
1577537774,20,20
1577541667,19,19
1577545496,18,18
1577549322,17,17
1577551225,17,17
1577557240,17,17
1577559131,16,16
1577570699,16,16
1577572593,19,19
1577574542,17,17
1577576677,18,18
1577584342,22,22
1577586255,23,23
1577588195,24,24
1577590107,25,25
1577594909,25,25
1577596835,26,26
1577598730,29,29
1577600700,35,35
1577602571,35,35
1577606913,36,36
1577608835,38,38
1577610742,40,40
1577612651,40,40
1577614586,40,40
1577616737,41,41
1577620588,43,43
1577622495,44,44
1577624491,50,50
1577626339,52,52
1577628524,54,54
1577630433,55,55
1577632704,54,54
1577634526,55,55
1577636481,56,56
1577638332,58,58
1577640284,62,62
1577644351,63,63
1577646505,66,66
1577650356,67,67
1577652249,71,71
1577654199,76,76
1577658027,78,78
1577659949,75,75
1577661875,76,76
1577663784,104,104
1577665701,105,105
1577669548,112,112
1577671497,112,112
1577673382,113,113
1577675326,116,116
1577677223,115,115
1577679393,116,116
1577681292,116,116
1577683237,116,116
1577685129,116,116
1577687065,113,113
1577688997,111,111
1577690906,112,112
1577692845,111,111
1577694750,109,109
1577696669,107,107
1577700736,108,108
1577702680,108,108
1577704578,107,107
1577706523,106,106
1577708434,104,104
1577710340,101,101
1577712253,99,99
1577714199,99,99
1577716352,98,98
1577718528,98,98
1577720422,99,99
1577722341,98,98
1577724276,100,100
1577726186,96,96
1577730037,97,97
1577731941,94,94
1577733879,94,94
1577735793,96,96
1577737952,90,90
1577739903,89,89
1577741775,86,86
1577743733,89,89
1577745617,89,89
1577747543,88,88
1577749485,57,57
1577751384,56,56
1577753314,57,57
1577755232,49,49
1577757141,48,48
1577759063,47,47
1577761031,45,45
1577762894,44,44
1577767928,43,43
1577769876,42,42
1577771767,39,39
1577773935,38,38
1577776165,39,39
1577778043,38,38
1577779956,37,37
1577787623,35,35
1577789539,36,36
1577791462,37,37
1577795556,33,33
1577797485,32,32
1577799383,30,30
1577801317,28,28
1577803227,27,27
1577805393,25,25
1577807289,24,24
1577809458,23,23
1577811379,19,19
1577813289,22,22
1577816426,22,22
1577818590,21,21
1577820506,19,19
1577822499,19,19
1577824376,20,20
1577826343,22,22
1577828424,25,25
1577830582,22,22
1577832492,21,21
1577838271,22,22
1577840168,21,21
1577844093,22,22
1577845943,23,23
1577847944,23,23
1577849781,24,24
1577851691,25,25
1577853622,26,26
1577859373,26,26
1577863206,26,26
1577875698,25,25
1577877614,24,24
1577881965,23,23
1577891779,24,24
1577893938,25,25
1577897799,28,28
1577899715,25,25
1577901751,28,28
1577907627,27,27
1577911481,24,24
1577913384,23,23
1577915560,24,24
1577920819,28,28
1577924666,28,28
1577926568,30,30
1577931410,30,30
1577933306,28,28
1577935230,27,27
1577937151,26,26
1577939063,26,26
1577940994,25,25
1577942899,26,26
1577944857,25,25
1577946771,24,24
1577948703,25,25
1577950598,24,24
1577952503,25,25
1577956361,27,27
1577958273,28,28
1577962098,29,29
1577964058,30,30
1577977957,29,29
1577979869,28,28
1577983693,27,27
1577985625,25,25
1577987557,23,23
1577989464,24,24
1577993577,25,25
1577999298,26,26
1578001217,24,24
1578003159,25,25
1578005064,24,24
1578007225,21,21
1578009138,22,22
1578011059,21,21
1578012975,20,20
1578016881,19,19
1578022593,20,20
1578024776,20,20
1578026659,22,22
1578028584,21,21
1578030510,22,22
1578032428,23,23
1578034333,23,23
1578038198,22,22
1578042985,21,21
1578044904,24,24
1578048977,24,24
1578050888,24,24
1578057900,25,25
1578061940,26,26
1578064111,27,27
1578066032,28,28
1578067938,29,29
1578069850,31,31
1578073707,30,30
1578075666,30,30
1578079470,29,29
1578083536,31,31
1578085708,30,30
1578087632,30,30
1578089545,29,29
1578095582,28,28
1578097692,27,27
1578104647,28,28
1578108738,27,27
1578110907,27,27
1578112812,25,25
1578116665,24,24
1578118577,24,24
1578120513,23,23
1578122427,24,24
1578128172,23,23
1578130344,22,22
1578132501,19,19
1578136593,17,17
1578147381,16,16
1578151216,16,16
1578153133,17,17
1578155073,16,16
1578156968,15,15
1578159140,16,16
1578161126,18,18
1578162991,21,21
1578166814,22,22
1578170654,20,20
1578172595,20,20
1578178339,22,22
1578187218,23,23
1578191073,22,22
1578196952,21,21
1578204494,20,20
1578206412,19,19
1578208350,19,19
1578210256,21,21
1578212172,22,22
1578214112,23,23
1578218171,22,22
1578220089,23,23
1578223218,24,24
1578227069,25,25
1578235225,26,26
1578237171,25,25
1578239063,23,23
1578240978,25,25
1578242913,26,26
1578244827,27,27
1578246734,25,25
1578248685,23,23
1578250574,22,22
1578252749,22,22
1578254905,23,23
1578256816,22,22
1578258758,22,22
1578260681,26,26
1578264498,26,26
1578268464,27,27
1578270494,28,28
1578284888,28,28
1578295476,27,27
1578297374,25,25
1578299543,24,24
1578305812,26,26
1578307692,27,27
1578309631,26,26
