DateTime,AddedIPs,RemovedIPs
1576073546,0,16
1576075464,0,9
1576077404,0,1
1576083366,0,2
1576085586,1,2
1576087470,0,1
1576091563,0,2
1576097318,1,2
1576103074,0,2
1576107164,0,3
1576110990,0,2
1576116752,0,2
1576118661,1,0
1576120591,0,2
1576124682,0,5
1576126578,0,6
1576130748,0,1
1576142426,1,1
1576148197,0,20
1576150098,0,12
1576152211,0,12
1576154203,1,0
1576170282,4,0
1576172193,19,1
1576176012,21,0
1576183929,0,1
1576203633,0,1
1576228586,0,1
1576240820,2,1
1576244656,1,0
1576256167,0,4
1576258109,0,19
1576261967,1,21
1576273471,4,0
1576279475,10,0
1576290983,1,0
1576314988,1,0
1576324576,16,0
1576326738,19,0
1576328905,2,2
1576330839,0,1
1576340654,1,0
1576348385,0,1
1576356748,1,0
1576358654,0,2
1576360611,0,1
1576365421,0,7
1576367293,0,1
1576374987,3,0
1576376901,4,1
1576378948,3,0
1576380759,1,0
1576382921,2,0
1576386738,1,0
1576388672,1,0
1576392737,1,0
1576396591,3,0
1576402583,0,1
1576406412,1,0
1576408336,1,0
1576412197,0,20
1576414338,0,20
1576416283,5,0
1576420366,2,0
1576422299,1,0
1576424426,2,0
1576426339,20,0
1576428277,3,1
1576432339,1,0
1576434253,11,0
1576440979,1,0
1576442914,4,1
1576444818,1,0
1576446741,1,0
1576460429,0,3
1576464490,0,7
1576466428,1,0
1576468334,0,3
1576473647,1,1
1576475528,0,1
1576477473,1,0
1576479383,0,1
1576483270,0,3
1576493771,0,1
1576495689,0,1
1576501717,0,1
1576503613,0,4
1576505793,0,2
1576507942,0,1
1576509895,2,0
1576511779,0,6
1576513694,0,19
1576516818,7,0
1576518755,0,1
1576520683,19,5
1576526531,7,1
1576528379,1,4
1576530635,0,1
1576532680,0,1
1576534575,1,0
1576536746,4,0
1576542492,1,0
1576544539,3,0
1576546588,1,0
1576548502,1,0
1576550430,1,0
1576552604,1,0
1576554748,1,1
1576558582,1,1
1576563617,0,1
1576584997,1,0
1576595305,0,2
1576599161,9,0
1576601073,18,1
1576603229,0,6
1576607071,0,14
1576613096,0,7
1576614975,0,1
1576617146,1,0
1576620987,0,2
1576622894,0,2
1576624820,1,0
1576626732,1,0
1576628673,0,1
1576630606,0,2
1576632746,0,2
1576634677,0,1
1576636592,0,1
1576638802,1,1
1576640654,0,1
1576644731,0,1
1576656519,2,0
1576669936,3,1
1576684334,0,1
1576686282,0,24
1576688178,0,14
1576690123,10,0
1576692070,7,0
1576696117,2,0
1576702501,0,1
1576704507,3,0
1576709551,0,1
1576711471,3,0
1576713374,0,1
1576719612,4,0
1576723466,7,1
1576729221,1,0
1576736912,2,0
1576741690,0,2
1576745546,2,0
1576747468,2,0
1576754459,17,1
1576756335,0,2
1576758262,3,0
1576760170,1,0
1576762100,1,0
1576764084,1,0
1576765973,1,0
1576768119,1,0
1576770013,1,0
1576772212,1,0
1576777949,0,16
1576781776,8,2
1576783713,17,0
1576789720,0,2
1576791633,0,1
1576797613,0,3
1576799532,1,0
1576805300,0,3
1576807295,0,1
1576812029,0,7
1576815868,0,1
1576821641,0,1
1576823566,0,1
1576831213,0,2
1576833168,0,2
1576837216,3,0
1576839154,0,2
1576841051,0,15
1576842970,0,1
1576844909,0,3
1576847797,0,1
1576849694,0,1
1576851620,0,1
1576855458,0,2
1576857390,0,1
1576861284,2,0
1576867224,2,1
1576869163,21,20
1576871052,18,2
1576884989,0,1
1576911145,1,0
1576913068,1,0
1576924810,0,3
1576928673,1,0
1576946419,0,2
1576954333,0,6
1576956276,0,37
1576958176,1,0
1576959983,14,1
1576962173,21,0
1576969992,5,0
1576979787,1,0
1576997542,0,1
1576999453,0,1
1577001393,1,0
1577006430,1,0
1577010250,1,0
1577014107,4,1
1577016992,33,0
1577033057,1,0
1577035011,1,0
1577044597,0,1
1577046495,0,3
1577049388,1,8
1577057288,1,5
1577066911,0,1
1577081795,2,0
1577083947,1,0
1577085872,2,0
1577087793,0,1
1577092576,1,0
1577094753,0,1
1577096651,0,1
1577100520,0,18
1577102527,0,43
1577116352,1,0
1577120220,0,1
1577122106,1,1
1577136041,0,1
1577139858,2,0
1577142995,11,0
1577144890,8,1
1577150650,1,0
1577167265,0,2
1577171298,1,3
1577178972,0,1
1577180909,1,0
1577188571,2,0
1577190734,1,0
1577202509,0,1
1577206333,1,0
1577208269,1,1
1577219064,1,0
1577227002,0,2
1577228911,0,5
1577230814,0,14
1577236819,0,1
1577254579,1,0
1577256511,1,1
1577260331,1,0
1577268048,0,1
1577274012,0,1
1577275933,0,2
1577277881,15,0
1577279782,9,0
1577291553,1,0
1577293700,0,2
1577295615,1,0
1577297558,3,0
1577299451,1,0
1577301614,2,0
1577303529,4,0
1577305470,1,1
1577307371,3,0
1577309334,2,0
1577312230,1,0
1577336899,1,0
1577340752,1,1
1577342649,0,1
1577346490,0,1
1577352256,1,0
1577359968,1,0
1577363794,0,7
1577365694,2,17
1577367619,2,0
1577369558,1,0
1577371455,1,0
1577373616,16,0
1577375533,1,0
1577377473,1,1
1577379373,1,0
1577381546,1,1
1577383521,1,1
1577385374,1,3
1577389216,4,5
1577391165,0,2
1577393060,3,3
1577395232,1,2
1577397142,0,1
1577409849,1,0
1577417554,1,0
1577423785,1,1
1577427853,0,1
1577439367,1,1
1577445388,0,1
1577451374,0,1
1577453296,0,3
1577455383,0,1
1577457384,0,1
1577459332,0,4
1577461248,0,13
1577463145,0,1
1577465079,35,1
1577466996,0,1
1577470815,0,1
1577472753,0,1
1577474686,0,2
1577476575,0,2
1577478494,0,2
1577481626,0,2
1577495064,0,1
1577504908,1,1
1577510675,0,1
1577526023,0,1
1577551225,0,35
1577553397,1,0
1577569943,1,0
1577591058,0,1
1577602573,1,0
1577608836,1,0
1577622497,1,0
1577625623,1,0
1577632705,3,0
1577634527,3,0
1577636481,11,0
1577640284,0,1
1577642173,9,0
1577652250,1,0
1577656088,0,1
1577670036,1,0
1577690431,0,1
1577696200,0,1
1577705053,1,0
1577708889,0,1
1577710896,0,1
1577718986,0,3
1577720896,0,3
1577722828,0,11
1577728593,0,9
1577738435,0,1
1577757142,0,1
1577761037,1,0
1577766018,1,0
1577767930,1,0
1577791464,0,1
1577793392,1,0
1577801328,11,0
1577803228,29,0
1577832985,1,0
1577848572,0,1
1577852650,0,1
1577854567,0,1
1577868266,1,0
1577877848,1,0
1577879812,0,1
1577887940,0,27
1577889856,0,13
1577907869,1,0
1577909783,14,0
1577916078,4,0
1577917934,0,1
1577940995,1,0
1577954442,2,1
1577958275,1,0
1577964087,1,1
1577987558,1,0
1577993579,5,0
1577995513,0,7
1578001219,0,4
1578007226,1,0
1578027781,0,1
1578039421,1,1
1578041315,0,1
1578043211,1,1
1578045131,1,0
1578048978,1,0
1578050890,0,1
1578054012,4,0
1578079471,1,0
1578081369,0,4
1578085709,1,0
1578093751,1,1
1578126281,0,1
1578128173,0,1
1578132502,1,1
1578134439,0,1
1578138521,1,1
1578140422,27,3
1578142351,29,0
1578154093,1,0
1578163712,1,0
1578165617,0,1
1578167535,1,0
1578171371,1,1
1578179096,0,1
1578218736,1,1
1578224409,5,0
1578226359,0,6
1578228265,0,49
1578230180,0,1
1578235930,1,0
1578239771,0,1
1578244101,1,0
1578249852,0,1
1578251777,1,0
1578253711,0,1
1578257531,0,1
1578277688,1,0
1578302668,1,0
1578304570,0,1
1578308523,1,0
1578310356,0,4
1578312326,0,12
1578320182,3,0
1578322349,24,1
1578330351,0,1
1578338657,0,1
1578340606,1,0
1578364342,0,1
1578374187,1,0
1578385694,1,0
1578388593,0,1
1578394573,0,1
1578404653,1,0
1578406573,0,3
1578408516,0,24
1578416183,1,0
1578425794,20,0
1578427707,0,1
1578461056,0,1
1578472814,0,1
1578490095,0,1
1578495949,1,0
1578501630,1,0
1578503570,2,1
1578511222,0,4
1578513134,0,3
1578521056,3,0
1578523225,15,0
1578550365,1,0
1578554180,1,0
1578561876,1,0
1578563774,1,0
1578574568,1,0
1578579618,2,0
1578581527,0,1
1578589704,0,14
1578608178,20,3
1578610330,1,14
1578636521,0,1
1578640355,0,1
1578644974,8,0
1578646907,0,1
1578651172,1,1
