DateTime,AddedIPs,RemovedIPs
1578005067,36,49
1578007227,55,57
1578009141,54,50
1578011061,44,52
1578012978,51,45
1578014898,63,46
1578016910,74,57
1578018785,69,40
1578020759,63,32
1578022595,65,45
1578024778,74,39
1578026660,71,43
1578028586,58,52
1578030512,76,47
1578032430,259,422
1578034335,996,459
1578036270,102,84
1578038199,120,138
1578040094,185,92
1578042095,125,136
1578043941,128,69
1578046109,73,68
1578048020,74,95
1578049955,76,79
1578051852,463,157
1578053786,122,206
1578055727,77,188
1578057618,71,175
1578059534,71,183
1578061490,78,63
1578063373,74,66
1578065313,70,60
1578068192,121,116
1578070096,78,93
1578072296,77,83
1578074181,63,71
1578076335,90,89
1578078517,79,83
1578080416,74,93
1578082359,65,65
1578084256,77,44
1578086209,95,69
1578088088,64,80
1578090015,61,57
1578091972,69,53
1578094123,61,63
1578096060,62,55
1578097959,75,58
1578100117,62,61
1578102018,63,74
1578103931,60,70
1578105876,68,66
1578108025,84,84
1578109940,70,78
1578111871,48,74
1578113767,52,71
1578115941,122,84
1578118101,41,66
1578120012,744,355
1578121958,243,1013
1578123850,154,221
1578125772,183,113
1578127707,40,140
1578129642,76,138
1578131532,106,79
1578133472,54,62
1578135668,31,77
1578137545,42,106
1578139709,55,98
1578141632,54,461
1578143539,55,67
1578145697,53,94
1578147629,40,74
1578149529,38,80
1578151477,55,70
1578153369,46,77
1578155541,61,87
1578157485,743,73
1578159390,2003,59
1578161575,60,80
1578163470,49,71
1578165618,44,87
1578167536,46,65
1578169472,47,68
1578171372,63,88
1578173319,63,70
1578175264,51,63
1578177180,42,73
1578179115,54,56
1578181107,63,63
1578183175,39,56
1578185050,37,77
1578187221,45,60
1578189245,49,75
1578191076,47,55
1578192973,46,57
1578194909,40,75
1578197082,56,63
1578198992,44,65
1578201160,58,54
1578203061,39,90
1578204972,61,39
1578206911,45,170
1578208862,94,940
1578210731,99,130
1578212669,129,127
1578214572,128,52
1578216742,73,48
1578218740,109,53
1578220591,59,39
1578222506,73,40
1578224411,71,52
1578226360,65,50
1578228267,69,56
1578230181,64,54
1578232108,47,71
1578234010,781,86
1578235932,2412,43
1578237873,1935,35
1578239772,1999,38
1578241951,1315,54
1578244103,123,734
1578246013,140,1688
1578247970,103,43
1578249854,586,42
1578251779,133,32
1578253712,166,37
1578255611,111,23
1578257533,88,41
1578259498,106,33
1578261378,211,32
1578263308,102,30
1578266197,255,65
1578268088,77,30
1578270059,43,31
1578271934,478,22
1578273849,36,22
1578275793,44,36
1578277689,26,38
1578280592,41,57
1578282493,42,34
1578284429,15,43
1578286335,25,33
1578288275,21,32
1578290171,25,32
1578292092,44,64
1578294144,193,419
1578295948,109,332
1578298102,123,281
1578300013,37,258
1578301955,39,47
1578303864,37,60
1578305815,27,91
1578307694,22,48
1578309633,16,51
1578311540,24,68
1578313474,32,64
1578315383,47,56
1578317315,13,37
1578319374,33,36
1578321619,23,2255
1578323791,16,2413
1578325711,19,2232
1578327610,21,1716
1578329772,30,69
1578331691,15,56
1578333636,21,55
1578335560,27,505
1578337478,25,56
1578339616,26,54
1578341598,24,62
1578343452,18,57
1578345614,18,61
1578347532,13,188
1578349469,18,51
1578351368,33,49
1578353287,16,51
