DateTime,Entries,UniqueIPs
1567526194,2325,2325
1567548059,2322,2322
1567570100,2327,2327
1567592210,2293,2293
1567614252,2292,2292
1567636394,2367,2367
1567658436,2373,2373
1567680282,2353,2353
1567702351,2379,2379
1567724226,2382,2382
1567746278,2395,2395
1567768364,2390,2390
1567790435,2370,2370
1567812514,2372,2372
1567834356,2370,2370
1567856433,2367,2367
1567878521,3173,3173
1567900581,3171,3171
1567933732,3211,3211
1567956040,3177,3177
1567978093,3180,3180
1567999972,3179,3179
1568022045,3174,3174
1568043887,3091,3091
1568065944,3041,3041
1568087799,3040,3040
1568109862,3039,3039
1568131728,3036,3036
1568153586,3014,3014
1568175613,4060,4060
1568197691,4039,4039
1568219812,4062,4062
1568241730,4015,4015
1568263973,3971,3971
1568286023,3879,3879
1568307889,3496,3496
1568330212,3495,3495
1568352972,3484,3484
1568374841,3480,3480
1568396703,3480,3480
1568418814,3478,3478
1568441089,3514,3514
1568463170,3574,3574
1568485257,3591,3591
1568507389,3589,3589
1568529637,3474,3474
1568551731,2663,2663
1568574185,2665,2665
1568596143,2665,2665
1568618464,2663,2663
1568640769,2583,2583
1568662812,2580,2580
1568684687,2581,2581
1568706756,2581,2581
1568728649,2575,2575
1568750923,2577,2577
1568772992,1772,1772
1568795069,1236,1236
1568817165,1239,1239
1568839226,1236,1236
1568861314,1219,1219
1568883388,1204,1204
1568905266,1213,1213
1568927327,1216,1216
1568949650,1229,1229
1568971942,1405,1405
1568993794,1405,1405
1569015638,1407,1407
1569037705,1374,1374
1569059771,1248,1248
1569092610,1272,1272
1569114511,1282,1282
1569136601,1469,1469
1569180736,1462,1462
1569202578,1460,1460
1569224670,1464,1464
1569246750,1619,1619
1569280121,1620,1620
1569302455,1631,1631
1569324746,1632,1632
1569346837,1632,1632
1569368902,1634,1634
1569390761,1646,1646
1569412857,1633,1633
1569435164,1612,1612
1569457469,1608,1608
1569479651,1605,1605
1569501629,1605,1605
1569523711,1600,1600
1569545553,1596,1596
1569567647,1528,1528
1569589504,1372,1372
1569611535,1380,1380
1569633390,1382,1382
1569655474,1386,1386
1569677552,1388,1388
1569699638,1385,1385
1569721695,1373,1373
1569743536,1256,1256
1569765674,1259,1259
1569787965,1262,1262
1569810026,1263,1263
1569832096,1275,1275
1569853972,1000,1000
1569876015,879,879
1569898109,863,863
1569919954,949,949
1569942085,1212,1212
1569964365,1250,1250
1569986434,1313,1313
1570008286,1271,1271
1570030355,1271,1271
1570052413,1249,1249
1570074510,1097,1097
1570096796,1105,1105
1570118914,1157,1157
1570140768,1164,1164
1570163075,1178,1178
1570185159,1217,1217
1570207222,1214,1214
1570229312,1265,1265
1570251157,1266,1266
1570272997,1262,1262
1570295080,1275,1275
1570317156,1293,1293
1570339066,1292,1292
1570361098,1304,1304
1570383158,1308,1308
1570405002,1307,1307
1570427056,1304,1304
1570449175,1281,1281
1570471473,1283,1283
1570493338,1443,1443
1570515620,1384,1384
1570537471,1375,1375
1570559542,1372,1372
1570581629,1330,1330
1570603704,1296,1296
1570625739,1244,1244
1570647668,1238,1238
1570669734,1230,1230
1570691790,1212,1212
1570713852,1168,1168
1570735949,1190,1190
1570758031,1201,1201
1570780114,1151,1151
1570801959,1009,1009
1570835432,1022,1022
1570857399,1020,1020
1570879240,1023,1023
1570901537,995,995
1570923612,964,964
1570967711,957,957
1570989688,950,950
1571011702,965,965
1571033568,964,964
1571055641,999,999
1571077717,1007,1007
1571099585,1012,1012
1571121646,1011,1011
1571143958,1005,1005
1571166108,1004,1004
1571188117,1004,1004
1571210177,993,993
1571232266,993,993
1571254124,992,992
1571276444,886,886
1571298520,1065,1065
1571320595,1066,1066
1571342494,1037,1037
1571364743,1043,1043
1571386588,1044,1044
1571408430,1060,1060
1571430491,1062,1062
1571452345,1148,1148
1571474412,1207,1207
1571496258,1232,1232
1571518111,1305,1305
1571539961,1307,1307
1571562135,1309,1309
1571584112,1312,1312
1571606203,1319,1319
1571628266,1327,1327
1571650332,1338,1338
1571672451,1147,1147
1571694744,1143,1143
1571716585,1148,1148
1571738848,1147,1147
1571760755,1163,1163
1571782830,1166,1166
1571804891,1166,1166
1571826758,1192,1192
1571848839,1219,1219
1571871178,1339,1339
1571893342,1323,1323
1571915310,1304,1304
1571937394,1353,1353
1571959455,1336,1336
1571981548,1333,1333
1572003642,1345,1345
1572025703,1331,1331
1572047781,1331,1331
1572080660,1262,1262
1572102514,1226,1226
1572124894,1238,1238
1572168987,1230,1230
1572191074,1228,1228
1572213154,1229,1229
1572235026,1230,1230
1572257208,1222,1222
1572279188,1243,1243
1572301221,1468,1468
1572323076,1509,1509
1572344920,1502,1502
1572366978,1493,1493
1572389061,1495,1495
1572410921,1486,1486
1572432798,1471,1471
1572454906,1451,1451
1572477153,1354,1354
1572499230,1297,1297
1572521080,1286,1286
1572543145,1207,1207
