DateTime,AddedIPs,RemovedIPs
1567516581,1,0
1567538686,8,3
1567560777,5,0
1567582819,1,0
1567604681,3,130
1567627000,109,0
1567649097,65,0
1567671154,2,22
1567693243,23,2
1567715317,7,0
1567737384,12,0
1567759237,1,3
1567781317,2,25
1567803374,4,1
1567836535,2,9
1567858599,2,1
1567880439,807,1
1567902493,1,3
1567924346,83,33
1567946211,23,10
1567968278,1,57
1567990341,2,0
1568023489,2,9
1568045545,2,84
1568067620,0,50
1568089714,0,1
1568112039,1,2
1568134104,3,7
1568156172,1,22
1568178217,1049,3
1568200133,3,26
1568222450,79,56
1568244497,4,51
1568266373,3,46
1568288440,11,310
1568310503,1,179
1568332361,2,1
1568355393,0,14
1568377246,3,4
1568399336,0,1
1568421388,0,2
1568443235,42,6
1568465567,84,7
1568509743,3,34
1568531811,0,86
1568553886,0,811
1568575954,4,2
1568598027,2,2
1568619882,1,3
1568641956,1,82
1568675055,1,2
1568697157,1,0
1568719229,3,2
1568741293,2,7
1568763147,0,1
1568785208,3,1346
1568807078,22,16
1568828944,0,3
1568850969,1,0
1568884124,4,37
1568906193,11,2
1568928035,4,1
1568950091,13,0
1568971942,178,2
1568993795,1,1
1569015640,2,0
1569037707,1,34
1569059772,1,127
1569092650,26,2
1569114512,18,8
1569136602,187,0
1569180737,0,7
1569202579,0,2
1569224672,7,4
1569246751,155,0
1569280122,3,2
1569302456,11,0
1569324747,3,2
1569346838,2,2
1569368903,3,0
1569390762,13,1
1569412885,2,15
1569435185,2,23
1569457470,1,5
1569479652,1,4
1569501630,2,1
1569523712,0,5
1569545554,0,4
1569578733,12,236
1569601062,8,0
1569623068,1,1
1569645135,2,1
1569666989,6,0
1569689073,3,6
1569711150,2,1
1569733323,3,16
1569755321,1,117
1569777392,6,0
1569799253,1,0
1569821299,0,3
1569843144,24,284
1569865225,1,123
1569887316,4,33
1569909173,72,6
1569931264,198,1
1569953324,112,1
1569975624,67,1
1569997954,30,49
1570020050,1,1
1570042339,2,27
1570064456,7,0
1570086928,14,162
1570108810,37,3
1570130689,20,1
1570152748,7,0
1570174816,35,6
1570196670,30,7
1570218754,52,6
1570240604,1,0
1570262464,1,5
1570284520,2,1
1570306816,27,0
1570328716,5,1
1570350759,11,0
1570372812,6,3
1570394693,2,0
1570416737,0,1
1570438585,2,28
1570460693,2,0
1570482754,132,1
1570504841,33,8
1570526891,3,65
1570549063,5,9
1570571204,2,15
1570593177,4,59
1570626236,5,66
1570648116,1,7
1570670177,1,10
1570692028,1,18
1570714092,6,52
1570735950,43,19
1570758031,17,6
1570780114,5,55
1570801960,2,144
1570835432,15,2
1570857419,0,2
1570879459,4,1
1570901538,1,29
1570923613,1,32
1570945473,0,1
1570967715,4,11
1570989704,0,7
1571011703,25,10
1571033569,5,6
1571055642,39,4
1571077718,8,0
1571099587,6,1
1571121647,4,5
1571143959,4,10
1571166123,1,2
1571188118,3,3
1571210177,2,13
1571232267,3,3
1571254125,2,3
1571276445,3,109
1571298521,180,1
1571320595,4,3
1571342509,7,36
1571364744,7,1
1571386589,7,6
1571408431,18,2
1571430493,5,3
1571452346,88,2
1571474413,64,5
1571496259,25,0
1571518112,73,0
1571539962,4,2
1571562170,3,1
1571584113,3,0
1571606204,7,0
1571628266,10,2
1571650333,13,2
1571672452,2,193
1571694745,12,16
1571716586,5,0
1571738849,9,10
1571760757,18,2
1571782831,3,0
1571804892,2,2
1571826759,27,1
1571848839,29,2
1571871178,120,0
1571893372,26,42
1571915312,14,33
1571937395,50,1
1571959457,0,17
1571981549,2,5
1572003642,21,9
1572025704,0,14
1572047782,3,3
1572080661,10,79
1572102515,7,43
1572124936,28,16
1572168988,2,10
1572191077,2,4
1572213154,1,0
1572235027,3,2
1572257213,3,11
1572279212,21,0
1572301222,228,3
1572323077,46,5
1572344921,2,9
1572366979,1,10
1572389062,2,0
1572410921,1,10
1572432799,3,18
1572454917,2,22
1572477154,63,160
1572499231,0,57
1572521081,4,15
1572543147,2,81
1572576035,4,64
1572597875,24,1
1572619932,192,27
1572641785,63,3
1572674656,7,2
1572696767,3,0
1572718826,6,32
1572740901,76,0
1572762741,4,0
1572784603,28,0
1572806668,11,7
1572828743,31,7
1572851151,16,2
1572873442,1,32
1572895478,1,6
1572917533,101,189
1572939402,36,6
1572983550,2,0
1573005397,1,1
1573038300,5,4
1573060354,0,1
1573082438,3,1
1573104742,2,1
1573126593,2,1
1573170742,3,2
1573192589,2,3
1573225503,0,29
1573247789,4,5
1573269646,0,1
1573291699,2,8
1573313794,4,45
1573335872,8,65
1573357934,14,7
1573380181,4,40
1573402368,0,117
1573424670,17,68
1573446750,6,106
1573468599,7,16
1573490674,7,0
1573512527,81,1
1573534571,9,7
1573556470,5,68
1573578777,2,6
1573600850,2,6
1573622910,2,5
1573644759,2,94
1573666836,0,1
1573689007,0,2
1573710981,4,4
1573732902,33,2
1573754911,3,1
1573776982,20,1
1573798825,1,3
1573820905,2,1
1573842756,3,4
1573864602,1,0
1573886658,1,7
1573908730,5,10
1573930574,2,2
1573952454,0,8
1573974489,3,2
1573996593,2,0
1574018660,2,0
1574040759,1,119
1574062816,12,74
1574084656,8,5
1574106514,1,121
1574128365,25,4
1574161504,40,6
1574183800,1,1
1574205872,122,2
1574227937,2,2
1574250017,6,6
1574271891,52,0
1574293937,2,0
1574327311,4,51
1574349395,10,2
1574371458,2,5
1574393556,3,0
1574415407,23,4
1574437462,5,3
1574459316,1,1
1574481378,2,1
1574503300,6,4
1574525565,3,4
1574547419,3,1
1574569511,3,3
1574591542,2,2
1574613620,2,1
1574635481,3,3
1574657539,2,0
1574679394,4,17
1574701252,1,2
1574723125,2,8
1574745179,1,44
1574767232,12,2
1574789303,30,1
1574811148,95,125
1574832997,46,1
1574854847,19,32
1574876892,1,26
1574898736,1,1
1574920593,1,3
1574942479,3,11
1574964497,3,1
1575008227,2,0
1575030281,7,32
1575052183,3,2
1575074478,22,1
1575096518,3,7
1575118583,0,3
1575140922,18,2
1575162972,22,5
1575185061,28,2
1575207158,66,48
1575229214,62,2
1575251322,31,0
1575273393,11,6
1575295490,6,0
1575317562,21,1
1575339648,147,0
1575361712,77,10
1575383798,4,0
1575405888,3,8
1575427964,1,132
1575450173,58,0
1575472128,88,1
1575493971,10,0
1575516020,4,0
1575538091,2,4
1575581797,1,1
1575603646,18,0
1575625703,82,1
1575647555,2,0
1575680927,0,20
1575703010,4,2
1575725056,1,0
1575747163,0,10
1575769225,76,7
1575791078,1,16
1575813136,21,17
1575834979,1,4
1575856831,8,6
1575878906,2,24
1575900976,1,2
1575923068,7,3
1575944918,0,140
1575966994,12,16
1575989058,2,13
1576011142,1,20
1576044243,0,10
1576066098,1,171
1576088188,4,10
1576110277,2,9
1576132337,3,27
1576154205,3,2
1576176251,15,3
1576198114,6,0
1576220182,2,54
1576242159,2,18
1576264383,1,2
1576286407,2,0
1576308297,4,9
1576330590,3,36
1576374744,2,4
1576396592,0,1
1576429715,1,59
1576451557,1,3
1576473648,1,1
1576495690,1,100
1576517567,12,5
1576539622,94,17
1576561717,1,0
1576584103,0,22
1576606091,3,1
1576627955,2,0
1576650009,1,1
1576671861,5,1
1576693961,2,3
1576716019,2,0
1576737863,1,1
1576759714,35,0
1576781778,3,2
1576803731,3,2
1576825978,0,1
1576848012,2,13
1576869869,2,0
1576891938,4,1
1576914043,128,8
1576936097,4,2
1576958178,5,0
1577002580,1,13
1577024670,12,0
1577046764,1,5
1577068823,1,2
1577090671,74,5
1577112730,17,79
1577135017,2,5
1577157163,14,0
1577179209,7,2
1577201078,1,2
1577223172,1,0
1577245216,3,1
1577267069,1,7
1577289143,0,2
1577322298,0,2
1577344595,1,9
1577366669,1,3
1577388742,0,20
1577410837,6,15
1577433138,1,4
1577455416,54,2
1577477294,1,1
1577499145,0,5
1577521043,3,247
1577543049,3,4
1577564893,2,3
1577586768,6,0
1577608838,2,9
1577630891,6,1
1577652969,5,0
1577685884,1,8
1577708195,28,48
1577730038,1,1
1577752098,0,101
1577773939,226,13
1577795792,0,3
1577817867,4,0
1577839932,14,2
1577873078,131,6
1577894922,99,0
1577916767,4,0
1577938827,3,0
1577960928,3,2
1577983241,6,1
1578005317,2,2
1578027367,7,0
1578049262,6,11
1578071327,8,1
1578093753,2,0
1578115942,7,0
1578137787,6,3
1578159852,6,0
1578181708,5,2
1578203768,4,1
1578225647,59,0
1578247699,88,16
1578269772,56,0
1578291616,23,1
1578313477,3,2
1578335561,0,1
1578379949,9,60
1578402056,106,0
1578423916,2,1
1578446008,1,0
1578468039,2,19
1578490099,3,30
1578512190,3,47
1578534250,3,8
1578556114,2,7
1578578187,17,15
1578600071,0,3
1578622120,60,7
1578644214,1,10
1578666586,1,10
1578688829,2,9
1578711150,0,5
1578733253,1,16
1578755307,1,7
1578777157,4,9
1578799214,2,11
1578821055,6,23
1578843171,1,161
1578865221,12,45
1578887306,3,86
1578909375,4,12
1578942505,150,4
1578964403,4,0
1578986697,4,26
