DateTime,Entries,UniqueIPs
1567516581,2319,2319
1567538686,2324,2324
1567560777,2329,2329
1567582819,2330,2330
1567604681,2203,2203
1567627000,2312,2312
1567649097,2377,2377
1567671154,2357,2357
1567693243,2378,2378
1567715317,2385,2385
1567737384,2397,2397
1567759237,2395,2395
1567781317,2372,2372
1567803374,2375,2375
1567836535,2368,2368
1567858599,2369,2369
1567880439,3175,3175
1567902493,3173,3173
1567924346,3223,3223
1567946211,3236,3236
1567968278,3180,3180
1567990341,3182,3182
1568023489,3175,3175
1568045545,3093,3093
1568067620,3043,3043
1568089714,3042,3042
1568112039,3041,3041
1568134104,3037,3037
1568156172,3016,3016
1568178217,4062,4062
1568200133,4039,4039
1568222450,4062,4062
1568244497,4015,4015
1568266373,3972,3972
1568288440,3673,3673
1568310503,3495,3495
1568332361,3496,3496
1568355393,3482,3482
1568377246,3481,3481
1568399336,3480,3480
1568421388,3478,3478
1568443235,3514,3514
1568465567,3591,3591
1568509743,3560,3560
1568531811,3474,3474
1568553886,2663,2663
1568575954,2665,2665
1568598027,2665,2665
1568619882,2663,2663
1568641956,2582,2582
1568675055,2581,2581
1568697157,2582,2582
1568719229,2583,2583
1568741293,2578,2578
1568763147,2577,2577
1568785208,1234,1234
1568807078,1240,1240
1568828944,1237,1237
1568850969,1238,1238
1568884124,1205,1205
1568906193,1214,1214
1568928035,1217,1217
1568950091,1230,1230
1568971942,1406,1406
1568993795,1406,1406
1569015640,1408,1408
1569037707,1375,1375
1569059772,1249,1249
1569092650,1273,1273
1569114512,1283,1283
1569136602,1470,1470
1569180737,1463,1463
1569202579,1461,1461
1569224672,1464,1464
1569246751,1619,1619
1569280122,1620,1620
1569302456,1631,1631
1569324747,1632,1632
1569346838,1632,1632
1569368903,1635,1635
1569390762,1647,1647
1569412885,1634,1634
1569435185,1613,1613
1569457470,1609,1609
1569479652,1606,1606
1569501630,1607,1607
1569523712,1602,1602
1569545554,1598,1598
1569578733,1374,1374
1569601062,1382,1382
1569623068,1382,1382
1569645135,1383,1383
1569666989,1389,1389
1569689073,1386,1386
1569711150,1387,1387
1569733323,1374,1374
1569755321,1258,1258
1569777392,1264,1264
1569799253,1265,1265
1569821299,1262,1262
1569843144,1002,1002
1569865225,880,880
1569887316,851,851
1569909173,917,917
1569931264,1114,1114
1569953324,1225,1225
1569975624,1291,1291
1569997954,1272,1272
1570020050,1272,1272
1570042339,1247,1247
1570064456,1254,1254
1570086928,1106,1106
1570108810,1140,1140
1570130689,1159,1159
1570152748,1166,1166
1570174816,1195,1195
1570196670,1218,1218
1570218754,1264,1264
1570240604,1265,1265
1570262464,1261,1261
