DateTime,AddedIPs,RemovedIPs
1578001712,9,0
1578003616,5,0
1578005530,13,4
1578007467,6,2
1578009367,3,1
1578011309,10,4
1578014427,18,2
1578016334,7,0
1578018249,5,3
1578020194,6,1
1578022341,8,6
1578024779,9,10
1578026661,6,5
1578028586,3,7
1578030512,4,9
1578032430,8,11
1578034335,6,4
1578036271,11,6
1578038201,4,8
1578040095,6,12
1578043212,17,13
1578045131,6,3
1578047069,6,8
1578048979,1,8
1578050891,5,3
1578054014,6,7
1578055937,4,6
1578057903,8,6
1578059769,9,2
1578061943,6,5
1578064113,9,9
1578066035,13,7
1578067942,5,6
1578069853,7,7
1578071791,7,3
1578073711,5,3
1578075689,5,10
1578077535,3,4
1578079482,8,5
1578081370,12,7
1578083538,6,7
1578085718,5,6
1578087635,8,5
1578089547,3,6
1578091452,10,11
1578093753,10,4
1578095585,7,4
1578097695,161,4
1578099737,69,7
1578101558,43,7
1578103491,45,4
1578105612,36,6
1578107558,25,3
1578109453,8,3
1578111619,6,4
1578113534,6,3
1578115470,1,3
1578117383,0,3
1578119546,5,7
1578121703,49,3
1578123624,36,8
1578125551,33,3
1578127451,29,8
1578129412,28,2
1578131309,32,3
1578133209,27,6
1578135150,35,1
1578137076,22,1
1578138993,19,2
1578141153,15,1
1578143105,17,4
1578145018,16,3
1578146937,6,3
1578148822,9,3
1578150772,7,3
1578152655,4,3
1578154578,5,3
1578156517,8,1
1578158417,4,3
1578160334,3,4
1578162276,1,4
1578164174,0,3
1578166340,10,6
1578168511,13,2
1578170435,13,1
1578172339,8,2
1578174257,5,2
1578176175,7,4
1578178341,10,1
1578180272,3,0
1578182173,6,2
1578184097,4,58
1578187222,10,41
1578189247,6,12
1578191077,3,19
1578192974,6,12
1578194910,5,4
1578197089,4,6
1578198994,4,5
1578201161,4,2
1578203062,2,2
1578204974,1,3
1578206912,3,6
1578208864,10,103
1578210733,11,33
1578212675,10,207
1578214575,177,36
1578216744,6,39
1578218742,6,36
1578220592,5,11
1578222508,1,112
1578224413,1,70
1578226362,1,60
1578228269,4,66
1578230184,0,64
1578232109,4,21
1578234033,5,19
1578235933,1,12
1578237875,9,27
1578239775,3,21
1578241953,7,2
1578244104,3,40
1578246014,4,4
1578247971,4,2
1578249856,3,0
1578251781,6,3
1578253714,5,6
1578255612,7,13
1578257534,0,10
1578259500,10,11
1578261381,5,3
1578263311,11,6
1578266199,17,12
1578268089,6,5
1578270061,3,5
1578271937,3,9
1578273851,3,6
1578275794,2,3
1578277693,3,2
1578280594,8,6
1578282495,8,6
1578284431,5,5
1578286336,2,5
1578288277,2,2
1578290172,38,6
1578292094,13,2
1578295217,32,14
1578297127,37,17
1578299067,42,10
1578300967,46,11
1578303138,36,9
1578305308,21,7
1578307243,25,7
1578309385,23,2
1578311542,27,0
1578313478,18,3
1578315385,20,0
1578317317,12,1
1578319409,17,3
1578321620,10,3
1578323793,24,10
1578325715,20,6
1578327612,8,5
1578329774,23,5
1578331693,21,4
1578334595,25,6
1578336742,14,2
1578338658,11,8
1578340608,12,8
1578342499,14,6
1578344678,13,3
1578346594,12,9
1578348509,12,7
1578350416,7,14
1578352358,2,13
1578354268,6,5
1578356483,6,4
1578358337,2,4
1578360292,0,3
1578362183,3,2
1578364345,4,1
1578366523,11,8
1578368440,4,3
1578370348,18,7
1578372259,13,4
1578374189,11,2
1578376102,12,16
1578378044,8,16
1578379950,8,14
1578381861,10,7
1578383802,17,22
1578385698,8,21
1578387673,13,17
1578389558,18,13
1578391722,19,10
1578393615,14,14
1578395563,5,9
1578397461,13,17
1578399404,18,21
1578401316,14,11
1578403221,23,15
1578405138,11,8
1578407076,10,9
1578408980,8,13
1578411148,5,25
1578413309,8,10
1578415216,16,10
1578417407,10,21
1578419299,9,15
1578421238,9,17
1578423154,10,15
1578425078,22,13
1578426981,12,12
1578429177,14,18
1578431315,14,9
1578433243,21,11
1578435393,14,12
1578437546,9,1
1578439468,4,9
1578441398,15,5
1578443302,8,4
1578445509,6,1
1578447393,8,0
1578449315,12,1
1578451261,12,4
1578453172,12,7
1578455311,12,7
1578457249,14,18
1578459140,6,19
1578461058,14,11
1578463017,17,14
1578464896,10,5
1578467072,20,9
1578469243,25,21
1578471383,12,11
1578473303,10,22
1578475228,12,17
1578477129,9,7
1578479307,9,19
1578481256,15,9
1578483163,9,14
1578485123,23,11
1578486994,10,12
1578488897,10,11
1578490809,9,19
1578492770,11,10
1578494651,7,10
1578496844,15,8
1578498741,18,9
1578500651,15,8
1578502580,13,6
1578504758,16,7
1578506692,13,11
1578508632,11,6
1578510512,19,16
