DateTime,Entries,UniqueIPs
1578001712,502,502
1578003616,507,507
1578005530,516,516
1578007467,520,520
1578009367,522,522
1578011309,528,528
1578014427,544,544
1578016334,551,551
1578018249,553,553
1578020194,558,558
1578022341,560,560
1578024779,559,559
1578026661,560,560
1578028586,556,556
1578030512,551,551
1578032430,548,548
1578034335,550,550
1578036271,555,555
1578038201,551,551
1578040095,545,545
1578043212,549,549
1578045131,552,552
1578047069,550,550
1578048979,543,543
1578050891,545,545
1578054014,544,544
1578055937,542,542
1578057903,544,544
1578059769,551,551
1578061943,552,552
1578064113,552,552
1578066035,558,558
1578067942,557,557
1578069853,557,557
1578071791,561,561
1578073711,563,563
1578075689,558,558
1578077535,557,557
1578079482,560,560
1578081370,565,565
1578083538,564,564
1578085718,563,563
1578087635,566,566
1578089547,563,563
1578091452,562,562
1578093753,568,568
1578095585,571,571
1578097695,728,728
1578099737,790,790
1578101558,826,826
1578103491,867,867
1578105612,897,897
1578107558,919,919
1578109453,924,924
1578111619,926,926
1578113534,929,929
1578115470,927,927
1578117383,924,924
1578119546,922,922
1578121703,968,968
1578123624,996,996
1578125551,1026,1026
1578127451,1047,1047
1578129412,1073,1073
1578131309,1102,1102
1578133209,1123,1123
1578135150,1157,1157
1578137076,1178,1178
1578138993,1195,1195
1578141153,1209,1209
1578143105,1222,1222
1578145018,1235,1235
1578146937,1238,1238
1578148822,1244,1244
1578150772,1248,1248
1578152655,1249,1249
1578154578,1251,1251
1578156517,1258,1258
1578158417,1259,1259
1578160334,1258,1258
1578162276,1255,1255
1578164174,1252,1252
1578166340,1256,1256
1578168511,1267,1267
1578170435,1279,1279
1578172339,1285,1285
1578174257,1288,1288
1578176175,1291,1291
1578178341,1300,1300
1578180272,1303,1303
1578182173,1307,1307
1578184097,1253,1253
1578187222,1222,1222
1578189247,1216,1216
1578191077,1200,1200
1578192974,1194,1194
1578194910,1195,1195
1578197089,1193,1193
1578198994,1192,1192
1578201161,1194,1194
1578203062,1194,1194
1578204974,1192,1192
1578206912,1189,1189
1578208864,1096,1096
1578210733,1074,1074
1578212675,877,877
1578214575,1018,1018
1578216744,985,985
1578218742,955,955
1578220592,949,949
1578222508,838,838
1578224413,769,769
1578226362,710,710
1578228269,648,648
1578230184,584,584
1578232109,567,567
1578234033,553,553
1578235933,542,542
1578237875,524,524
1578239775,506,506
1578241953,511,511
1578244104,474,474
1578246014,474,474
1578247971,476,476
1578249856,479,479
1578251781,482,482
1578253714,481,481
1578255612,475,475
1578257534,465,465
1578259500,464,464
1578261381,466,466
1578263311,471,471
1578266199,476,476
1578268089,477,477
1578270061,475,475
1578271937,469,469
1578273851,466,466
1578275794,465,465
1578277693,466,466
1578280594,468,468
1578282495,470,470
1578284431,470,470
1578286336,467,467
1578288277,467,467
1578290172,499,499
1578292094,510,510
1578295217,528,528
1578297127,548,548
1578299067,580,580
1578300967,615,615
1578303138,642,642
1578305308,656,656
1578307243,674,674
1578309385,695,695
1578311542,722,722
1578313478,737,737
1578315385,757,757
1578317317,768,768
1578319409,782,782
1578321620,789,789
1578323793,803,803
1578325715,817,817
1578327612,820,820
1578329774,838,838
1578331693,855,855
1578334595,874,874
1578336742,886,886
1578338658,889,889
1578340608,893,893
1578342499,901,901
1578344678,911,911
1578346594,914,914
1578348509,919,919
1578350416,912,912
1578352358,901,901
1578354268,902,902
1578356483,904,904
1578358337,902,902
1578360292,899,899
1578362183,900,900
1578364345,903,903
1578366523,906,906
1578368440,907,907
1578370348,918,918
1578372259,927,927
1578374189,936,936
1578376102,932,932
1578378044,924,924
1578379950,918,918
1578381861,921,921
1578383802,916,916
1578385698,903,903
1578387673,899,899
1578389558,904,904
1578391722,913,913
1578393615,913,913
1578395563,909,909
1578397461,905,905
1578399404,902,902
1578401316,905,905
1578403221,913,913
1578405138,916,916
1578407076,917,917
1578408980,912,912
1578411148,892,892
1578413309,890,890
1578415216,896,896
1578417407,885,885
1578419299,879,879
