DateTime,AddedIPs,RemovedIPs
1568048207,1,0
1568050113,0,2
1568054246,1,0
1568056119,1,0
1568058285,1,1
1568064038,1,0
1568071713,1,1
1568073857,1,0
1568075800,0,1
1568077729,1,0
1568085393,0,1
1568087389,0,2
1568093064,0,1
1568110846,1,1
1568114906,2,0
1568121653,1,2
1568123547,0,1
1568127424,1,0
1568133373,0,1
1568135548,0,1
1568137464,4,0
1568141351,0,1
1568145171,1,1
1568150920,1,1
1568155001,1,0
1568156894,0,1
1568158814,1,1
1568160763,0,1
1568164616,0,1
1568170369,1,0
1568176106,1,0
1568180448,1,0
1568197973,0,1
1568200134,1,2
1568205855,1,0
1568207789,0,1
1568209740,5,0
1568213542,0,1
1568223578,0,4
1568230097,1,0
1568232078,0,1
1568238056,0,1
1568242123,0,1
1568244044,2,0
1568245943,0,1
1568256972,0,1
1568259146,1,0
1568263521,1,1
1568267551,0,1
1568269466,1,0
1568283384,1,0
1568285309,0,1
1568291075,0,1
1568295411,0,5
1568303320,1,0
1568314874,3,0
1568316989,0,1
1568320840,1,0
1568328757,1,0
1568330658,1,2
1568346495,0,1
1568356598,1,1
1568369016,0,1
1568391415,1,1
1568402219,0,3
1568407938,1,1
1568413953,1,2
1568418018,0,1
1568424066,1,0
1568439617,1,0
1568441588,0,1
1568453577,3,0
1568457385,1,0
1568461235,1,0
1568479284,0,1
1568495094,0,1
1568500843,1,1
1568510666,0,1
1568516691,1,0
1568526532,0,1
1568538735,0,3
1568544495,0,1
1568548575,0,1
1568550506,1,0
1568586045,0,1
1568589864,2,0
1568596146,1,0
1568603810,0,1
1568611728,1,0
1568615806,1,0
1568635723,0,1
1568650584,7,0
1568656589,1,0
1568662579,1,0
1568672426,1,0
1568676291,0,2
1568683026,1,1
1568698831,0,1
1568700762,1,0
1568702962,0,1
1568736977,0,7
1568742761,0,1
1568748507,0,1
1568758335,0,1
1568769886,0,1
1568785940,0,1
1568805642,1,0
1568836580,1,0
1568850032,1,0
1568892746,0,1
1568922510,0,1
1568934203,0,1
1568953229,1,0
1569072275,2,0
1569082103,1,0
1569100582,1,0
1569125123,0,1
1569134913,1,0
1569151413,1,0
1569162746,0,2
1569168518,0,1
1569186987,0,1
1569221070,0,1
1569225132,1,0
1569232360,1,0
