DateTime,Entries,UniqueIPs
1578006768,757,757
1578008676,767,767
1578010611,771,771
1578012495,777,777
1578014432,788,788
1578016337,794,794
1578018252,798,798
1578020196,804,804
1578022346,808,808
1578024288,810,810
1578026198,810,810
1578028109,809,809
1578030013,803,803
1578031961,800,800
1578033856,801,801
1578036036,809,809
1578037958,804,804
1578039877,799,799
1578041773,801,801
1578043694,806,806
1578045877,806,806
1578047793,800,800
1578049705,793,793
1578051616,797,797
1578053563,793,793
1578055455,789,789
1578057454,794,794
1578059307,801,801
1578061222,809,809
1578063132,808,808
1578065052,812,812
1578066982,817,817
1578068926,817,817
1578071077,826,826
1578072993,829,829
1578074889,821,821
1578076815,808,808
1578078756,813,813
1578080655,822,822
1578082822,822,822
1578084731,815,815
1578086654,814,814
1578088588,810,810
1578090510,812,812
1578092540,814,814
1578094578,814,814
1578096520,841,841
1578098412,992,992
1578100591,1052,1052
1578102742,1101,1101
1578104652,1162,1162
1578106591,1185,1185
1578108742,1189,1189
1578110912,1191,1191
1578112817,1195,1195
1578114762,1199,1199
1578116670,1204,1204
1578118580,1199,1199
1578120517,1210,1210
1578122432,1271,1271
1578124335,1300,1300
1578126298,1328,1328
1578128177,1347,1347
1578130348,1365,1365
1578132507,1396,1396
1578134455,1432,1432
1578136600,1457,1457
1578138526,1475,1475
1578140456,1501,1501
1578142377,1507,1507
1578144258,1520,1520
1578146602,1521,1521
1578148824,1517,1517
1578150775,1520,1520
1578152657,1518,1518
1578154599,1520,1520
1578156520,1530,1530
1578158420,1531,1531
1578160338,1530,1530
1578162278,1530,1530
1578164176,1523,1523
1578166342,1527,1527
1578168513,1542,1542
1578170437,1558,1558
1578172341,1560,1560
1578174262,1563,1563
1578176180,1564,1564
1578178344,1574,1574
1578180275,1580,1580
1578182176,1584,1584
1578184100,1533,1533
1578187226,1494,1494
1578189252,1486,1486
1578191082,1437,1437
1578192978,1433,1433
1578194914,1435,1435
1578197099,1434,1434
1578198997,1433,1433
1578201190,1434,1434
1578203065,1432,1432
1578204979,1432,1432
1578206916,1424,1424
1578208867,1329,1329
1578210737,1310,1310
1578212681,1111,1111
1578214582,1256,1256
1578216750,1223,1223
1578218755,1192,1192
1578220595,1186,1186
1578222510,1077,1077
1578224417,1007,1007
1578226383,954,954
1578228273,896,896
1578230191,831,831
1578232113,812,812
1578234055,800,800
1578235939,787,787
1578237891,764,764
1578239782,744,744
1578241959,741,741
1578244108,709,709
1578246018,714,714
1578247974,717,717
1578249860,720,720
1578251784,721,721
1578253718,723,723
1578255616,719,719
1578257537,712,712
1578259504,712,712
1578261399,719,719
1578263314,726,726
1578266202,731,731
1578268092,736,736
1578270082,733,733
1578271940,728,728
1578273854,726,726
1578275799,723,723
1578277698,720,720
1578279788,719,719
1578282018,720,720
1578283960,722,722
1578285856,715,715
1578287835,713,713
1578289711,735,735
1578291622,751,751
1578293533,768,768
1578295479,773,773
1578297380,791,791
1578299546,829,829
1578301416,859,859
1578303391,891,891
1578305312,910,910
1578307245,926,926
1578309389,947,947
1578311545,960,960
1578313485,973,973
1578315391,994,994
1578317320,1004,1004
1578319536,1017,1017
1578321624,1020,1020
1578323799,1036,1036
1578325723,1050,1050
1578327619,1052,1052
1578329781,1073,1073
1578331702,1086,1086
1578333783,1104,1104
1578336026,1110,1110
1578337943,1116,1116
1578339899,1115,1115
1578342020,1128,1128
1578343954,1137,1137
1578345868,1146,1146
1578347800,1149,1149
1578349948,1145,1145
1578352117,1139,1139
1578354271,1135,1135
1578356503,1147,1147
1578358341,1148,1148
1578360295,1146,1146
1578362187,1153,1153
1578364349,5644,5644
1578366527,5665,5665
1578368444,5666,5666
1578370352,5679,5679
1578372263,5690,5690
1578374196,5702,5702
1578376111,5697,5697
1578378049,6326,6326
1578379955,6323,6323
1578381865,6332,6332
1578383829,6331,6331
1578385703,6318,6318
1578388829,6318,6318
1578390741,6328,6328
1578392685,6323,6323
1578394577,6323,6323
1578396769,6329,6329
1578398931,6324,6324
1578400818,6326,6326
1578402773,6340,6340
1578404657,6340,6340
1578406596,6344,6344
1578408522,6338,6338
1578410423,6321,6321
1578412345,6315,6315
1578414276,6313,6313
1578416190,6309,6309
1578418116,6299,6299
1578420157,6291,6291
1578421963,6284,6284
1578423930,6284,6284
1578425798,6297,6297
1578427711,6286,6286
1578429625,6285,6285
1578431813,6296,6296
1578433697,6320,6320
1578435633,6320,6320
1578437550,6322,6322
1578439473,6317,6317
1578441402,6327,6327
1578443306,6319,6319
1578445550,6323,6323
1578447420,6329,6329
1578449320,5522,5522
1578451267,2006,2006
1578453175,2013,2013
1578455340,2021,2021
1578457253,2013,2013
1578459143,2002,2002
1578461061,2002,2002
1578463020,1365,1365
1578464900,1203,1203
1578467138,1214,1214
1578469286,1213,1213
1578471386,1215,1215
1578473306,1196,1196
1578475231,1236,1236
1578477134,1235,1235
1578479311,1230,1230
1578482180,1234,1234
1578484092,1243,1243
1578486015,1239,1239
1578487941,1229,1229
1578489871,1222,1222
1578491817,1220,1220
1578493961,1216,1216
1578495955,1222,1222
1578497776,1234,1234
1578499736,1244,1244
1578501637,1244,1244
1578503593,1255,1255
1578505469,1264,1264
1578507386,1268,1268
1578509313,1278,1278
1578511227,1279,1279
1578513139,1293,1293
1578515082,1292,1292
1578517014,1292,1292
1578518926,1299,1299
1578521121,1284,1284
1578523257,1284,1284
1578525162,1283,1283
1578527054,1274,1274
1578528976,1264,1264
1578530913,1268,1268
1578532815,1272,1272
1578534732,1279,1279
1578536678,1288,1288
1578538583,1280,1280
1578540496,1280,1280
1578542722,1270,1270
1578544639,1274,1274
1578546513,1257,1257
1578548421,1241,1241
1578550371,1226,1226
1578552259,1228,1228
1578554186,1191,1191
1578556119,1174,1174
1578558053,1081,1081
1578559948,1177,1177
1578561882,1124,1124
