DateTime,AddedIPs,RemovedIPs
1578003173,102,111
1578005070,113,117
1578007230,129,99
1578009152,110,120
1578011065,91,114
1578012981,136,116
1578014901,112,103
1578017063,116,424
1578019259,91,352
1578021175,96,134
1578023058,100,120
1578025228,118,111
1578027165,84,102
1578029071,88,83
1578030971,71,115
1578032901,74,104
1578036044,152,179
1578037959,94,117
1578039885,139,122
1578041775,89,127
1578043695,80,129
1578045880,110,124
1578047794,126,112
1578049706,94,186
1578051617,89,207
1578053564,75,115
1578055456,88,268
1578057455,86,284
1578059308,83,104
1578061231,106,209
1578063133,83,104
1578065053,64,97
1578066983,96,96
1578068926,141,131
1578071080,137,144
1578073001,102,108
1578074890,81,116
1578076816,255,108
1578078756,100,99
1578080656,129,121
1578082823,209,123
1578084732,184,110
1578086655,162,84
1578088589,189,94
1578090511,177,114
1578092574,358,127
1578094579,182,130
1578096528,177,123
1578098413,169,119
1578100592,204,131
1578102743,229,145
1578104653,242,104
1578106592,183,117
1578108743,197,110
1578110913,281,122
1578112817,311,89
1578114763,206,90
1578116671,210,68
1578118581,191,95
1578120518,208,112
1578122432,160,77
1578124336,169,96
1578126326,214,161
1578128178,212,93
1578130349,493,88
1578132508,207,98
1578134456,195,138
1578136609,188,103
1578138548,143,77
1578140457,172,76
1578142378,217,82
1578144267,184,72
1578146652,226,91
1578148825,228,119
1578150776,171,67
1578152659,186,71
1578154600,157,137
1578156521,152,110
1578158421,119,106
1578160347,128,73
1578162279,234,192
1578164177,89,116
1578166343,97,97
1578168514,120,151
1578170438,124,159
1578172342,112,125
1578174270,121,150
1578176189,103,117
1578178345,108,311
1578180276,133,163
1578182177,164,126
1578184101,197,148
1578187227,291,214
1578189253,198,193
1578191083,315,215
1578192979,194,167
1578194915,132,150
1578197131,138,196
1578198998,140,305
1578201191,149,227
1578203067,150,187
1578204987,137,164
1578206917,156,176
1578208868,142,148
1578210737,136,171
1578212689,106,206
1578214591,139,199
1578216758,139,482
1578218756,141,194
1578220596,112,190
1578222511,142,186
1578224418,126,152
1578226385,110,154
1578228274,103,212
1578230199,114,182
1578232114,93,190
1578234056,238,218
1578235940,106,184
1578237899,84,190
1578239792,82,177
1578241960,148,195
1578244109,110,172
1578246019,68,106
1578247975,200,272
1578249860,167,110
1578251785,105,85
1578253719,148,118
1578255617,119,105
1578257538,96,119
1578259505,124,126
1578261428,104,114
1578263315,158,103
1578266203,133,195
1578268093,64,179
1578270083,260,224
1578271941,81,204
1578273855,58,194
1578275800,75,204
1578277710,82,392
1578279865,98,213
1578282019,110,145
1578283961,94,121
1578285864,82,162
1578287836,98,126
1578289718,72,149
1578291630,77,137
1578293534,82,156
1578295480,117,148
1578297390,112,132
1578299547,109,129
1578301461,72,130
1578303392,92,141
1578305313,107,148
1578307246,96,111
1578309390,81,177
1578311545,123,135
1578313494,142,110
1578315393,108,102
1578317321,74,91
1578319537,71,175
1578321636,78,192
1578323801,100,107
1578325724,89,78
1578327620,109,115
1578329782,130,130
1578331704,97,86
1578333812,125,92
1578336027,115,308
1578337945,78,112
1578339901,92,171
1578342030,96,129
1578343954,105,113
1578345869,96,134
1578347802,71,114
1578349949,94,190
1578352118,111,106
1578354272,101,74
1578356504,111,309
1578358341,94,98
1578360296,79,70
1578362188,93,76
1578364349,121,99
1578366528,147,131
1578368445,136,90
1578370353,133,103
1578372264,134,97
1578374197,77,101
1578376119,74,86
1578378050,76,85
1578379955,98,87
1578381866,108,126
1578383830,104,141
1578385704,121,116
1578387848,126,109
1578389778,92,103
1578391726,89,135
1578393620,109,103
1578395575,140,91
1578397474,124,108
1578399417,92,137
1578401321,105,106
1578403225,90,69
1578405143,84,71
