DateTime,Entries,UniqueIPs
1578003173,7072,7072
1578005070,7068,7068
1578007230,7098,7098
1578009152,7088,7088
1578011065,7065,7065
1578012981,7085,7085
1578014901,7094,7094
1578017063,6786,6786
1578019259,6525,6525
1578021175,6487,6487
1578023058,6467,6467
1578025228,6474,6474
1578027165,6456,6456
1578029071,6461,6461
1578030971,6417,6417
1578032901,6387,6387
1578036044,6360,6360
1578037959,6337,6337
1578039885,6354,6354
1578041775,6316,6316
1578043695,6267,6267
1578045880,6253,6253
1578047794,6267,6267
1578049706,6175,6175
1578051617,6057,6057
1578053564,6017,6017
1578055456,5837,5837
1578057455,5639,5639
1578059308,5618,5618
1578061231,5515,5515
1578063133,5494,5494
1578065053,5461,5461
1578066983,5461,5461
1578068926,5471,5471
1578071080,5464,5464
1578073001,5458,5458
1578074890,5423,5423
1578076816,5570,5570
1578078756,5571,5571
1578080656,5579,5579
1578082823,5665,5665
1578084732,5739,5739
1578086655,5817,5817
1578088589,5912,5912
1578090511,5975,5975
1578092574,6206,6206
1578094579,6258,6258
1578096528,6312,6312
1578098413,6362,6362
1578100592,6435,6435
1578102743,6519,6519
1578104653,6657,6657
1578106592,6723,6723
1578108743,6810,6810
1578110913,6969,6969
1578112817,7191,7191
1578114763,7307,7307
1578116671,7449,7449
1578118581,7545,7545
1578120518,7641,7641
1578122432,7724,7724
1578124336,7797,7797
1578126326,7850,7850
1578128178,7969,7969
1578130349,8374,8374
1578132508,8483,8483
1578134456,8540,8540
1578136609,8625,8625
1578138548,8691,8691
1578140457,8787,8787
1578142378,8922,8922
1578144267,9034,9034
1578146652,9169,9169
1578148825,9278,9278
1578150776,9382,9382
1578152659,9497,9497
1578154600,9517,9517
1578156521,9559,9559
1578158421,9572,9572
1578160347,9627,9627
1578162279,9669,9669
1578164177,9642,9642
1578166343,9642,9642
1578168514,9611,9611
1578170438,9576,9576
1578172342,9563,9563
1578174270,9534,9534
1578176189,9520,9520
1578178345,9317,9317
1578180276,9287,9287
1578182177,9325,9325
1578184101,9374,9374
1578187227,9451,9451
1578189253,9456,9456
1578191083,9556,9556
1578192979,9583,9583
1578194915,9565,9565
1578197131,9507,9507
1578198998,9342,9342
