DateTime,AddedIPs,RemovedIPs
1568071717,1,1
1568073892,1,0
1568075804,0,1
1568077745,1,0
1568083497,0,1
1568087393,0,2
1568093068,0,1
1568110858,1,1
1568114910,2,0
1568120905,1,0
1568122812,0,3
1568126947,1,0
1568132669,0,1
1568134587,0,1
1568138601,4,0
1568140826,0,1
1568144679,0,1
1568146596,1,0
1568150420,0,1
1568152362,1,0
1568154333,1,0
1568156175,0,1
1568158357,0,1
1568160301,1,1
1568164150,0,1
1568169871,1,0
1568178272,1,0
1568180459,1,0
1568197975,0,1
1568200136,1,2
1568205856,1,0
1568207791,0,1
1568209741,5,0
1568213545,0,1
1568223580,0,4
1568230099,1,0
1568232114,0,1
1568238058,0,1
1568242126,0,1
1568244068,2,0
1568245964,0,1
1568256512,0,1
1568260579,1,0
1568262533,0,1
1568264563,1,0
1568266375,0,1
1568268329,1,0
1568282953,1,0
1568284844,0,1
1568292805,0,1
1568297086,0,5
1568304785,1,0
1568314377,3,0
1568316259,0,1
1568320843,1,0
1568328760,1,0
1568330661,1,2
1568347000,0,1
1568356611,1,1
1568369129,0,1
1568389975,0,1
1568391858,1,0
1568399791,0,1
1568401749,0,2
1568407694,1,1
1568413474,0,2
1568415379,1,0
1568417291,0,1
1568422996,1,0
1568438682,1,0
1568442518,0,1
1568452603,3,0
1568458360,1,0
1568462196,1,0
1568479700,0,1
1568493643,0,1
1568499377,1,0
1568501327,0,1
1568510212,0,1
1568526535,0,1
1568538738,0,3
1568544499,0,1
1568548587,0,1
1568550509,1,0
1568586049,0,1
1568589878,2,0
1568594203,1,0
1568611733,1,0
1568615812,1,0
1568636737,0,1
1568650589,7,0
1568656593,1,0
1568662600,1,0
1568672429,1,0
1568676296,0,2
1568683032,1,1
1568698835,0,1
1568700766,1,0
1568702979,0,1
1568736980,0,7
1568742764,0,1
1568748511,0,1
1568758339,0,1
1568769898,0,1
1568785944,0,1
1568805646,1,0
1568835141,1,0
1568848582,1,0
1568892023,0,1
1568921319,0,1
1568933084,0,1
1568953234,1,0
1569072279,2,0
1569082106,1,0
1569101584,1,0
1569124599,0,1
1569134916,1,0
1569151418,1,0
1569161561,0,2
1569167568,0,1
1569187236,0,1
1569221550,0,1
1569225439,1,0
1569232364,1,0
1569238110,0,1
1569270058,1,0
1569275802,2,0
1569311808,0,1
1569319950,0,1
1569356686,0,1
1569360746,0,1
1569404178,1,0
1569414497,0,1
1569428461,1,0
1569442351,1,0
1569444318,1,0
1569446188,1,0
1569460375,1,0
1569489972,0,1
1569491776,1,0
1569514374,0,1
1569529228,0,1
1569531138,0,1
1569533096,0,1
1569538912,2,0
1569546527,0,1
1569548436,1,0
1569562364,1,0
1569577724,0,1
1569611321,1,0
1569613229,1,0
1569625708,0,2
1569627623,1,0
1569635322,0,1
1569646993,0,1
1569648992,1,0
1569650914,1,0
1569697735,0,1
1569714016,0,1
1569735382,0,1
1569737344,0,1
1569758495,0,1
1569781473,1,0
1569798985,1,0
1569869791,0,1
1569885379,1,1
1569891140,1,0
1569913251,1,0
1569919235,1,0
1569972749,0,1
1569976852,0,1
1569998696,0,1
1570002759,0,1
1570057497,1,0
1570103087,1,0
1570144598,0,1
1570172181,1,0
1570188262,0,1
1570231968,1,0
1570259577,0,1
1570277334,1,0
1570318129,0,1
1570359822,0,1
1570529791,1,0
1570603234,1,0
1570679311,0,1
1570688954,1,0
1570690986,0,1
1570774119,0,1
1570835792,1,0
1570877680,1,0
1570922187,0,1
1570962287,0,1
1571013158,1,0
1571015079,2,0
1571020819,1,0
1571037162,1,0
1571100771,0,2
1571102678,0,1
1571106768,0,1
1571122114,0,1
1571157877,1,0
1571207797,1,0
1571213545,1,0
1571245526,0,1
1571294440,0,1
1571298525,0,1
1571321340,1,0
1571342918,1,0
1571364131,1,0
1571385214,1,0
1571389452,1,0
1571409378,0,1
1571417076,1,0
1571420928,1,0
1571426671,2,0
1571430496,0,1
1571444183,1,0
1571449931,0,1
1571462925,1,0
1571470831,0,1
1571472742,1,0
1571476588,0,1
1571492428,1,0
1571500348,1,0
1571504181,0,1
1571506351,0,1
1571508513,1,0
1571512366,0,2
1571521950,1,0
1571529748,0,1
1571547419,1,0
1571549318,0,1
1571559397,1,1
1571570902,1,0
1571578825,0,1
1571586760,0,1
1571593238,0,1
1571598999,1,0
1571606662,0,1
1571613381,1,0
1571631870,1,0
1571633795,0,1
1571645801,0,1
1571647796,1,0
1571651550,1,0
1571656828,0,1
1571685190,0,1
1571699078,0,1
1571717005,1,0
1571732448,0,1
1571768455,1,0
1571784280,0,2
1571786208,1,0
1571802045,0,1
1571827226,1,0
1571854359,0,1
1571871848,0,1
1571909325,0,1
1571921304,1,0
1571958296,1,0
1572007977,0,1
1572032429,1,0
1572044718,0,1
1572096268,2,0
1572102248,1,0
1572119370,0,1
1572133957,1,0
1572181699,0,1
1572183648,0,1
1572187707,0,1
1572217986,0,1
1572230482,1,0
1572254923,1,0
1572317070,0,1
1572338906,0,1
1572400876,1,0
1572438544,1,0
1572478113,1,0
1572488195,0,1
1572525625,0,1
1572559009,1,0
1572563117,0,1
1572599321,1,0
1572609397,1,0
1572645138,0,1
1572651152,1,0
1572685036,0,1
1572694829,0,1
1572715975,1,0
1572737572,0,1
1572800682,0,1
1572859262,1,0
1572900979,1,0
1572905320,1,0
1572946461,1,1
1572986686,0,1
1572992675,0,1
1573031799,0,1
1573069705,1,0
1573108896,1,0
1573116762,1,0
1573156371,0,1
1573196234,0,1
1573201242,0,1
1573399485,1,0
1573484734,0,1
1573555951,1,0
1573608514,1,0
1573642962,0,1
1573687247,1,0
1573694899,0,1
1573713871,1,0
1573716030,1,0
1573723732,1,0
1573773139,1,1
1573801477,0,1
1573803372,0,1
1573809399,0,1
1573858354,0,1
1574023270,1,0
1574110351,0,1
1574155239,1,0
1574162206,1,0
1574174447,1,0
1574190543,1,0
1574206600,1,0
1574241867,0,1
1574247906,0,1
1574260111,0,1
1574278593,0,1
1574290135,0,1
1574326864,1,0
1574389028,1,0
1574415152,0,1
1574473973,0,1
1574501553,1,0
1574586541,0,1
1574637403,1,0
1574721147,0,1
1574743953,1,0
1574814027,1,0
1574829870,1,0
1574832048,0,1
1574901623,0,1
1574916027,0,1
1574935469,1,0
1574996190,1,0
1575004128,1,0
1575021405,1,0
1575023307,0,1
1575083568,0,1
1575089534,0,1
1575105158,0,1
1575167792,1,0
1575171858,1,0
1575215797,1,0
1575254422,0,1
1575258272,0,1
1575279411,1,0
1575303177,0,1
1575364629,0,1
1575372035,1,0
1575458182,0,1
1575548438,1,0
1575573879,1,0
1575591402,1,0
1575613003,2,0
1575677105,0,2
1575688821,0,1
1575794909,1,2
1575814340,1,0
1575882353,0,1
1575899837,0,1
1575918266,1,0
1575924021,1,0
1575992433,1,0
1576006100,0,1
1576010418,0,1
1576057489,1,0
1576079333,0,1
1576142434,0,1
1576397807,1,0
1576482038,0,1
1576784410,2,0
1576797895,1,0
1576848743,1,0
1576852570,1,0
1576860271,1,0
1576872643,0,2
1576878491,1,0
1576884273,1,1
1576935632,0,1
1576939452,0,1
1576947145,0,1
1576966355,0,1
1576968276,0,1
1577010490,1,0
1577095936,0,1
1577121373,1,0
1577206096,0,1
1577669071,1,0
1577670970,1,0
1577676019,3,0
1577677937,1,0
1577679848,1,0
1577683687,1,0
1577685702,6,0
1577689620,1,0
1577691650,2,0
1577695708,1,0
1577699537,7,0
1577701463,7,0
1577707472,13,0
1577709617,1,0
1577711540,1,0
1577723296,3,0
1577725350,4,0
1577734813,1,0
1577742756,1,0
1577748548,14,0
1577750493,19,0
1577752348,1,0
1577756424,2,1
1577758339,4,0
1577760283,3,0
1577762179,0,3
1577764344,9,1
1577766279,1,1
1577770101,0,1
1577772360,4,6
1577776193,0,1
1577778067,1,2
1577781859,0,1
1577785726,3,8
1577787632,13,7
1577793399,0,13
1577795576,1,1
1577799404,1,1
1577803235,18,0
1577805408,20,0
1577811386,0,7
1577817393,1,0
1577821255,1,1
1577823150,1,0
1577827227,3,0
1577829146,0,1
1577831072,2,0
1577834969,0,10
1577837147,0,11
1577838991,0,1
1577843061,3,2
1577845014,2,3
1577846902,3,3
1577848877,4,8
1577850756,1,1
1577852698,0,1
1577856543,2,0
1577858632,0,4
1577860620,2,0
1577864413,0,1
1577868270,1,0
1577872114,1,3
1577874011,16,14
1577879816,2,0
1577881971,1,1
1577885774,0,1
1577889863,0,23
1577891784,0,26
1577895887,0,1
1577904020,0,1
1577907874,0,1
1577909806,0,1
1577913852,0,3
1577916327,0,1
1577929948,0,2
1577931851,0,4
1577933779,0,1
1577935706,0,4
1577938830,0,1
1577940734,0,1
1577942649,0,2
1577944590,1,0
1577946492,0,1
1577949623,0,1
1577953476,0,1
1577957288,0,1
1577961152,0,16
1577963104,0,1
1577966913,0,2
1577968844,0,1
1578030014,0,1
1578478134,1,0
1578483874,1,0
1578565705,0,1
1578621392,0,1
1578637040,1,0
1578722667,0,1
1578791587,1,0
1578876988,0,1
