DateTime,AddedIPs,RemovedIPs
1578003618,45,26
1578005533,42,32
1578007469,46,26
1578009369,57,27
1578011312,41,27
1578013423,42,36
1578015639,56,163
1578017781,43,345
1578019937,41,110
1578021915,38,41
1578023801,38,38
1578025695,39,35
1578027932,39,28
1578029789,53,24
1578031712,35,34
1578033618,35,28
1578035584,36,39
1578037459,31,36
1578039450,32,37
1578041318,33,40
1578043215,27,31
1578045138,32,35
1578047072,61,50
1578048985,31,74
1578050917,35,211
1578054017,44,98
1578055939,21,303
1578057905,30,150
1578059772,22,89
1578061946,38,151
1578063847,15,43
1578065773,16,47
1578067942,73,65
1578069856,35,53
1578071795,22,54
1578073713,28,46
1578075695,22,40
1578077538,35,61
1578079485,17,54
1578081377,30,49
1578083544,44,34
1578085741,37,48
1578087641,23,38
1578089553,19,48
1578091454,46,45
1578093760,51,58
1578095590,28,67
1578097699,29,54
1578099896,27,52
1578102022,25,53
1578103933,17,43
1578105879,33,44
1578108028,40,42
1578109944,27,46
1578111875,24,53
1578113791,28,35
1578115947,25,62
1578118103,32,51
1578120015,31,40
1578121961,26,35
1578123855,28,37
1578125775,33,32
1578127710,33,38
1578129767,228,29
1578131773,77,37
1578133977,33,74
1578137082,48,56
1578139021,25,35
1578141161,37,30
1578143107,63,25
1578145021,53,25
1578146940,50,26
1578148829,52,36
1578150777,45,19
1578152660,43,24
1578154601,31,70
1578156522,31,33
1578158423,33,32
1578160348,21,23
1578162280,25,27
1578164179,29,35
1578166344,34,19
1578168515,48,39
1578170439,50,31
1578172343,38,41
1578174271,35,23
1578176189,25,27
1578178346,29,46
1578180278,34,38
1578182179,47,31
1578184103,55,24
1578187228,75,39
1578189255,30,29
1578191084,24,18
1578192980,28,37
1578194916,34,29
1578197135,31,25
1578199000,28,27
1578201194,30,30
1578203068,25,23
1578204988,42,26
1578206920,50,30
1578208870,51,29
1578210739,35,20
1578212691,31,35
1578214592,37,30
1578216761,26,279
1578218758,30,33
1578220597,29,24
1578222513,33,29
1578224419,18,31
1578226389,24,28
1578228276,28,52
1578230201,27,58
1578232118,28,43
1578234100,22,52
1578235944,24,42
1578237901,21,49
1578239797,37,34
1578241963,34,35
1578244111,40,41
1578246021,24,24
1578247976,25,24
1578249885,30,31
1578251786,28,17
1578253720,34,38
1578255618,42,45
1578257539,54,52
1578259506,75,33
1578261429,41,23
1578263317,57,27
1578266204,44,35
1578268094,28,43
1578270084,20,58
1578271943,27,46
1578273856,22,37
1578275802,21,29
1578277711,15,24
1578279948,32,29
1578282021,41,35
1578283963,29,26
1578285865,38,35
1578287838,30,31
1578289722,32,22
1578291632,30,44
1578293535,23,52
1578295484,52,47
1578297391,36,35
1578299548,43,27
1578301485,32,37
1578303393,27,34
1578305318,39,32
1578307248,34,32
1578309392,35,32
1578311547,65,25
1578313495,79,26
1578315398,72,26
1578317322,44,26
1578319539,25,33
1578321638,25,24
1578323803,44,24
1578325727,33,40
1578327623,34,28
1578329788,65,35
1578331706,61,27
1578333907,63,28
1578336028,36,30
1578337947,33,29
1578339917,44,39
1578342034,45,39
1578343975,28,57
1578345870,23,71
1578347813,23,48
1578349950,34,57
1578351809,30,36
1578353798,44,25
1578355799,49,30
1578357865,50,31
1578359799,27,28
1578361726,32,20
1578363611,33,17
1578365532,60,26
1578367460,86,31
1578369386,87,30
1578371330,69,28
1578373349,41,36
1578375157,37,23
1578377127,38,31
1578378974,32,31
1578380916,38,46
1578382832,38,31
1578384742,49,32
1578386673,61,50
1578388597,35,30
1578390745,36,35
1578392688,43,31
1578394579,62,34
1578396784,87,35
1578398937,45,89
1578400823,33,68
1578402775,37,43
1578404659,45,33
1578406598,32,27
1578408524,79,20
1578410440,81,39
1578412350,56,29
1578414278,34,37
1578416191,45,54
1578418118,56,58
1578420281,37,57
1578422426,30,36
1578424389,44,31
1578426252,93,44
1578428176,50,43
1578430110,43,26
1578432256,40,24
1578434172,45,27
1578436095,112,34
1578438228,147,30
1578440193,62,40
1578442359,39,48
1578444278,33,44
1578446417,34,25
1578448333,72,33
1578450251,39,29
1578452173,34,70
1578454108,49,82
1578456108,67,71
1578457964,39,59
1578460828,39,54
1578462731,26,35
1578464674,30,39
1578466589,59,31
1578468504,56,28
1578470640,67,48
1578472576,47,54
1578474510,43,44
1578476411,40,30
1578478595,41,38
1578480539,117,55
1578482440,39,71
1578484336,36,46
1578486277,39,28
1578488186,68,31
1578490101,76,33
1578492326,198,46
1578494452,55,56
1578496375,79,77
1578498281,81,53
1578500187,76,32
1578502357,53,44
1578504289,181,45
1578506174,31,45
1578508092,35,22
1578511234,84,53
1578513144,46,92
1578515084,39,44
1578517035,155,43
1578518929,99,23
1578521123,56,59
1578523301,63,134
1578525194,211,82
1578527060,35,60
1578528981,41,23
1578530918,51,36
1578532818,42,30
1578534737,56,61
1578536680,137,39
1578538599,52,43
1578540499,49,44
1578542726,59,78
1578544647,35,37
1578546515,31,28
1578548426,132,22
1578550381,39,33
1578552262,32,36
1578554188,42,57
1578556121,62,50
1578558055,103,60
1578559951,118,38
1578561884,44,43
1578563811,33,43
1578565706,31,37
1578567901,35,120
1578569834,139,29
1578571735,46,45
1578573754,107,54
1578575798,34,81
1578577947,34,137
1578579905,25,97
1578581803,22,61
1578583715,35,72
1578585932,98,81
1578587803,30,51
1578589710,25,90
1578591864,40,144
1578593793,20,28
1578595735,20,53
1578597629,22,38
1578599600,51,49
1578601490,44,39
1578603410,43,142
1578605304,23,103
1578607500,51,52
1578609648,24,57
1578611571,30,168
1578613464,39,32
1578615617,33,41
1578617558,48,54
1578619477,31,43
1578621396,24,77
1578623324,26,121
1578626205,117,76
1578628107,119,56
1578630043,61,36
1578631934,27,33
1578633859,21,135
1578635797,24,34
1578637873,254,45
1578640846,261,63
1578642930,164,74
1578645000,135,255
1578647193,148,59
1578649006,158,39
1578651236,47,39
1578653340,189,33
1578655211,26,51
1578657317,197,147
1578659546,50,130
1578661752,212,49
1578663620,106,32
1578665962,164,30
1578667949,106,23
1578670115,266,33
1578672469,90,116
1578674418,162,38
1578676762,171,31
1578678769,114,27
1578680814,198,22
1578683075,63,27
1578684902,186,23
1578687163,39,64
1578689090,164,42
1578691004,134,23
1578692952,76,42
1578694833,176,38
1578696772,29,26
1578698699,85,21
1578700589,99,36
1578702511,33,21
1578704684,108,54
1578706577,36,28
1578708506,44,18
1578710440,131,47
1578712590,40,94
1578714772,125,123
1578716657,36,57
1578718610,77,28
1578720528,102,23
1578722671,64,21
1578724578,41,312
1578726522,38,196
1578728424,37,47
1578730349,34,246
1578732284,22,35
1578734425,39,252
1578736325,23,59
1578738287,41,92
1578740194,30,126
1578742394,27,39
1578744784,25,208
1578746664,39,45
1578748483,59,233
1578750594,64,70
1578752417,72,161
1578754358,46,99
1578756290,37,225
1578758192,28,69
1578760364,45,205
1578762509,40,62
1578764422,45,212
1578766374,41,78
1578768275,35,190
1578770180,30,35
1578772142,31,178
1578774025,46,39
1578776220,44,240
1578778100,28,73
1578780435,26,184
1578782436,38,70
1578784349,48,21
1578786292,46,152
1578788192,50,46
1578790273,74,65
1578792096,92,87
1578793936,69,28
1578795879,65,111
1578797799,68,73
1578799949,52,51
1578802112,41,126
1578804019,38,21
1578805952,27,123
1578807859,38,61
1578809804,49,54
1578811704,83,29
1578813648,78,32
1578815556,47,36
1578817486,48,29
1578819394,33,27
1578821299,32,28
1578823375,36,39
1578825397,40,37
1578827334,32,32
1578829264,26,21
1578831416,39,22
1578833552,60,53
1578835494,60,68
1578837421,87,61
1578839311,29,62
1578841602,36,56
1578843664,28,40
1578845541,7,31
1578847461,13,34
1578849667,36,45
1578851547,51,40
1578853479,60,43
1578855413,48,29
1578857554,26,39
1578859433,23,47
1578861649,49,39
1578863791,44,36
1578865945,57,28
1578867859,51,29
1578869813,44,49
1578871720,25,56
1578873984,28,52
1578875808,23,40
1578877701,48,122
1578879612,71,68
1578881589,79,78
1578883456,34,52
1578885445,32,56
1578887326,26,46
1578889218,29,41
1578891131,49,40
1578893084,37,35
1578894986,23,41
1578896901,40,57
1578900023,82,146
1578901956,21,51
1578903880,24,44
1578905792,22,36
1578907952,24,36
1578910122,31,41
1578912039,38,46
1578913958,49,29
1578915854,29,28
1578917851,17,34
1578919726,28,53
1578921660,26,64
1578923580,26,102
1578925484,18,49
1578927389,26,31
1578929333,27,32
1578932202,48,16
1578934118,30,19
1578936034,24,34
1578937953,15,57
1578939889,23,68
1578941777,43,54
1578943953,62,31
1578945970,67,20
1578947832,51,42
1578949729,39,41
1578951632,21,55
1578953999,31,60
1578955933,80,48
1578957882,47,36
1578959790,52,15
1578961704,39,27
1578964006,65,49
1578966265,64,88
1578968189,57,79
1578970122,88,31
1578972022,24,25
1578973967,24,30
1578975886,32,34
1578977799,34,48
1578979702,42,41
1578981717,56,28
1578983568,42,45
1578985730,36,47
1578987671,43,42
1578989564,36,19
1578991459,39,27
1578993392,24,23
1578995547,26,21
1578997460,39,30
1578999400,83,42
1579001299,226,43
