DateTime,Entries,UniqueIPs
1578003618,3266,3266
1578005533,3276,3276
1578007469,3296,3296
1578009369,3326,3326
1578011312,3340,3340
1578013423,3346,3346
1578015639,3239,3239
1578017781,2937,2937
1578019937,2868,2868
1578021915,2865,2865
1578023801,2865,2865
1578025695,2869,2869
1578027932,2880,2880
1578029789,2909,2909
1578031712,2910,2910
1578033618,2917,2917
1578035584,2914,2914
1578037459,2909,2909
1578039450,2904,2904
1578041318,2897,2897
1578043215,2893,2893
1578045138,2890,2890
1578047072,2901,2901
1578048985,2858,2858
1578050917,2682,2682
1578054017,2628,2628
1578055939,2346,2346
1578057905,2226,2226
1578059772,2159,2159
1578061946,2046,2046
1578063847,2018,2018
1578065773,1987,1987
1578067942,1995,1995
1578069856,1977,1977
1578071795,1945,1945
1578073713,1927,1927
1578075695,1909,1909
1578077538,1883,1883
1578079485,1846,1846
1578081377,1827,1827
1578083544,1837,1837
1578085741,1826,1826
1578087641,1811,1811
1578089553,1782,1782
1578091454,1783,1783
1578093760,1776,1776
1578095590,1737,1737
1578097699,1712,1712
1578099896,1687,1687
1578102022,1659,1659
1578103933,1633,1633
1578105879,1622,1622
1578108028,1620,1620
1578109944,1601,1601
1578111875,1572,1572
1578113791,1565,1565
1578115947,1528,1528
1578118103,1509,1509
1578120015,1500,1500
1578121961,1491,1491
1578123855,1482,1482
1578125775,1483,1483
1578127710,1478,1478
1578129767,1677,1677
1578131773,1717,1717
1578133977,1676,1676
1578137082,1668,1668
1578139021,1658,1658
1578141161,1665,1665
1578143107,1703,1703
1578145021,1731,1731
1578146940,1755,1755
1578148829,1771,1771
1578150777,1797,1797
1578152660,1816,1816
1578154601,1777,1777
1578156522,1775,1775
1578158423,1776,1776
1578160348,1774,1774
1578162280,1772,1772
1578164179,1766,1766
1578166344,1781,1781
1578168515,1790,1790
1578170439,1809,1809
1578172343,1806,1806
1578174271,1818,1818
1578176189,1816,1816
1578178346,1799,1799
1578180278,1795,1795
1578182179,1811,1811
1578184103,1842,1842
1578187228,1878,1878
1578189255,1879,1879
1578191084,1885,1885
1578192980,1876,1876
1578194916,1881,1881
1578197135,1887,1887
1578199000,1888,1888
1578201194,1888,1888
1578203068,1890,1890
1578204988,1906,1906
1578206920,1926,1926
1578208870,1948,1948
1578210739,1963,1963
1578212691,1959,1959
1578214592,1966,1966
1578216761,1713,1713
1578218758,1710,1710
1578220597,1715,1715
1578222513,1719,1719
1578224419,1706,1706
1578226389,1702,1702
1578228276,1678,1678
1578230201,1647,1647
1578232118,1632,1632
1578234100,1602,1602
1578235944,1584,1584
1578237901,1556,1556
1578239797,1559,1559
1578241963,1558,1558
1578244111,1557,1557
1578246021,1557,1557
1578247976,1558,1558
1578249885,1557,1557
1578251786,1568,1568
1578253720,1564,1564
1578255618,1561,1561
1578257539,1563,1563
1578259506,1605,1605
1578261429,1623,1623
1578263317,1653,1653
1578266204,1662,1662
1578268094,1647,1647
1578270084,1609,1609
1578271943,1590,1590
1578273856,1575,1575
1578275802,1567,1567
1578277711,1558,1558
1578279948,1561,1561
1578282021,1567,1567
1578283963,1570,1570
1578285865,1573,1573
1578287838,1572,1572
1578289722,1582,1582
1578291632,1568,1568
1578293535,1539,1539
1578295484,1544,1544
1578297391,1545,1545
1578299548,1561,1561
1578301485,1556,1556
1578303393,1549,1549
1578305318,1556,1556
1578307248,1558,1558
1578309392,1561,1561
1578311547,1601,1601
1578313495,1654,1654
1578315398,1700,1700
1578317322,1718,1718
1578319539,1710,1710
1578321638,1711,1711
1578323803,1731,1731
1578325727,1724,1724
1578327623,1730,1730
1578329788,1760,1760
1578331706,1794,1794
1578333907,1829,1829
1578336028,1835,1835
1578337947,1839,1839
1578339917,1844,1844
1578342034,1850,1850
1578343975,1821,1821
1578345870,1773,1773
1578347813,1748,1748
1578349950,1725,1725
1578351809,1719,1719
1578353798,1738,1738
1578355799,1757,1757
1578357865,1776,1776
1578359799,1775,1775
1578361726,1787,1787
1578363611,1803,1803
1578365532,1837,1837
1578367460,1892,1892
1578369386,1949,1949
1578371330,1990,1990
1578373349,1995,1995
1578375157,2009,2009
1578377127,2016,2016
1578378974,2017,2017
1578380916,2009,2009
1578382832,2016,2016
1578384742,2033,2033
1578386673,2044,2044
1578388597,2049,2049
1578390745,2050,2050
1578392688,2062,2062
1578394579,2090,2090
1578396784,2142,2142
1578398937,2098,2098
1578400823,2063,2063
1578402775,2057,2057
1578404659,2069,2069
1578406598,2074,2074
1578408524,2133,2133
