DateTime,Entries,UniqueIPs
1577911961,81,81
1577913855,78,78
1577916330,81,81
1577918207,82,82
1577920377,82,82
1577922273,83,83
1577924186,79,79
1577926109,79,79
1577929952,81,81
1577931868,79,79
1577933781,79,79
1577935710,79,79
1577937823,78,78
1577940015,77,77
1577941936,73,73
1577943876,71,71
1577945808,73,73
1577947940,75,75
1577949870,78,78
1577951771,81,81
1577953943,82,82
1577955881,83,83
1577957802,81,81
1577959941,84,84
1577961855,81,81
1577964112,80,80
1577965959,84,84
1577967885,85,85
1577969831,85,85
1577971972,85,85
1577974024,86,86
1577976025,87,87
1577977966,85,85
1577979880,87,87
1577981811,88,88
1577983732,88,88
1577985632,90,90
1577987565,90,90
1577989478,95,95
1577991393,94,94
1577993586,96,96
1577995531,98,98
1577997420,99,99
1577999305,99,99
1578001225,97,97
1578003174,96,96
1578005083,96,96
1578007232,96,96
1578009154,98,98
1578011066,99,99
1578012983,97,97
1578014902,98,98
1578017094,100,100
1578019261,102,102
1578021177,102,102
1578023060,101,101
1578025230,100,100
1578027167,98,98
1578029073,99,99
1578030973,101,101
1578032904,99,99
1578035038,101,101
1578036993,98,98
1578038895,95,95
1578040813,94,94
1578042753,94,94
1578044657,91,91
1578046591,88,88
1578048539,88,88
1578052330,83,83
1578054269,83,83
1578056172,80,80
1578058100,80,80
1578061007,80,80
1578062917,79,79
1578065059,79,79
1578066985,78,78
1578068929,77,77
1578071084,76,76
1578073003,76,76
1578074908,73,73
1578076818,70,70
1578078780,70,70
1578080658,70,70
1578082825,67,67
1578084734,68,68
1578086677,67,67
1578088591,70,70
1578090513,69,69
1578092683,69,69
1578094581,68,68
1578096533,67,67
1578098415,65,65
1578100594,65,65
1578102744,59,59
1578104655,61,61
1578106593,59,59
1578108745,62,62
1578110914,66,66
1578112820,69,69
1578114764,67,67
1578116673,64,64
1578118582,66,66
1578120520,64,64
1578122435,65,65
1578124338,69,69
1578126334,74,74
1578128180,74,74
1578130005,74,74
1578132166,78,78
1578133977,78,78
1578135848,79,79
1578137793,81,81
1578141637,81,81
1578143541,79,79
1578145700,78,78
1578147633,77,77
1578149532,77,77
1578151480,74,74
1578153372,73,73
1578157530,72,72
1578161577,70,70
1578163473,68,68
1578165623,68,68
1578167539,67,67
1578169476,69,69
1578171376,69,69
1578173324,70,70
1578175378,67,67
1578179156,66,66
1578181111,66,66
1578183179,65,65
1578185053,64,64
1578187229,63,63
1578189256,62,62
1578191085,61,61
1578192981,57,57
1578194917,55,55
1578197136,53,53
1578199013,53,53
1578201195,54,54
1578204989,50,50
1578206921,49,49
1578208871,47,47
1578210740,44,44
1578212693,40,40
1578214593,40,40
1578216762,38,38
1578218760,36,36
1578220598,35,35
1578222515,34,34
1578224420,32,32
1578226390,33,33
1578228277,34,34
1578230202,38,38
1578232120,37,37
1578234101,38,38
1578235945,38,38
1578239798,37,37
1578244112,36,36
1578249887,37,37
1578253732,40,40
1578255619,40,40
1578257541,38,38
1578259508,38,38
1578261430,39,39
1578263318,39,39
1578266205,41,41
1578268097,44,44
1578270085,44,44
1578271945,45,45
1578273857,47,47
1578275803,48,48
1578277712,47,47
1578279951,48,48
1578282023,50,50
1578283964,50,50
1578285866,49,49
1578287839,47,47
1578293536,52,52
1578295486,53,53
1578297393,54,54
1578299550,54,54
1578301487,53,53
1578303395,53,53
1578305319,56,56
1578307249,59,59
1578309394,62,62
1578311548,63,63
1578313497,63,63
1578315400,62,62
1578317324,61,61
1578321639,62,62
1578327626,62,62
1578333917,63,63
1578336029,63,63
1578339921,62,62
1578342037,61,61
1578343977,60,60
1578345872,59,59
1578347815,57,57
1578349951,60,60
1578351835,58,58
1578353799,56,56
1578355799,56,56
1578357866,58,58
1578359799,58,58
1578361728,56,56
1578363612,57,57
1578365533,57,57
1578367461,60,60
1578369386,63,63
1578371330,62,62
1578373360,61,61
1578375403,65,65
1578379217,63,63
1578381130,64,64
1578383077,67,67
1578384970,67,67
1578387137,69,69
1578389052,73,73
1578390991,73,73
1578393140,70,70
1578394997,70,70
1578396998,68,68
1578398938,67,67
1578400824,67,67
1578404660,67,67
1578406598,69,69
1578408524,69,69
1578410441,70,70
1578412351,73,73
1578414278,74,74
1578416192,75,75
1578420302,74,74
1578422427,76,76
1578424390,77,77
1578426253,77,77
1578428176,79,79
1578430111,80,80
1578432257,80,80
1578434172,82,82
1578436095,80,80
1578438251,82,82
1578440193,83,83
1578442361,84,84
1578444300,84,84
1578446418,88,88
1578448334,91,91
1578450252,90,90
1578452173,90,90
1578454110,85,85
1578456147,82,82
1578457965,85,85
1578460829,86,86
1578462732,87,87
1578464675,87,87
1578466590,87,87
1578468504,85,85
1578470672,85,85
1578472577,85,85
1578474510,86,86
1578476412,86,86
1578478596,85,85
1578482441,86,86
1578484337,85,85
1578486278,85,85
1578488187,90,90
1578492357,88,88
1578494453,87,87
1578496376,86,86
1578498282,84,84
1578500188,84,84
1578502358,83,83
1578508093,84,84
1578510078,82,82
1578511939,80,80
1578514106,79,79
1578516034,78,78
1578517946,79,79
1578519867,79,79
1578521786,77,77
1578523720,77,77
1578525612,81,81
1578527551,80,80
1578529470,80,80
1578531371,78,78
1578533550,73,73
1578535728,71,71
1578537611,69,69
1578539549,68,68
1578541454,71,71
1578543640,69,69
1578545497,66,66
1578547480,66,66
1578549369,64,64
1578551538,62,62
1578553705,61,61
1578555622,61,61
1578557577,60,60
1578559464,59,59
1578561392,59,59
1578563317,58,58
1578565216,59,59
1578567142,61,61
1578569085,61,61
1578570983,61,61
1578572923,60,60
1578575095,58,58
1578577216,58,58
1578579166,57,57
1578581053,57,57
1578582978,56,56
1578586823,55,55
1578590709,58,58
1578594744,57,57
1578598818,56,56
1578601004,55,55
1578602900,57,57
1578604859,56,56
1578606735,55,55
1578608659,53,53
1578610596,50,50
1578612752,48,48
1578614783,49,49
1578616663,50,50
1578618506,51,51
1578620659,53,53
1578622607,54,54
1578624497,57,57
1578626426,56,56
1578628366,57,57
1578632205,58,58
1578634095,57,57
1578637041,63,63
1578638989,63,63
1578640848,62,62
1578643003,61,61
1578645004,59,59
1578647199,60,60
1578649007,63,63
1578651237,62,62
1578653344,63,63
1578655213,63,63
