DateTime,AddedIPs,RemovedIPs
1576683616,1,0
1576695130,1,1
1576697075,1,0
1576704516,1,2
1576706728,0,1
1576708585,1,0
1576712660,0,1
1576714826,1,2
1576716739,1,0
1576718676,1,0
1576724745,1,1
1576732369,1,1
1576741959,0,1
1576745786,0,1
1576747959,0,1
1576752022,0,1
1576757820,1,0
1576763559,0,1
1576765457,0,1
1576767406,1,0
1576769549,1,1
1576777958,1,0
1576781785,0,1
1576783725,0,1
1576787802,1,0
1576791684,0,1
1576793551,1,0
1576795477,0,1
1576799540,0,1
1576803390,0,1
1576805317,1,1
1576809372,1,0
1576811336,1,1
1576815142,1,0
1576817088,1,0
1576819259,0,1
1576838653,1,0
1576844409,0,1
1576848251,1,0
1576851401,1,0
1576853296,0,1
1576855215,0,1
1576857138,1,0
1576864935,0,1
1576868935,1,0
1576872645,0,1
1576878494,1,0
1576880431,1,1
1576884275,1,0
1576886207,2,0
1576892201,0,1
1576894098,1,0
1576896018,0,1
1576897963,0,1
1576902039,0,2
1576925545,1,1
1576927462,1,0
1576933490,0,1
1576935634,1,1
1576937574,1,0
1576939455,1,0
1576941374,2,0
1576943315,0,1
1576957013,0,1
1576964668,0,1
1576966574,1,1
1576970434,0,1
1576972346,0,2
1576974278,1,0
1576976182,1,0
1576978115,1,0
1576980102,0,1
1576983917,1,0
1576985786,1,0
1576991801,1,0
1577007376,1,0
1577011226,0,1
1577013151,0,1
1577015092,1,0
1577021065,1,1
1577025162,0,2
1577027324,0,1
1577029298,0,1
1577038854,1,0
1577052743,0,1
1577056605,1,0
1577060445,0,1
1577062394,0,1
1577064267,1,1
1577070314,0,1
1577072426,0,1
1577078183,1,1
1577094284,0,1
1577100255,0,1
1577107236,1,1
1577124530,0,1
1577128353,1,0
1577140116,1,0
1577143003,0,1
1577148784,1,0
1577150660,0,1
1577157170,1,0
1577161251,2,0
1577163138,0,1
1577177054,1,0
1577178977,1,0
1577182819,1,0
1577184737,1,0
1577192912,0,1
1577196755,1,0
1577202514,1,0
1577206344,1,0
1577212093,1,0
1577215955,0,1
1577221811,1,0
1577223643,1,0
1577227707,1,1
1577231531,1,0
1577235372,0,1
1577243322,0,1
1577249054,0,2
1577258660,1,0
1577262495,0,1
1577264715,1,1
1577266837,1,0
1577268991,1,1
1577271141,0,1
1577276914,1,0
1577283142,0,1
1577285077,1,0
1577287002,1,0
1577289155,0,1
1577291093,1,0
1577292979,0,1
1577297096,0,1
1577299005,1,0
1577302831,2,0
1577308937,1,2
1577310775,1,0
1577314602,2,1
1577316508,0,1
1577344131,0,1
1577350357,0,1
1577352304,0,1
1577354224,1,1
1577362365,0,1
1577364268,2,0
1577371961,0,1
1577373873,0,1
1577377957,0,1
1577383964,1,1
1577389734,0,2
1577395465,2,1
1577397386,0,1
1577401476,0,2
1577403372,1,0
1577409398,1,0
1577420896,1,0
1577436990,1,0
1577438893,0,1
1577443944,1,0
1577445857,1,0
1577449951,0,1
1577451921,0,1
1577453801,1,0
1577459822,1,0
1577469380,1,0
1577471561,1,1
1577473492,1,0
1577481151,0,2
1577488828,1,1
1577494585,1,1
1577504421,1,0
1577508263,1,1
1577524618,0,1
1577530334,0,1
1577532253,1,1
1577534754,1,0
1577538550,1,0
1577540437,0,1
1577546425,0,1
1577548352,1,0
1577556287,0,1
1577558435,0,2
1577560347,1,0
1577566338,1,0
1577574254,1,1
1577578116,1,0
1577581955,0,1
1577585796,1,0
1577587691,1,0
1577591558,0,1
1577593477,1,1
1577605214,1,0
1577618890,2,1
1577620903,1,1
1577624682,0,1
1577634533,2,0
1577636487,0,1
1577642179,2,0
1577644359,1,0
1577646245,0,1
1577652023,0,1
1577659962,1,0
1577661886,1,1
1577663798,1,1
1577672032,0,1
1577673878,0,1
1577679638,0,1
1577685406,1,0
1577691654,0,1
1577703426,1,0
1577705299,0,2
1577707487,0,1
1577719457,0,1
1577721393,0,1
1577723302,2,0
1577727643,0,1
1577729570,0,2
1577735309,1,0
1577737226,1,0
1577745160,0,1
1577749279,0,1
1577751135,0,1
1577754980,1,0
1577759069,1,0
1577768909,1,0
1577770820,0,1
1577780417,1,0
1577784273,1,0
1577790223,0,1
1577792421,1,0
1577798437,1,0
1577800334,1,0
1577806369,1,0
1577808269,0,1
1577810254,1,1
1577820027,1,0
1577821933,0,1
1577823858,0,1
1577825781,1,0
1577827690,1,0
1577829715,2,0
1577841623,0,1
1577845468,0,1
1577855117,0,1
1577861075,3,0
1577866813,0,1
1577870704,0,1
1577877397,1,0
1577879416,0,1
1577885055,0,1
1577886974,0,1
1577892972,1,1
1577896812,0,1
1577900688,1,0
1577904493,1,0
1577906449,0,1
1577908358,1,0
1577912625,0,2
1577914818,0,2
1577922733,1,0
1577945087,2,0
1577947219,0,2
1577949170,0,1
1577958765,1,0
1577964508,1,1
1577966680,1,0
1577968581,2,0
1577974366,1,0
1577978185,0,1
1577980346,1,0
1577986103,0,1
1577988228,1,0
1577990179,1,0
1577992122,0,1
1577994024,0,1
1577995965,1,0
1578005534,1,0
1578009370,0,1
1578015640,1,0
1578025696,1,0
1578029791,0,2
1578045139,0,1
1578048987,1,0
1578050920,0,1
1578052984,0,1
1578054990,0,2
1578056893,1,0
1578061009,0,1
1578065082,1,0
1578066985,0,1
1578073004,2,0
1578074910,0,1
1578076819,1,1
1578078781,1,0
1578082827,0,1
1578090514,0,1
1578102745,0,1
1578106594,1,0
1578110915,0,1
1578116673,1,0
1578122436,1,0
1578124338,1,0
1578133216,1,0
1578135156,1,1
1578139024,2,0
1578141163,2,0
1578143111,1,1
1578148831,1,0
1578150778,1,1
1578158424,0,1
1578160350,1,1
1578164180,0,2
1578172345,1,0
1578184104,1,0
1578191098,0,1
1578194918,1,0
1578203070,0,1
1578208871,0,1
1578210740,1,1
1578218761,1,1
1578222517,0,1
1578224421,0,1
1578226391,0,1
1578228278,0,2
1578230203,0,1
1578234102,2,1
1578235946,1,1
1578239799,1,0
1578246023,0,1
1578257541,0,1
1578259509,2,0
1578263319,1,0
1578268097,1,0
1578270086,1,1
1578271945,1,0
1578282024,0,1
1578297394,0,1
1578301488,1,0
1578303418,1,1
1578305320,1,0
1578313497,1,0
1578317324,1,0
1578321640,1,2
1578323806,0,1
1578325731,1,1
1578331709,1,0
1578336030,1,0
1578345873,0,2
1578347816,1,0
1578349953,0,1
1578353799,0,1
1578355800,0,1
1578357867,0,1
