DateTime,AddedIPs,RemovedIPs
1578007233,53,74
1578009154,35,79
1578011068,35,81
1578012984,62,71
1578014903,58,59
1578017097,54,68
1578019261,32,111
1578021178,30,75
1578023060,53,71
1578025231,48,57
1578027168,37,68
1578029074,36,49
1578030975,26,67
1578032909,38,61
1578035085,61,67
1578036993,44,68
1578038896,61,64
1578040813,53,58
1578042754,45,66
1578044658,57,87
1578046591,55,37
1578048539,54,56
1578050412,35,40
1578052331,45,35
1578054270,50,48
1578056173,54,39
1578058101,41,21
1578061010,84,54
1578062918,43,30
1578065082,42,51
1578066986,56,24
1578068932,66,55
1578071086,87,65
1578073004,56,43
1578074911,45,51
1578076819,223,29
1578078781,51,29
1578080659,92,47
1578082829,152,60
1578084735,133,52
1578086679,126,35
1578088592,149,33
1578090514,115,44
1578092743,301,66
1578094582,125,36
1578096534,140,36
1578098416,137,43
1578100595,157,65
1578102746,177,46
1578104672,217,40
1578106595,128,34
1578108748,154,45
1578110916,227,34
1578112822,275,28
1578114765,158,24
1578116674,172,15
1578118584,154,39
1578120521,159,56
1578122437,115,39
1578124339,134,49
1578126339,159,75
1578128184,165,40
1578130009,155,38
1578132194,169,53
1578134458,187,55
1578136610,143,39
1578138572,111,30
1578140459,109,28
1578142380,117,48
1578144269,122,37
1578146725,151,52
1578148832,147,50
1578150779,113,37
1578152662,134,39
1578154603,111,55
1578156524,104,65
1578158425,72,52
1578160350,89,37
1578162282,191,149
1578164180,48,69
1578166347,47,66
1578168517,50,98
1578170441,49,114
1578172345,51,70
1578174273,67,114
1578176192,64,73
1578178348,68,239
1578180282,87,112
1578182181,105,90
1578184104,117,114
1578187230,201,163
1578189257,154,142
1578191098,296,188
1578192982,150,115
1578194918,82,111
1578197138,89,157
1578199015,99,258
1578201196,107,174
1578203070,114,152
1578204990,79,132
1578206925,89,129
1578208872,82,108
1578210741,92,131
1578212694,69,154
1578214594,82,154
1578216763,95,187
1578218761,90,151
1578220599,68,151
1578222518,95,142
1578224422,94,114
1578226391,63,117
1578228278,58,106
1578230204,76,122
1578232121,61,129
1578234103,215,154
1578235946,59,123
1578237903,46,127
1578239800,33,136
1578241965,98,137
1578244113,60,116
1578246024,35,60
1578247993,166,244
1578249888,118,59
1578251788,62,57
1578253733,96,56
1578255621,63,49
1578257542,37,49
1578259509,40,69
1578261432,40,72
1578263319,85,66
1578266206,64,138
1578268098,23,132
1578270086,223,140
1578271946,50,138
1578273858,25,148
1578275804,41,168
1578277714,54,360
1578279953,58,175
1578282024,40,89
1578283965,48,82
1578285867,36,122
