DateTime,Entries,UniqueIPs
1578007233,2841,2841
1578009154,2797,2797
1578011068,2751,2751
1578012984,2742,2742
1578014903,2741,2741
1578017097,2727,2727
1578019261,2648,2648
1578021178,2603,2603
1578023060,2585,2585
1578025231,2576,2576
1578027168,2545,2545
1578029074,2532,2532
1578030975,2491,2491
1578032909,2468,2468
1578035085,2462,2462
1578036993,2438,2438
1578038896,2435,2435
1578040813,2430,2430
1578042754,2409,2409
1578044658,2379,2379
1578046591,2397,2397
1578048539,2395,2395
1578050412,2390,2390
1578052331,2400,2400
1578054270,2402,2402
1578056173,2417,2417
1578058101,2437,2437
1578061010,2467,2467
1578062918,2480,2480
1578065082,2471,2471
1578066986,2503,2503
1578068932,2514,2514
1578071086,2536,2536
1578073004,2549,2549
1578074911,2543,2543
1578076819,2737,2737
1578078781,2759,2759
1578080659,2804,2804
1578082829,2896,2896
1578084735,2977,2977
1578086679,3068,3068
1578088592,3184,3184
1578090514,3255,3255
1578092743,3490,3490
1578094582,3579,3579
1578096534,3683,3683
1578098416,3777,3777
1578100595,3869,3869
1578102746,4000,4000
1578104672,4177,4177
1578106595,4271,4271
1578108748,4380,4380
1578110916,4573,4573
1578112822,4820,4820
1578114765,4954,4954
1578116674,5111,5111
1578118584,5226,5226
1578120521,5329,5329
1578122437,5405,5405
1578124339,5490,5490
1578126339,5574,5574
1578128184,5699,5699
1578130009,5816,5816
1578132194,5932,5932
1578134458,6064,6064
1578136610,6168,6168
1578138572,6249,6249
1578140459,6330,6330
1578142380,6399,6399
1578144269,6484,6484
1578146725,6583,6583
1578148832,6680,6680
1578150779,6756,6756
1578152662,6851,6851
1578154603,6907,6907
1578156524,6946,6946
1578158425,6966,6966
1578160350,7018,7018
1578162282,7060,7060
1578164180,7039,7039
1578166347,7020,7020
1578168517,6972,6972
1578170441,6907,6907
1578172345,6888,6888
1578174273,6841,6841
1578176192,6832,6832
1578178348,6661,6661
1578180282,6636,6636
1578182181,6651,6651
1578184104,6654,6654
1578187230,6692,6692
1578189257,6704,6704
1578191098,6812,6812
1578192982,6847,6847
1578194918,6818,6818
1578197138,6750,6750
1578199015,6591,6591
1578201196,6524,6524
1578203070,6486,6486
1578204990,6433,6433
1578206925,6393,6393
1578208872,6367,6367
1578210741,6328,6328
1578212694,6243,6243
1578214594,6171,6171
1578216763,6079,6079
1578218761,6018,6018
1578220599,5935,5935
1578222518,5888,5888
1578224422,5868,5868
1578226391,5814,5814
1578228278,5766,5766
1578230204,5720,5720
1578232121,5652,5652
1578234103,5713,5713
