DateTime,AddedIPs,RemovedIPs
1578007235,18,9
1578009155,19,14
1578011069,22,12
1578012985,15,10
1578014904,22,7
1578017101,28,8
1578019263,22,7
1578021180,25,10
1578023062,22,16
1578025232,28,12
1578027170,14,10
1578029075,10,12
1578030976,7,14
1578032910,5,6
1578035130,3,10
1578036995,5,10
1578038897,9,15
1578040814,44,16
1578042756,5,12
1578044660,8,9
1578046592,9,8
1578048541,18,6
1578050413,12,9
1578052332,5,8
1578054271,6,9
1578056174,8,13
1578058102,2,14
1578061011,9,16
1578062919,7,11
1578065084,4,8
1578066987,7,19
1578068933,12,22
1578071087,3,22
1578073005,7,15
1578074913,11,18
1578076820,13,10
1578078783,4,17
1578080661,9,14
1578082830,2,16
1578084772,7,11
1578086680,6,9
1578088593,8,11
1578090516,19,12
1578092770,14,24
1578094583,11,20
1578096536,1,26
1578098417,4,16
1578100596,10,20
1578102747,21,33
1578104673,4,19
1578106596,4,32
1578108750,3,24
1578110917,10,35
1578112824,27,19
1578114767,16,12
1578116675,6,8
1578118585,5,8
1578120522,6,6
1578122438,15,5
1578124340,18,4
1578126341,21,46
1578128185,10,2
1578130011,7,7
1578132261,6,6
1578134460,10,27
1578136611,4,13
1578138574,4,7
1578140461,1,5
1578142382,3,11
1578144271,4,1
1578146729,16,9
1578148834,20,8
1578150780,9,4
1578152663,5,3
1578154604,4,18
1578156525,3,2
1578158426,6,5
1578160351,5,7
1578162283,6,14
1578164182,1,6
1578166349,8,8
1578168519,7,4
1578170442,17,2
1578172346,25,10
1578174274,17,7
1578176193,8,9
1578178350,5,18
1578180284,8,9
1578182182,10,3
1578184106,19,2
1578187231,17,13
1578189258,4,12
1578191121,1,5
1578192983,4,4
1578194919,4,2
1578197139,7,6
1578199016,5,28
1578201197,6,19
1578203071,7,6
1578204991,14,6
1578206926,17,6
1578208873,8,15
1578210742,5,21
1578212696,4,22
1578214595,18,8
1578216764,15,8
1578218762,8,8
1578220601,8,6
1578222520,4,7
1578224423,5,1
1578226392,20,3
1578228280,12,3
1578230206,11,5
1578232122,4,7
1578234104,5,21
1578235947,12,17
1578237905,15,7
1578239801,14,3
1578241966,19,8
1578244114,7,5
1578246025,5,6
1578247997,8,6
