DateTime,Entries,UniqueIPs
1577931869,48,48
1577933783,48,48
1577935712,48,48
1577937893,50,50
1577940018,49,49
1577941938,48,48
1577943878,47,47
1577945810,46,46
1577947941,43,43
1577949872,43,43
1577951774,44,44
1577953945,45,45
1577957804,44,44
1577961858,43,43
1577964116,42,42
1577965961,42,42
1577967888,40,40
1577969833,41,41
1577971976,41,41
1577974039,42,42
1577976028,41,41
1577977968,41,41
1577979882,43,43
1577981813,44,44
1577983734,47,47
1577985634,48,48
1577989481,51,51
1577991395,54,54
1577993589,56,56
1577995534,55,55
1577997444,53,53
1577999307,53,53
1578001237,54,54
1578003176,56,56
1578005085,57,57
1578009156,59,59
1578012986,56,56
1578017103,57,57
1578019263,57,57
1578021181,54,54
1578023062,55,55
1578025232,55,55
1578027170,56,56
1578030976,55,55
1578035133,55,55
1578036995,53,53
1578038897,53,53
1578040815,53,53
1578042756,53,53
1578044660,54,54
1578048541,55,55
1578050414,55,55
1578052332,57,57
1578054271,61,61
1578056174,60,60
1578058102,61,61
1578061012,60,60
1578062920,61,61
1578065084,60,60
1578066987,60,60
1578068934,59,59
1578071087,60,60
1578073006,61,61
1578074913,58,58
1578076821,58,58
1578078783,59,59
1578080661,59,59
1578084772,60,60
1578086681,63,63
1578088593,63,63
1578090516,60,60
1578092771,61,61
1578094583,62,62
1578096536,62,62
1578100596,63,63
1578102747,68,68
1578104673,67,67
1578106596,70,70
1578108750,70,70
1578110917,70,70
1578112824,70,70
1578114767,72,72
1578116675,74,74
1578118585,77,77
1578120523,79,79
1578122439,78,78
1578124340,80,80
1578126341,79,79
1578128186,77,77
1578132272,77,77
1578134460,79,79
1578136611,81,81
1578138575,81,81
1578140461,83,83
1578142383,83,83
1578144271,82,82
1578146729,83,83
1578148834,84,84
1578150780,85,85
1578152663,87,87
1578154604,85,85
1578156526,86,86
1578158426,86,86
1578160352,86,86
1578162284,85,85
1578164182,83,83
1578166349,81,81
1578168519,80,80
1578170443,82,82
1578172346,79,79
1578174274,78,78
1578176193,79,79
1578178350,80,80
1578180284,79,79
1578182182,79,79
1578184106,80,80
1578187232,83,83
1578189258,80,80
1578191122,78,78
1578192984,77,77
1578194920,77,77
1578197139,76,76
1578199016,76,76
1578201197,77,77
1578203072,75,75
1578204992,73,73
1578206926,71,71
1578208873,71,71
1578210742,68,68
1578212696,68,68
1578218763,70,70
1578220601,68,68
1578222520,67,67
1578224423,64,64
1578226393,63,63
1578228280,63,63
