DateTime,Entries,UniqueIPs
1567904207,21953,21953
1567926132,21951,21951
1567948134,22005,22005
1567970190,22005,22005
1567992053,22024,22024
1568014103,21907,21907
1568035965,22035,22035
1568058298,22040,22040
1568080341,22044,22044
1568113507,22043,22043
1568135551,21079,21079
1568157623,20995,20995
1568179692,20997,20997
1568201552,20987,20987
1568223583,20996,20996
1568245502,20991,20991
1568267556,20986,20986
1568289708,20999,20999
1568311728,14259,14259
1568333816,7114,7114
1568356638,7126,7126
1568378480,7134,7134
1568400497,7137,7137
1568422586,7152,7152
1568444592,7151,7151
1568466606,7147,7147
1568488614,7154,7154
1568510672,7156,7156
1568532545,7158,7158
1568554399,7159,7159
1568576468,7246,7246
1568598500,7236,7236
1568620360,7228,7228
1568642544,7233,7233
1568664783,7238,7238
1568686837,7231,7231
1568708683,8157,8157
1568730865,8203,8203
1568752817,8353,8353
1568774668,8359,8359
1568796533,8353,8353
1568818592,8348,8348
1568840656,8347,8347
1568862770,8360,8360
1568884827,8361,8361
1568906703,8960,8960
1568928796,9717,9717
1568950817,9709,9709
1568972685,9706,9706
1568994530,9696,9696
1569016387,17316,17316
1569038589,31044,31044
1569060546,32488,32488
1569082832,32491,32491
1569104694,34512,34512
1569126761,34508,34508
1569148860,34509,34509
1569170928,34507,34507
1569193009,34850,34850
1569215006,34742,34742
1569236918,34854,34854
1569258996,34854,34854
1569281126,34848,34848
1569303165,34839,34839
1569325028,34003,34003
1569347081,33916,33916
1569369153,33896,33896
1569391431,33895,33895
1569413465,33884,33884
1569435629,33872,33872
1569457477,33857,33857
1569479658,33853,33853
1569501638,33844,33844
1569523724,33032,33032
1569546153,33028,33028
1569568110,33032,33032
1569589969,33032,33032
1569612031,32058,32058
1569633877,18079,18079
1569655941,11691,11691
1569678021,11690,11690
1569699874,9948,9948
1569721717,8159,8159
1569743769,8159,8159
1569765818,8165,8165
1569787989,7078,7078
1569810041,7062,7062
1569832106,7050,7050
1569853976,7068,7068
1569876024,7067,7067
1569898121,7072,7072
1569920191,7074,7074
1569942216,7072,7072
1569964368,8438,8438
1569986438,8430,8430
1570008291,8425,8425
1570030361,8431,8431
1570052432,8294,8294
1570074514,8291,8291
1570107926,8310,8310
1570129978,8301,8301
1570152039,8286,8286
1570174117,8288,8288
1570196195,8290,8290
1570218042,8292,8292
1570240092,8283,8283
1570261957,8277,8277
1570283804,8286,8286
1570305752,8421,8421
1570327710,8421,8421
1570349589,8489,8489
1570371660,8573,8573
1570393694,8618,8618
1570415601,8619,8619
1570437643,8362,8362
1570459735,8858,8858
1570481799,8869,8869
1570503711,8870,8870
1570525703,8867,8867
1570547672,8548,8548
1570569809,7430,7430
1570592325,7427,7427
1570614501,7421,7421
1570636574,7415,7415
1570669527,7412,7412
1570691797,7403,7403
1570713877,7387,7387
1570735959,7392,7392
1570758034,7386,7386
1570780133,7439,7439
1570802686,18863,18863
1570824540,18859,18859
1570846756,18858,18858
1570868685,18861,18861
1570890819,18939,18939
1570912838,18877,18877
1570934909,18873,18873
1570956760,18837,18837
1570979021,18779,18779
