DateTime,AddedIPs,RemovedIPs
1578009159,77,81
1578011074,62,53
1578012990,53,62
1578014908,62,63
1578017142,75,88
1578019276,63,74
1578021192,62,52
1578023066,63,63
1578025244,52,83
1578027174,59,54
1578029079,63,61
1578030980,79,53
1578032957,76,61
1578035154,55,76
1578036999,58,61
1578038910,58,57
1578040818,62,60
1578042760,54,57
1578044665,66,50
1578046596,65,57
1578048545,52,63
1578050417,51,49
1578052344,57,70
1578054275,59,2588
1578056178,60,1597
1578058105,131,2906
1578061048,138,3888
1578062922,67,3746
1578065085,75,3239
1578066989,76,3022
1578068935,80,946
1578071089,121,78
1578073007,75,55
1578074915,80,87
1578076822,71,62
1578078785,84,70
1578080663,82,58
1578082833,68,98
1578084773,76,68
1578086683,73,78
1578088595,92,78
1578090517,68,73
1578092773,97,72
1578094585,84,76
1578096538,73,70
1578098419,93,71
1578100598,85,83
1578102749,71,82
1578104675,79,59
1578106597,65,82
1578108752,68,78
1578110919,77,75
1578112826,73,55
1578114768,71,80
1578116677,76,75
1578118587,66,93
1578120524,98,51
1578122440,61,56
1578124342,62,60
1578126344,75,82
1578128188,76,66
1578130014,65,78
1578132314,75,102
1578134463,63,70
1578136613,65,62
1578138576,66,79
1578140464,69,63
1578142385,69,64
1578144273,66,96
1578146732,110,111
1578148836,49,65
1578150782,71,75
1578152664,83,67
1578154606,61,76
1578156527,62,129
1578158428,63,118
1578160353,78,65
1578162285,72,69
1578164183,76,70
1578166351,79,113
1578168520,95,64
1578170444,78,71
1578172348,151,54
1578174276,74,69
1578176195,77,64
1578178352,88,76
1578180287,81,67
1578182184,70,84
1578184107,94,82
1578187233,134,107
1578189260,69,80
1578191123,78,70
1578192985,64,60
1578194921,89,56
1578197141,82,70
1578199017,73,69
1578201200,64,69
1578203074,66,76
1578204994,64,56
1578206929,69,79
1578208876,63,59
1578210745,81,60
1578212698,67,59
1578214600,59,91
1578216776,58,84
1578218766,61,75
1578220603,61,55
1578222523,60,74
1578224425,58,78
1578226396,56,49
1578228282,55,75
1578230211,65,68
1578232125,81,73
1578234106,79,65
1578235950,53,67
1578237938,53,72
1578239803,49,68
1578241968,58,72
1578244117,75,81
1578246051,61,71
1578248000,62,75
1578249892,74,73
1578251791,56,59
1578253737,57,85
1578255624,49,63
1578257545,58,236
1578259512,63,78
