DateTime,Entries,UniqueIPs
1578009159,26276,26276
1578011074,26285,26285
1578012990,26276,26276
1578014908,26275,26275
1578017142,26262,26262
1578019276,26251,26251
1578021192,26261,26261
1578023066,26261,26261
1578025244,26230,26230
1578027174,26235,26235
1578029079,26237,26237
1578030980,26263,26263
1578032957,26278,26278
1578035154,26257,26257
1578036999,26254,26254
1578038910,26255,26255
1578040818,26257,26257
1578042760,26254,26254
1578044665,26270,26270
1578046596,26278,26278
1578048545,26267,26267
1578050417,26269,26269
1578052344,26256,26256
1578054275,23727,23727
1578056178,22190,22190
1578058105,19415,19415
1578061048,15665,15665
1578062922,11986,11986
1578065085,8822,8822
1578066989,5876,5876
1578068935,5010,5010
1578071089,5053,5053
1578073007,5073,5073
1578074915,5066,5066
1578076822,5075,5075
1578078785,5089,5089
1578080663,5113,5113
1578082833,5083,5083
1578084773,5091,5091
1578086683,5086,5086
1578088595,5100,5100
1578090517,5095,5095
1578092773,5120,5120
1578094585,5128,5128
1578096538,5131,5131
1578098419,5153,5153
1578100598,5155,5155
1578102749,5144,5144
1578104675,5164,5164
1578106597,5147,5147
1578108752,5137,5137
1578110919,5139,5139
1578112826,5157,5157
1578114768,5148,5148
1578116677,5149,5149
1578118587,5122,5122
1578120524,5169,5169
1578122440,5174,5174
1578124342,5176,5176
1578126344,5169,5169
1578128188,5179,5179
1578130014,5166,5166
1578132314,5139,5139
1578134463,5132,5132
1578136613,5135,5135
1578138576,5122,5122
1578140464,5128,5128
1578142385,5133,5133
1578144273,5103,5103
1578146732,5102,5102
1578148836,5086,5086
1578150782,5082,5082
1578152664,5098,5098
1578154606,5083,5083
1578156527,5016,5016
1578158428,4961,4961
1578160353,4974,4974
1578162285,4977,4977
1578164183,4983,4983
1578166351,4949,4949
1578168520,4980,4980
1578170444,4987,4987
1578172348,5084,5084
1578174276,5089,5089
1578176195,5102,5102
1578178352,5114,5114
1578180287,5128,5128
1578182184,5114,5114
1578184107,5126,5126
1578187233,5153,5153
1578189260,5142,5142
1578191123,5150,5150
1578192985,5154,5154
1578194921,5187,5187
1578197141,5199,5199
1578199017,5203,5203
1578201200,5198,5198
1578203074,5188,5188
1578204994,5196,5196
1578206929,5186,5186
1578208876,5190,5190
1578210745,5211,5211
1578212698,5219,5219
1578214600,5187,5187
1578216776,5161,5161
1578218766,5147,5147
1578220603,5153,5153
1578222523,5139,5139
1578224425,5119,5119
1578226396,5126,5126
1578228282,5106,5106
1578230211,5103,5103
1578232125,5111,5111
1578234106,5125,5125
1578235950,5111,5111
1578237938,5092,5092
1578239803,5073,5073
1578241968,5059,5059
1578244117,5053,5053
1578246051,5043,5043
1578248000,5030,5030
1578249892,5031,5031
1578251791,5028,5028
1578253737,5000,5000
1578255624,4986,4986
1578257545,4808,4808
1578259512,4793,4793
1578261435,4775,4775
1578263322,4777,4777
1578266209,4770,4770
1578268100,4754,4754
1578270089,4716,4716
1578271948,4675,4675
1578273861,4670,4670
1578275808,4666,4666
1578277717,4647,4647
1578279956,4622,4622
1578282027,4628,4628
1578283968,4610,4610
1578285870,4611,4611
1578287844,4630,4630
1578289728,4637,4637
1578291638,4646,4646
1578293541,4603,4603
1578295491,4606,4606
1578297399,4596,4596
1578299555,4599,4599
1578301493,4584,4584
1578303423,4595,4595
1578305325,4720,4720
1578307255,4716,4716
1578309400,4724,4724
1578311554,4709,4709
1578313502,4739,4739
1578315409,4734,4734
1578317329,4751,4751
1578319557,4786,4786
1578321646,4779,4779
1578323823,4747,4747
1578325757,4714,4714
1578327638,4720,4720
1578329820,4729,4729
1578331717,4730,4730
1578333927,4684,4684
1578336037,4682,4682
1578337962,4670,4670
1578339933,4735,4735
1578342042,4776,4776
1578343992,4821,4821
1578345877,4852,4852
1578347821,4856,4856
1578349957,4862,4862
1578351953,4875,4875
1578353804,4900,4900
1578355806,4920,4920
1578357871,4926,4926
1578359805,4933,4933
1578361733,4939,4939
1578363618,5121,5121
1578365538,5151,5151
1578367466,5160,5160
1578369391,5166,5166
1578371344,5159,5159
1578373524,5155,5155
1578375409,5172,5172
1578377317,5187,5187
1578379245,5204,5204
1578381137,5225,5225
1578383082,6223,6223
1578384977,10254,10254
1578387144,15360,15360
1578389066,18750,18750
1578390997,22068,22068
1578393149,25211,25211
1578395123,28123,28123
1578397007,31016,31016
1578398955,33488,33488
1578400830,36450,36450
1578402782,37500,37500
1578404667,37493,37493
1578406614,37490,37490
1578408532,37485,37485
1578410448,37522,37522
1578412366,37563,37563
1578414285,37552,37552
1578416199,37583,37583
1578418125,37584,37584
1578420332,37620,37620
1578422433,37648,37648
1578424430,37696,37696
1578426261,37677,37677
1578428197,37690,37690
1578430118,37690,37690
1578432301,37673,37673
1578434180,37666,37666
1578436103,37635,37635
1578438374,37643,37643
1578440199,37656,37656
1578442368,37633,37633
1578444332,37618,37618
1578446425,37621,37621
1578448341,37611,37611
1578450259,37633,37633
1578452180,37622,37622
1578454119,37626,37626
1578456303,37624,37624
1578458176,37616,37616
1578460117,37628,37628
1578462031,37628,37628
1578463979,37610,37610
1578465859,37606,37606
1578468056,37578,37578
1578469980,35285,35285
1578471859,31413,31413
1578473808,27038,27038
1578475700,25349,25349
1578477879,22427,22427
1578480021,18695,18695
1578481945,16165,16165
1578483878,13094,13094
1578485798,10626,10626
1578487726,7684,7684
1578489627,7353,7353
1578491601,7364,7364
1578493504,7368,7368
1578495390,7374,7374
1578497304,7368,7368
1578499532,7390,7390
1578501647,9094,9094
1578503640,9522,9522
1578505477,9530,9530
1578507397,9521,9521
1578509321,9528,9528
1578511241,9522,9522
1578513151,9523,9523
1578515089,9525,9525
1578517099,9520,9520
1578518936,9546,9546
1578521130,9574,9574
1578523312,9634,9634
1578525209,9625,9625
1578527066,9620,9620
1578528987,9624,9624
1578530923,9629,9629
1578532824,9647,9647
1578534757,9648,9648
1578536686,9675,9675
1578538606,9685,9685
1578540505,9678,9678
1578542736,9676,9676
1578544674,9682,9682
1578546523,9689,9689
1578548433,9689,9689
1578550406,9689,9689
1578552269,9693,9693
1578554246,9696,9696
1578556128,9692,9692
1578558071,9677,9677
1578559968,9675,9675
1578561892,8080,8080
1578563819,7316,7316
1578565714,7365,7365
1578567947,7401,7401
1578569841,7437,7437
1578571740,7467,7467
1578573761,7487,7487
1578575806,7641,7641
1578577953,7632,7632
1578579914,7632,7632
1578581810,7645,7645
1578583721,7641,7641
1578585954,7585,7585
1578587824,6033,6033
1578589716,5450,5450
1578591871,5431,5431
1578593799,5423,5423
1578595750,5411,5411
1578597636,5402,5402
1578599616,5395,5395
1578601508,5395,5395
1578603426,5377,5377
1578605311,5352,5352
1578607516,5328,5328
1578609675,5242,5242
1578611602,5218,5218
1578613473,5213,5213
1578615625,5214,5214
1578617566,5273,5273
1578619484,5264,5264
1578621404,5254,5254
1578623332,5231,5231
1578626223,5209,5209
1578628124,5205,5205
1578630050,5186,5186
1578631941,5187,5187
1578633866,5193,5193
1578635805,5181,5181
1578637983,5165,5165
1578640854,5159,5159
1578643049,5180,5180
1578645112,5180,5180
1578647366,5195,5195
1578649636,5125,5125
1578651775,5028,5028
1578653816,4998,4998
1578655797,5015,5015
1578657888,4998,4998
1578659818,5004,5004
1578661878,4815,4815
1578663686,4786,4786
1578666112,4761,4761
1578667967,4753,4753
1578670154,4732,4732
1578672671,4595,4595
1578674682,4611,4611
1578676898,4607,4607
1578678775,4602,4602
1578680970,4608,4608
1578683086,4624,4624
1578684913,4632,4632
1578687170,4651,4651
1578689097,4626,4626
1578691010,4652,4652
1578692959,4651,4651
1578694840,4636,4636
1578696779,4639,4639
1578698726,4645,4645
1578700596,4622,4622
1578702538,4588,4588
1578704699,4519,4519
1578706582,4519,4519
1578708521,4533,4533
1578710445,4540,4540
1578712594,4539,4539
1578714777,4531,4531
1578716663,4556,4556
1578718616,4565,4565
1578720533,4547,4547
1578722677,4539,4539
1578724599,4573,4573
1578726530,4579,4579
1578728429,4573,4573
1578730355,4581,4581
1578732290,4579,4579
1578734439,4572,4572
1578736330,4559,4559
1578738318,4550,4550
1578740199,4569,4569
1578742399,4568,4568
1578744314,4567,4567
1578746198,4591,4591
1578748488,4595,4595
1578750600,4596,4596
1578752423,4615,4615
1578754364,4644,4644
1578756310,4672,4672
1578758198,4678,4678
1578760369,4673,4673
1578762514,4738,4738
1578764427,4747,4747
1578766400,4790,4790
1578768282,4784,4784
1578770185,4794,4794
1578772147,4800,4800
1578774030,4814,4814
1578776225,4811,4811
1578778104,4828,4828
1578780480,4869,4869
1578782451,4896,4896
1578784367,4910,4910
1578786332,4678,4678
1578788198,4682,4682
1578790427,4689,4689
1578792260,4685,4685
1578794189,4663,4663
1578796354,4636,4636
1578798426,4619,4619
1578800417,4623,4623
1578802358,4619,4619
1578804302,4593,4593
1578806244,4584,4584
1578808101,4575,4575
1578810019,4533,4533
1578811954,4505,4505
1578813863,4479,4479
1578815809,4491,4491
1578817944,4497,4497
1578819999,4506,4506
1578822014,4515,4515
1578824215,4503,4503
1578826110,4488,4488
1578828026,4481,4481
1578830015,4462,4462
1578831903,4457,4457
1578833801,4440,4440
1578836075,4432,4432
1578838129,4433,4433
1578840026,4239,4239
1578841984,4212,4212
1578843864,4209,4209
1578845804,4205,4205
1578847722,4203,4203
1578849675,4161,4161
1578851554,4158,4158
1578853487,4141,4141
1578855420,4128,4128
1578857561,4143,4143
1578859546,4226,4226
1578861666,4295,4295
1578863796,4326,4326
1578865950,4319,4319
1578867865,4299,4299
1578869818,4271,4271
1578871747,4304,4304
1578874015,4334,4334
1578875815,4352,4352
1578877721,4374,4374
1578879654,4410,4410
1578881594,4425,4425
1578883461,4457,4457
1578885459,4468,4468
1578887355,4492,4492
1578889223,4484,4484
1578891136,4493,4493
1578893094,4505,4505
1578894992,4524,4524
1578896907,4534,4534
1578899112,4595,4595
1578900997,4612,4612
1578903177,4619,4619
1578905074,4615,4615
1578906984,4638,4638
1578908920,4669,4669
1578910848,4699,4699
1578912781,4720,4720
1578914653,4739,4739
1578916576,4752,4752
1578918552,4763,4763
1578920602,4760,4760
1578922831,4758,4758
1578924797,4751,4751
1578926655,4758,4758
1578928604,4774,4774
1578930508,4776,4776
1578932466,4752,4752
1578934347,4753,4753
1578936257,4754,4754
1578938189,4751,4751
1578940346,4728,4728
1578942304,4731,4731
1578944451,4714,4714
1578946361,4643,4643
1578948289,4760,4760
1578950212,4761,4761
1578952345,4776,4776
1578954693,4855,4855
1578956780,4889,4889
1578958613,4887,4887
1578960532,4888,4888
1578962436,4877,4877
1578964417,4867,4867
1578966295,4845,4845
1578968197,4828,4828
1578970139,4810,4810
1578972030,4820,4820
1578974036,4809,4809
1578975893,4819,4819
1578977806,4809,4809
1578979708,4788,4788
1578981898,4787,4787
1578983774,4809,4809
1578985738,4770,4770
1578987678,4765,4765
1578989605,4767,4767
1578991503,4760,4760
1578993407,4753,4753
1578995562,4752,4752
1578997466,4731,4731
1578999406,4757,4757
1579001322,4840,4840
