DateTime,AddedIPs,RemovedIPs
1578620214,11,16
1578620901,4,0
1578621626,1,5
1578622592,5,11
1578623312,8,9
1578624027,5,10
1578624739,7,5
1578625462,8,6
1578626189,6,10
1578626902,11,8
1578627634,1,5
1578628351,2,3
1578629320,6,6
1578630026,6,6
1578630752,11,4
1578631462,5,5
1578632189,3,1
1578632903,5,6
1578633619,3,5
1578634347,4,2
1578635071,1,1
1578635780,2,4
1578636507,3,4
1578637227,5,1
1578638189,1,1
1578638900,6,3
1578639627,2,9
1578640347,6,3
1578641060,5,0
1578642027,6,2
1578642690,3,2
1578643730,9,4
1578644912,3,2
1578645865,6,3
1578646736,4,1
1578648053,4,6
1578648985,5,2
1578650066,6,6
1578651159,7,7
1578652290,3,3
1578653312,1,6
1578654039,8,1
1578655185,3,5
1578655942,8,0
1578656670,3,5
1578657638,3,10
1578658366,8,0
1578659041,2,5
1578659779,6,4
1578660507,7,4
1578661713,7,1
1578662447,1,4
1578663146,5,0
1578663863,2,1
1578664504,4,0
1578665800,6,11
1578666504,5,5
1578667469,2,2
1578668185,5,4
1578668919,4,1
1578669635,2,1
1578670351,4,6
1578671059,5,0
1578671877,4,2
1578673244,5,7
1578673947,1,1
1578674665,3,5
1578675378,6,4
1578676112,4,6
1578677305,6,10
1578678021,3,4
1578678754,3,5
1578679722,5,4
1578680668,2,2
1578681622,4,5
1578682338,4,3
1578683318,3,3
1578684250,7,2
1578685213,4,8
1578685927,5,2
1578686672,3,7
1578687619,4,7
1578688332,5,2
1578689048,3,3
1578690019,5,9
1578690985,6,3
1578691687,5,6
1578692567,6,7
1578693369,2,3
1578694115,0,4
1578694817,8,4
1578695530,7,4
1578696252,6,7
1578696966,2,0
1578697940,6,6
1578698654,2,4
1578699618,3,3
1578700326,1,3
1578701057,4,5
1578701771,3,3
1578702495,5,3
1578703208,0,10
1578703932,4,5
1578704899,3,8
1578705608,8,5
1578706330,7,10
1578707055,4,6
1578707775,6,4
1578708493,3,5
1578709208,6,5
1578709945,6,8
1578710654,12,8
