DateTime,Entries,UniqueIPs
1578620901,7834,7834
1578621626,7786,7786
1578622592,7824,7824
1578623312,7832,7832
1578624027,7834,7834
1578624739,7811,7811
1578625462,7799,7799
1578626189,7795,7795
1578626902,7783,7783
1578627634,7773,7773
1578628351,7789,7789
1578629320,7739,7739
1578630026,7749,7749
1578630752,7760,7760
1578631462,7764,7764
1578632189,7776,7776
1578632903,7762,7762
1578633619,7782,7782
1578634347,7775,7775
1578635071,7791,7791
1578635780,7799,7799
1578636507,7753,7753
1578637227,7742,7742
1578638189,7748,7748
1578638900,7765,7765
1578639627,7763,7763
1578640347,7784,7784
1578641060,7786,7786
1578642027,7780,7780
1578642690,7817,7817
1578643730,7796,7796
1578644912,7807,7807
1578645865,7794,7794
1578646736,7836,7836
1578648053,7826,7826
1578648985,7794,7794
1578650066,7829,7829
1578651159,7784,7784
1578652290,7819,7819
1578653312,7787,7787
1578654039,7837,7837
1578655185,7824,7824
1578655942,7830,7830
1578656670,7785,7785
1578657638,7810,7810
1578658366,7795,7795
1578659041,7855,7855
1578659779,7817,7817
1578660507,7849,7849
1578661713,7810,7810
1578662447,7808,7808
1578663146,7810,7810
1578663863,7817,7817
1578664504,7792,7792
1578665800,7801,7801
1578666504,7829,7829
1578667469,7818,7818
1578668185,7842,7842
1578668919,7809,7809
1578669635,7839,7839
1578670351,7863,7863
1578671059,7812,7812
1578671877,7859,7859
1578673244,7816,7816
1578673947,7841,7841
1578674665,7836,7836
1578675378,7790,7790
1578676112,7809,7809
1578677305,7802,7802
1578678021,7832,7832
1578678754,7853,7853
1578679722,7817,7817
1578680668,7822,7822
1578681622,7808,7808
1578682338,7843,7843
1578683318,7831,7831
1578684250,7862,7862
1578685213,7849,7849
1578685927,7823,7823
1578686672,7868,7868
1578687619,7863,7863
1578688332,7850,7850
1578689048,7807,7807
1578690019,7868,7868
1578690985,7820,7820
1578691687,7856,7856
1578692567,7823,7823
1578693369,7833,7833
1578694115,7812,7812
1578694817,7798,7798
1578695530,7846,7846
1578696252,7823,7823
1578696966,7822,7822
1578697940,7813,7813
1578698654,7804,7804
1578699618,7839,7839
1578700326,7799,7799
1578701057,7804,7804
1578701771,7804,7804
1578702495,7833,7833
1578703208,7762,7762
1578703932,7799,7799
1578704899,7784,7784
1578705608,7832,7832
1578706330,7834,7834
1578707055,7766,7766
1578707775,7726,7726
1578708493,7699,7699
1578709208,7816,7816
1578709945,7761,7761
1578710654,7780,7780
1578711366,7808,7808
1578712108,7808,7808
1578712820,7770,7770
1578713555,7824,7824
1578714266,7794,7794
1578714978,7814,7814
1578715704,7793,7793
1578716420,7818,7818
1578717154,7794,7794
1578717862,7821,7821
1578718597,7832,7832
1578719309,7795,7795
1578720063,7791,7791
1578720755,7776,7776
1578721463,7788,7788
1578722181,7844,7844
1578722908,7804,7804
1578723627,7830,7830
1578724356,7825,7825
1578725073,7759,7759
1578725787,7814,7814
1578726503,7775,7775
1578727219,7798,7798
1578727951,7772,7772
1578728659,7774,7774
1578729382,7766,7766
1578730108,7761,7761
1578730820,7816,7816
1578731552,7820,7820
1578732267,7826,7826
1578732977,7807,7807
1578733959,7816,7816
1578734661,7814,7814
1578735384,7793,7793
1578736290,7824,7824
1578736897,7822,7822
1578737548,7815,7815
1578738262,7818,7818
1578738985,7817,7817
1578739719,7818,7818
1578740430,7839,7839
1578741142,7843,7843
1578741865,7849,7849
1578742580,7805,7805
1578743306,7799,7799
1578744030,7841,7841
1578744763,7805,7805
1578745459,7849,7849
1578746183,7802,7802
1578746902,7846,7846
1578747626,7863,7863
