DateTime,AddedIPs,RemovedIPs
1578317409,11,6
1578318722,13,5
1578319818,1,5
1578321742,12,9
1578323387,16,5
1578325354,17,10
1578327010,6,13
1578328108,11,0
1578329259,10,9
1578330619,14,3
1578330849,1,0
1578332530,14,8
1578333372,5,0
1578334511,10,3
1578335707,10,8
1578336143,5,3
1578338048,23,14
1578338889,7,0
1578340570,22,8
1578341648,14,11
1578342489,9,0
1578343661,8,6
1578344762,12,6
1578345871,10,0
1578347110,9,14
1578347770,9,1
1578348912,10,4
1578350529,13,11
1578352219,6,8
1578353412,11,7
1578354613,8,4
1578355811,4,10
1578357010,4,5
1578358509,10,3
1578359712,10,7
1578360910,4,2
1578362428,11,10
1578364091,13,3
1578364931,5,12
1578366848,6,9
1578368067,27,11
1578369371,11,19
1578370511,10,7
1578372131,5,17
1578372970,6,0
1578374047,0,1292
1578375612,1311,0
1578377411,23,5
1578379330,10,6
1578381009,10,9
1578382089,8,0
1578383409,10,11
1578384850,11,5
1578386529,16,7
1578388448,10,5
1578390131,16,14
1578391811,14,5
1578392888,18,0
1578393728,0,1390
1578394569,1391,0
1578396488,18,3
1578397810,4,11
1578399012,5,7
1578400931,11,6
1578402848,11,2
1578404109,6,6
1578405774,13,6
1578407109,5,0
1578408310,5,6
1578409812,15,1
1578410890,8,0
1578412572,5,3
1578413648,13,4
1578415511,11,2
1578417249,8,4
1578418396,8,7
1578420441,6,10
1578421809,8,2
1578422529,3,1
1578423371,9,1
1578424511,13,2
1578425708,10,10
1578426838,4,0
1578428051,9,5
1578428890,12,0
1578430105,9,15
1578430827,1,10
1578431650,5,0
1578433212,13,15
1578435011,14,8
1578436090,5,0
1578438618,8,15
1578440710,10,16
1578442448,8,5
1578443291,2,0
1578444506,8,11
1578445809,11,7
1578447731,7,12
1578449418,7,8
1578452500,22,13
1578454089,67,3
1578454930,2,48
1578456613,11,10
1578458539,12,13
1578459372,4,0
1578460452,2,4
1578461289,9,1
1578462131,6,4
1578464052,14,4
1578465730,8,3
1578467649,9,3
1578468492,7,0
1578470111,7,16
1578471249,7,8
1578472809,13,17
1578474610,16,11
1578474849,1,0
1578475691,6,2
1578477309,10,10
1578478450,4,8
1578479711,12,7
1578480911,9,7
1578482108,6,11
1578483217,5,10
1578484830,10,8
1578485650,5,0
1578486909,13,15
1578488110,7,8
1578489251,5,9
1578490931,12,9
1578491771,5,1
1578492910,2,10
1578494110,6,10
1578495258,7,10
1578496511,7,9
1578498132,5,15
1578498968,4,0
1578500111,14,9
1578501613,14,14
1578503419,10,6
1578504488,3,0
1578506009,4,17
1578507249,9,10
1578508090,10,0
1578509709,8,20
1578511689,18,10
1578512535,9,16
1578513372,9,0
1578514512,7,11
1578516012,12,14
1578517298,8,10
1578518889,7,2
1578520510,7,10
1578521648,2,6
1578523330,8,16
1578525248,9,11
1578526813,4,8
1578528612,11,16
1578528851,1,0
1578530530,6,9
1578532211,4,11
1578533391,3,14
1578535819,11,7
1578536890,7,1
1578537730,4,8
1578539262,6,6
1578540491,67,0
1578541330,10,48
1578543012,7,16
1578544088,3,3
1578546619,16,33
1578547813,3,21
1578550213,9,6
1578551398,5,13
1578552133,2,6
1578553230,8,11
1578554893,12,2
1578555732,2,8
1578556829,3,6
1578557650,1,1
1578558489,10,1
1578559989,8,18
1578561311,7,15
1578562931,9,19
1578563768,0,1
1578564849,7,7
1578565690,6,0
1578566529,4,21
1578568218,1,3
1578569291,5,2
1578572048,17,29
1578573612,7,13
1578575653,6,13
1578576489,3,0
1578577343,3,14
1578579249,9,3
1578580088,3,0
1578582851,7,27
1578583691,1,1
1578584999,14,21
1578586211,4,5
1578586450,1,0
1578587711,6,5
1578589822,13,5
1578591012,8,13
1578591731,5,3
1578593161,8,11
1578594610,7,14
1578595344,10,3
1578597248,9,8
1578598505,8,19
1578600851,17,14
1578602530,7,25
1578604451,11,10
1578605288,3,0
1578606609,8,14
1578607810,11,3
1578609012,8,10
1578610877,17,9
1578611650,5,0
1578612909,12,12
1578614432,6,20
1578615611,3,1
1578616812,3,13
1578617768,3,2
1578618913,6,6
1578620529,6,16
1578621885,2,10
1578623294,8,0
1578626050,15,29
1578627261,38,8
1578628884,12,43
1578630490,16,2
1578631810,13,20
1578633248,4,11
1578634795,8,10
1578636611,12,9
1578637814,9,17
1578640212,10,7
1578641395,4,11
1578642618,9,4
1578644044,6,8
1578645608,4,14
1578647649,13,5
1578648492,6,0
1578650169,14,15
