DateTime,Entries,UniqueIPs
1578317409,9107,9107
1578318722,9115,9115
1578319818,9111,9111
1578321742,9114,9114
1578323387,9125,9125
1578325354,9132,9132
1578327010,9125,9125
1578328108,9136,9136
1578329259,9137,9137
1578330619,9148,9148
1578330849,9149,9149
1578332530,9155,9155
1578333372,9160,9160
1578334511,9167,9167
1578335707,9169,9169
1578336143,9171,9171
1578338048,9180,9180
1578338889,9187,9187
1578340570,9201,9201
1578341648,9204,9204
1578342489,9213,9213
1578343661,9215,9215
1578344762,9221,9221
1578345871,9231,9231
1578347110,9226,9226
1578347770,9234,9234
1578348912,9240,9240
1578350529,9242,9242
1578352219,9240,9240
1578353412,9244,9244
1578354613,9248,9248
1578355811,9242,9242
1578357010,9241,9241
1578358509,9248,9248
1578359712,9251,9251
1578360910,9253,9253
1578362428,9254,9254
1578364091,9264,9264
1578364931,9257,9257
1578366848,9254,9254
1578368067,9270,9270
1578369371,9262,9262
1578370511,9265,9265
1578372131,9253,9253
1578372970,9259,9259
1578374047,7967,7967
1578375612,9278,9278
1578377411,9296,9296
1578379330,9300,9300
1578381009,9301,9301
1578382089,9309,9309
1578383409,9308,9308
1578384850,9314,9314
1578386529,9323,9323
1578388448,9328,9328
1578390131,9330,9330
1578391811,9339,9339
1578392888,9357,9357
1578393728,7967,7967
1578394569,9358,9358
1578396488,9373,9373
1578397810,9366,9366
1578399012,9364,9364
1578400931,9369,9369
1578402848,9378,9378
1578404109,9378,9378
1578405774,9385,9385
1578407109,9390,9390
1578408310,9389,9389
1578409812,9403,9403
1578410890,9411,9411
1578412572,9413,9413
1578413648,9422,9422
1578415511,9431,9431
1578417249,9435,9435
1578418396,9436,9436
1578420441,9432,9432
1578421809,9438,9438
1578422529,9440,9440
1578423371,9448,9448
1578424511,9459,9459
1578425708,9459,9459
1578426838,9463,9463
1578428051,9467,9467
1578428890,9479,9479
1578430105,9473,9473
1578430827,9464,9464
1578431650,9469,9469
1578433212,9467,9467
1578435011,9473,9473
1578436090,9478,9478
1578438618,9471,9471
1578440710,9465,9465
1578442448,9468,9468
1578443291,9470,9470
1578444506,9467,9467
1578445809,9471,9471
1578447731,9466,9466
1578449418,9465,9465
1578452500,9474,9474
1578454089,9538,9538
1578454930,9492,9492
1578456613,9493,9493
1578458539,9492,9492
1578459372,9496,9496
1578460452,9494,9494
1578461289,9502,9502
1578462131,9504,9504
1578464052,9514,9514
1578465730,9519,9519
1578467649,9525,9525
1578468492,9532,9532
1578470111,9523,9523
1578471249,9522,9522
1578472809,9518,9518
1578474610,9523,9523
1578474849,9524,9524
1578475691,9528,9528
1578477309,9528,9528
1578478450,9524,9524
1578479711,9529,9529
1578480911,9531,9531
1578482108,9526,9526
1578483217,9521,9521
1578484830,9523,9523
1578485650,9528,9528
1578486909,9526,9526
1578488110,9525,9525
1578489251,9521,9521
1578490931,9524,9524
1578491771,9528,9528
1578492910,9520,9520
1578494110,9516,9516
1578495258,9513,9513
1578496511,9511,9511
1578498132,9501,9501
1578498968,9505,9505
1578500111,9510,9510
1578501613,9510,9510
1578503419,9514,9514
1578504488,9517,9517
1578506009,9504,9504
1578507249,9503,9503
1578508090,9513,9513
1578509709,9501,9501
1578511689,9509,9509
1578512535,9502,9502
1578513372,9511,9511
1578514512,9507,9507
1578516012,9505,9505
1578517298,9503,9503
1578518889,9508,9508
1578520510,9505,9505
1578521648,9501,9501
1578523330,9493,9493
1578525248,9491,9491
1578526813,9487,9487
1578528612,9482,9482
1578528851,9483,9483
1578530530,9480,9480
1578532211,9473,9473
1578533391,9462,9462
1578535819,9466,9466
1578536890,9472,9472
