DateTime,Entries,UniqueIPs
1578316215,1093,1093
1578317415,1098,1098
1578318726,1104,1104
1578319822,1100,1100
1578321767,1102,1102
1578323391,1113,1113
1578325385,1121,1121
1578327014,1114,1114
1578328112,1125,1125
1578329263,1126,1126
1578330623,1138,1138
1578330853,1139,1139
1578332534,1146,1146
1578333376,1150,1150
1578334516,1157,1157
1578335711,1159,1159
1578336148,1163,1163
1578338052,1169,1169
1578338893,1176,1176
1578340574,1190,1190
1578341653,1193,1193
1578342493,1202,1202
1578343665,1204,1204
1578344769,1210,1210
1578345875,1220,1220
1578347114,1215,1215
1578347774,1223,1223
1578348917,1228,1228
1578350533,1230,1230
1578352222,1228,1228
1578353416,1231,1231
1578354617,1235,1235
1578355815,1229,1229
1578357015,1228,1228
1578358513,1234,1234
1578359718,1237,1237
1578360915,1239,1239
1578362432,1239,1239
1578364095,1249,1249
1578364935,1242,1242
1578366853,1239,1239
1578368071,1255,1255
1578369375,1246,1246
1578370515,1249,1249
1578372136,1237,1237
1578372975,1243,1243
1578374050,1249,1249
1578375617,1263,1263
1578377415,1281,1281
1578379334,1285,1285
1578381014,1285,1285
1578382093,1293,1293
1578383413,1294,1294
1578384854,1300,1300
1578386533,1309,1309
1578388452,1314,1314
1578390135,1317,1317
1578391815,1326,1326
1578392892,1343,1343
1578393730,1341,1341
1578394573,1343,1343
1578396492,1359,1359
1578397814,1352,1352
1578399016,1353,1353
1578400935,1358,1358
1578402853,1366,1366
1578404113,1366,1366
1578405778,1372,1372
1578407113,1377,1377
1578408315,1376,1376
1578409816,1389,1389
1578410894,1397,1397
1578412576,1400,1400
1578413653,1408,1408
1578415516,1418,1418
1578417253,1422,1422
1578418400,1423,1423
1578420445,1419,1419
1578421815,1425,1425
1578422533,1427,1427
1578423375,1435,1435
1578424516,1446,1446
1578425711,1446,1446
1578426848,1450,1450
1578428055,1454,1454
1578428894,1466,1466
1578430109,1460,1460
1578430831,1451,1451
1578431655,1456,1456
1578433217,1454,1454
1578435015,1458,1458
1578436095,1463,1463
1578438622,1454,1454
1578440715,1448,1448
1578442453,1451,1451
1578443295,1453,1453
1578444510,1451,1451
1578445813,1456,1456
1578447735,1449,1449
1578449423,1448,1448
1578452504,1457,1457
1578454093,1520,1520
1578454934,1474,1474
1578456618,1475,1475
1578458544,1474,1474
1578459376,1478,1478
1578460456,1476,1476
1578461293,1484,1484
1578462135,1486,1486
1578464056,1495,1495
1578465735,1500,1500
1578467654,1506,1506
1578468497,1513,1513
1578470115,1504,1504
1578471253,1503,1503
1578472813,1499,1499
1578474614,1505,1505
1578474854,1506,1506
1578475695,1509,1509
1578477313,1509,1509
1578478454,1507,1507
1578479715,1512,1512
1578480915,1516,1516
1578482112,1513,1513
