DateTime,Entries,UniqueIPs
1578309019,1065,1065
1578311992,1065,1065
1578312852,1072,1072
1578313689,1077,1077
1578314991,1065,1065
1578316211,1072,1072
1578317411,1092,1092
1578318722,1098,1098
1578319819,1092,1092
1578321745,1088,1088
1578323388,1091,1091
1578325361,1086,1086
1578327011,1083,1083
1578328109,1083,1083
1578329260,1086,1086
1578330620,1086,1086
1578330850,1085,1085
1578332531,1087,1087
1578333373,1097,1097
1578334513,1105,1105
1578335708,1101,1101
1578336144,1103,1103
1578338049,1113,1113
1578338890,1114,1114
1578340571,1111,1111
1578341648,1115,1115
1578342489,1124,1124
1578343662,1121,1121
1578344763,1132,1132
1578345872,1135,1135
1578347110,1123,1123
1578347771,1123,1123
1578348913,1118,1118
1578350530,1123,1123
1578352219,1119,1119
1578353413,1120,1120
1578354614,1126,1126
1578355812,1143,1143
1578357011,1144,1144
1578358510,1159,1159
1578359714,1166,1166
1578360911,1164,1164
1578362429,1174,1174
1578364092,1184,1184
1578364932,1175,1175
1578366849,1179,1179
1578368068,1174,1174
1578369372,1172,1172
1578370512,1173,1173
1578372132,1161,1161
1578372971,1160,1160
1578375613,1163,1163
1578377412,1159,1159
1578379331,1152,1152
1578381010,1156,1156
1578382090,1164,1164
1578383410,1165,1165
1578384851,1160,1160
1578386530,1150,1150
1578388449,1156,1156
1578390132,1154,1154
1578391812,1163,1163
1578392889,1171,1171
1578394570,1164,1164
1578396489,1170,1170
1578397811,1183,1183
1578399013,1189,1189
1578400932,1184,1184
1578402849,1197,1197
1578404109,1192,1192
1578405775,1193,1193
1578407110,1229,1229
1578408311,1221,1221
1578409813,1229,1229
1578410891,1239,1239
1578412573,1238,1238
1578413649,1229,1229
1578415513,1244,1244
1578417250,1248,1248
1578418397,1251,1251
1578420441,1276,1276
1578421810,1274,1274
1578422529,1270,1270
1578423372,1275,1275
1578424513,1272,1272
1578426971,1288,1288
1578428891,1278,1278
1578430106,1274,1274
1578430827,1277,1277
1578431651,1281,1281
1578433213,1289,1289
1578435012,1294,1294
1578436091,1299,1299
1578438619,1281,1281
1578440711,1282,1282
1578442449,1281,1281
1578443292,1279,1279
1578444507,1271,1271
1578445810,1266,1266
1578447732,1236,1236
1578449419,1239,1239
1578452501,1233,1233
1578454090,1238,1238
1578454931,1221,1221
1578456614,1243,1243
1578458541,1256,1256
1578459373,1263,1263
1578460452,1257,1257
1578461289,1260,1260
1578462132,1232,1232
1578464052,1236,1236
1578465731,1226,1226
1578467650,1224,1224
1578468493,1227,1227
1578470112,1227,1227
1578471250,1237,1237
1578472810,1244,1244
1578474611,1251,1251
1578474850,1251,1251
1578475692,1253,1253
1578477310,1254,1254
1578478451,1236,1236
1578479712,1232,1232
1578480912,1231,1231
1578482109,1228,1228
1578483218,1217,1217
1578484832,1212,1212
1578485651,1221,1221
1578486910,1204,1204
1578488111,1213,1213
1578489252,1220,1220
1578490932,1217,1217
1578491772,1222,1222
1578492911,1213,1213
1578494111,1215,1215
1578495259,1218,1218
1578496513,1215,1215
1578498133,1219,1219
1578498969,1218,1218
1578500112,1221,1221
1578501614,1210,1210
1578503420,1199,1199
1578504489,1212,1212
1578506010,1202,1202
1578507250,1202,1202
1578508091,1200,1200
1578509710,1190,1190
1578511690,1173,1173
1578512536,1167,1167
1578513373,1169,1169
1578514514,1160,1160
1578516013,1152,1152
1578517299,1156,1156
1578518889,1168,1168
1578520511,1179,1179
1578521649,1191,1191
1578523331,1208,1208
1578525249,1225,1225
1578526814,1204,1204
1578528613,1209,1209
1578528852,1206,1206
1578530531,1194,1194
1578532212,1200,1200
1578533392,1199,1199
1578535820,1199,1199
1578536892,1209,1209
1578537731,1204,1204
1578539263,1215,1215
1578540492,1222,1222
1578541331,1217,1217
1578543014,1218,1218
1578544089,1221,1221
1578546620,1206,1206
1578547815,1197,1197
1578550214,1195,1195
1578551399,1191,1191
1578552133,1195,1195
1578553232,1186,1186
1578554894,1191,1191
1578555733,1186,1186
1578556573,1188,1188
1578556830,1179,1179
1578557651,1192,1192
1578558489,1186,1186
1578559990,1174,1174
1578561312,1171,1171
1578562932,1163,1163
1578563769,1168,1168
1578564850,1167,1167
1578565691,1165,1165
1578566530,1143,1143
1578568219,1141,1141
1578569292,1143,1143
1578572049,1161,1161
1578573613,1179,1179
1578575654,1181,1181
1578576490,1185,1185
1578577344,1148,1148
1578579250,1132,1132
1578580089,1199,1199
1578582851,1137,1137
1578583692,1142,1142
1578586212,1115,1115
1578586451,1118,1118
1578587712,1131,1131
1578589823,1146,1146
1578591013,1146,1146
1578591732,1141,1141
1578593162,1134,1134
1578594611,1131,1131
1578595345,1121,1121
1578597249,1111,1111
1578598507,1110,1110
1578600852,1102,1102
1578602532,1087,1087
1578604452,1084,1084
1578605289,1090,1090
1578606610,1079,1079
1578607811,1082,1082
1578609013,1086,1086
1578610882,1080,1080
1578611651,1081,1081
1578612910,1082,1082
1578614434,1072,1072
1578615612,1065,1065
1578616813,1067,1067
1578617769,1079,1079
1578618915,1088,1088
1578620530,1086,1086
1578621886,1090,1090
1578623295,1093,1093
1578626051,1078,1078
1578627263,1072,1072
1578628885,1063,1063
1578630491,1070,1070
1578631811,1065,1065
1578633249,1068,1068
1578634796,1062,1062
1578636613,1060,1060
1578637816,1056,1056
1578640213,1037,1037
1578641396,1036,1036
1578642620,1033,1033
1578644045,1019,1019
1578645609,1015,1015
1578647651,1020,1020
1578648493,1030,1030
1578650169,1048,1048
1578651314,1053,1053
1578652931,1046,1046
1578654620,1036,1036
1578656533,1039,1039
1578658006,1038,1038
1578661820,1028,1028
1578663724,1023,1023
1578664573,1027,1027
1578665651,1034,1034
1578666490,1050,1050
1578668049,1049,1049
1578669252,1048,1048
1578670425,1053,1053
1578672912,1062,1062
1578673692,1064,1064
1578674534,1058,1058
1578676219,1060,1060
1578678131,1053,1053
1578679409,1054,1054
1578681731,1071,1071
1578683405,1074,1074
1578684613,1112,1112
1578686173,1090,1090
1578687250,1095,1095
1578688930,1100,1100
1578690614,1097,1097
1578691817,1098,1098
1578692972,1098,1098
1578694212,1094,1094
1578695368,1083,1083
1578696877,1091,1091
1578698114,1094,1094
1578699311,1100,1100
1578700570,1092,1092
1578701653,1080,1080
1578703213,1079,1079
1578705013,1079,1079
1578706213,1079,1079
1578707769,1094,1094
1578708912,1084,1084
1578710530,1089,1089
1578711371,1096,1096
1578713290,1118,1118
1578714130,1119,1119
1578716050,1109,1109
1578717739,1101,1101
1578718572,1105,1105
1578719716,1103,1103
1578721214,1094,1094
1578722172,1094,1094
1578723249,1099,1099
1578724812,1096,1096
1578725771,1101,1101
1578726852,1097,1097
1578728113,1088,1088
1578729312,1096,1096
1578730451,1106,1106
1578732129,1104,1104
1578732969,1113,1113
1578734112,1110,1110
1578735263,1109,1109
1578736899,1120,1120
1578738013,1130,1130
1578739158,1130,1130
1578741249,1134,1134
1578742510,1146,1146
1578743770,1148,1148
1578744850,1144,1144
1578745691,1156,1156
1578748514,1157,1157
1578749290,1162,1162
1578750912,1166,1166
1578752110,1153,1153
1578753731,1142,1142
1578755411,1132,1132
1578756494,1140,1140
1578758310,1128,1128
1578760090,1140,1140
1578761321,1146,1146
1578762853,1160,1160
1578764195,1153,1153
1578765375,1152,1152
1578766516,1149,1149
1578768133,1204,1204
1578768969,1265,1265
1578770112,1332,1332
1578770892,1362,1362
1578772570,1438,1438
1578773713,1474,1474
1578774489,1490,1490
1578776169,1485,1485
1578777312,1486,1486
1578778932,1485,1485
1578779774,1485,1485
1578780851,1484,1484
1578781691,1483,1483
1578783370,1468,1468
1578784513,1463,1463
1578785713,1454,1454
1578787813,1445,1445
1578788889,1448,1448
1578790570,1457,1457
1578791713,1455,1455
1578793513,1449,1449
1578794430,1453,1453
1578796102,1458,1458
1578797712,1450,1450
1578799690,1452,1452
1578802213,1451,1451
1578804131,1449,1449
1578806050,1442,1442
1578807445,1441,1441
1578809414,1447,1447
1578809654,1449,1449
1578810490,1443,1443
1578813011,1427,1427
1578814219,1419,1419
1578816371,1408,1408
1578817510,1407,1407
1578818545,1394,1394
1578819369,1396,1396
1578819633,1382,1382
1578820454,1383,1383
1578822610,1388,1388
1578823812,1380,1380
1578825734,1362,1362
1578827649,1357,1357
1578829345,1348,1348
1578830169,1349,1349
1578831313,1349,1349
1578832813,1349,1349
1578834852,1344,1344
1578836743,1323,1323
1578838219,1330,1330
1578839292,1339,1339
1578841113,1343,1343
1578842051,1345,1345
1578842891,1358,1358
1578843730,1349,1349
1578846489,1332,1332
1578847810,1322,1322
1578848957,1318,1318
1578849250,1316,1316
1578850945,1307,1307
1578852365,1299,1299
1578853702,1311,1311
1578856211,1287,1287
1578857413,1273,1273
1578858131,1281,1281
1578860049,1287,1287
1578861733,1267,1267
1578862569,1264,1264
1578863690,1261,1261
1578864911,1245,1245
1578865332,1244,1244
1578867254,1231,1231
1578869685,1226,1226
1578870849,1228,1228
1578872542,1227,1227
1578873373,1233,1233
1578874512,1238,1238
1578876015,1245,1245
1578877813,1233,1233
1578878052,1236,1236
1578881653,1242,1242
1578883332,1242,1242
1578885016,1251,1251
1578886091,1265,1265
1578888850,1289,1289
1578890411,1284,1284
1578891976,1280,1280
1578893413,1263,1263
1578894612,1259,1259
1578895812,1253,1253
1578897731,1238,1238
1578898569,1245,1245
1578899650,1244,1244
1578900915,1239,1239
1578902111,1253,1253
1578903312,1254,1254
1578904461,1242,1242
1578905770,1245,1245
1578907693,1241,1241
1578908535,1229,1229
1578910452,1227,1227
1578912148,1211,1211
1578912970,1211,1211
1578914050,1209,1209
1578915276,1208,1208
1578916941,1208,1208
1578918041,1212,1212
1578918492,1216,1216
1578919331,1197,1197
1578921253,1201,1201
1578922830,1205,1205
1578924092,1214,1214
1578925213,1224,1224
1578926414,1223,1223
1578927534,1220,1220
1578928813,1226,1226
1578930014,1202,1202
1578930970,1196,1196
1578932114,1207,1207
1578933312,1220,1220
1578934512,1222,1222
1578935715,1228,1228
1578937330,1191,1191
1578938172,1200,1200
1578940093,1181,1181
1578942851,1089,1089
1578944342,1078,1078
1578945536,1074,1074
1578946813,1068,1068
1578948139,1057,1057
1578948973,1060,1060
1578950889,1122,1122
1578952571,1117,1117
1578953712,1120,1120
1578954912,1116,1116
1578956517,1117,1117
1578957612,1111,1111
1578958936,1111,1111
1578960613,1112,1112
1578961691,1117,1117
1578963631,1101,1101
1578964812,1102,1102
1578966012,1105,1105
1578967820,1116,1116
1578969013,1121,1121
1578970127,1135,1135
1578971254,1135,1135
1578972494,1144,1144
1578973331,1142,1142
1578975012,1143,1143
1578977530,1175,1175
1578977772,1176,1176
1578978915,1194,1194
1578980536,1257,1257
1578982455,1266,1266
1578983713,1275,1275
1578985497,1294,1294
1578987191,1304,1304
1578988570,1310,1310
1578989651,1316,1316
1578990913,1314,1314
1578992044,1318,1318
1578992438,1321,1321
1578993614,1329,1329
1578994933,1317,1317
1578996610,1321,1321
1578998533,1331,1331
1579000452,1349,1349
