DateTime,AddedIPs,RemovedIPs
1578327009,20,20
1578328107,18,0
1578329258,21,37
1578330618,17,14
1578330848,7,0
1578332529,37,34
1578333370,21,0
1578334509,24,21
1578335706,27,33
1578336142,8,15
1578338047,21,26
1578338888,7,1
1578340569,29,48
1578341647,26,16
1578342488,9,1
1578343660,19,26
1578344761,22,14
1578345870,15,1
1578347109,27,41
1578347769,3,0
1578348911,19,18
1578350528,27,30
1578352218,25,24
1578353410,16,24
1578354612,24,15
1578355810,16,23
1578357009,22,34
1578358508,22,10
1578359710,19,18
1578360908,17,31
1578362426,25,28
1578364090,23,3
1578364930,12,36
1578366847,26,19
1578368066,13,41
1578369369,14,10
1578370509,19,15
1578372130,20,54
1578372969,9,3
1578374047,32,17
1578375611,25,45
1578377409,26,40
1578379329,25,46
1578381009,19,22
1578382088,17,3
1578383408,20,40
1578384849,26,34
1578386528,32,42
1578388447,37,24
1578390130,19,52
1578391810,29,14
1578392887,17,1
1578393728,0,4963
1578394568,4934,0
1578396487,36,21
1578397809,33,35
1578399011,15,15
1578400930,40,52
1578402847,53,21
1578404108,21,52
1578405773,45,55
1578407108,52,0
1578408309,20,38
1578409811,38,20
1578410889,24,0
1578412571,25,55
1578413647,19,22
1578415510,47,44
1578417248,47,39
1578418395,32,39
1578420440,55,36
1578421808,32,40
1578422528,14,16
1578423369,27,0
1578424509,47,41
1578425707,51,28
1578426837,32,10
1578426968,6,0
1578428050,24,336
1578428889,14,1
1578430104,28,37
1578430825,25,5
1578431649,20,1
1578433210,32,42
1578435010,47,18
1578436089,28,0
1578438617,36,37
1578440709,51,28
1578442447,32,8
1578443289,15,1
1578444505,24,33
1578445808,26,12
1578447730,40,43
1578449417,34,14
1578452499,43,43
1578454088,26,5
1578454928,12,52
1578456611,23,29
1578458538,27,38
1578459370,14,0
1578460450,10,28
1578461287,20,0
1578462130,16,63
1578464051,27,11
1578465730,29,34
1578467648,37,12
1578468492,36,1
1578470109,44,38
1578471248,39,9
1578472808,35,36
1578474609,36,18
1578474848,9,1
1578475690,26,1
1578477308,46,37
1578478448,30,36
1578479709,28,27
1578480910,30,13
1578482106,37,15
1578483216,46,28
1578484828,31,21
1578485649,25,0
1578486908,48,39
1578488109,44,11
1578489250,31,10
1578490931,45,38
1578491770,16,1
1578492909,28,23
1578494109,31,34
1578495257,37,7
1578496510,34,18
1578498131,49,25
1578498967,15,2
1578500110,49,26
1578501611,37,49
1578503418,49,29
1578504487,27,0
1578506007,35,52
1578507248,34,17
1578508089,16,0
1578509708,46,24
1578511689,63,31
1578512533,27,37
1578513371,25,0
1578514511,27,17
1578516010,28,42
1578517297,27,13
1578518888,36,1
1578520509,23,42
1578521647,19,20
1578523329,49,46
1578525247,59,22
1578526811,44,44
1578528610,56,19
1578528850,7,0
1578530528,33,22
1578532209,39,19
1578533390,19,25
1578535818,41,32
1578536889,29,0
1578537729,22,38
1578539261,36,12
1578540490,23,10
1578541329,24,40
1578543011,33,15
1578544087,35,0
1578546618,57,78
1578547812,17,31
1578550212,44,24
1578551397,21,23
1578552132,12,11
1578553229,19,19
1578554891,29,2
1578555730,8,43
1578556570,4,0
1578556827,2,27
1578557649,19,2
1578558488,9,1
1578559988,21,36
1578561309,22,17
1578562930,25,37
1578563767,14,0
1578564848,15,15
1578565689,24,1
1578566528,10,52
1578568217,26,27
1578569290,19,4
1578572047,38,50
1578573611,25,39
1578575652,33,31
1578576488,21,1
1578577342,14,63
1578579248,17,25
1578580087,210,0
1578582850,138,63
1578583690,10,0
1578584998,20,59
1578586210,13,23
1578586449,3,0
1578587709,23,39
1578589821,28,36
1578591011,29,41
1578591729,16,11
1578593160,23,29
1578594609,24,47
1578595342,10,25
1578597247,28,40
1578598503,10,27
1578600850,31,39
1578602529,19,41
1578604449,27,27
1578605287,10,1
1578606608,19,42
1578607807,15,24
1578609011,25,28
1578610872,22,46
1578611649,7,0
1578612908,18,37
1578614430,31,36
1578615610,22,1
1578616811,45,38
1578617767,17,0
1578618912,11,23
1578620528,19,26
1578621884,31,14
1578623290,16,4
1578626049,44,54
1578627260,13,33
1578628883,22,27
1578630489,21,2
1578631809,22,37
1578633247,24,18
1578634794,23,39
1578636610,30,27
1578637812,16,61
1578640210,25,53
1578641394,12,38
1578642616,9,19
1578644042,0,5517
1578645607,5479,0
1578647648,30,38
1578648490,11,3
1578650168,24,48
1578651311,9,20
1578652929,26,78
1578654618,28,36
1578656531,27,69
1578658003,22,37
1578659414,16,46
1578661817,40,40
1578663013,13,43
1578663723,0,5267
1578664571,5265,0
1578665648,26,38
1578666488,23,0
1578668045,24,69
1578669250,22,36
1578670423,20,59
1578672910,42,56
1578673689,12,1
1578674531,20,52
1578676217,37,33
1578678128,39,62
1578679407,32,35
1578681729,38,68
1578683403,0,5091
1578684610,5062,0
1578686171,30,11
1578687248,20,25
1578688929,33,43
1578690611,24,17
1578691813,28,33
1578692970,20,20
1578694209,20,27
