DateTime,Entries,UniqueIPs
1578327009,13024,13024
1578328107,13042,13042
1578329258,13026,13026
1578330618,13029,13029
1578330848,13036,13036
1578332529,13039,13039
1578333370,13060,13060
1578334509,13063,13063
1578335706,13057,13057
1578336142,13050,13050
1578338047,13045,13045
1578338888,13051,13051
1578340569,13032,13032
1578341647,13042,13042
1578342488,13050,13050
1578343660,13043,13043
1578344761,13051,13051
1578345870,13065,13065
1578347109,13051,13051
1578347769,13054,13054
1578348911,13055,13055
1578350528,13052,13052
1578352218,13053,13053
1578353410,13045,13045
1578354612,13054,13054
1578355810,13047,13047
1578357009,13035,13035
1578358508,13047,13047
1578359710,13048,13048
1578360908,13034,13034
1578362426,13031,13031
1578364090,13051,13051
1578364930,13027,13027
1578366847,13034,13034
1578368066,13006,13006
1578369369,13010,13010
1578370509,13014,13014
1578372130,12980,12980
1578372969,12986,12986
1578374047,13001,13001
1578375611,12981,12981
1578377409,12967,12967
1578379329,12946,12946
1578381009,12943,12943
1578382088,12957,12957
1578383408,12937,12937
1578384849,12929,12929
1578386528,12919,12919
1578388447,12932,12932
1578390130,12899,12899
1578391810,12914,12914
1578392887,12930,12930
1578393728,7967,7967
1578394568,12901,12901
1578396487,12916,12916
1578397809,12914,12914
1578399011,12914,12914
1578400930,12902,12902
1578402847,12934,12934
1578404108,12903,12903
1578405773,12893,12893
1578407108,12945,12945
1578408309,12927,12927
1578409811,12945,12945
1578410889,12969,12969
1578412571,12939,12939
1578413647,12936,12936
1578415510,12939,12939
1578417248,12947,12947
1578418395,12940,12940
1578420440,12959,12959
1578421808,12951,12951
1578422528,12949,12949
1578423369,12976,12976
1578424509,12982,12982
1578425707,13005,13005
1578426837,13027,13027
1578426968,13033,13033
1578428050,12721,12721
1578428889,12734,12734
1578430104,12725,12725
1578430825,12745,12745
1578431649,12764,12764
1578433210,12754,12754
1578435010,12783,12783
1578436089,12811,12811
1578438617,12810,12810
1578440709,12833,12833
1578442447,12857,12857
1578443289,12871,12871
1578444505,12862,12862
1578445808,12876,12876
1578447730,12873,12873
1578449417,12893,12893
1578452499,12893,12893
1578454088,12914,12914
1578454928,12874,12874
1578456611,12868,12868
1578458538,12857,12857
1578459370,12871,12871
1578460450,12853,12853
1578461287,12873,12873
1578462130,12826,12826
1578464051,12842,12842
1578465730,12837,12837
1578467648,12862,12862
1578468492,12897,12897
1578470109,12903,12903
1578471248,12933,12933
1578472808,12932,12932
1578474609,12950,12950
1578474848,12958,12958
1578475690,12983,12983
1578477308,12992,12992
1578478448,12986,12986
1578479709,12987,12987
1578480910,13004,13004
1578482106,13026,13026
1578483216,13044,13044
1578484828,13054,13054
1578485649,13079,13079
1578486908,13088,13088
1578488109,13121,13121
1578489250,13142,13142
1578490931,13149,13149
1578491770,13164,13164
1578492909,13169,13169
1578494109,13166,13166
1578495257,13196,13196
1578496510,13212,13212
1578498131,13236,13236
1578498967,13249,13249
1578500110,13272,13272
1578501611,13260,13260
1578503418,13280,13280
1578504487,13307,13307
1578506007,13290,13290
1578507248,13307,13307
1578508089,13323,13323
1578509708,13345,13345
1578511689,13377,13377
1578512533,13367,13367
1578513371,13392,13392
1578514511,13402,13402
1578516010,13388,13388
1578517297,13402,13402
1578518888,13437,13437
1578520509,13418,13418
1578521647,13417,13417
1578523329,13420,13420
1578525247,13457,13457
1578526811,13457,13457
1578528610,13494,13494
