DateTime,AddedIPs,RemovedIPs
1578303741,4,10
1578305411,5,10
1578307333,3,2
1578309020,9,8
1578310093,1,10
1578311993,4,8
1578312853,3,2
1578313690,0,4
1578314993,3,5
1578316212,7,8
1578317413,1,4
1578318723,2,9
1578319820,2,10
1578321752,4,5
1578323389,2,4
1578325369,3,7
1578327012,1,16
1578328110,2,8
1578329261,0,13
1578330621,3,10
1578330851,0,1
1578332532,3,8
1578333374,2,1
1578334514,4,4
1578335709,4,8
1578336145,2,1
1578338050,5,8
1578338891,0,9
1578340572,0,12
1578341650,3,3
1578342491,4,6
1578343663,7,6
1578344766,1,3
1578345873,8,8
1578347112,6,11
1578347772,3,4
1578348915,7,11
1578350531,3,10
1578352220,1,11
1578353414,0,12
1578354615,4,9
1578355813,2,4
1578357012,3,5
1578358511,0,9
1578359716,1,6
1578360912,1,7
1578362430,3,13
1578364093,1,4
1578364933,2,8
1578366850,2,245
1578368069,3,634
1578369373,1,29
1578370513,3,2
1578372133,3,2
1578372973,1,2
1578374048,3,3
1578375615,1,4
1578377413,2,1
1578379332,6,3
1578381011,4,2
1578382091,3,2
1578383411,5,0
1578384852,5,2
1578386531,2,5
1578388450,8,1
1578390133,8,3
1578391813,1,4
1578392890,4,2
1578394571,6,3
1578396490,2,6
1578397812,3,6
1578399014,3,3
1578400933,5,3
1578402851,7,4
1578404111,2,3
1578405776,11,4
1578407111,1,2
1578408313,6,1
1578409814,4,3
1578410892,3,4
1578412574,4,9
1578413651,4,4
1578415514,2,3
1578417251,5,3
1578418398,4,2
1578420442,2,3
1578421812,4,3
1578422531,3,1
1578423373,5,1
1578424514,4,5
1578426972,9,4
1578428892,2,3
1578430107,5,2
1578430829,2,3
1578431652,1,2
1578433215,8,5
1578435013,6,3
1578436093,5,1
1578438620,5,12
1578440713,6,5
1578442451,2,2
1578443293,4,3
1578444508,4,5
1578445811,4,3
1578447733,7,8
1578449421,3,5
1578452502,3,8
1578454091,3,2
1578454932,4,4
1578456616,5,4
1578458542,4,8
1578459374,0,3
1578460454,2,3
1578462133,0,1
1578464053,5,2
1578465732,2,5
1578467651,7,3
1578468494,2,0
1578470113,5,5
1578471251,1,5
1578472811,1,3
1578474612,1,1
1578474851,1,1
1578475693,0,2
1578477311,4,0
1578478452,2,4
1578479713,0,3
1578482110,0,1
1578483219,0,1
1578484833,1,1
1578485652,0,2
1578486911,2,1
1578488112,3,2
1578489253,2,2
1578490933,4,3
1578491773,2,4
1578492912,0,3
1578494112,3,1
1578495260,7,2
1578496514,2,5
1578498134,7,2
1578498970,2,4
1578500114,4,4
1578501615,3,5
1578503421,3,3
1578504490,8,4
1578506011,9,6
1578507251,4,0
1578508092,1,0
1578509711,2,3
1578511691,5,7
1578512537,3,5
1578513374,0,1
1578514516,0,3
1578516014,3,5
1578517300,5,4
1578518891,11,2
1578520512,3,9
1578521650,5,3
1578523332,3,3
1578525251,5,2
1578526815,6,5
1578528614,7,2
1578528853,1,3
1578530532,3,5
1578532213,5,2
1578533393,2,2
1578535821,5,7
1578536893,5,4
1578537732,2,3
1578539264,1,1
1578540493,1,3
1578541332,1,0
1578543015,0,3
1578544091,1,0
1578546621,6,6
1578547816,3,5
1578550215,2,5
1578551400,2,3
1578552135,3,3
1578553235,6,2
1578554895,1,7
1578555734,2,4
1578556574,4,1
1578556832,1,1
1578557652,2,2
1578558491,5,1
1578559991,3,4
1578561313,2,6
1578562933,4,5
1578563770,2,1
1578564851,1,1
1578565693,2,1
1578566531,4,1
1578568220,3,2
1578569293,5,0
1578572051,6,11
1578573614,6,5
1578575655,6,6
1578576491,2,1
1578577345,4,1
1578579252,0,6
1578580091,3,0
1578582853,4,10
1578583693,1,1
1578586213,6,4
1578586452,1,0
1578587713,2,0
1578589824,8,6
1578591015,6,4
1578591733,2,3
1578593164,8,7
1578594613,7,3
1578595346,4,3
1578597250,6,6
1578598508,2,2
1578600854,4,4
1578602533,2,7
1578604453,4,3
1578605290,7,1
1578606612,2,9
1578607813,8,2
1578609015,2,5
1578610883,450,2
1578611652,32,41
1578612911,2,31
1578614435,1,24
1578615614,1,21
1578616815,3,22
1578617770,2,16
1578618916,2,9
1578620531,3,20
1578621887,5,13
1578623296,2,13
1578626053,11,23
1578627266,7,7
1578628887,2,19
1578630492,1,16
1578631812,5,6
1578633251,0,6
1578634797,5,8
1578636614,4,8
1578637817,0,8
1578640214,8,22
1578641397,1,10
1578642622,6,9
