DateTime,Entries,UniqueIPs
1578303741,1205,1205
1578305411,1200,1200
1578307333,1201,1201
1578309020,1202,1202
1578310093,1193,1193
1578311993,1189,1189
1578312853,1190,1190
1578313690,1186,1186
1578314993,1184,1184
1578316212,1183,1183
1578317413,1180,1180
1578318723,1173,1173
1578319820,1165,1165
1578321752,1164,1164
1578323389,1162,1162
1578325369,1158,1158
1578327012,1143,1143
1578328110,1137,1137
1578329261,1124,1124
1578330621,1117,1117
1578330851,1116,1116
1578332532,1111,1111
1578333374,1112,1112
1578334514,1112,1112
1578335709,1108,1108
1578336145,1109,1109
1578338050,1106,1106
1578338891,1097,1097
1578340572,1085,1085
1578341650,1085,1085
1578342491,1083,1083
1578343663,1084,1084
1578344766,1082,1082
1578345873,1082,1082
1578347112,1077,1077
1578347772,1076,1076
1578348915,1072,1072
1578350531,1065,1065
1578352220,1055,1055
1578353414,1043,1043
1578354615,1038,1038
1578355813,1036,1036
1578357012,1034,1034
1578358511,1025,1025
1578359716,1020,1020
1578360912,1014,1014
1578362430,1004,1004
1578364093,1001,1001
1578364933,995,995
1578366850,752,752
1578368069,121,121
1578369373,93,93
1578370513,94,94
1578372133,95,95
1578372973,94,94
1578374048,94,94
1578375615,91,91
1578377413,92,92
1578379332,95,95
1578381011,97,97
1578382091,98,98
1578383411,103,103
1578384852,106,106
1578386531,103,103
1578388450,110,110
1578390133,115,115
1578391813,112,112
1578392890,114,114
1578394571,117,117
1578396490,113,113
1578397812,110,110
1578399014,110,110
1578400933,112,112
1578402851,115,115
1578404111,114,114
1578405776,121,121
1578407111,120,120
1578408313,125,125
1578409814,126,126
1578410892,125,125
1578412574,120,120
1578413651,120,120
1578415514,119,119
1578417251,121,121
1578418398,123,123
1578420442,122,122
1578421812,123,123
1578422531,125,125
1578423373,129,129
1578424514,128,128
1578426972,133,133
1578428892,132,132
1578430107,135,135
1578430829,134,134
1578431652,133,133
1578433215,136,136
1578435013,139,139
1578436093,143,143
1578438620,136,136
1578440713,137,137
1578442451,137,137
1578443293,138,138
1578444508,137,137
1578445811,138,138
1578447733,137,137
1578449421,135,135
1578452502,130,130
1578454091,131,131
1578454932,131,131
1578456616,132,132
1578458542,128,128
1578459374,125,125
1578460454,124,124
1578462133,123,123
1578464053,126,126
1578465732,123,123
1578467651,127,127
1578468494,129,129
1578470113,129,129
1578471251,125,125
1578472811,123,123
1578474612,123,123
1578474851,123,123
1578475693,121,121
1578477311,125,125
1578478452,123,123
1578479713,120,120
1578482110,119,119
1578483219,118,118
1578484833,118,118
1578485652,116,116
1578486911,117,117
1578488112,118,118
1578489253,118,118
1578490933,119,119
1578491773,117,117
1578492912,114,114
1578494112,116,116
1578495260,121,121
1578496514,118,118
1578498134,123,123
1578498970,121,121
1578500114,121,121
1578501615,119,119
1578503421,119,119
1578504490,123,123
1578506011,126,126
1578507251,130,130
1578508092,131,131
1578509711,130,130
1578511691,128,128
1578512537,126,126
1578513374,125,125
1578514516,122,122
1578516014,120,120
1578517300,121,121
1578518891,130,130
1578520512,124,124
1578521650,126,126
1578523332,126,126
1578525251,129,129
1578526815,130,130
1578528614,135,135
1578528853,133,133
1578530532,131,131
1578532213,134,134
1578533393,134,134
1578535821,132,132
1578536893,133,133
1578537732,132,132
1578539264,132,132
1578540493,130,130
1578541332,131,131
1578543015,128,128
1578544091,129,129
1578546621,129,129
1578547816,127,127
1578550215,124,124
1578551400,123,123
1578552135,123,123
1578553235,127,127
1578554895,121,121
1578555734,119,119
1578556574,122,122
1578556832,122,122
1578557652,122,122
1578558491,126,126
1578559991,125,125
1578561313,121,121
1578562933,120,120
1578563770,121,121
1578564851,121,121
1578565693,122,122
1578566531,125,125
1578568220,126,126
1578569293,131,131
1578572051,126,126
1578573614,127,127
1578575655,127,127
1578576491,128,128
1578577345,131,131
1578579252,125,125
1578580091,128,128
1578582853,122,122
1578583693,122,122
1578586213,124,124
1578586452,125,125
1578587713,127,127
1578589824,129,129
1578591015,131,131
1578591733,130,130
1578593164,131,131
1578594613,135,135
1578595346,136,136
1578597250,136,136
1578598508,136,136
1578600854,136,136
1578602533,131,131
1578604453,132,132
1578605290,138,138
1578606612,131,131
1578607813,137,137
1578609015,134,134
1578610883,582,582
1578611652,573,573
1578612911,544,544
1578614435,521,521
1578615614,501,501
1578616815,482,482
1578617770,468,468
1578618916,461,461
1578620531,444,444
1578621887,436,436
1578623296,425,425
1578626053,413,413
1578627266,413,413
1578628887,396,396
1578630492,381,381
1578631812,380,380
1578633251,374,374
1578634797,371,371
1578636614,367,367
1578637817,359,359
1578640214,345,345
1578641397,336,336
1578642622,333,333
1578644047,329,329
1578645611,317,317
1578647652,307,307
1578648494,303,303
1578650171,299,299
1578651315,294,294
1578652933,293,293
1578654621,292,292
1578656534,283,283
