DateTime,AddedIPs,RemovedIPs
1578318720,28,17
1578319816,33,25
1578321733,27,54
1578323385,17,24
1578325342,43,57
1578327007,74,31
1578328106,51,3
1578329257,63,71
1578330617,59,22
1578330846,11,0
1578332528,64,53
1578333367,25,2
1578334507,25,23
1578335705,30,50
1578336127,9,14
1578338046,72,32
1578338886,60,1
1578340566,114,50
1578341646,73,32
1578342487,40,3
1578343659,61,42
1578344760,43,16
1578345868,43,7
1578347107,56,43
1578347767,24,2
1578348908,52,34
1578350527,75,41
1578352217,62,18
1578353407,47,22
1578354611,40,17
1578355808,45,23
1578357007,58,32
1578358507,70,6
1578359707,40,25
1578360906,42,36
1578362424,51,35
1578364088,66,1
1578364928,27,50
1578366846,72,19
1578368065,38,51
1578369367,55,13
1578370508,36,36
1578372129,52,56
1578372968,21,1
1578374046,32,41
1578375608,40,59
1578377407,47,33
1578379327,40,43
1578381007,33,15
1578382086,30,3
1578383407,43,53
1578384847,33,24
1578386527,31,35
1578388446,32,26
1578390127,37,46
1578391808,48,17
1578392886,28,4
1578394567,60,34
1578396486,84,20
1578397808,44,44
1578399008,34,23
1578400928,46,59
1578402846,35,36
1578404107,37,47
1578405772,40,55
1578407107,29,1
1578408306,36,55
1578409808,30,23
1578410887,33,2
1578412570,46,42
1578413647,27,35
1578415509,50,47
1578417247,56,30
1578418394,28,38
1578420439,68,33
1578421807,36,42
1578422527,26,11
1578423367,18,5
1578424507,42,32
1578425706,66,28
1578426836,51,10
1578426967,6,0
1578428048,44,31
1578428887,38,5
1578430103,45,40
1578430823,27,17
1578431647,27,1
1578433208,53,50
1578435008,38,32
1578436086,35,6
1578438616,75,64
1578440709,41,55
1578442446,39,24
1578443287,25,2
1578444490,52,55
1578445807,37,41
1578447729,41,54
1578449416,57,30
1578452498,80,106
1578454087,44,57
1578454927,58,33
1578456610,33,34
1578458536,32,53
1578459369,23,0
1578460447,25,26
1578461286,13,0
1578462129,20,43
1578464049,34,33
1578465729,33,60
1578467647,30,28
1578468490,11,2
1578470106,59,44
1578471247,47,27
1578472807,38,49
1578474607,33,32
1578474847,5,1
1578475688,23,1
1578477307,52,55
1578478447,46,51
1578479707,24,37
1578480908,16,10
1578482105,29,31
1578483215,24,40
1578484826,26,42
1578485646,20,0
1578486907,44,49
1578488107,56,18
1578489247,43,37
1578490929,69,65
1578491769,46,2
1578492907,41,12
1578494107,50,27
1578495256,44,22
1578496509,32,20
1578498129,77,44
1578498966,36,4
1578500109,45,27
1578501608,49,69
1578503417,49,18
1578504486,39,6
1578506006,35,44
1578507247,47,25
1578508087,34,1
1578509707,54,71
1578511687,81,34
1578512530,28,62
1578513368,24,0
1578514509,27,26
1578516008,42,50
1578517295,37,34
1578518887,103,6
1578520507,58,51
1578521646,28,36
1578523328,39,47
1578525246,45,42
1578526809,47,64
1578528608,38,45
