DateTime,Entries,UniqueIPs
1578318720,10869,10869
1578319816,10877,10877
1578321733,10850,10850
1578323385,10843,10843
1578325342,10829,10829
1578327007,10872,10872
1578328106,10920,10920
1578329257,10912,10912
1578330617,10949,10949
1578330846,10960,10960
1578332528,10971,10971
1578333367,10994,10994
1578334507,10996,10996
1578335705,10976,10976
1578336127,10971,10971
1578338046,11011,11011
1578338886,11070,11070
1578340566,11134,11134
1578341646,11175,11175
1578342487,11212,11212
1578343659,11231,11231
1578344760,11258,11258
1578345868,11294,11294
1578347107,11307,11307
1578347767,11329,11329
1578348908,11347,11347
1578350527,11381,11381
1578352217,11425,11425
1578353407,11450,11450
1578354611,11473,11473
1578355808,11495,11495
1578357007,11521,11521
1578358507,11585,11585
1578359707,11600,11600
1578360906,11606,11606
1578362424,11622,11622
1578364088,11687,11687
1578364928,11664,11664
1578366846,11717,11717
1578368065,11704,11704
1578369367,11746,11746
1578370508,11746,11746
1578372129,11742,11742
1578372968,11762,11762
1578374046,11753,11753
1578375608,11734,11734
1578377407,11748,11748
1578379327,11745,11745
1578381007,11763,11763
1578382086,11790,11790
1578383407,11780,11780
1578384847,11789,11789
1578386527,11785,11785
1578388446,11791,11791
1578390127,11782,11782
1578391808,11813,11813
1578392886,11837,11837
1578394567,11863,11863
1578396486,11927,11927
1578397808,11927,11927
1578399008,11938,11938
1578400928,11925,11925
1578402846,11924,11924
1578404107,11914,11914
1578405772,11899,11899
1578407107,11927,11927
1578408306,11908,11908
1578409808,11915,11915
1578410887,11946,11946
1578412570,11950,11950
1578413647,11942,11942
1578415509,11945,11945
1578417247,11971,11971
1578418394,11961,11961
1578420439,11996,11996
1578421807,11990,11990
1578422527,12005,12005
1578423367,12018,12018
1578424507,12028,12028
1578425706,12066,12066
1578426836,12107,12107
1578426967,12113,12113
1578428048,12126,12126
1578428887,12159,12159
1578430103,12164,12164
1578430823,12174,12174
1578431647,12200,12200
1578433208,12203,12203
1578435008,12209,12209
1578436086,12238,12238
1578438616,12249,12249
1578440709,12235,12235
1578442446,12250,12250
1578443287,12273,12273
1578444490,12270,12270
1578445807,12266,12266
1578447729,12253,12253
1578449416,12280,12280
1578452498,12254,12254
1578454087,12241,12241
1578454927,12266,12266
1578456610,12265,12265
1578458536,12244,12244
1578459369,12267,12267
1578460447,12266,12266
1578461286,12279,12279
1578462129,12256,12256
1578464049,12257,12257
1578465729,12230,12230
1578467647,12232,12232
1578468490,12241,12241
1578470106,12256,12256
1578471247,12276,12276
1578472807,12265,12265
1578474607,12266,12266
1578474847,12270,12270
1578475688,12292,12292
1578477307,12289,12289
1578478447,12284,12284
1578479707,12271,12271
1578480908,12277,12277
1578482105,12275,12275
1578483215,12259,12259
1578484826,12243,12243
1578485646,12263,12263
1578486907,12258,12258
1578488107,12296,12296
1578489247,12302,12302
1578490929,12306,12306
1578491769,12350,12350
1578492907,12379,12379
1578494107,12402,12402
1578495256,12424,12424
1578496509,12436,12436
1578498129,12469,12469
1578498966,12501,12501
1578500109,12519,12519
1578501608,12499,12499
1578503417,12530,12530
1578504486,12563,12563
1578506006,12554,12554
1578507247,12576,12576
1578508087,12609,12609
1578509707,12592,12592
1578511687,12639,12639
1578512530,12605,12605
1578513368,12629,12629
1578514509,12630,12630
1578516008,12622,12622
1578517295,12625,12625
1578518887,12722,12722
1578520507,12729,12729
1578521646,12721,12721
1578523328,12713,12713
1578525246,12716,12716
1578526809,12699,12699
1578528608,12692,12692
1578528847,12701,12701
1578530527,12678,12678
1578532208,12693,12693
1578533389,12677,12677
1578535817,12673,12673
1578536886,12702,12702
1578537728,12661,12661
1578539260,12664,12664
1578540487,12651,12651
1578541328,12650,12650
1578543009,12652,12652
1578544086,12673,12673
1578546617,12672,12672
1578547809,12652,12652
1578550210,12646,12646
1578551396,12647,12647
1578552129,12654,12654
1578553227,12659,12659
1578554889,12691,12691
1578555727,12674,12674
1578556569,12694,12694
1578556825,12684,12684
1578557647,12702,12702
1578558487,12716,12716
1578559987,12694,12694
1578561307,12689,12689
1578562928,12663,12663
1578563766,12679,12679
1578564847,12668,12668
1578565688,12684,12684
1578566527,12637,12637
1578568216,12639,12639
1578569288,12649,12649
1578572046,12641,12641
1578573610,12624,12624
1578575650,12628,12628
1578576487,12648,12648
1578577341,12623,12623
1578579247,12654,12654
1578580087,12684,12684
1578582848,12664,12664
1578583688,12691,12691
1578584998,12663,12663
1578586208,12697,12697
1578586446,12698,12698
1578587707,12686,12686
1578589820,12695,12695
1578591009,12691,12691
1578591728,12696,12696
1578593159,12690,12690
1578594608,12641,12641
1578595340,12622,12622
1578597246,12629,12629
1578598502,12599,12599
1578600847,12583,12583
1578602526,12527,12527
1578604447,12522,12522
1578605286,12530,12530
1578606607,12519,12519
1578607806,12520,12520
1578609009,12509,12509
1578610861,12132,12132
1578611648,12145,12145
1578612906,12159,12159
1578614428,12169,12169
1578615607,12222,12222
1578616808,12209,12209
1578617766,12241,12241
1578618910,12239,12239
1578620527,12213,12213
1578621883,12234,12234
1578623288,12271,12271
1578626048,12244,12244
1578627258,12216,12216
1578628882,12257,12257
1578630488,12301,12301
1578631808,12274,12274
1578633246,12279,12279
1578634793,12266,12266
1578636607,12293,12293
1578637809,12287,12287
1578640208,12309,12309
1578641393,12244,12244
1578642615,12260,12260
1578645606,12265,12265
1578647647,12293,12293
1578648489,12329,12329
1578650167,12303,12303
1578651309,12330,12330
1578652927,12321,12321
1578654617,12324,12324
1578656529,12325,12325
1578658002,12334,12334
1578659411,12311,12311
1578661815,12318,12318
1578663011,12298,12298
1578664568,12313,12313
1578665647,12296,12296
1578666487,12310,12310
1578668043,12282,12282
1578669248,12256,12256
1578670422,12234,12234
1578672909,12253,12253
1578673688,12265,12265
1578674530,12239,12239
1578676216,12251,12251
1578678128,12227,12227
1578679406,12224,12224
1578681728,12188,12188
1578684607,12211,12211
1578686169,12226,12226
1578687247,12205,12205
1578688927,12119,12119
1578690609,12127,12127
