DateTime,AddedIPs,RemovedIPs
1578613654,9,12
1578614373,8,7
1578615093,8,10
1578615813,11,8
1578616534,10,7
1578617253,7,25
1578617973,12,8
1578618693,13,13
1578619412,7,8
1578620134,8,11
1578620854,11,12
1578621574,13,18
1578622533,21,16
1578623253,8,9
1578623973,9,19
1578624693,6,12
1578625414,6,19
1578626133,14,13
1578626853,8,16
1578627573,13,10
1578628294,10,8
1578629253,16,6
1578629972,13,13
1578630693,13,4
1578631413,13,47
1578632134,21,10
1578632854,15,13
1578633572,9,5
1578634293,8,10
1578635013,6,3
1578635733,11,12
1578636454,11,10
1578637173,14,19
1578638133,7,11
1578638853,11,9
1578639573,8,5
1578640292,15,17
1578641014,5,9
1578641973,13,17
1578642634,13,11
1578644853,38,40
1578645813,12,59
1578646713,10,12
1578648453,19,21
1578649414,24,14
1578650014,7,7
1578651093,299,15
1578652234,16,10
1578653252,14,29
1578653974,7,8
1578655113,9,10
1578655893,10,59
1578656614,7,7
1578657632,1,16905
1578658293,16905,1
1578658953,4,11
1578659733,7,7
1578660454,5,5
1578661653,8,18
1578662373,5,3
1578663092,4,9
1578663813,7,10
1578664473,15,10
1578665732,11,13
1578666452,5,4
1578667412,7,7
1578668133,4,8
1578668854,9,9
1578669573,8,4
1578670293,3,5
1578671014,4,4
1578671853,4,6
1578673173,29,140
1578673892,11,5
1578674613,7,9
1578675334,6,12
1578676053,10,2
1578677253,18,372
1578677972,5,4
1578678693,4,7
1578679653,12,12
1578680613,7,4
1578681573,13,8
1578682294,5,9
1578683733,12,14
1578684692,12,8
1578685413,3,8
1578686133,4,14
1578687093,14,11
1578687812,12,5
1578688773,8,12
1578689493,12,4
1578690453,11,11
1578691413,11,3
1578692133,9,6
1578692853,4,8
1578693573,10,62
1578694533,5,16
1578695252,5,5
1578695973,5,0
1578696693,4,5
1578697413,8,7
1578698373,8,9
1578699092,3,6
1578699813,6,9
1578700532,10,4
1578701252,11,8
1578701973,8,10
1578702933,15,18
1578703653,10,7
1578704374,8,11
1578705332,12,18
1578706053,10,11
1578706773,10,7
1578707493,14,11
1578708213,6,15
1578708933,7,18
1578709653,7,10
1578710374,7,10
1578711093,9,7
1578712053,13,12
1578712773,7,10
1578713493,63,12
1578714213,15,11
1578714933,10,10
1578715653,7,16
1578716373,10,12
1578717095,7,17
1578717814,9,12
1578718533,4,23
1578719252,8,16
1578720033,15,11
1578720693,8,9
1578721413,11,7
1578722134,5,9
1578722853,11,12
1578723572,5,15
1578724294,5,7
1578725014,5,5
1578725733,4,10
1578726453,17,15
1578727173,7,9
1578727894,7,7
1578728614,10,8
1578729333,14,19
1578730054,8,8
1578730773,11,11
1578731493,18,17
1578732214,4,9
1578732934,9,11
1578733892,10,8
1578734613,6,10
1578735334,6,8
1578736232,8,14
1578736833,8,3
1578737493,4,6
1578738213,11,6
1578738934,8,11
1578739653,6,9
1578740374,11,11
1578741092,6,5
1578741812,4,9
1578742532,9,4
1578743253,9,8
1578743973,7,10
1578744693,7,7
1578745413,5,2
1578746132,5,8
1578746853,4,7
1578747574,7,7
1578748294,6,2
1578749013,8,7
1578749733,7,4
1578750453,10,8
1578751174,8,14
1578751894,5,7
1578752613,7,6
1578753333,5,9
1578754054,8,5
1578754772,3,4
1578755493,6,10
1578756213,3,6
1578756932,17,5
1578757653,3,3
1578758374,9,4
1578759093,20,7
1578759813,9,19
1578760532,4,7
1578761253,6,10
1578761973,10,5
1578762694,6,15
1578763413,3,8
1578764133,9,8
1578764853,7,4
1578765572,5,9
1578766292,8,5
1578767013,7,5
1578767732,7,11
1578768453,6,9
1578769173,8,5
1578769893,8,6
1578770613,5,6
1578771333,3,11
1578772052,6,5
1578772774,9,5
1578773493,4,11
1578774214,8,15
1578774933,5,7
1578775654,90,12
1578776374,7,9
1578777094,10,8
1578777812,6,8
1578778532,5,8
1578779253,5,2
1578780092,7,11
1578780752,7,5
1578782372,19,11
1578783093,6,7
1578784534,15,18
1578785254,10,4
1578785973,4,6
1578786693,11,6
1578787414,13,16
1578788133,13,7
1578788853,17,8
1578789812,11,17
1578791973,42,28
1578792694,18,14
1578793412,8,8
1578794134,11,19
1578794854,2,4
1578795574,7,7
1578796293,19,7
1578797013,10,5
1578797733,12,9
1578798693,10,12
1578799413,10,3
1578800134,8,53
1578800853,8,9
1578801573,3,13
1578802292,5,6
1578803013,5,9
1578803734,12,9
1578804692,8,10
1578805413,7,7
1578806133,9,13
1578806853,7,12
1578807573,9,10
1578808294,12,7
1578809013,7,13
1578809734,5,3
1578810452,7,8
1578811173,13,2
1578811893,10,8
1578812853,11,18
1578813573,3,10
1578814293,6,5
1578815012,27,9
1578815732,9,8
1578816694,10,16
1578817414,8,13
1578818133,15,15
1578818853,8,10
1578819573,8,9
1578820772,13,9
1578821493,5,6
1578822212,9,5
1578822934,5,7
1578823653,11,7
1578824613,14,12
1578825333,4,8
1578826052,3,5
1578826773,6,15
1578827732,9,7
1578828453,13,5
1578829172,8,6
1578829892,11,10
1578830853,5,13
1578831573,5,5
1578832293,3,3
1578833012,6,6
1578833734,7,5
1578834694,9,14
1578835412,9,9
1578836377,6,10
1578837092,1,9
1578838053,13,11
1578838773,12,7
1578839493,3,4
1578840212,7,7
1578841892,18,11
1578842613,2,5
1578843573,3,20
1578844293,11,3
1578845013,3,9
1578845734,4,18
1578846452,8,5
1578847174,3,5
1578847893,3,8
1578848613,4,7
1578849573,5,5
1578850292,10,5
1578851012,6,12
1578851733,10,4
1578852693,9,9
1578853413,9,7
1578854134,6,8
1578854853,5,8
1578855572,7,8
1578856292,7,7
1578857012,8,6
1578857732,7,6
1578858453,5,5
1578859892,13,14
1578860613,5,5
1578861574,7,66
1578862292,4,15
1578863253,13,12
1578863973,5,5
1578864693,8,5
1578865413,5,7
1578866134,7,5
1578866854,8,6
1578867573,4,8
1578868294,4,6
1578869012,7,8
1578869732,8,4
1578870453,7,10
1578871172,8,8
1578871892,6,9
1578872613,11,5
1578873333,10,11
1578874293,18,17
1578875014,15,8
1578875732,14,8
1578876452,11,12
1578877174,10,9
1578877894,15,21
1578878613,15,13
1578879332,13,17
1578880053,11,9
1578880773,16,7
1578881493,11,3
1578882213,12,9
1578882933,16,20
1578883653,8,10
1578884372,4,6
1578885094,11,12
1578885814,9,10
1578886533,9,5
1578887254,6,8
1578887973,14,2
1578888693,3,4
1578889412,10,4
1578890133,16,10
1578890853,6,6
1578891574,7,4
1578892292,10,6
1578893013,6,8
1578893734,7,11
1578894453,9,11
1578895173,4,8
1578895893,7,5
1578896613,53,7
1578897333,11,10
1578898054,6,10
1578898773,7,11
1578899492,7,5
1578900213,9,4
1578900933,12,23
1578901653,12,10
1578902373,9,10
1578903094,12,7
1578903813,5,10
1578904534,7,15
1578905253,3,6
1578905973,11,11
1578906693,8,9
1578907412,5,5
1578908133,12,9
1578908853,6,5
1578909574,93,8
1578910293,8,12
1578911012,49,10
1578911972,11,6
1578912693,8,4
1578913414,11,6
1578914133,6,7
1578914854,11,13
1578915573,7,7
1578916293,8,15
1578917013,7,3
1578918223,17,672
1578918933,7,3
1578919653,4,8
1578920374,8,7
1578921092,6,7
1578921813,12,6
1578922773,11,8
1578923974,9,8
1578924694,9,10
1578925414,9,9
1578926374,9,5
1578927093,8,9
1578928294,13,12
1578929014,2,1
1578929732,8,3
1578930454,10,8
1578931174,8,5
1578931893,7,4
1578932613,5,5
1578933332,12,10
1578934052,5,0
1578934772,5,5
1578935733,4,8
1578936453,8,8
1578937653,7,12
1578938373,4,8
1578939093,9,6
1578939814,3,8
1578940533,3,5
1578941252,4,5
1578941973,3,7
1578942693,6,7
1578943413,2,5
1578944373,7,10
1578945093,9,3
1578945813,6,3
1578946772,22,7
1578947493,3,6
1578948212,6,7
1578948932,7,7
1578949652,4,8
1578950373,4,4
1578951093,10,9
1578951813,4,4
1578952532,7,4
1578953252,6,6
1578954452,15,7
1578955413,8,8
1578956132,4,7
1578957093,5,10
1578957814,13,7
1578958533,10,8
1578959253,9,9
1578960453,15,20
1578961412,8,20
1578962134,16,17
1578962853,11,9
1578963572,13,11
1578964293,11,13
1578965014,16,14
1578965733,10,11
1578966452,16,8
1578967173,10,17
1578967893,10,10
1578968612,11,11
1578969573,9,18
1578970292,8,6
1578971013,10,6
1578971732,5,8
1578972454,9,9
1578973173,17,6
1578973894,5,9
1578974613,9,9
1578975333,8,6
1578976293,8,19
1578977013,12,7
1578977733,9,8
1578978454,9,8
1578979173,8,8
1578979893,5,12
1578980613,7,7
1578981333,8,3
1578982053,6,6
1578982773,11,11
1578983493,6,43
1578984212,13,9
1578984933,13,4
1578985653,9,10
1578986612,35,11
1578987333,11,9
1578988054,6,9
1578988773,12,10
1578989494,15,13
1578990214,5,6
1578990933,7,6
1578991893,16,6
1578992853,14,21
1578993573,10,5
1578994293,5,12
1578995012,5,8
1578995733,8,70
1578996453,8,8
1578997173,11,9
1578997893,8,7
1578998613,10,9
1578999332,6,6
1579000053,8,12
1579000772,13,11
