DateTime,Entries,UniqueIPs
1577952499,1067,1121
1577954419,1067,1119
1577956350,1064,1116
1577958270,1093,1144
1577960189,1135,1187
1577962095,1154,1210
1577964030,1171,1230
1577965940,1179,1238
1577969786,1171,1233
1577971959,1185,1250
1577973859,1217,1282
1577975780,1242,1308
1577977950,1224,1290
1577979848,1220,1286
1577981787,1227,1295
1577983687,1248,1315
1577985608,1269,1337
1577987550,1288,1357
1577989449,1309,1378
1577991380,1326,1396
1577993551,1346,1417
1577995463,1356,1426
1577997387,1372,1444
1577999292,1389,1461
1578001210,1414,1489
1578003142,1424,1500
1578005049,1417,1493
1578007217,1427,1501
1578009129,1446,1520
1578011051,1461,1537
1578012969,1458,1537
1578014888,1476,1555
1578016837,1488,1569
1578018751,1495,1574
1578020661,1513,1592
1578022580,1513,1590
1578024764,1525,1598
1578026655,1518,1592
1578028571,1516,1589
1578032425,1502,1566
1578034330,1495,1559
1578036259,1492,1555
1578038165,1487,1551
1578040089,1474,1535
1578042031,1473,1534
1578043937,1472,1533
1578046099,1466,1529
1578048010,1458,1520
1578049943,1455,1517
1578051847,1453,1515
1578053780,1439,1503
1578055711,1470,1536
1578057611,1476,1543
1578059527,1462,1532
1578061463,1443,1514
1578063366,1422,1492
1578065299,1435,1505
1578067210,1449,1519
1578069134,1441,1514
1578071312,1445,1518
1578073210,1429,1502
1578079214,1366,1439
1578081128,1353,1423
1578083059,1347,1419
1578084966,1340,1408
1578086897,1338,1406
1578088819,1338,1404
1578090738,1336,1402
1578093155,1338,1404
1578096979,1314,1375
1578099137,1298,1360
1578101049,1295,1357
1578102978,1285,1349
1578104888,1276,1343
1578106813,1256,1323
1578108733,1235,1302
1578110901,1224,1288
1578112808,1215,1277
1578114740,1202,1268
1578116648,1188,1255
1578118573,1198,1265
1578120501,1175,1241
1578122423,1168,1232
1578124328,1168,1230
1578126268,1160,1222
1578128167,1164,1227
1578130339,1133,1196
1578132497,1146,1209
1578134426,1121,1186
1578136586,1117,1181
1578138500,1103,1169
1578140416,1105,1170
1578142338,1082,1148
1578144249,1072,1135
1578146419,1064,1126
1578148359,1074,1134
1578150272,1072,1132
1578152180,1078,1136
1578154090,1071,1129
1578156010,1071,1127
1578157955,1050,1107
1578161770,1062,1121
1578163701,1081,1143
1578165613,1101,1163
1578167532,1078,1141
1578169460,1065,1126
1578171368,1069,1131
1578173300,1064,1125
1578175222,1063,1122
1578177151,1072,1130
1578179058,1097,1155
1578180981,1100,1158
1578182901,1118,1176
1578184809,1100,1159
1578186744,1096,1157
1578188650,1081,1142
1578190570,1079,1139
1578192486,1070,1129
1578194409,1079,1138
1578196344,1085,1142
1578198247,1086,1142
1578200177,1093,1150
1578202090,1102,1160
1578205940,1096,1154
1578208111,1106,1165
1578210010,1110,1168
1578211943,1109,1167
1578213849,1125,1185
1578215776,1121,1181
1578217713,1135,1191
1578219618,1142,1201
1578221531,1135,1193
1578223461,1138,1196
1578225367,1153,1206
1578227291,1164,1217
1578229224,1173,1227
1578231141,1188,1244
1578237145,1143,1199
1578239052,1121,1178
1578240972,1121,1177
1578242899,1116,1172
1578244822,1113,1168
1578246729,1135,1191
1578248663,1125,1182
1578250567,1129,1189
1578252743,1124,1184
1578256810,1109,1166
1578258743,1119,1179
1578260650,1127,1188
1578262586,1126,1192
1578264489,1120,1187
1578266407,1121,1188
1578268341,1133,1199
1578270253,1134,1198
1578272177,1136,1201
1578274088,1153,1218
1578277950,1159,1225
1578280106,1165,1232
1578282012,1175,1243
1578283945,1182,1250
1578285848,1193,1261
1578287772,1215,1280
1578289696,1224,1290
1578291607,1250,1316
1578295464,1241,1310
1578297366,1255,1324
1578299537,1262,1329
1578301699,1264,1328
1578303612,1282,1347
1578305798,1308,1373
1578309619,1287,1350
1578311534,1281,1345
1578313459,1272,1334
1578315374,1282,1343
1578317299,1268,1329
1578319233,1261,1323
1578321148,1272,1334
1578323065,1300,1363
1578324980,1314,1377
1578326905,1338,1405
1578330749,1341,1406
1578332662,1346,1410
1578334586,1352,1415
1578336734,1360,1423
1578338649,1351,1415
1578340588,1367,1431
1578342491,1378,1444
1578344425,1383,1446
1578346329,1386,1446
1578348500,1403,1461
1578350408,1415,1472
1578352342,1414,1468
1578354258,1394,1448
1578356417,1382,1434
1578358327,1391,1443
1578360261,1383,1435
1578362173,1383,1434
1578364335,1404,1458
1578366498,1391,1444
1578368421,1361,1413
1578370338,1382,1434
1578372249,1337,1389
1578374180,1317,1370
1578378027,1282,1333
1578379929,1314,1365
1578381851,1332,1384
1578383785,1297,1349
1578387614,1289,1341
1578389543,1281,1332
1578391710,1278,1329
1578393610,1261,1312
1578395546,1289,1341
1578397453,1290,1344
1578399393,1278,1331
1578401299,1295,1343
1578403215,1316,1366
1578405131,1320,1372
1578407062,1324,1375
1578408969,1350,1401
1578413302,1317,1368
1578415211,1308,1360
1578417392,1308,1362
1578419294,1306,1360
1578421223,1304,1360
1578425060,1293,1349
1578429138,1287,1340
1578431305,1275,1328
1578433224,1260,1313
1578435382,1243,1296
1578437532,1220,1273
1578439456,1209,1267
1578441380,1227,1286
1578443292,1227,1287
1578445227,1220,1279
1578447133,1222,1282
1578449303,1208,1270
1578451222,1211,1273
1578453145,1204,1265
1578455292,1196,1258
1578457231,1180,1242
1578459128,1172,1234
1578461048,1182,1240
1578462999,1205,1268
1578464885,1211,1274
1578466830,1203,1266
1578469694,1206,1271
1578471616,1200,1263
1578473525,1224,1287
1578475444,1209,1272
1578477378,1226,1288
1578479292,1211,1273
1578481212,1215,1276
1578483152,1220,1281
1578485059,1224,1283
1578486979,1233,1292
1578488894,1243,1300
1578490806,1230,1286
1578492758,1232,1288
1578494646,1213,1268
1578496832,1195,1251
1578498737,1229,1285
1578500648,1228,1284
1578502568,1241,1298
1578504754,1240,1297
1578506653,1251,1308
1578508618,1254,1311
1578510500,1277,1335
1578512407,1266,1322
1578514340,1280,1338
1578516247,1257,1315
1578518179,1269,1327
1578520083,1267,1323
1578522017,1265,1319
1578524167,1267,1322
1578526338,1273,1323
1578528501,1275,1325
1578530408,1280,1331
1578532344,1286,1335
1578534246,1283,1330
1578536172,1276,1323
1578538098,1269,1315
1578543861,1239,1286
1578545768,1242,1289
1578547940,1233,1281
1578551790,1211,1260
1578553697,1208,1257
1578555615,1231,1280
1578557554,1225,1274
1578559456,1223,1273
1578561372,1220,1273
1578563302,1235,1287
1578565207,1224,1278
1578567135,1236,1291
1578569059,1229,1283
1578570970,1211,1266
1578572906,1200,1255
1578574822,1207,1262
1578576761,1204,1260
1578578655,1217,1273
1578580585,1219,1276
1578584410,1216,1272
1578586367,1212,1268
1578588246,1211,1267
1578590414,1200,1256
1578592325,1201,1257
1578594265,1186,1242
1578596169,1189,1245
1578598348,1201,1256
1578600500,1212,1266
1578602422,1215,1268
