DateTime,AddedIPs,RemovedIPs
1577952499,27,6
1577954419,14,19
1577956350,14,9
1577958270,25,20
1577960189,30,13
1577962095,23,16
1577964030,20,14
1577965940,17,18
1577969786,15,35
1577971959,26,23
1577973859,34,14
1577975780,36,27
1577977950,9,25
1577979848,7,15
1577981787,15,27
1577983687,20,19
1577985608,24,27
1577987550,16,28
1577989449,20,31
1577991380,27,19
1577993551,29,27
1577995463,18,0
1577997387,19,19
1577999292,19,21
1578001210,23,0
1578003142,20,17
1578005049,10,22
1578007217,20,21
1578009129,16,23
1578011051,30,0
1578012969,17,16
1578014888,20,17
1578016837,24,25
1578018751,17,15
1578020661,24,11
1578022580,11,10
1578024764,14,16
1578026655,14,19
1578028571,9,20
1578032425,25,27
1578034330,12,18
1578036259,17,23
1578038165,8,26
1578040089,8,14
1578042031,16,19
1578043937,8,11
1578046099,21,13
1578048010,20,7
1578049943,20,10
1578051847,16,3
1578053780,5,11
1578055711,20,16
1578057611,17,11
1578059527,14,11
1578061463,12,19
1578063366,14,24
1578065299,19,14
1578067210,18,22
1578069134,13,19
1578071312,23,30
1578073210,9,18
1578079214,17,64
1578081128,11,15
1578083059,14,13
1578084966,18,14
1578086897,19,19
1578088819,19,9
1578090738,19,18
1578093155,13,17
1578096979,17,32
1578099137,18,10
1578101049,10,14
1578102978,12,8
1578104888,14,18
1578106813,9,20
1578108733,8,0
1578110901,12,15
1578112808,14,10
1578114740,7,11
1578116648,10,15
1578118573,6,14
1578120501,5,10
1578122423,8,11
1578124328,13,10
1578126268,12,18
1578128167,10,25
1578130339,8,20
1578132497,10,16
1578134426,19,5
1578136586,17,9
1578138500,6,12
1578140416,8,3
1578142338,11,12
1578144249,13,25
1578146419,13,16
1578148359,21,39
1578150272,13,0
1578152180,21,30
1578154090,13,0
1578156010,11,22
1578157955,9,28
1578161770,19,12
1578163701,15,14
1578165613,12,14
1578167532,13,13
1578169460,10,15
1578171368,21,31
1578173300,11,25
1578175222,21,21
1578177151,23,9
1578179058,22,9
1578180981,14,19
1578182901,13,11
1578184809,12,13
1578186744,6,10
1578188650,4,7
1578190570,8,10
1578192486,13,11
1578194409,14,9
1578196344,13,12
1578198247,10,7
1578200177,7,10
1578202090,12,7
1578205940,16,36
1578208111,15,10
1578210010,8,9
1578211943,14,15
1578213849,21,17
1578215776,10,12
1578217713,14,7
1578219618,19,0
1578221531,12,10
1578223461,19,6
1578225367,17,7
1578227291,13,6
1578229224,18,14
1578231141,18,6
1578237145,8,21
1578239052,6,15
1578240972,4,27
1578242899,11,17
1578244822,11,18
1578246729,12,13
1578248663,12,33
1578250567,19,23
1578252743,11,0
1578256810,22,45
1578258743,22,17
1578260650,15,13
1578262586,16,8
1578264489,15,0
1578266407,20,10
