DateTime,AddedIPs,RemovedIPs
1577952499,63,58
1577954419,52,63
1577956350,37,54
1577958270,54,39
1577960189,68,52
1577962095,59,69
1577964030,59,55
1577965940,55,60
1577969786,57,56
1577971959,60,57
1577973859,66,60
1577975780,67,64
1577977950,26,65
1577979848,27,32
1577981787,48,27
1577983687,56,45
1577985608,50,60
1577987550,60,48
1577989449,51,58
1577991380,63,50
1577993551,60,61
1577995463,51,64
1577997387,62,50
1577999292,53,55
1578001210,63,58
1578003142,57,64
1578005049,42,58
1578007217,66,42
1578009129,54,63
1578011051,64,60
1578012969,55,63
1578014888,62,53
1578016837,59,63
1578018751,64,57
1578020661,64,66
1578022580,59,65
1578024764,64,56
1578026655,53,64
1578028571,55,50
1578032425,59,58
1578034330,59,56
1578036259,59,58
1578038165,56,58
1578040089,38,60
1578042031,54,38
1578043937,34,58
1578046099,58,35
1578048010,47,51
1578049943,53,51
1578051847,55,56
1578053780,29,56
1578055711,67,27
1578057611,60,66
1578059527,59,58
1578061463,39,58
1578063366,40,42
1578065299,51,43
1578067210,49,48
1578069134,41,43
1578071312,54,41
1578073210,31,53
1578079214,44,36
1578081128,43,42
1578083059,55,48
1578084966,47,55
1578086897,56,46
1578088819,48,55
1578090738,41,49
1578093155,39,41
1578096979,53,39
1578099137,53,53
1578101049,47,53
1578102978,48,46
1578104888,42,49
1578106813,35,42
1578108733,36,28
1578110901,29,42
1578112808,35,31
1578114740,23,35
1578116648,33,25
1578118573,35,31
1578120501,23,36
1578122423,34,21
1578124328,39,34
1578126268,33,40
1578128167,36,33
1578130339,21,36
1578132497,33,23
1578134426,64,33
1578136586,51,55
1578138500,44,56
1578140416,25,47
1578142338,34,23
1578144249,29,36
1578146419,41,28
1578148359,47,36
1578150272,33,48
1578152180,43,36
1578154090,31,42
1578156010,38,32
1578157955,34,36
1578161770,51,36
1578163701,33,51
1578165613,40,35
1578167532,48,41
1578169460,43,46
1578171368,42,43
1578173300,34,42
1578175222,52,35
1578177151,42,45
1578179058,46,43
1578180981,46,49
1578182901,42,44
1578184809,44,44
1578186744,38,47
1578188650,24,38
1578190570,36,23
1578192486,31,34
1578194409,39,34
1578196344,39,39
1578198247,38,40
1578200177,37,34
1578202090,40,41
1578205940,43,37
1578208111,52,43
1578210010,54,49
1578211943,47,56
1578213849,53,45
1578215776,34,58
1578217713,46,33
1578219618,55,46
1578221531,46,51
1578223461,53,48
1578225367,52,53
1578227291,39,55
1578229224,54,36
1578231141,52,54
1578237145,21,54
1578239052,16,22
1578240972,22,17
1578242899,28,22
1578244822,25,25
1578246729,38,27
1578248663,43,33
1578250567,64,46
1578252743,37,58
1578256810,65,42
1578258743,59,60
1578260650,56,61
1578262586,57,56
1578264489,60,58
1578266407,57,60
1578268341,57,57
1578270253,54,56
1578272177,57,57
1578274088,61,53
1578277950,60,64
1578280106,49,59
1578282012,49,45
1578283945,64,54
1578285848,59,66
1578287772,67,58
1578289696,58,68
1578291607,57,54
1578295464,63,61
1578297366,68,61
1578299537,49,62
1578301699,53,53
1578303612,55,58
1578305798,64,56
1578309619,45,64
1578311534,47,44
1578313459,40,48
1578315374,46,37
1578317299,32,45
1578319233,42,35
1578321148,25,42
1578323065,44,23
1578324980,39,45
1578326905,49,35
1578330749,43,50
1578332662,42,46
1578334586,46,43
1578336734,42,43
1578338649,38,44
1578340588,58,40
1578342491,34,56
1578344425,46,35
1578346329,45,42
1578348500,53,45
1578350408,56,55
1578352342,39,57
1578354258,25,41
1578356417,35,25
1578358327,40,36
1578360261,29,40
1578362173,60,28
1578364335,41,52
1578366498,38,43
1578368421,44,38
1578370338,38,47
1578372249,44,40
1578374180,35,45
1578378027,44,35
1578379929,55,42
1578381851,38,54
1578383785,52,35
1578387614,45,55
1578389543,40,47
1578391710,55,38
1578393610,53,53
1578395546,51,57
1578397453,51,53
1578399393,27,48
1578401299,53,27
1578403215,68,54
1578405131,42,66
1578407062,56,41
1578408969,62,61
1578413302,40,58
1578415211,61,41
1578417392,47,59
1578419294,34,52
