DateTime,AddedIPs,RemovedIPs
1577085086,3,4
1577088690,2,1
1577092291,1,1
1577095894,1,1
1577099492,2,2
1577103091,4,3
1577106698,5,1
1577110298,2,2
1577113895,3,3
1577117496,1,0
1577121103,2,1
1577124704,4,2
1577131903,3,1
1577135505,6,4
1577139106,3,3
1577142705,1,2
1577146304,2,0
1577149902,0,1
1577153503,3,4
1577157104,3,1
1577160702,2,4
1577164303,3,1
1577167903,2,1
1577171507,3,4
1577175106,4,2
1577178705,0,1
1577182304,1,1
1577185902,1,4
1577189505,3,3
1577193100,2,2
1577196701,2,2
1577200298,3,3
1577203900,5,3
1577207505,3,2
1577211102,1,1
1577214701,1,2
1577218302,2,3
1577221907,5,2
1577225510,4,4
1577229105,2,5
1577232706,1,1
1577236301,3,5
1577239905,2,3
1577243506,4,4
1577247099,2,3
1577250697,0,3
1577254298,4,4
1577257898,2,2
1577261496,2,4
1577265096,2,1
1577268697,4,2
1577272295,3,5
1577275893,2,2
1577279488,1,4
1577283089,2,0
1577286689,2,0
1577290294,3,2
1577293890,2,3
1577297489,0,2
1577301092,1,0
1577304686,2,5
1577308288,4,1
1577311884,2,3
1577319084,3,3
1577322684,2,5
1577326286,5,1
1577329882,0,2
1577333481,0,1
1577337081,4,6
1577340685,4,2
1577344285,5,2
1577347887,3,2
1577351491,1,0
1577355089,3,7
1577358679,0,4
1577362280,2,1
1577365880,1,2
1577369476,0,4
1577373086,6,4
1577376688,25,3
1577380287,2,2
1577383889,4,4
1577387487,6,5
1577391083,1,4
1577394686,4,0
1577398287,6,5
1577401886,1,1
1577405484,0,3
1577409075,0,5
1577412677,2,2
1577419879,3,3
1577423475,2,6
1577427072,1,3
1577430672,1,2
1577437870,2,6
1577441470,2,2
1577445067,2,2
1577448664,2,4
1577452263,1,3
1577455859,0,4
1577459462,3,1
1577463061,1,2
1577466653,0,5
1577470256,5,3
1577473852,1,5
1577477450,0,1
1577481044,1,5
1577484641,0,3
1577488234,0,6
1577491828,1,5
1577495428,1,2
1577499022,1,5
1577502621,2,3
1577506217,1,5
1577509815,2,3
1577513414,1,2
1577517013,1,2
1577520611,1,4
1577524205,0,4
1577531404,1,1
1577535004,2,3
1577538605,2,3
1577542202,2,3
1577545800,0,3
1577549395,0,3
1577552999,2,5
1577556592,0,4
1577560185,2,5
1577563786,1,0
1577567384,0,2
1577570974,2,26
1577574568,1,3
1577578166,1,1
1577581766,1,1
1577585364,1,2
1577588963,1,2
1577592563,4,2
1577596166,4,1
1577599764,1,3
1577603365,3,3
1577606962,4,3
1577610557,1,4
1577614158,1,0
1577617757,0,2
1577621355,0,6
1577624943,0,5
1577628542,2,4
1577632140,0,3
1577635737,3,6
1577639338,2,4
1577642937,1,4
1577646531,7,3
1577650133,16,5
1577653727,1,5
1577657320,1,5
1577660919,2,2
1577664521,2,2
1577668117,0,1
1577671713,1,4
1577675310,0,3
1577678907,1,2
1577682507,0,2
1577686101,0,3
1577689696,1,5
1577693293,1,2
1577696891,0,1
1577700493,2,0
1577704091,0,4
1577707687,1,5
1577711281,0,5
1577714882,0,1
1577718478,0,3
1577722075,1,2
1577725672,1,2
1577729268,1,6
1577732867,0,2
1577736461,0,6
1577740057,1,4
1577743652,2,3
1577747253,0,1
1577750856,2,0
1577754454,1,3
1577758050,1,3
1577761650,1,1
1577765250,2,2
1577768849,1,2
1577772444,1,4
1577776041,0,3
1577779641,1,3
1577783241,1,2
1577786836,0,2
1577790438,2,2
1577794031,1,1
1577797633,3,2
1577801233,3,2
1577804830,0,4
1577808429,2,2
1577812025,0,2
1577815627,3,2
1577822825,0,4
1577826414,1,6
1577830011,0,3
1577833615,3,1
1577837219,3,2
1577840816,1,4
1577844412,0,1
1577848008,0,3
1577851607,2,4
1577855208,3,2
1577858805,1,2
1577862407,1,1
1577866004,3,1
1577869616,10,2
1577873211,0,5
1577876811,1,1
1577880412,3,1
1577884009,0,3
1577887608,0,3
1577891206,1,4
1577894804,1,1
1577898403,3,2
1577902003,1,1
1577905600,0,3
1577909199,2,2
1577912806,5,1
1577916403,1,2
1577920001,0,1
1577923599,0,4
1577927196,0,1
1577930793,0,4
1577934394,1,0
1577937995,2,1
1577941592,0,4
1577945197,4,0
1577948789,3,3
1577952393,4,1
1577955992,1,1
1577959594,3,4
1577963193,0,1
1577966796,2,1
1577970395,0,2
1577973992,0,1
1577977588,1,3
1577981179,1,25
1577984778,0,1
1577988373,0,3
1577991969,0,9
1577995571,5,1
1577999168,3,4
1578002767,2,4
1578006362,1,3
1578009965,2,0
1578013564,1,0
1578017160,1,2
1578020763,2,1
1578024364,0,2
1578027961,0,3
1578031563,2,3
1578035163,2,1
1578042362,0,2
1578045958,0,1
1578049554,0,3
1578053163,19,0
1578056761,0,2
1578060362,1,0
1578063966,2,0
1578067567,1,1
1578071165,0,2
1578074761,1,3
1578078359,0,2
1578081956,0,1
1578085558,2,2
1578092757,1,1
1578096359,2,2
1578099958,2,1
1578103558,1,0
1578107158,1,0
1578110760,1,0
1578114356,1,5
1578117954,0,2
1578121552,1,1
1578125149,2,3
1578128749,2,3
1578132346,0,1
1578135944,0,2
1578139546,1,2
1578143143,0,4
1578146741,1,1
1578150340,1,1
1578153942,1,1
1578157537,1,4
1578161139,2,0
1578164736,0,2
1578168333,1,2
1578171932,1,0
1578175536,1,3
1578182737,2,0
1578186333,1,1
1578193536,4,1
1578197140,3,0
1578200742,1,1
1578204343,1,3
1578207941,1,3
1578215142,3,1
1578218745,2,0
1578222347,4,2
1578225948,1,0
1578229544,0,3
1578233142,1,2
1578236743,2,1
1578240344,1,0
1578243944,1,0
1578247544,0,1
1578251136,0,12
1578254727,0,15
1578261925,0,3
1578265521,0,3
1578269121,1,1
1578279921,1,0
1578283526,3,0
1578287127,1,0
1578290730,3,0
1578294334,2,0
1578297934,3,1
1578301535,1,0
1578305136,1,1
1578308733,1,1
1578312359,32,1
1578315971,10,1
1578323172,1,0
1578326769,1,1
1578330369,0,1
1578333972,4,0
1578337570,2,1
1578341172,5,0
1578344771,1,1
1578348373,2,1
1578351974,3,0
1578355574,1,1
1578359171,2,1
1578366370,1,1
1578369968,0,1
1578373569,1,1
1578377170,2,1
1578380773,3,0
1578384372,1,2
1578387975,1,1
1578391577,3,1
1578395177,0,1
1578398779,3,1
1578402378,0,4
1578405975,1,2
1578409576,2,1
1578413177,2,2
1578416776,0,1
1578420378,2,2
1578423977,1,2
1578427581,4,1
1578431181,1,2
1578438384,4,0
1578441983,2,3
1578445583,2,1
1578452781,3,4
1578456380,3,2
1578459978,2,3
1578463575,0,3
1578467170,2,6
1578470770,0,3
1578474364,2,5
1578477958,2,6
1578481557,1,1
1578485162,3,0
1578488765,2,4
1578492368,1,1
1578495965,0,1
1578499567,2,2
1578503164,1,4
1578506765,0,4
1578510361,1,1
1578513957,0,5
1578517554,1,5
1578521152,0,3
1578524753,1,2
1578528354,1,1
1578531953,1,3
1578535558,3,2
1578539155,3,1
1578542759,3,6
1578546360,4,3
1578549963,3,5
1578553570,5,3
1578557174,5,6
1578560779,3,0
1578564380,0,1
1578567981,0,2
1578571581,4,2
1578575179,2,2
1578578779,1,1
1578585980,1,1
1578589580,2,2
1578593187,4,0
1578596785,2,1
1578600385,1,4
1578603978,1,2
1578607577,5,3
1578611174,0,5
1578614772,1,1
1578618376,4,1
1578621977,2,0
1578625578,4,2
1578629183,4,1
1578632783,1,1
1578636379,1,2
1578639981,5,2
1578647183,1,0
1578650783,2,1
1578654385,2,1
1578657974,3,23
1578661579,3,1
1578668779,2,2
1578672385,4,0
1578679583,0,2
1578683182,2,1
1578686790,2,0
1578690389,1,1
1578693986,3,1
1578697588,2,0
1578701189,1,1
1578704786,1,3
1578708389,2,0
1578711990,2,0
1578715596,8,1
1578719194,4,2
1578722796,2,0
1578729999,2,0
1578733598,1,1
1578737198,1,1
1578740798,1,1
1578748008,26,0
1578755208,1,3
1578758810,4,1
1578762411,1,1
1578766009,3,2
1578769611,3,1
1578776809,0,1
1578780411,3,2
1578784009,3,2
1578787611,1,3
1578791211,1,0
1578794813,1,0
1578798413,1,0
1578802014,1,0
1578805618,4,0
1578809225,6,0
1578812827,2,1
1578816430,1,0
1578820028,1,2
1578823626,0,2
1578827223,0,2
1578830822,0,1
1578834426,1,0
1578841624,2,3
1578845226,2,0
1578848827,1,1
1578852426,1,1
1578856026,1,0
1578859625,0,1
1578863221,0,4
1578866816,0,3
1578870421,1,1
1578874017,3,1
1578888420,1,0
1578895616,0,3
1578899214,1,1
1578902812,0,2
1578906414,1,2
1578910009,1,3
1578913604,0,5
1578917181,0,31
1578920764,1,11
1578927965,2,1
1578931563,0,2
1578938763,0,1
1578942364,0,1
1578945962,0,5
1578949562,2,1
1578953163,1,0
1578956763,2,2
1578960364,3,1
1578963963,2,2
1578967562,0,1
1578971161,2,1
1578974766,4,0
1578978365,1,0
1578981963,0,2
1578985561,0,2
1578989162,1,2
1578992764,3,1
1578996364,2,3
1578999965,3,1
