DateTime,AddedIPs,RemovedIPs
1576530238,1,0
1576533818,2,2
1576537416,0,1
1576541014,1,1
1576544612,0,2
1576548214,2,3
1576555407,1,1
1576559005,1,3
1576562606,0,1
1576566204,2,1
1576569801,1,2
1576573401,1,1
1576577003,1,0
1576580601,1,3
1576584200,2,2
1576587800,1,0
1576591401,1,1
1576594999,1,1
1576598599,0,1
1576602196,1,3
1576605800,1,1
1576609398,1,0
1576616597,1,1
1576620203,2,1
1576623800,4,0
1576627399,0,1
1576631001,1,0
1576634605,2,0
1576638205,3,1
1576641804,1,1
1576645396,1,6
1576648994,1,4
1576652591,0,1
1576656192,0,1
1576659792,2,0
1576663396,0,1
1576666993,2,0
1576670594,1,0
1576674197,1,0
1576677798,0,1
1576681393,0,2
1576684991,0,2
1576688586,0,3
1576692206,1,1
1576699387,0,2
1576702988,1,0
1576706588,2,3
1576713783,1,2
1576717385,1,0
1576720985,1,2
1576724583,0,1
1576728185,1,1
1576731783,0,1
1576742584,1,1
1576756981,0,1
1576760582,1,0
1576764185,1,0
1576767779,0,2
1576771376,0,2
1576774972,0,3
1576782172,1,2
1576792974,1,0
1576796569,0,1
1576800168,0,3
1576803769,1,1
1576807372,2,2
1576810966,0,2
1576814567,1,0
1576818171,3,1
1576821770,2,3
1576825366,0,2
1576828964,0,2
1576832563,1,1
1576839759,1,5
1576843357,0,2
1576846959,1,0
1576850561,1,0
1576854158,0,1
1576857758,2,0
1576864960,0,3
1576868556,1,2
1576872158,1,0
1576875753,0,2
1576879358,2,0
1576882958,1,0
1576890159,0,1
1576893758,0,1
1576900955,0,1
1576904554,0,1
1576908156,0,1
1576918952,1,0
1576922554,1,0
1576929751,1,2
1576936953,0,1
1576940550,1,1
1576944152,2,0
1576947753,1,0
1576954956,2,0
1576962153,0,1
1576965760,19,0
1576987349,0,19
1576990949,0,1
1577023351,3,0
1577026954,2,0
1577030554,4,0
1577037760,1,0
1577066558,0,1
1577084558,0,1
1577091755,0,1
1577098958,1,0
1577102554,2,1
1577106156,3,0
1577109758,1,2
1577113354,2,3
1577120551,0,1
1577124152,2,3
1577134952,2,0
1577138555,1,0
1577145753,1,0
1577152956,0,1
1577160153,0,2
1577163755,2,0
1577167357,1,0
1577170953,0,2
1577174556,2,0
1577181754,0,1
1577185352,0,2
1577188954,1,2
1577196157,1,0
1577199752,1,0
1577203354,2,1
1577206956,1,1
1577210557,1,1
1577214154,1,1
1577217753,0,1
1577221354,1,0
1577224959,2,3
1577228555,1,3
1577232152,1,0
1577235752,1,2
1577239352,0,2
1577242950,2,3
1577246551,1,1
1577250147,0,2
1577253750,0,1
1577257349,1,0
1577260949,1,1
1577264553,2,0
1577268156,3,0
1577271752,1,2
1577275350,0,1
1577278948,0,1
1577282552,2,0
1577286148,1,0
1577293348,0,1
1577296948,0,1
1577300552,1,0
1577311350,1,1
1577318548,1,1
1577322147,0,1
1577325750,1,0
1577332946,0,1
1577340146,0,1
1577347343,0,1
1577361745,1,0
1577365345,0,1
1577368947,0,1
1577372550,3,0
1577376154,23,1
1577383358,2,2
1577386957,1,0
1577390561,1,0
1577394161,2,0
1577397767,3,1
1577401366,1,0
1577408565,0,2
1577412168,2,1
1577419369,2,2
1577422966,2,3
1577426569,1,2
1577430167,1,0
1577437370,2,0
1577440974,2,0
1577444576,2,1
1577448175,1,0
1577451776,1,1
1577458977,1,0
1577462578,1,1
1577469784,5,2
1577473380,1,1
1577480585,1,0
1577484182,0,3
1577491378,1,0
1577494979,1,1
1577502180,1,2
1577505781,1,0
1577509384,2,0
1577516588,1,0
1577520186,1,1
1577523786,0,1
1577530986,1,0
1577534587,1,1
1577538187,2,0
1577541789,1,1
1577545387,0,1
1577552590,2,2
1577559791,2,1
1577563392,1,0
1577570586,1,23
1577574184,1,1
1577613786,1,0
1577628187,1,3
1577631781,0,2
1577635378,1,4
1577638980,1,0
1577642580,0,2
1577646178,6,1
1577649785,16,0
1577653385,1,0
1577656987,1,0
1577660587,1,0
1577664186,1,1
1577671388,1,0
1577674986,0,1
1577678587,1,0
1577689386,0,1
1577696585,0,1
1577700188,2,0
1577703785,0,1
1577707386,1,3
1577710984,0,3
1577714586,0,1
1577718181,0,2
1577721783,1,0
1577725382,1,1
1577728981,1,3
1577732580,0,2
1577736178,0,1
1577739776,1,1
1577743378,2,2
1577750579,2,0
1577754180,1,1
1577757783,1,0
1577761383,1,0
1577764980,1,0
1577768580,0,2
1577772181,0,1
1577779381,1,2
1577782981,0,1
1577790184,1,0
1577793779,0,1
1577797380,2,0
1577800984,3,1
1577804583,0,1
1577808184,1,0
1577811782,0,1
1577815388,1,1
1577826182,0,2
1577829783,0,2
1577833385,2,0
1577836988,3,0
1577840587,0,2
1577844188,1,1
1577847785,0,2
1577851385,2,2
1577862186,1,1
1577865785,3,0
1577869397,10,0
1577872997,0,2
1577876597,1,0
1577883794,0,2
1577887397,0,1
1577890996,1,1
1577894596,1,0
1577898197,3,1
1577901798,1,0
1577908997,2,0
1577912603,5,0
1577916207,1,1
1577930604,0,1
1577945005,3,0
1577948603,0,1
1577959404,1,0
1577973805,1,0
1577977403,0,1
1577980996,1,22
1577991796,0,2
1577995397,4,0
1577998999,2,0
1578002603,1,0
1578006202,1,1
1578009801,1,0
1578013400,1,0
1578016998,0,2
1578020600,2,0
1578024199,0,1
1578027797,0,3
1578031400,2,3
1578035000,2,1
1578042196,0,2
1578045796,0,1
1578049392,0,3
1578052999,19,0
1578056598,0,1
1578060201,1,0
1578063801,1,0
1578067401,1,1
1578071000,0,1
1578074598,1,3
1578078196,0,2
1578085395,2,2
1578092596,1,1
1578096195,1,2
1578099794,2,1
1578110596,1,0
1578114192,1,4
1578117790,0,2
1578121391,1,1
1578124986,2,2
1578128587,2,2
1578132187,0,1
1578135784,0,1
1578139386,1,1
1578142984,0,2
1578146585,1,1
1578150184,1,1
1578153783,1,1
1578157378,1,3
1578160981,2,0
1578164578,0,1
1578168175,1,2
1578171775,1,0
1578175380,1,1
1578182578,2,0
1578193381,1,0
1578200581,1,0
1578222185,4,1
1578225784,1,0
1578232985,0,1
1578250981,0,8
1578254572,0,14
1578261774,0,1
1578265373,0,1
1578268972,1,0
1578279774,1,0
1578283377,3,0
1578286979,1,0
1578290583,3,0
1578294187,2,0
1578297787,3,0
1578301388,1,0
1578304990,1,1
1578312213,32,1
1578315827,10,0
1578319428,1,0
1578323030,1,0
1578326627,1,1
1578330226,0,1
1578333830,4,0
1578337427,0,1
1578341027,3,0
1578344627,0,1
1578348230,1,1
1578351832,2,0
1578355427,1,1
1578359027,1,1
1578366228,1,0
1578377029,1,0
1578380630,3,0
1578384231,1,2
1578387832,1,0
1578391436,3,0
1578395035,0,1
1578398633,2,0
1578402233,0,3
1578405832,1,2
1578409434,2,1
1578413035,2,1
1578420240,2,1
1578423834,0,2
1578427436,2,0
1578431037,1,0
1578438242,4,0
1578441837,1,2
1578445438,1,0
1578452636,0,1
1578456236,3,2
1578459835,1,1
1578463435,0,1
1578467031,1,2
1578470630,0,3
1578474225,2,5
1578477818,1,6
1578481415,1,1
1578485018,2,0
1578488620,2,0
1578492225,1,1
1578495820,0,1
1578499422,2,1
1578503019,0,4
1578506620,0,1
1578510219,1,0
1578513815,0,4
1578517413,1,3
1578524614,1,1
1578528216,1,1
1578531815,1,0
1578535417,2,0
1578539017,1,0
1578542622,2,0
1578546224,1,0
1578549823,1,1
1578553427,3,1
1578557030,2,0
1578560631,1,0
1578564234,0,1
1578571434,2,0
1578575034,1,0
1578585837,1,0
1578593039,3,0
1578596639,1,0
1578600245,0,1
1578607441,4,1
1578611038,0,3
1578614639,1,0
1578618243,3,1
1578621842,2,0
1578625443,3,2
1578629044,2,0
1578632645,0,1
1578636246,2,2
1578639843,4,2
1578647046,1,0
1578650646,2,1
1578654252,2,0
1578657838,2,23
1578661440,2,1
1578668642,2,1
1578672251,4,0
1578679446,0,1
1578683047,2,0
1578686650,2,0
1578690256,1,1
1578693852,3,1
1578697454,2,0
1578701054,1,1
1578704652,1,2
1578708258,2,0
1578711855,1,0
1578715460,5,1
1578719058,1,2
1578722659,2,0
1578729861,2,0
1578733461,1,1
1578737060,0,1
1578740661,1,1
1578747869,26,0
1578755070,1,3
1578758673,4,1
1578762278,1,1
1578765871,3,2
1578769472,2,0
1578776672,0,1
1578780278,3,1
1578783872,3,1
1578787473,1,2
1578809074,1,0
1578819875,1,0
1578823474,0,1
1578827072,0,1
1578830672,0,1
1578852276,1,0
1578855872,1,0
1578870276,1,0
1578873875,2,1
1578895473,0,3
1578899071,0,1
1578902669,0,2
1578906271,0,3
1578909864,1,3
1578913458,0,4
1578917035,0,31
1578920619,0,11
1578927818,1,1
1578931419,0,2
1578938617,0,1
1578945816,0,3
1578949418,1,0
1578953018,1,0
1578956618,1,1
1578960221,2,1
1578963819,0,1
1578967416,0,1
1578971017,0,1
1578974618,2,0
1578985418,0,2
1578989015,0,2
1578992616,2,1
1578996219,1,3
1578999819,1,1
