DateTime,AddedIPs,RemovedIPs
1576858139,2,1
1576861735,2,3
1576865502,0,1
1576868940,1,0
1576872656,4,2
1576876130,2,4
1576879904,2,1
1576883346,5,1
1576886938,2,0
1576890663,2,3
1576894302,1,3
1576897741,1,1
1576901346,2,0
1576912144,3,1
1576919341,1,0
1576926650,2,1
1576930137,1,1
1576933737,2,2
1576937506,3,2
1576941035,0,4
1576944530,1,1
1576948133,3,0
1576951825,2,4
1576955461,2,0
1576958944,4,1
1576962554,1,1
1576966313,1,0
1576969848,1,0
1576973351,2,1
1576976956,3,1
1576980725,2,0
1576984263,1,2
1576987757,0,1
1576991356,0,1
1576995118,1,0
1576998672,0,1
1577002148,0,1
1577009518,3,0
1577013058,0,2
1577016550,2,2
1577023918,0,1
1577027459,1,0
1577030959,0,3
1577034550,1,1
1577038324,2,2
1577041867,4,0
1577045350,1,1
1577048958,1,2
1577052720,0,1
1577056265,0,4
1577059746,3,1
1577063348,1,1
1577067115,0,2
1577070655,0,1
1577074153,1,0
1577081513,1,1
1577085065,1,0
1577095923,0,2
1577099463,0,1
1577102941,0,3
1577106543,2,0
1577110311,1,0
1577113870,2,2
1577117345,1,0
1577120946,0,3
1577124702,2,1
1577128260,1,2
1577131739,2,0
1577135343,2,1
1577139105,2,0
1577142678,4,3
1577146155,1,0
1577149747,2,0
1577153509,1,1
1577157065,2,3
1577164154,1,2
1577171346,2,0
1577175074,3,3
1577182292,1,4
1577189346,1,1
1577193065,4,2
1577196710,0,2
1577203749,1,1
1577207352,6,1
1577214548,1,7
1577218156,2,1
1577221746,1,0
1577225508,3,1
1577229081,4,0
1577232554,4,2
1577236159,0,2
1577239916,7,2
1577243362,1,1
1577247080,0,1
1577254317,2,0
1577257753,0,1
1577261361,0,2
1577265082,3,0
1577268719,0,1
1577272157,1,2
1577275750,3,3
1577279356,1,2
1577286554,5,1
1577290156,4,2
1577293769,5,3
1577297536,3,2
1577301099,13,1
1577304569,4,1
1577308167,4,3
1577311921,6,4
1577315379,6,1
1577319056,3,3
1577322586,2,0
1577329783,1,2
1577333382,2,0
1577337107,1,0
1577340741,0,1
1577344184,0,3
1577347783,1,2
1577351386,2,0
1577358576,1,1
1577362173,0,1
1577369536,1,0
1577373072,1,0
1577376586,5,3
1577380193,4,5
1577387383,5,5
1577391112,2,2
1577394583,26,29
1577398332,18,21
1577401793,14,7
1577405399,4,0
1577409114,1,0
1577412711,1,1
1577416197,1,3
1577419787,1,1
1577423395,0,1
1577430588,2,4
1577434190,1,1
1577437793,1,1
1577441547,1,2
1577445116,1,1
1577448595,2,2
1577452196,0,1
1577455944,1,0
1577459395,3,2
1577463111,0,5
1577466597,4,1
1577470320,6,2
1577473804,3,1
1577477395,1,1
1577481122,0,2
1577484752,1,5
1577488185,2,0
1577491783,1,3
1577495392,0,1
1577502581,2,5
1577509794,0,1
1577517116,3,2
1577520587,1,0
1577524185,1,1
1577527937,1,2
1577531394,1,0
1577535053,1,3
1577538588,0,2
1577542340,1,3
1577545790,2,1
1577549379,2,2
1577553108,2,2
1577556726,2,2
1577560189,4,2
1577567390,4,3
1577574576,1,8
1577578175,1,3
1577581775,0,1
1577585445,1,2
1577589031,0,2
1577592573,1,0
1577596177,0,1
1577599922,0,1
1577603372,1,1
1577607074,1,1
1577610572,1,0
1577617770,0,1
1577625102,0,1
1577628730,3,0
1577632169,0,1
1577635785,2,2
1577639371,0,1
1577646580,5,5
1577650175,2,2
1577653775,1,1
1577661095,1,0
1577668183,2,2
1577671925,0,1
1577675379,1,1
1577679102,0,2
1577686324,0,1
