DateTime,Entries,UniqueIPs
1571933202,14383,14383
1571947596,14368,14368
1571961965,14317,14317
1571976288,14287,14287
1571990676,14277,14277
1572005039,14255,14255
1572019445,14256,14256
1572033838,14257,14257
1572048275,14285,14285
1572062660,14271,14271
1572077033,14265,14265
1572091110,13850,13850
1572101909,13860,13860
1572112695,13833,13833
1572123809,13958,13958
1572138290,13989,13989
1572152725,14123,14123
1572167174,14213,14213
1572181609,14237,14237
1572196147,14355,14355
1572210498,14480,14480
1572224769,14248,14248
1572239258,14304,14304
1572253492,14342,14342
1572267871,14316,14316
1572282278,14301,14301
1572296640,14321,14321
1572310964,14162,14162
1572325333,14139,14139
1572339754,14104,14104
1572354145,14130,14130
1572368375,13972,13972
1572379178,13972,13972
1572390079,13953,13953
1572404437,13936,13936
1572418792,13944,13944
1572429726,13953,13953
1572444059,13971,13971
1572458506,13993,13993
1572472937,13980,13980
1572487314,13989,13989
1572501760,14039,14039
1572516071,14029,14029
1572530544,14015,14015
1572544919,14009,14009
1572559303,14002,14002
1572573744,13994,13994
1572588159,14042,14042
1572602542,14061,14061
1572616911,14057,14057
1572631319,14038,14038
1572645698,14019,14019
1572660150,14029,14029
1572674532,14019,14019
1572688936,14045,14045
1572703292,13989,13989
1572717655,14010,14010
1572732131,14018,14018
1572746551,14055,14055
1572761021,14125,14125
1572775391,14142,14142
1572789889,14255,14255
1572804312,14311,14311
1572818750,14292,14292
1572833197,14361,14361
1572847623,14374,14374
1572862017,14395,14395
1572876412,14409,14409
1572890752,14408,14408
1572905158,14403,14403
1572919775,14534,14534
1572934049,14561,14561
1572948446,14595,14595
1572962868,14594,14594
1572977247,14598,14598
1572991672,14597,14597
1573006065,14615,14615
1573020477,14613,14613
1573034869,14609,14609
1573049258,14599,14599
1573063635,14626,14626
1573078055,14567,14567
1573092460,14563,14563
1573106839,14583,14583
1573121165,14498,14498
1573135523,14476,14476
1573149919,14491,14491
1573164378,14497,14497
1573178767,14469,14469
1573193128,14450,14450
1573207520,14443,14443
1573221978,14415,14415
1573236342,14391,14391
1573250722,14379,14379
1573265176,14384,14384
1573279587,14372,14372
1573293809,14337,14337
1573308214,14306,14306
1573322536,14251,14251
1573336940,14207,14207
1573351512,14328,14328
1573365912,14364,14364
1573380305,14356,14356
1573394648,14340,14340
1573409049,14334,14334
1573423491,14325,14325
1573437816,14228,14228
1573452176,14218,14218
1573466493,14216,14216
1573480985,14314,14314
1573495421,14383,14383
1573509839,14371,14371
1573524293,14372,14372
1573538693,14379,14379
1573553003,14345,14345
1573567398,14316,14316
1573581768,14278,14278
1573596225,14312,14312
1573610642,14331,14331
1573625008,14323,14323
1573639415,14323,14323
1573653807,14295,14295
1573668183,14280,14280
1573682630,14267,14267
1573697027,14271,14271
1573711454,14259,14259
1573725817,14260,14260
1573740193,14213,14213
1573754569,14187,14187
1573768989,14179,14179
1573783378,14180,14180
1573797765,14162,14162
1573813369,14137,14137
1573826454,14108,14108
1573840821,14019,14019
1573855250,13978,13978
1573869619,13948,13948
1573884017,13903,13903
1573898388,13857,13857
1573912720,13812,13812
1573927084,13756,13756
1573941404,13646,13646
1573952074,13618,13618
1573962843,13551,13551
1573973583,13503,13503
1573984440,13428,13428
1573995082,13341,13341
1574005833,13295,13295
1574016586,13246,13246
1574027457,13189,13189
1574038127,13132,13132
1574048893,13080,13080
1574059627,12998,12998
1574070504,12946,12946
1574081179,12906,12906
1574091922,12838,12838
1574102729,12795,12795
1574113718,12759,12759
1574124328,12746,12746
1574135118,12710,12710
1574146772,12686,12686
1574160228,12652,12652
1574171121,12586,12586
1574181745,12570,12570
1574192556,12534,12534
1574203346,12505,12505
1574214258,12453,12453
1574224905,12424,12424
1574235646,12383,12383
1574246391,12334,12334
1574257193,12288,12288
1574267928,12255,12255
1574278781,12246,12246
1574289759,12448,12448
1574300641,12523,12523
1574311613,12560,12560
1574322329,12599,12599
1574333093,12673,12673
1574343925,12710,12710
1574354878,12740,12740
1574365564,12766,12766
1574376389,12804,12804
1574387222,12839,12839
1574398162,12829,12829
1574408827,12842,12842
1574419582,12837,12837
1574430375,12830,12830
1574441324,12836,12836
1574451999,12856,12856
1574462855,12910,12910
1574473708,12966,12966
1574484690,13035,13035
1574495382,13060,13060
1574506180,13078,13078
1574516986,13080,13080
1574538602,13090,13090
1574549613,13159,13159
1574560379,13298,13298
1574571370,13405,13405
1574582831,13508,13508
1574596499,13585,13585
1574607273,13597,13597
1574618077,13611,13611
1574629033,13656,13656
1574639749,13699,13699
1574650587,13746,13746
1574661416,13796,13796
1574672447,13919,13919
1574686880,13940,13940
1574701319,13980,13980
1574715745,13999,13999
1574730133,13984,13984
1574744573,14018,14018
1574758955,13996,13996
1574773327,13971,13971
1574787715,13941,13941
1574802086,13921,13921
1574816502,13917,13917
1574830889,13883,13883
1574845263,13872,13872
1574859652,13866,13866
1574874061,13889,13889
1574888458,13864,13864
1574902828,13810,13810
1574917157,13754,13754
1574931514,13700,13700
1574946121,13969,13969
1574960559,14024,14024
1574975039,14138,14138
1574989522,14254,14254
1575003971,14340,14340
1575018438,14452,14452
1575032862,14499,14499
1575047250,14498,14498
1575061738,14516,14516
1575076127,14530,14530
1575090534,14527,14527
1575104901,14535,14535
1575119319,14537,14537
1575133684,14478,14478
1575148023,14423,14423
1575162351,14307,14307
1575176800,14343,14343
1575191183,14363,14363
1575205697,14546,14546
1575220166,14614,14614
1575234584,14660,14660
1575249142,14826,14826
1575263591,14874,14874
1575278063,14977,14977
1575292515,15045,15045
1575306962,15132,15132
1575321437,15242,15242
1575335973,15385,15385
1575350455,15507,15507
1575364880,15573,15573
1575379338,15633,15633
1575393917,15863,15863
1575408410,15969,15969
1575422961,16018,16018
1575437380,16119,16119
1575451792,16141,16141
1575466255,16225,16225
1575480654,16254,16254
1575495232,16431,16431
1575509634,16436,16436
1575524069,16464,16464
1575538500,16493,16493
1575552734,16289,16289
1575567040,16197,16197
1575581502,16236,16236
1575595890,16211,16211
1575610297,16186,16186
1575624613,16111,16111
1575638920,15976,15976
1575653197,15822,15822
