DateTime,AddedIPs,RemovedIPs
1577103209,3,1
1577106800,3,3
1577110427,1,2
1577114014,2,1
1577117606,1,0
1577121199,3,3
1577124816,0,2
1577128398,0,3
1577131990,0,3
1577135586,1,2
1577139221,2,1
1577142808,1,0
1577146399,1,0
1577150004,0,3
1577153619,0,1
1577157198,2,1
1577160784,1,1
1577164387,0,3
1577168015,1,3
1577171600,12,1
1577175205,5,4
1577178795,2,2
1577182413,3,5
1577185984,1,4
1577189579,2,2
1577193198,1,2
1577196823,5,3
1577200383,1,6
1577203978,2,4
1577207586,1,2
1577211270,1,3
1577214783,0,1
1577218384,1,1
1577221979,1,11
1577225609,1,3
1577229187,1,1
1577236368,0,3
1577239995,0,1
1577243576,2,0
1577247170,0,4
1577250760,1,2
1577254393,1,1
1577257972,0,1
1577261567,3,2
1577265184,5,1
1577268802,2,1
1577272381,1,0
1577275963,1,3
1577279564,3,4
1577283239,4,1
1577286762,1,8
1577290362,0,1
1577293965,4,1
1577297594,0,3
1577301190,2,3
1577304758,1,2
1577308360,2,0
1577311988,1,1
1577315565,0,1
1577319174,1,2
1577322758,2,1
1577326390,3,1
1577329956,0,1
1577333568,4,1
1577337179,0,2
1577340794,0,1
1577344353,2,24
1577347948,0,2
1577351570,10,1
1577355258,3,2
1577358759,0,6
1577362352,2,5
1577365956,0,3
1577369591,1,5
1577373164,0,4
1577376745,1,4
1577380342,1,6
1577383968,1,3
1577387537,1,1
1577391154,3,3
1577394740,1,2
1577398366,0,4
1577401934,1,0
1577405535,1,1
1577409152,1,2
1577412806,1,0
1577416333,1,1
1577419935,4,1
1577423540,2,4
1577427228,2,2
1577430762,24,0
1577434363,5,2
1577437958,3,2
1577441591,1,1
1577445175,0,2
1577448760,2,0
1577452356,3,6
1577455993,5,1
1577459556,1,5
1577463180,3,1
1577466752,1,3
1577470381,2,2
1577473952,3,3
1577477557,2,3
1577481173,4,3
1577484790,1,0
1577491943,2,2
1577499228,1,3
1577502751,2,2
1577506356,2,4
1577509945,0,3
1577513581,1,0
1577517150,1,23
1577520731,1,1
1577524337,2,1
1577527961,2,2
1577531530,1,3
1577535146,3,1
1577538722,2,3
1577542349,3,4
1577545926,3,2
1577549523,3,2
1577553141,6,1
1577556756,2,2
1577560325,3,4
1577563925,3,3
1577567535,2,1
1577574747,1,2
1577578341,1,0
1577581929,2,3
1577585649,0,6
1577589162,1,1
1577592744,0,5
1577596342,1,3
1577599951,2,3
1577603543,1,4
1577607146,3,0
1577610728,1,0
1577614369,0,1
1577617927,1,1
1577621537,3,2
1577625142,0,1
1577628755,0,1
1577632326,2,1
1577635933,2,1
1577643219,3,1
1577646733,5,2
1577650344,13,1
1577653942,2,0
1577657579,1,2
1577661160,3,2
1577664750,5,0
1577668352,2,1
1577671970,0,1
1577675549,3,2
1577679156,0,4
1577682737,0,1
1577686370,1,0
1577689953,19,2
1577693546,2,1
1577697171,4,1
1577700793,2,3
1577704365,1,1
1577707970,0,1
1577711558,1,4
1577715237,4,2
1577718751,3,1
1577722370,21,3
1577725959,5,15
1577729599,2,1
1577733180,3,1
1577736770,0,1
1577740370,2,2
1577744000,0,2
1577747588,2,1
1577751160,1,2
1577761977,1,1
1577765574,1,1
1577769166,3,1
1577772810,2,0
1577776366,1,19
1577779950,3,7
1577783554,5,1
1577787193,3,5
1577790776,1,1
1577794357,0,3
1577797950,1,0
1577801581,2,3
1577805164,2,0
1577808752,4,1
1577812353,2,2
1577819581,8,1
1577823165,2,2
1577826769,0,1
1577830404,2,1
1577837577,1,1
1577841166,1,1
1577851978,4,2
1577855572,0,1
1577859207,1,0
1577862796,3,0
1577866379,12,1
1577869977,1,6
1577873614,1,2
1577877203,6,3
1577884395,11,2
1577888029,2,3
1577891607,1,0
1577895196,1,1
1577898796,0,1
1577902419,0,2
1577905992,0,3
1577909584,0,2
1577913185,1,1
1577920405,1,1
1577923991,0,1
1577927588,2,0
1577931216,0,3
1577938391,0,1
1577941985,0,1
1577945618,2,0
1577949204,26,4
1577952802,1,1
1577956395,3,10
1577960022,3,1
1577963602,2,1
1577967187,0,3
1577970790,3,1
1577974419,2,0
1577978009,1,3
1577981588,3,0
1577985196,0,2
1577988814,1,3
1577992406,2,1
1577995998,2,4
1577999592,1,0
1578003231,3,0
1578006815,2,0
1578010404,1,2
1578014002,1,2
1578017625,0,1
1578021219,3,1
1578024796,1,3
1578028395,4,2
1578032014,0,3
1578035579,2,23
1578039168,3,5
1578042765,1,3
1578046399,2,1
1578049977,2,2
1578053572,1,1
1578057165,1,2
1578060795,6,3
1578064373,1,4
1578067962,3,1
1578071563,0,2
1578075191,0,3
1578078777,5,3
1578082365,3,2
1578085963,2,3
1578089587,1,1
1578093198,1,0
1578096773,2,1
1578104012,1,1
1578107601,0,2
1578111164,2,2
1578114788,2,0
1578118403,1,2
1578122004,17,0
1578125590,2,2
1578129200,3,2
1578132825,0,2
1578136414,3,0
1578139983,1,5
1578143585,1,2
1578147221,2,3
1578150806,4,3
1578154392,5,0
1578157997,2,6
1578161629,2,2
1578165210,2,4
1578168799,0,2
1578172385,0,1
1578176035,0,3
1578179600,1,1
1578183185,1,1
1578186789,0,2
1578190425,1,0
1578194003,1,0
1578197590,1,1
1578201191,1,0
1578204805,0,3
1578208406,2,1
1578211990,1,1
1578215596,2,0
1578219231,5,2
1578222813,4,0
1578226391,1,1
1578229999,11,3
1578233641,9,1
1578237220,5,0
1578240805,2,3
1578244405,5,1
1578248035,2,2
1578251630,2,3
1578255205,2,12
1578258804,1,2
1578262436,0,3
1578266028,1,2
1578269605,0,3
1578273195,0,1
1578280414,0,4
1578283995,1,0
1578287591,2,0
1578291225,1,2
1578294804,3,17
1578301982,5,6
1578305609,1,8
1578309195,2,2
1578312777,3,1
1578316364,1,0
1578320012,2,4
1578323570,2,4
1578327163,3,4
1578330769,1,1
1578334420,0,1
1578337998,0,5
1578341579,1,0
1578345189,1,0
1578348830,3,1
1578352404,0,1
1578355979,0,1
1578359580,0,1
1578363208,2,0
1578366787,5,0
1578373984,1,2
1578377612,2,0
1578381202,22,1
1578384826,3,4
1578388411,5,2
1578392026,2,3
1578395598,1,2
1578399207,2,1
1578402817,4,2
1578406445,3,0
1578410003,3,3
1578413642,4,1
1578417210,0,2
1578424399,0,6
1578428009,0,1
1578431608,15,0
1578435247,1,0
1578438822,1,3
1578442404,0,1
1578449631,1,3
1578453203,1,0
1578456821,1,2
1578460403,1,0
1578464036,0,2
1578467604,4,2
1578471191,1,11
1578474798,2,2
1578478410,2,2
1578481985,1,1
1578485569,1,4
1578489156,0,12
1578492842,1,3
1578496362,1,1
1578499964,1,1
1578503573,4,0
1578507202,2,2
1578510794,3,2
1578514390,6,0
1578517990,0,1
1578521635,3,1
1578525198,2,0
1578532375,1,3
1578536011,2,0
1578543187,3,0
1578546802,1,0
1578550411,2,1
1578553967,0,27
1578557574,2,1
1578561160,1,3
1578564854,1,0
1578568364,2,1
1578571966,1,0
1578575560,1,2
1578579170,1,1
1578582852,4,3
1578586363,2,3
1578589974,1,0
1578593570,2,1
1578597177,2,2
1578600844,0,2
1578604349,0,2
1578607965,1,2
1578611551,2,2
1578615158,0,1
1578622352,1,1
1578625948,3,4
1578629543,1,2
1578633150,4,4
1578636836,3,0
1578640367,22,4
1578643960,2,2
1578647575,1,1
1578651168,2,3
1578654864,1,1
1578658364,8,1
1578661970,2,1
1578665581,2,1
1578669171,0,3
1578672846,1,5
1578676366,3,1
1578679977,6,0
1578683572,5,6
1578687177,2,1
1578690872,3,0
1578694380,2,0
1578701585,1,1
1578705177,2,0
1578712390,1,0
1578715984,1,2
1578719581,3,1
1578723187,3,1
1578726863,2,21
1578730377,4,2
1578733973,1,3
1578737584,5,1
1578741177,3,2
1578744874,3,2
1578748378,3,1
1578751981,2,2
1578755582,5,4
1578759183,1,9
1578762870,2,3
1578766383,1,1
1578769986,5,2
1578773597,2,0
1578780874,1,1
1578784398,2,3
1578788003,1,2
1578791596,3,1
1578795197,0,1
1578798872,1,0
1578802391,1,0
1578805993,0,1
1578813180,0,22
1578816872,4,3
1578820380,0,1
1578823988,0,1
1578827578,2,1
1578831170,1,4
1578834865,3,9
1578838383,6,10
1578841987,2,1
1578845581,3,10
1578849183,2,6
1578852867,2,4
1578856381,0,3
1578859973,2,1
1578863576,2,2
1578867231,98,0
1578870953,2,0
1578874465,1,1
1578878047,0,1
1578881647,0,1
1578885253,1,0
1578888930,1,1
1578892447,1,1
1578896042,1,2
1578899641,3,2
1578903268,23,1
1578906953,11,3
1578910472,2,1
1578914072,2,2
1578917675,1,1
1578921272,2,1
1578924957,0,1
1578928463,1,3
1578932064,0,4
1578935668,1,1
1578939266,0,1
1578942967,3,0
1578946462,2,1
1578950068,0,2
1578953663,1,3
1578957272,2,1
1578960952,2,0
1578964459,2,2
1578968055,1,2
1578971669,0,1
1578978896,6,0
1578982479,2,0
1578986053,4,24
1578989661,5,2
1578993250,1,2
1578996873,2,2
1579000467,1,2
