DateTime,Entries,UniqueIPs
1577103209,627,627
1577106800,627,627
1577110427,626,626
1577114014,627,627
1577117606,628,628
1577121199,628,628
1577124816,626,626
1577128398,623,623
1577131990,620,620
1577135586,619,619
1577139221,620,620
1577142808,621,621
1577146399,622,622
1577150004,619,619
1577153619,618,618
1577157198,619,619
1577160784,619,619
1577164387,616,616
1577168015,614,614
1577171600,625,625
1577175205,626,626
1577178795,626,626
1577182413,624,624
1577185984,621,621
1577189579,621,621
1577193198,620,620
1577196823,622,622
1577200383,617,617
1577203978,615,615
1577207586,614,614
1577211270,612,612
1577214783,611,611
1577218384,611,611
1577221979,601,601
1577225609,599,599
1577229187,599,599
1577236368,596,596
1577239995,595,595
1577243576,597,597
1577247170,593,593
1577250760,592,592
1577254393,592,592
1577257972,591,591
1577261567,592,592
1577265184,596,596
1577268802,597,597
1577272381,598,598
1577275963,596,596
1577279564,595,595
1577283239,598,598
1577286762,591,591
1577290362,590,590
1577293965,593,593
1577297594,590,590
1577301190,589,589
1577304758,588,588
1577308360,590,590
1577311988,590,590
1577315565,589,589
1577319174,588,588
1577322758,589,589
1577326390,591,591
1577329956,590,590
1577333568,593,593
1577337179,591,591
1577340794,590,590
1577344353,568,568
1577347948,566,566
1577351570,575,575
1577355258,576,576
1577358759,570,570
1577362352,567,567
1577365956,564,564
1577369591,560,560
1577373164,556,556
1577376745,553,553
1577380342,548,548
1577383968,546,546
1577387537,546,546
1577391154,546,546
1577394740,545,545
1577398366,541,541
1577401934,542,542
1577405535,542,542
1577409152,541,541
1577412806,542,542
1577416333,542,542
1577419935,545,545
1577423540,543,543
1577427228,543,543
1577430762,567,567
1577434363,570,570
1577437958,571,571
1577441591,571,571
1577445175,569,569
1577448760,571,571
1577452356,568,568
1577455993,572,572
1577459556,568,568
1577463180,570,570
1577466752,568,568
1577470381,568,568
1577473952,568,568
1577477557,567,567
1577481173,568,568
1577484790,569,569
1577491943,569,569
1577499228,567,567
1577502751,567,567
1577506356,565,565
1577509945,562,562
1577513581,563,563
1577517150,541,541
1577520731,541,541
1577524337,542,542
1577527961,542,542
1577531530,540,540
1577535146,542,542
1577538722,541,541
1577542349,540,540
1577545926,541,541
1577549523,542,542
1577553141,547,547
1577556756,547,547
1577560325,546,546
1577563925,546,546
1577567535,547,547
1577574747,546,546
1577578341,547,547
1577581929,546,546
1577585649,540,540
1577589162,540,540
1577592744,535,535
1577596342,533,533
1577599951,532,532
1577603543,529,529
1577607146,532,532
1577610728,533,533
1577614369,532,532
1577617927,532,532
1577621537,533,533
1577625142,532,532
1577628755,531,531
1577632326,532,532
1577635933,533,533
1577643219,535,535
1577646733,538,538
1577650344,550,550
1577653942,552,552
1577657579,551,551
1577661160,552,552
1577664750,557,557
1577668352,558,558
1577671970,557,557
1577675549,558,558
1577679156,554,554
1577682737,553,553
1577686370,554,554
1577689953,571,571
1577693546,572,572
1577697171,575,575
1577700793,574,574
1577704365,574,574
1577707970,573,573
1577711558,570,570
1577715237,572,572
1577718751,574,574
1577722370,592,592
1577725959,582,582
1577729599,583,583
1577733180,585,585
1577736770,584,584
1577740370,584,584
1577744000,582,582
1577747588,583,583
1577751160,582,582
1577761977,582,582
1577765574,582,582
1577769166,584,584
1577772810,586,586
1577776366,568,568
1577779950,564,564
1577783554,568,568
1577787193,566,566
1577790776,566,566
1577794357,563,563
1577797950,564,564
1577801581,563,563
1577805164,565,565
1577808752,568,568
1577812353,568,568
1577819581,575,575
1577823165,575,575
1577826769,574,574
1577830404,575,575
1577837577,575,575
1577841166,575,575
1577851978,577,577
1577855572,576,576
1577859207,577,577
1577862796,580,580
1577866379,591,591
1577869977,586,586
1577873614,585,585
1577877203,588,588
1577884395,597,597
1577888029,596,596
1577891607,597,597
1577895196,597,597
1577898796,596,596
1577902419,594,594
1577905992,591,591
1577909584,589,589
1577913185,589,589
1577920405,589,589
1577923991,588,588
1577927588,590,590
1577931216,587,587
1577938391,586,586
1577941985,585,585
1577945618,587,587
1577949204,609,609
1577952802,609,609
1577956395,602,602
1577960022,604,604
1577963602,605,605
1577967187,602,602
1577970790,604,604
1577974419,606,606
1577978009,604,604
1577981588,607,607
1577985196,605,605
1577988814,603,603
1577992406,604,604
1577995998,602,602
1577999592,603,603
1578003231,606,606
1578006815,608,608
1578010404,607,607
1578014002,606,606
1578017625,605,605
1578021219,607,607
1578024796,605,605
1578028395,607,607
1578032014,604,604
1578035579,583,583
1578039168,581,581
1578042765,579,579
1578046399,580,580
1578049977,580,580
1578053572,580,580
1578057165,579,579
1578060795,582,582
1578064373,579,579
1578067962,581,581
1578071563,579,579
1578075191,576,576
1578078777,578,578
1578082365,579,579
1578085963,578,578
1578089587,578,578
1578093198,579,579
1578096773,580,580
1578104012,580,580
1578107601,578,578
1578111164,578,578
1578114788,580,580
1578118403,579,579
1578122004,596,596
1578125590,596,596
1578129200,597,597
1578132825,595,595
1578136414,598,598
1578139983,594,594
1578143585,593,593
1578147221,592,592
1578150806,593,593
1578154392,598,598
1578157997,594,594
1578161629,594,594
1578165210,592,592
1578168799,590,590
1578172385,589,589
1578176035,586,586
1578179600,586,586
1578183185,586,586
1578186789,584,584
1578190425,585,585
1578194003,586,586
1578197590,586,586
1578201191,587,587
1578204805,584,584
1578208406,585,585
1578211990,585,585
1578215596,587,587
1578219231,590,590
1578222813,594,594
1578226391,594,594
1578229999,602,602
1578233641,610,610
1578237220,615,615
1578240805,614,614
1578244405,618,618
1578248035,618,618
1578251630,617,617
1578255205,607,607
1578258804,606,606
1578262436,603,603
1578266028,602,602
1578269605,599,599
1578273195,598,598
1578280414,594,594
1578283995,595,595
1578287591,597,597
1578291225,596,596
1578294804,582,582
1578301982,581,581
1578305609,574,574
1578309195,574,574
1578312777,576,576
1578316364,577,577
1578320012,575,575
1578323570,573,573
1578327163,572,572
1578330769,572,572
1578334420,571,571
1578337998,566,566
1578341579,567,567
1578345189,568,568
1578348830,570,570
1578352404,569,569
1578355979,568,568
1578359580,567,567
1578363208,569,569
1578366787,574,574
1578373984,573,573
1578377612,575,575
1578381202,596,596
1578384826,595,595
1578388411,598,598
1578392026,597,597
1578395598,596,596
1578399207,597,597
1578402817,599,599
1578406445,602,602
1578410003,602,602
1578413642,605,605
1578417210,603,603
1578424399,597,597
1578428009,596,596
1578431608,611,611
1578435247,612,612
1578438822,610,610
1578442404,609,609
1578449631,607,607
1578453203,608,608
1578456821,607,607
1578460403,608,608
