DateTime,AddedIPs,RemovedIPs
1577277076,62,50
1577282473,46,61
1577284271,53,49
1577287881,64,50
1577291466,58,47
1577296877,62,47
1577298672,69,59
1577302264,79,64
1577305897,62,73
1577307679,74,75
1577313084,57,82
1577316693,40,78
1577320268,71,71
1577325671,99,116
1577329367,59,77
1577332877,80,99
1577338282,64,63
1577343668,103,90
1577349074,54,41
1577350878,71,46
1577352682,46,71
1577354472,71,46
1577356270,68,42
1577361676,81,60
1577363511,58,59
1577367071,72,53
1577370668,54,60
1577377867,111,86
1577381499,62,51
1577385072,60,45
1577388709,75,66
1577392299,55,81
1577394091,81,55
1577395868,101,123
1577399466,58,85
1577403075,63,75
1577408470,77,71
1577412073,57,82
1577413867,42,56
1577419266,67,79
1577421089,82,101
1577424673,65,70
1577428271,64,68
1577431885,56,53
1577437265,43,37
1577439075,78,52
1577440877,52,78
1577442670,127,77
1577446293,57,61
1577449873,71,39
1577453476,67,47
1577457094,70,64
1577460665,68,55
1577466071,72,54
1577467910,63,65
1577469688,72,42
1577475064,73,61
1577478672,68,65
1577484097,62,84
1577485871,57,72
1577489468,53,92
1577493074,79,71
1577496678,55,84
1577500280,47,62
1577503875,61,67
1577507486,81,95
1577511073,58,92
1577512909,61,46
1577518281,50,50
1577521900,63,45
1577525474,62,45
1577530863,119,76
1577536270,67,64
1577539864,79,53
1577541666,62,73
1577547080,81,55
1577550678,56,77
1577554290,82,74
1577557871,80,62
1577561486,58,65
1577565067,71,75
1577568671,72,65
1577572273,59,89
1577575871,53,67
1577579470,63,82
1577583070,68,90
1577586666,34,66
1577590265,55,70
1577593894,78,86
1577597508,52,69
1577601100,54,49
1577606480,92,72
1577610190,73,46
1577615465,78,56
1577619093,60,41
1577624663,71,60
1577626268,70,50
1577629873,77,64
1577631681,72,67
1577637073,61,60
1577642472,77,81
1577644278,292,406
1577646094,435,290
1577651477,70,79
1577655093,68,71
1577658669,74,83
1577664107,46,83
1577665869,65,87
1577669466,70,79
1577671304,44,66
1577676665,66,68
1577680271,75,97
1577683873,51,86
1577689321,62,50
1577691065,58,48
1577692886,4,1
1577694669,65,48
1577698288,64,48
1577701901,78,59
1577705500,62,42
1577707274,42,62
1577710897,109,81
1577712671,50,77
1577716278,76,57
1577719868,79,59
1577723464,84,77
1577727094,64,77
1577732467,83,66
1577734267,76,62
1577736084,62,76
1577737898,116,104
1577739720,61,78
1577743277,51,102
1577748672,65,80
1577752276,56,67
1577755872,58,67
1577759482,52,63
1577763097,56,71
1577768550,118,152
1577770271,152,118
1577772070,118,152
1577777464,98,69
1577782874,39,54
1577784677,143,85
1577788265,76,57
1577790076,61,48
1577793691,68,70
1577799096,68,45
1577800924,68,71
1577804472,70,65
1577809866,76,72
1577811733,72,75
1577817072,72,64
1577822555,53,73
1577824297,48,62
1577826066,141,115
1577827872,115,160
1577831489,49,55
1577835071,51,52
1577838697,104,59
1577842269,88,69
1577847730,51,63
1577849476,55,61
1577853081,89,115
1577856676,50,64
1577860372,47,47
1577863865,42,28
1577867465,48,50
1577869268,53,42
1577874674,54,36
1577878274,59,35
1577881877,51,42
1577885470,75,59
1577889086,59,50
1577892668,66,51
1577894496,51,66
1577896267,119,72
1577899912,59,55
1577903488,76,61
1577907073,80,64
1577910700,63,68
1577914351,66,64
1577917874,52,73
1577923366,60,95
1577925116,60,69
1577928665,56,71
1577930473,34,63
1577935877,71,70
1577937675,67,94
1577943109,48,68
1577946685,57,51
1577952094,47,37
1577953869,51,34
1577957493,65,42
1577961081,57,29
1577964667,67,45
1577966477,45,67
1577968282,125,75
1577971886,57,63
1577975509,57,49
1577979066,69,66
1577982677,81,61
1577988100,104,110
1577989905,67,57
1577991677,57,67
1577993466,84,62
1577997086,74,70
1578002492,52,66
1578004265,63,75
1578007894,45,82
1578013271,72,76
1578015082,68,77
1578016871,44,71
1578022273,68,85
1578025890,93,95
1578027666,68,73
1578031320,64,69
1578038466,43,35
1578042088,60,45
1578043886,79,40
1578047470,72,46
1578052870,78,59
1578054681,74,69
1578058287,79,61
1578063689,81,68
1578065468,76,78
1578067288,78,76
1578069073,117,120
1578074505,87,61
1578076266,63,66
1578079988,76,225
1578081668,58,76
1578087076,65,65
1578092476,53,71
1578094321,54,82
1578097901,73,81
1578101473,210,70
1578105074,40,57
1578108675,63,75
1578112292,79,116
1578115876,84,67
1578121343,56,57
1578123087,42,46
1578128499,59,47
1578130277,84,53
1578133868,61,42
1578139283,53,50
1578141080,77,63
1578142879,59,57
1578144672,57,59
1578146470,59,57
1578148281,72,65
1578153675,71,56
1578157285,65,61
1578159088,70,46
1578162692,68,71
1578168083,66,70
1578169905,73,65
1578173489,75,85
1578178886,95,132
1578184303,85,71
1578187869,51,64
1578189705,43,90
1578195085,66,76
1578198667,66,96
1578200543,52,72
1578202279,156,106
1578204070,106,156
1578205869,52,51
1578209467,50,33
1578213080,56,51
1578216683,60,43
1578220304,43,60
1578222067,110,72
1578225748,79,43
1578227515,76,69
1578229315,82,55
1578234681,72,63
1578238274,62,75
1578241878,78,66
1578245491,68,50
1578249088,70,70
1578250867,71,61
1578256280,62,75
1578259886,69,64
1578265267,69,88
1578267075,49,85
1578270681,75,82
1578274283,46,75
1578277875,41,55
1578279668,62,88
1578286871,76,95
1578288669,62,64
1578292312,54,59
1578294063,61,52
1578301285,69,37
1578303112,75,49
1578306689,71,49
1578308517,59,52
1578313904,73,55
1578317470,62,59
1578321093,53,70
1578324698,67,61
1578328286,64,55
1578331876,64,203
1578333722,288,47
1578339104,103,69
1578342683,82,134
1578346416,72,111
1578351705,71,116
1578353487,51,204
1578357068,71,85
1578358877,59,80
1578362476,37,58
1578367882,55,75
1578371568,76,109
1578375075,50,61
1578378686,64,47
1578382270,67,43
1578385893,74,43
1578389510,75,52
1578391271,52,50
1578394890,57,44
1578400282,42,58
1578403887,58,58
1578405746,105,56
1578407480,56,105
1578409280,105,56
1578411072,75,46
1578414695,59,62
1578420112,73,56
1578421875,62,76
1578427300,73,46
1578430895,81,66
1578434488,73,74
1578436266,60,83
1578438075,54,91
1578443469,91,54
1578445276,106,146
1578447094,66,75
1578450687,39,55
1578454271,52,82
1578457908,82,84
1578463309,53,65
1578465085,69,51
1578468669,44,51
1578472301,57,43
1578477672,70,50
1578479465,52,48
1578483095,57,53
1578486677,65,44
1578492070,50,53
1578493865,55,33
1578497487,58,57
1578502865,59,39
1578504701,67,58
1578508272,72,61
1578511866,78,63
1578515510,68,54
1578519115,64,58
1578522671,54,89
1578526281,40,93
1578529864,56,75
1578533477,65,48
1578537121,34,58
1578542473,65,90
1578544300,71,91
1578549676,50,57
1578551499,66,52
1578555088,63,44
1578556936,44,63
1578558688,94,69
1578562271,60,45
1578567689,59,52
1578571268,54,51
1578573109,51,51
1578578482,71,58
1578580264,61,46
1578583865,68,78
1578587502,70,50
1578591103,69,56
1578594681,56,59
1578598266,83,55
1578601940,74,56
1578605473,72,68
1578609101,60,80
1578614463,56,95
1578618064,65,81
1578619886,81,65
1578621700,104,131
1578623478,44,61
1578627065,59,62
1578630667,81,98
1578634273,62,68
1578639664,61,61
1578641477,60,52
1578645072,58,52
1578648686,84,59
1578650470,57,44
1578655903,61,56
1578659493,65,40
1578663112,58,59
1578666671,46,52
1578670273,52,119
1578675764,54,57
1578677472,92,49
1578681185,67,79
1578682883,54,61
1578688278,82,57
1578691899,59,67
1578693672,67,59
1578695484,103,125
1578699071,53,86
1578702707,65,80
1578706342,60,67
1578709874,43,53
1578713465,56,67
1578715345,70,94
1578720666,57,58
1578722469,56,46
1578727879,47,46
1578731470,51,45
1578735070,59,50
1578738732,82,56
1578742282,75,61
1578745888,65,49
1578749478,57,52
1578753064,65,59
1578756711,74,61
1578760300,69,68
1578763877,73,60
1578769306,68,66
1578771073,68,60
1578774680,76,69
1578776475,60,76
1578781871,64,79
1578787334,53,87
1578789067,75,75
1578794471,68,77
1578796268,39,87
1578799887,65,105
1578803470,66,76
1578805300,52,57
1578807070,57,52
1578808880,52,57
1578812470,44,63
1578814281,48,37
1578819664,53,34
1578821503,66,44
1578825088,76,40
1578826919,66,57
1578832274,73,62
1578835869,70,61
1578839530,41,52
1578843073,118,42
1578846681,63,60
1578850272,58,57
1578855666,61,65
1578857469,78,49
1578862894,65,64
1578864701,56,78
1578868263,76,91
1578871888,63,93
1578875496,61,85
1578879069,64,70
1578882679,41,52
1578886275,59,67
1578889870,80,101
1578893474,48,68
1578897093,69,53
1578900687,57,54
1578904274,58,61
1578907880,66,47
1578909666,0,4
1578913282,64,39
1578915069,53,43
1578920508,44,49
1578922265,67,54
1578925908,64,55
1578929582,75,51
1578933102,53,71
1578936668,76,56
1578942076,77,42
1578943878,80,65
1578947470,59,96
1578952883,86,71
1578956479,69,81
1578958288,52,111
1578961865,60,71
1578965471,64,60
1578969062,42,53
1578972694,63,76
1578976282,66,90
1578978079,60,66
1578981746,66,60
1578983465,110,105
1578985264,53,42
1578988881,63,46
1578994279,60,49
1578997867,63,59
