DateTime,AddedIPs,RemovedIPs
1578505226,0,1
1578505526,20,0
1578507028,29,0
1578508223,6,0
1578509432,1,0
1578509722,1,0
1578510324,20,0
1578511224,1,0
1578511825,2,0
1578512123,1,0
1578512725,1,0
1578513027,1,0
1578513624,0,1
1578514223,0,1
1578514822,41,0
1578516022,19,0
1578516922,3,0
1578517523,159,0
1578518122,5,0
1578519025,9,0
1578519622,1,0
1578521121,15,0
1578522021,3,1
1578522623,1,0
1578523222,10,0
1578524424,12,0
1578525322,18,0
1578526226,2,0
1578526522,2,0
1578527720,2,0
1578528025,4,0
1578529223,12,0
1578530120,38,0
1578531027,8,0
1578531322,2,0
1578531922,11,0
1578532821,0,1
1578533421,5,0
1578534325,8,0
1578535223,1,0
1578536121,0,1
1578536421,7,0
1578537025,3,0
1578537321,1,0
1578537922,1,0
1578538521,26,0
1578540022,3,0
1578540325,2,0
1578541524,14,0
1578541823,1,0
1578543622,6,0
1578545427,5,0
1578545722,7,0
1578546622,1,0
1578547822,17,3
1578548422,19,0
1578550221,0,1
1578552023,3,0
1578553225,0,1
1578553524,0,1
1578554421,14,0
1578555621,1,0
1578555922,0,1
1578556520,10,0
1578558023,1,0
1578558625,3,0
1578559524,2,0
1578560726,20,0
1578562223,4,0
1578562823,6,0
1578564028,2,0
1578566122,17,0
1578567025,2,0
1578567923,7,0
1578568824,3,0
1578569722,30,1
1578570924,0,1
1578571227,13,0
1578571525,2,0
1578572123,2,0
1578573625,14,0
1578574234,1,0
1578575723,1,0
1578576023,2,0
1578576324,4,0
1578576624,2,0
1578577224,2,0
1578577823,1,1
1578578121,13,0
1578580226,1,0
1578580522,0,2
1578581125,4,0
1578582924,0,1
1578583223,28,0
1578583526,4,0
1578584724,1,0
1578585922,2,0
1578587425,20,0
1578587726,5,0
1578588023,29,0
1578589226,0,1
1578591023,20,0
1578591323,15,0
1578592226,3,0
1578593723,4,0
1578595225,12,0
1578595528,20,0
1578596425,0,1
1578597324,193,0
1578598223,11,0
1578598525,2,1
1578599432,20,0
1578600026,88,0
1578600327,161,0
1578601224,1,0
1578601825,5,0
1578602728,79,0
1578603022,36,0
1578603323,12,0
1578603625,1,0
1578605124,94,0
1578605724,12,0
1578606325,1,0
1578608423,2,0
1578609024,1,0
1578610222,7,0
1578610823,2,0
1578612624,16,0
1578612922,28,0
1578614121,19,0
1578616222,5,0
1578617122,23,0
1578617721,1,0
1578619822,11,0
1578620121,2,0
1578621022,1,0
1578621320,9,0
1578621920,0,1
1578622522,2,0
1578624326,14,0
1578625227,18,0
1578626422,19,0
1578627622,1,1
1578628227,8,0
1578631221,10,0
1578633023,0,1
1578633324,46,0
1578634225,9,0
1578634522,5,0
1578635722,15,0
1578636925,15,0
1578637822,2,0
1578638122,9,0
1578639322,1,0
1578640222,1,0
1578640824,2,0
1578641423,0,1
1578642022,16,0
1578642924,0,1
1578643521,12,0
1578644125,2,0
1578645621,0,2
1578646228,15,0
1578647123,3,0
1578648921,3,0
1578649526,18,0
1578650122,2,0
1578651023,1,0
1578652825,1,0
1578653126,17,0
1578654323,3,0
1578655524,23,0
1578656423,4,0
1578657625,17,0
1578658825,5,0
1578659423,1,0
1578660323,4,0
1578661823,15,0
1578662424,2,0
1578663025,2,0
1578663925,13,0
1578666023,3,0
1578666923,13,0
1578667224,0,1
1578668425,23,0
1578670226,10,0
1578670823,3,0
1578672623,4,0
1578673825,1,0
1578675025,17,1
1578675628,2,0
1578676823,2,0
1578678023,4,0
1578679824,24,0
1578680726,1,2
1578682228,109,0
1578682527,1,0
1578685229,3,0
1578687025,18,0
1578687626,250,0
1578689430,13,0
1578690027,0,1
1578690327,3,0
1578691227,1,0
1578692125,5,0
1578692726,63,0
1578693628,47,0
1578694526,57,0
1578696922,45,0
1578697229,33,0
1578699623,5,0
1578700828,13,0
1578702022,3,0
1578703822,5,0
1578705323,19,0
1578707124,39,0
1578707721,1,0
1578708622,1,0
1578710421,2,0
1578711321,8,0
1578712525,1,0
1578714625,4,0
1578715226,8,0
1578716123,1,0
