DateTime,Entries,UniqueIPs
1578505226,1041490,1140142
1578505526,1041505,1140162
1578507028,1041529,1140191
1578508223,1041535,1140197
1578509432,1041536,1140198
1578509722,1041537,1140199
1578510324,1041554,1140219
1578511224,1041555,1140220
1578511825,1041557,1140222
1578512123,1041558,1140223
1578512725,1041559,1140224
1578513027,1041560,1140225
1578513624,1041559,1140224
1578514223,1041558,1140223
1578514822,1041592,1140264
1578516022,1041608,1140283
1578516922,1041611,1140286
1578517523,1041750,1140445
1578518122,1041754,1140450
1578519025,1041761,1140459
1578519622,1041762,1140460
1578521121,1041776,1140475
1578522021,1041778,1140477
1578522623,1041779,1140478
1578523222,1041781,1140488
1578524424,1041790,1140500
1578525322,1041804,1140518
1578526226,1041806,1140520
1578526522,1041808,1140522
1578527720,1041810,1140524
1578528025,1041813,1140528
1578529223,1041824,1140540
1578530120,1041860,1140578
1578531027,1041866,1140586
1578531322,1041868,1140588
1578531922,1041879,1140599
1578532821,1041878,1140598
1578533421,1041881,1140603
1578534325,1041889,1140611
1578535223,1041890,1140612
1578536121,1041890,1140611
1578536421,1041896,1140618
1578537025,1041899,1140621
1578537321,1041900,1140622
1578537922,1041901,1140623
1578538521,1041927,1140649
1578540022,1041930,1140652
1578540325,1041932,1140654
1578541524,1041943,1140668
1578541823,1041944,1140669
1578543622,1041949,1140675
1578545427,1041952,1140680
1578545722,1041956,1140687
1578546622,1041957,1140688
1578547822,1041967,1140702
1578548422,1041985,1140721
1578550221,1041984,1140720
1578552023,1041987,1140723
1578553225,1041986,1140722
1578553524,1041985,1140721
1578554421,1041998,1140735
1578555621,1041999,1140736
1578555922,1041998,1140735
1578556520,1042008,1140745
1578558023,1042009,1140746
1578558625,1042010,1140749
1578559524,1042012,1140751
1578560726,1042029,1140771
1578562223,1042031,1140775
1578562823,1042037,1140781
1578564028,1042039,1140783
1578566122,1042053,1140800
1578567025,1042055,1140802
1578567923,1042062,1140809
1578568824,1042065,1140812
1578569722,1042091,1140841
1578570924,1042090,1140840
1578571227,1042101,1140853
1578571525,1042103,1140855
1578572123,1042105,1140857
1578573625,1042118,1140871
1578574234,1042119,1140872
1578575723,1042120,1140873
1578576023,1042122,1140875
1578576324,1042125,1140879
1578576624,1042127,1140881
1578577224,1042128,1140883
1578577823,1042128,1140883
1578578121,1042140,1140896
1578580226,1042141,1140897
1578580522,1042139,1140895
1578581125,1042143,1140899
1578582924,1042143,1140898
1578583223,1042167,1140926
1578583526,1042169,1140930
1578584724,1042170,1140931
1578585922,1042172,1140933
1578587425,1042188,1140953
1578587726,1042191,1140958
1578588023,1042216,1140987
1578589226,1042215,1140986
1578591023,1042235,1141006
1578591323,1042250,1141021
1578592226,1042252,1141024
1578593723,1042254,1141028
1578595225,1042266,1141040
1578595528,1042284,1141060
1578596425,1042284,1141059
1578597324,1042443,1141252
1578598223,1042452,1141263
1578598525,1042453,1141264
1578599432,1042469,1141284
1578600026,1042533,1141372
1578600327,1042630,1141533
1578601525,1042631,1141534
1578601825,1042635,1141539
1578602728,1042708,1141618
1578603022,1042736,1141654
1578603323,1042744,1141666
1578603625,1042745,1141667
1578605124,1042828,1141761
1578605724,1042840,1141773
1578606325,1042841,1141774
1578608423,1042842,1141776
1578609024,1042843,1141777
1578610222,1042849,1141784
1578610823,1042850,1141786
1578612624,1042866,1141802
1578612922,1042886,1141830
1578614121,1042903,1141849
1578616222,1042906,1141854
1578617122,1042922,1141877
1578617721,1042923,1141878
1578619822,1042930,1141889
1578620121,1042932,1141891
1578621022,1042933,1141892
1578621320,1042942,1141901
1578621920,1042941,1141900
1578622522,1042942,1141902
1578624326,1042951,1141916
1578625227,1042966,1141934
1578626422,1042982,1141953
1578627622,1042982,1141953
1578628227,1042990,1141961
1578631221,1042999,1141971
1578633023,1042998,1141970
1578633324,1043037,1142016
1578634225,1043045,1142025
1578634522,1043049,1142030
1578635722,1043061,1142045
1578636925,1043071,1142060
1578637822,1043073,1142062
1578638122,1043082,1142071
1578639322,1043083,1142072
1578640222,1043084,1142073
1578640824,1043085,1142075
1578641423,1043084,1142074
1578642022,1043099,1142090
1578642924,1043098,1142089
1578643521,1043109,1142101
1578644125,1043110,1142103
1578645621,1043108,1142101
1578646228,1043122,1142116
1578647123,1043125,1142119
1578648921,1043127,1142122
1578649526,1043142,1142140
1578650122,1043144,1142142
1578651023,1043145,1142143
1578652825,1043146,1142144
1578653126,1043161,1142161
1578654323,1043163,1142164
1578655524,1043181,1142187
1578656423,1043185,1142191
1578657625,1043196,1142208
1578658825,1043201,1142213
1578659423,1043201,1142214
1578660323,1043203,1142218
1578661823,1043214,1142233
1578662424,1043216,1142235
1578663025,1043218,1142237
1578663925,1043227,1142250
1578666023,1043229,1142253
1578666923,1043242,1142266
1578667224,1043241,1142265
1578668425,1043261,1142288
1578670226,1043270,1142298
1578670823,1043273,1142301
1578672623,1043277,1142305
1578673825,1043278,1142306
1578675025,1043294,1142322
1578675628,1043294,1142324
1578676823,1043294,1142326
1578678023,1043297,1142330
1578679824,1043316,1142354
1578680726,1043315,1142353
1578682228,1043413,1142462
1578682527,1043414,1142463
1578685229,1043416,1142466
1578687025,1043432,1142484
1578687626,1043613,1142734
1578689430,1043624,1142747
1578690027,1043623,1142746
1578690327,1043625,1142749
1578691227,1043626,1142750
1578692125,1043629,1142755
1578692726,1043685,1142818
1578693628,1043726,1142865
1578694526,1043777,1142922
1578696922,1043815,1142967
1578697525,1043831,1143000
1578699623,1043832,1143005
1578700828,1043844,1143018
1578702022,1043847,1143021
1578703822,1043850,1143026
1578705323,1043865,1143045
1578707124,1043901,1143084
1578707721,1043902,1143085
1578708622,1043902,1143086
1578710421,1043903,1143088
1578711321,1043911,1143096
1578712525,1043912,1143097
1578714625,1043915,1143101
1578715226,1043921,1143109
1578716123,1043922,1143110
1578716422,1043921,1143109
1578717623,1043924,1143114
1578718222,1043942,1143133
1578720022,1043941,1143134
1578720624,1043942,1143135
1578721824,1043949,1143146
1578723324,1043952,1143150
1578724825,1043953,1143151
1578725423,1043972,1143171
1578725723,1043975,1143175
1578726622,1043990,1143191
1578727523,1043996,1143199
1578728726,1044007,1143210
1578729923,1044015,1143220
1578730223,1044024,1143230
1578731423,1044029,1143236
1578733524,1044039,1143248
1578735024,1044044,1143253
1578736225,1044048,1143257
1578737424,1044064,1143278
1578738623,1044084,1143306
1578738923,1044108,1143341
1578739528,1044108,1143342
1578740427,1044117,1143355
1578742226,1044118,1143357
1578743426,1044135,1143377
1578744321,1044137,1143380
1578745224,1044140,1143383
1578747322,1044162,1143411
1578748823,1044163,1143412
1578749720,1044164,1143413
1578750022,1044165,1143414
1578751226,1044175,1143424
1578751822,1044175,1143425
1578753622,1044177,1143427
1578754522,1044183,1143433
1578755423,1044187,1143439
1578756922,1044189,1143441
1578757525,1044206,1143460
1578757824,1044221,1143479
1578758724,1044220,1143478
1578759023,1044221,1143479
1578759623,1044223,1143481
1578761423,1044232,1143491
1578762623,1044354,1143651
1578763225,1044357,1143654
1578765923,1044455,1143763
1578767425,1044459,1143770
1578768324,1044469,1143783
1578769824,1044470,1143784
1578770722,1044472,1143786
1578774028,1044549,1143870
1578774928,1044551,1143872
1578776123,1044572,1143900
1578776425,1044572,1143901
1578777623,1044580,1143912
1578777922,1044585,1143918
1578779127,1044589,1143924
1578781226,1044593,1143928
1578782122,1044598,1143933
1578783322,1044615,1143950
1578784225,1044619,1143954
1578784527,1044620,1143955
1578786322,1044623,1143958
1578787227,1044633,1143972
1578789026,1044640,1143979
1578789321,1044652,1143993
1578790224,1044659,1144002
1578791122,1044656,1143999
1578792022,1044661,1144005
1578793222,1044662,1144006
1578794423,1044677,1144022
1578796225,1044682,1144027
1578797124,1044683,1144028
1578798621,1044704,1144049
1578799822,1044711,1144056
1578800424,1044712,1144057
1578801026,1044713,1144059
1578801624,1044726,1144072
1578803124,1044730,1144077
1578804324,1044746,1144096
1578805521,1044752,1144102
1578806421,1044752,1144106
1578807321,1044751,1144105
1578807923,1044768,1144124
1578810023,1044774,1144134
1578812121,1044785,1144148
1578815124,1044787,1144150
1578816026,1044795,1144160
1578817222,1044799,1144167
1578818424,1044823,1144198
1578819322,1044825,1144200
1578820822,1044843,1144218
1578821722,1044854,1144230
1578823523,1044853,1144229
1578824123,1044860,1144236
1578825322,1044861,1144237
1578826223,1044866,1144243
1578827123,1044867,1144244
1578827725,1044894,1144273
1578828631,1044895,1144274
1578830425,1044912,1144292
1578831327,1044913,1144293
1578832825,1044913,1144294
1578832825,1044917,1144298
1578833723,1044920,1144301
1578835224,1044923,1144304
1578837627,1044931,1144312
1578838823,1044933,1144314
1578839428,1044964,1144356
1578840023,1044986,1144379
1578840327,1044993,1144386
1578843030,1045015,1144410
1578843623,1045024,1144422
1578845125,1045029,1144428
1578846324,1045030,1144429
1578847828,1045036,1144436
1578849023,1045038,1144438
1578849926,1045041,1144442
1578851428,1045047,1144448
1578852322,1045047,1144447
1578852623,1045044,1144443
1578854424,1045043,1144442
1578855028,1045063,1144464
1578855629,1045062,1144463
1578856226,1045063,1144464
1578857424,1045066,1144467
1578858626,1045071,1144472
1578859526,1045074,1144475
1578861026,1045076,1144477
1578861926,1045077,1144479
1578863122,1045078,1144482
1578864627,1045082,1144487
1578865823,1045089,1144498
1578866427,1045088,1144497
1578866726,1045093,1144502
1578867025,1045094,1144503
1578867925,1045092,1144501
1578868223,1045091,1144500
1578868524,1045093,1144502
1578868824,1045092,1144501
1578869129,1045096,1144507
1578869722,1045095,1144506
1578870027,1045101,1144512
1578873022,1045103,1144515
1578874822,1045117,1144531
1578875426,1045119,1144533
1578876326,1045134,1144551
1578877820,1045141,1144560
1578878421,1045143,1144562
1578879025,1045142,1144561
1578879321,1045146,1144566
1578880823,1045161,1144581
1578882023,1045168,1144589
1578882921,1045179,1144600
1578883822,1045182,1144603
1578885021,1045184,1144605
1578886226,1045186,1144607
1578886823,1045188,1144609
1578888321,1045209,1144638
1578889522,1045212,1144641
1578891026,1045219,1144650
1578892222,1045220,1144651
1578893426,1045223,1144654
1578893722,1045262,1144700
