DateTime,AddedIPs,RemovedIPs
1570291828,1,0
1570293325,0,1
1570299024,1,0
1570300524,1,0
1570303826,2,0
1570318523,0,1
1570322724,1,0
1570324822,1,0
1570348524,1,0
1570349425,3,0
1570365626,1,0
1570378524,1,0
1570381526,0,3
1570387225,1,0
1570393229,1,0
1570435828,1,0
1570446930,0,1
1570470626,0,1
1570475425,0,1
1570493122,0,1
1570497322,1,0
1570551333,1,0
1570554030,0,1
1570578622,1,0
1570583422,0,1
1570587323,0,1
1570631128,0,1
1570637424,3,0
1570723826,1,0
1570765225,0,1
1570778427,1,0
1570806027,0,1
1570810232,1,0
1570815329,1,0
1570817130,1,0
1570867824,1,0
1570875623,1,0
1570890025,0,1
1570954224,1,0
1571069428,1,0
1571094026,0,1
1571147128,0,1
1571213424,1,0
1571256328,0,1
1571264122,1,0
1571290527,0,1
1571328631,1,0
1571355321,0,1
1571357423,1,0
1571359224,1,0
1571376025,1,0
1571376928,1,0
1571384123,1,1
1571386225,1,0
1571395826,1,0
1571415026,2,0
1571415625,1,0
1571417425,1,0
1571419831,1,0
1571437825,2,0
1571447426,1,0
1571459423,0,2
1571472621,1,0
1571475626,1,0
1571477724,0,1
1571499625,1,0
1571502627,1,0
1571507129,0,1
1571598032,1,0
1571601635,0,1
1571609726,44,0
1571640923,2,0
1571641524,15,0
1571645733,2,0
1571663728,0,1
1571675729,1,0
1571680835,0,1
1571692528,0,1
1571694923,0,1
1571749237,0,1
1571751633,0,1
1571760639,1,0
1571780725,0,1
1571818224,1,0
1571879124,1,0
1571904627,1,0
1571926231,1,0
1571926529,0,1
1571929239,0,1
1571941829,1,0
1571956522,1,0
1571991030,1,0
1572048328,2,0
1572060932,1,0
1572077435,1,0
1572125438,0,1
1572129639,1,0
1572156037,0,1
1572158134,0,1
1572163830,1,0
1572175235,3,0
1572196836,1,0
1572199837,3,0
1572200441,1,0
1572207337,0,1
1572208531,0,1
1572216928,1,0
1572249936,0,2
1572250231,2,1
1572250833,4,1
1572251447,0,2
1572274842,1,0
1572279044,1,0
1572332435,0,1
1572336041,2,0
1572336632,1,0
1572339647,2,0
1572360327,1,0
1572365429,1,0
1572384326,0,1
1572439228,1,0
1572443127,0,1
1572451829,1,0
1572538527,1,0
1572570927,0,1
1572571225,2,0
1572595823,1,0
1572637828,7,0
1572643827,1,0
1572646225,1,0
1572648023,5,0
1572648324,8,0
1572653422,1,0
1572660025,0,1
1572682525,2,0
1572709528,1,0
1572714926,0,1
1572768624,1,0
1572789026,1,0
1572823826,1,0
1572860725,3,0
1572861027,2,0
1572886530,0,1
1572906023,0,1
1572912624,2,0
1572941422,1,0
1572949527,1,0
1572970226,1,0
1572984626,1,0
1572984924,1,0
1572985827,1,0
1572999024,2,0
1573015223,0,1
1573027828,2,0
1573031124,1,0
1573034730,1,0
1573035326,1,0
1573037723,0,1
1573074032,0,1
1573108229,1,0
1573118426,4,0
1573143323,2,0
1573156828,0,1
1573159233,1,0
1573159531,1,0
1573172724,1,0
1573202724,1,0
1573203923,1,0
1573209627,1,0
1573254922,0,1
1573287327,1,0
1573288224,2,0
1573288526,1,0
1573300830,0,1
1573306526,1,0
1573339528,1,0
1573344324,1,0
1573344624,32,0
1573344927,2,0
1573345526,1,0
