DateTime,AddedIPs,RemovedIPs
1573185542,109,91
1573189214,1978,1615
1573210575,435,0
1573213954,498,0
1573255208,14,0
1573262893,29,28
1573270564,11,13
1573271942,116,55
1573272015,1708,1245
1573301337,445,175
1573305399,500,477
1573341375,15,13
1573349054,16,27
1573356731,16,0
1573358414,1630,1288
1573392993,478,248
1573396353,500,489
1573430417,15,26
1573434255,13,14
1573444329,7,24
1573444815,1395,1765
1573484170,314,146
1573488769,500,492
1573515606,19,22
1573523304,22,74
1573529767,13,8
1573531215,2168,1323
1573576362,398,170
1573580893,500,493
1573601290,13,0
1573608980,14,34
1573615207,13,16
1573617615,1971,1266
1573656756,495,194
1573660840,500,495
1573686023,14,18
1573693692,16,12
1573704492,13,0
1573747976,1923,1460
1573752274,500,494
1573775767,28,37
1573783467,24,53
1573790171,11,33
1573790416,1643,1764
1573840097,364,124
1573843956,499,497
1573860731,18,11
1573868407,21,38
1573875619,12,0
1573876742,2064,1241
1573931779,427,203
1573936099,499,484
1573946169,13,12
1573953851,14,41
1573960586,1416,1299
1573963142,150,61
1574023242,364,466
1574027292,500,979
1574031631,20,0
1574039291,18,16
1574046015,1239,1719
1574049854,8,18
1574115156,430,304
1574119221,500,494
1574121133,13,25
1574128810,20,60
1574128814,1472,1463
1574135531,11,0
1574135942,117,70
1574206331,15,15
1574207055,384,243
1574211620,499,497
1574214011,15,32
1574221207,2089,1352
1574222342,151,89
1574291531,15,0
1574298756,2575,1455
1574299215,17,0
1574303775,500,487
1574306885,12,8
1574308742,135,80
1574373615,1958,1133
1574380330,12,17
1574388019,27,86
1574390419,480,229
1574395464,499,488
1574395933,155,129
1574413461,498,0
1574417313,289,0
1574460014,1775,1182
1574466263,17,0
1574473933,29,30
1574481609,13,17
1574505179,635,623
1574508753,351,276
1574533451,498,0
1574536101,298,0
1574546415,1684,916
1574551224,18,19
1574558888,30,17
1574566564,9,0
1574567942,109,103
1574613879,500,940
1574616275,281,499
1574632818,1412,1482
1574640017,18,24
1574643848,14,9
1574647692,10,37
1574651774,14,15
1574654342,112,73
1574694041,500,0
1574695710,246,0
1574719217,2000,1455
1574726179,13,17
1574733847,27,26
1574737693,14,10
1574740742,112,71
1574754968,269,197
1574762915,497,489
1574782815,246,0
1574785455,500,0
1574802016,1873,1321
1574811609,16,13
1574819289,25,24
1574826964,13,13
1574827142,118,67
1574862513,238,230
1574865885,500,493
1574888416,1685,1397
1574897288,23,0
1574904966,30,0
1574912647,11,16
1574913542,101,76
1574953960,296,319
1574954892,302,0
1574957325,496,500
1574971216,3423,1117
1574982974,14,20
1574990684,14,32
1574998573,14,18
1574999942,140,70
1575023287,226,186
1575025972,500,496
1575057617,2024,1191
1575068898,15,17
1575076818,22,67
1575084732,11,25
1575086342,178,80
1575115688,309,227
1575117612,500,497
1575138023,305,0
1575138975,499,0
1575144016,1969,1054
1575158168,15,28
1575165847,25,0
1575169932,16,20
1575172742,123,99
1575217969,299,280
1575220122,499,495
1575230417,1267,1432
1575244091,10,18
1575251769,28,38
1575259691,13,0
1575297388,426,283
1575300036,500,486
1575316816,1486,1448
1575329768,20,12
1575337455,34,12
1575345370,10,31
1575345542,143,62
1575369145,499,496
1575377530,271,208
1575403217,1538,1527
1575415689,13,0
1575423611,40,18
1575431287,17,11
1575431942,113,73
1575461311,499,499
1575470191,302,915
1575489617,1498,1519
1575501850,18,12
1575509534,32,0
1575517454,12,0
1575518342,95,72
1575539535,278,0
1575541482,500,499
1575557306,292,0
1575558763,500,500
1575576016,1773,1380
1575587057,9,15
1575594971,24,23
1575604568,17,33
1575604742,99,85
1575625699,300,381
1575627174,498,0
1575662418,1860,1153
1575675848,22,13
1575683530,21,23
1575690249,13,16
1575691142,114,108
1575717861,215,458
1575719781,500,497
1575748817,1777,1082
1575752173,235,360
1575753855,500,500
1575762009,10,28
1575769688,21,25
1575775445,3,0
1575777542,118,79
1575831618,1326,1341
1575844581,295,430
1575846981,500,497
1575847453,16,16
1575855139,29,29
1575864247,13,21
1575894268,389,507
1575895454,500,0
1575918017,1679,1454
1575932652,13,0
1575940572,22,0
1575950893,24,10
1575986178,466,555
1575988118,500,500
1575997457,329,0
1575998415,500,499
1576004416,1784,1197
1576019295,20,17
1576027213,25,33
1576036329,18,0
1576036743,109,81
1576089166,248,277
1576090335,500,495
1576090816,1774,1199
1576095605,500,0
1576095870,256,0
1576108086,14,32
1576115769,26,16
1576122247,15,29
1576123142,124,74
1576177215,1686,1372
1576187294,744,880
1576193537,15,14
1576201217,36,15
1576207445,8,10
1576209543,131,74
1576236992,753,0
1576263616,1370,1411
1576278730,15,11
1576286647,40,12
1576293130,17,0
1576295942,174,81
1576329616,747,991
1576350017,1421,986
1576364417,16,0
1576372331,20,0
1576376167,11,0
1576382888,12,21
1576410269,775,1009
1576436417,1122,1420
1576453447,17,39
1576461126,27,44
1576468326,12,12
1576468742,116,90
1576502657,657,826
1576522816,1396,1263
1576539365,13,12
1576547047,40,15
1576554005,9,9
1576555142,128,94
1576561712,669,906
1576609217,1445,1255
1576624331,12,17
1576632246,31,21
1576639444,13,0
1576641542,131,82
1576653869,753,840
1576654809,753,0
1576688898,630,0
1576695616,1606,1259
1576713131,15,0
1576720817,40,19
1576728729,149,116
1576757548,675,788
1576780838,676,0
1576782017,1813,1272
1576785496,757,0
1576789708,643,0
1576794787,635,0
1576798566,23,28
1576806251,53,18
1576814175,12,14
1576814342,136,72
1576854024,797,856
1576855962,763,0
1576859557,658,0
1576868416,1507,1065
1576881868,628,0
1576884730,11,10
1576892406,39,18
1576893129,770,471
1576900084,17,8
1576900742,133,98
1576902020,714,496
1576936328,789,0
1576954818,1837,1146
1576969946,18,0
1576977604,18,0
1576981446,23,8
1576985283,7,0
1576987142,149,82
1577028751,642,1706
1577041217,997,1354
1577058968,12,32
1577066647,36,42
1577074332,132,95
1577096886,691,0
1577114438,655,824
1577128347,2058,2143
1577143697,13,19
1577151367,18,21
1577159048,11,14
1577159942,139,75
1577170329,761,0
1577187624,660,0
1577191709,702,0
1577199638,759,0
1577214017,1273,1313
1577228895,21,0
1577236807,16,5
1577240653,11,17
1577244484,9,13
1577246342,101,81
1577290584,724,1435
1577300416,1033,1275
1577318168,10,20
1577325851,41,27
1577333529,118,88
1577381542,682,1405
1577386817,1185,1369
1577402888,15,11
1577410568,35,0
1577418250,11,0
1577419142,156,98
1577441322,731,0
1577473217,1645,1250
1577488332,10,16
1577496008,17,9
1577499849,17,19
1577503686,10,16
1577505542,149,94
1577533933,673,691
