DateTime,Entries,UniqueIPs
1577643154,1566,619598845
1577645113,1565,619598845
1577646726,1566,619598845
1577647953,1566,619598845
1577650503,1561,619598840
1577654103,1561,619598841
1577655012,1561,619598841
1577657534,1563,619598843
1577661312,1569,619598850
1577664761,1584,619598864
1577666077,1584,619598864
1577668311,1582,619598862
1577672103,1581,619598861
1577675552,1562,619598842
1577679177,1544,619598824
1577682769,1543,619598823
1577686361,1544,619598826
1577690103,1543,619598824
1577693588,1543,619598824
1577697174,1540,619598821
1577698272,1541,619598821
1577700751,1547,619598827
1577702713,1547,619598827
1577704357,1552,619598832
1577707220,1552,619598832
1577707994,1553,619598833
1577710204,1558,619608049
1577711530,1555,619608046
1577714420,1555,619608046
1577715170,1548,619608040
1577718753,1550,619608040
1577721621,1550,619608040
1577722387,1554,619608045
1577725956,1553,619608045
1577729552,1555,619608047
1577733179,1550,619608041
1577736789,1550,619608040
1577741703,1551,619608041
1577743983,1549,619608040
1577747567,1549,619608040
1577751151,1553,619608044
1577754795,1567,619608059
1577758383,1573,619608063
1577761989,1574,619608064
1577765544,1562,619608053
1577769151,1558,619608050
1577772769,1550,619608043
1577776393,1554,619608046
1577778303,1554,619608046
1577779935,1559,619608051
1577783102,1559,619608051
1577783548,1559,619608049
1577787163,1561,619608051
1577789113,1561,619608051
1577790763,1557,619608047
1577794365,1558,619608047
1577797935,1566,619634932
1577801566,1568,619634934
1577805165,1567,619634932
1577808772,1562,619634927
1577812390,1564,619634930
1577815952,1563,619634929
1577819555,1562,619634927
1577823164,1561,619634926
1577823313,1561,619634926
1577826795,1565,619634931
1577828713,1565,619634931
1577830350,1566,619634932
1577833967,1565,619634931
1577837536,1571,619634936
1577841512,1589,619634954
1577844773,1596,619634962
1577848311,1594,619634961
1577851927,1586,619634954
1577853012,1586,619634954
1577855581,1583,619634950
1577859116,1575,619634942
1577860802,1575,619634942
1577862727,1583,619634950
1577866325,1578,619634945
1577869990,1575,619634942
1577873509,1583,619634949
1577877126,1570,619634936
1577880721,1580,619634947
1577883003,1579,619629059
1577884329,1580,619629060
1577887923,1586,619629067
1577891508,1587,619629068
1577895138,1583,619629065
1577898730,1579,619629061
1577902300,1579,619629059
1577905921,1583,619629062
1577909558,1581,619629061
1577913101,1577,619629057
1577916727,1577,619629057
1577920306,1576,619629055
1577923942,1587,619629066
1577925003,1585,619628809
1577927102,1585,619628809
1577927716,1607,619628830
1577931132,1602,619628825
1577934749,1599,619628823
1577935406,1599,619628823
1577936714,1599,619628823
1577937902,1599,619628823
1577938516,1585,619628809
1577939088,1585,619629065
1577941217,1585,619629065
1577942116,1590,619629072
1577942769,1590,619629072
1577945722,1597,619629077
1577946369,1597,619629077
1577949326,1599,619629079
1577950203,1599,619629079
1577952030,1599,619629079
1577952930,1599,619629079
1577953835,1599,619629079
1577955635,1598,619628823
1577956535,1593,619628818
1577957403,1593,619628818
1577960141,1591,619628815
1577961049,1591,619628815
1577962847,1591,619628815
1577963745,1595,619628820
1577964649,1595,619628820
1577967141,1590,619628812
1577968393,1591,619628812
1577969404,1596,619634188
1577970716,1594,619634186
1577971860,1594,619634186
1577973817,1594,619634186
1577975787,1592,619634185
1577977909,1599,619634193
1577979068,1599,619634193
1577981532,1600,619634194
1577985116,1598,619634192
1577988740,1595,619634188
1577989812,1595,619634188
1577992352,1585,619634178
1577995973,1595,619634188
1577999489,1598,619634191
1578003303,1594,619634187
1578004655,1594,619634187
1578006739,1594,619634187
1578010502,1603,619634196
1578013885,1615,619634208
1578017501,1610,619634204
1578021109,1597,619634192
1578024732,1575,619634171
1578028317,1577,619634173
1578029528,1576,619633917
1578031926,1575,619633916
1578035480,1572,619633913
1578039117,1572,619633912
1578042698,1576,619633917
1578046296,1578,619633918
1578049918,1574,619633915
1578053552,1573,619633914
1578054667,1574,619633915
1578055804,1574,619633915
1578057103,1575,619633915
1578060723,1570,619633911
1578062712,1570,619633911
1578064282,1576,619633916
1578067889,1579,619633919
1578071541,1578,619633918
1578075119,1579,619633918
1578078690,1577,619633916
1578082323,1575,619633914
1578084302,1575,619633914
1578085908,1573,619633912
1578087012,1573,619633912
1578089534,1572,619633911
1578090946,1572,619633911
1578093078,1575,619633913
1578096761,1584,619633922
1578100308,1587,619633925
1578104165,1594,619633934
1578107698,1586,619633926
1578111112,1585,619633925
1578114751,1585,619633925
1578118295,1590,619633929
1578121923,1588,619633928
1578125487,1589,619633929
1578129105,1586,619633926
1578132700,1582,619633921
1578136341,1584,619633923
1578139888,1583,619633922
1578142206,1581,619626754
1578143534,1580,619626753
1578147092,1577,619626751
1578148408,1576,619626495
1578150723,1579,619626498
1578154311,1577,619626496
1578155412,1577,619626496
1578157917,1575,619626494
1578161508,1575,619626494
1578162612,1575,619626494
1578165139,1573,619626491
1578168696,1578,619626496
1578169812,1578,619626496
1578172319,1581,619626498
1578175894,1580,619626498
1578179516,1578,619626496
1578180863,1579,619626752
1578183139,1582,619626755
1578186730,1611,619626786
1578187812,1611,619626786
1578190338,1614,619626789
1578193918,1609,619626784
1578197523,1588,619626762
1578201108,1591,619626765
1578204708,1591,619626765
1578208323,1587,619626761
1578211909,1584,619626758
1578215517,1584,619626758
1578219133,1583,619626757
1578222744,1584,619626758
1578226298,1586,619626760
1578228604,1576,619613704
1578229927,1578,619613706
1578233535,1573,619613701
1578237152,1572,619613701
1578240700,1573,619613703
1578241812,1573,619613703
1578244503,1581,619613711
1578248103,1584,619613713
1578251531,1588,619613716
1578252612,1588,619613716
1578255124,1587,619613716
1578256211,1587,619613716
1578258736,1587,619613715
1578261618,1587,619613715
1578262324,1584,619613712
1578263412,1584,619613712
1578265940,1577,619613705
1578267304,1577,619613705
1578269562,1598,619613725
1578270902,1598,619613725
1578273080,1600,619613727
1578276012,1600,619613727
1578276704,1602,619613730
1578280312,1579,619613706
1578283934,1574,619613702
1578287487,1574,619613703
1578291116,1575,619613705
1578294736,1568,619613698
1578298279,1569,619613697
1578301897,1572,619613699
1578305703,1569,619613696
1578309119,1566,619613694
1578312676,1563,619613690
1578313802,1563,619613690
1578315004,1569,619627002
1578316323,1575,619627009
1578317766,1574,619627009
1578319906,1575,619627011
1578323520,1575,619627011
1578324613,1576,619627011
1578327093,1576,619627010
1578330904,1575,619627008
1578334339,1572,619627003
1578337898,1565,619626996
1578339013,1564,619626740
1578341500,1564,619626740
1578345107,1566,619626742
1578348731,1568,619626745
1578352277,1568,619626746
1578353565,1568,619626746
1578355955,1577,619626756
1578358812,1577,619626756
1578359510,1582,619626762
1578363095,1583,619626764
1578366720,1580,619626760
1578370372,1560,619626738
1578373943,1557,619626736
1578377538,1560,619626738
1578381138,1557,619626737
1578384826,1550,619626730
1578388373,1555,619626736
1578389764,1556,619626992
1578391954,1562,619626995
1578393256,1562,619626995
1578395540,1567,619627000
1578396611,1567,619627000
1578399139,1562,619626996
1578401111,1561,619626996
1578401405,1557,619612916
1578402753,1555,619612914
1578403811,1555,619612914
1578406332,1553,619612912
1578408312,1553,619612912
1578409964,1556,619612915
1578411012,1556,619612915
1578413524,1550,619612909
1578415512,1549,619612909
1578417129,1554,619612915
1578420767,1553,619612915
1578424323,1558,619612916
1578428103,1553,619612911
1578429013,1553,619612911
1578431559,1547,619612905
1578435142,1550,619612908
1578438754,1550,619612909
1578442478,1584,619612943
1578444311,1584,619612943
1578446164,1589,619612948
1578449614,1585,619612946
1578453132,1567,619612927
1578456776,1565,619612924
1578460325,1569,619612929
1578463938,1567,619612927
1578467492,1563,619612924
1578471140,1553,619612915
1578474706,1551,619612911
1578478326,1561,619612920
1578481875,1565,619612924
1578485511,1568,619612927
1578487804,1567,619604223
1578489087,1565,619604222
1578492717,1566,619604223
1578496330,1561,619604217
1578499911,1558,619604213
1578501277,1560,619604213
1578503517,1557,619604211
1578506414,1557,619604211
1578507085,1562,619604216
1578510726,1563,619604216
1578513619,1563,619604216
1578514323,1566,619604219
1578517908,1564,619604216
1578521535,1562,619604214
1578522611,1562,619604214
1578525144,1559,619604211
1578528016,1559,619604211
1578528834,1589,619604243
1578532283,1593,619604247
1578535958,1597,619604251
1578539520,1577,619604231
1578543100,1575,619604228
1578546701,1579,619604231
1578550341,1580,619604233
1578553911,1579,619604233
1578557494,1580,619604235
1578561106,1579,619604234
1578564709,1576,619604230
1578568305,1583,619604236
1578571892,1584,619604238
1578573971,1583,619603982
1578574204,1583,619596558
1578575515,1586,619596558
1578577511,1586,619596558
1578579136,1580,619596555
1578582700,1582,619596556
1578586514,1575,619596549
1578589939,1565,619596540
1578593470,1571,619596546
1578597109,1575,619596549
1578600698,1574,619596548
1578604322,1575,619596549
1578607889,1576,619596550
1578610811,1577,619596806
1578611506,1580,619596809
1578615181,1588,619596817
1578618707,1584,619596813
1578622504,1580,619596810
1578625909,1569,619596800
1578629540,1565,619596795
1578633137,1570,619596799
1578636752,1573,619596802
1578640350,1571,619596801
1578643939,1574,619596802
1578647564,1573,619596803
