DateTime,AddedIPs,RemovedIPs
1578708213,6,13
1578708731,11,0
1578708933,7,17
1578709653,6,10
1578710374,6,10
1578710651,6,4
1578711093,9,7
1578712053,13,10
1578712580,7,11
1578712773,6,8
1578713493,55,12
1578714213,14,10
1578714740,9,19
1578714933,10,10
1578715653,7,15
1578716373,10,11
1578716648,11,0
1578717143,21,18
1578717814,9,11
1578718594,12,50
1578719252,52,74
1578720033,12,11
1578720513,6,0
1578720693,6,8
1578721413,10,6
1578722134,5,9
1578722421,12,9
1578722905,11,12
1578723572,5,14
1578724294,5,7
1578725014,5,5
1578725733,4,9
1578726268,8,21
1578726453,17,14
1578727173,7,9
1578727894,7,7
1578728413,8,24
1578728614,9,8
1578729333,14,17
1578730102,7,8
1578730334,3,0
1578730773,9,11
1578731493,17,17
1578731766,16,0
1578732263,15,18
1578732934,9,10
1578733211,1,0
1578733944,8,7
1578734414,17,0
1578734613,6,9
1578735334,5,8
1578736287,19,22
1578736833,8,2
1578737493,4,6
1578738259,17,20
1578738934,8,9
1578739653,5,8
1578740183,7,19
1578740374,11,9
1578741092,6,5
1578741862,4,7
1578742335,8,26
1578742532,8,4
1578743253,8,7
1578743973,6,9
1578744760,25,20
1578745413,4,1
1578746132,4,8
1578746405,15,1
1578746651,10,15
1578746853,4,7
1578747574,6,6
1578748294,5,2
1578748825,24,13
1578749013,7,6
1578749733,7,4
1578750453,9,7
1578750970,12,15
1578751174,5,13
1578751894,5,7
1578752613,6,6
1578752897,15,10
1578753379,5,6
1578754054,8,5
1578754833,15,20
1578755493,6,10
1578756213,2,6
1578756932,16,5
1578757653,3,2
1578758374,9,4
1578758901,26,16
1578759093,18,6
1578759813,9,17
1578760532,4,6
1578760810,9,19
1578761053,19,0
1578761253,4,9
1578761973,10,5
1578762746,17,35
1578763413,3,8
1578764133,8,7
1578764650,10,19
1578764905,7,4
1578765572,5,9
1578766292,6,5
1578766815,9,20
1578767013,6,5
1578767732,6,9
1578768453,6,8
1578768751,10,15
1578769173,8,3
1578769893,8,5
1578770660,21,18
1578771333,3,10
1578772052,6,4
1578772571,5,16
1578772774,8,3
1578773493,3,9
1578774214,6,13
1578774491,7,17
1578774933,5,6
1578775698,96,10
1578776427,17,28
1578777094,9,8
1578777812,6,8
1578778340,7,14
1578778532,5,8
1578779253,5,1
1578780107,4,9
1578780785,15,37
1578782372,14,10
1578782675,3,10
1578783093,6,5
1578784584,20,17
1578785254,10,4
1578785973,4,5
1578786748,17,29
1578787414,12,14
1578788133,11,7
1578788647,5,0
1578788853,15,5
1578789812,9,16
1578790842,13,21
1578791973,40,27
1578792750,22,26
1578793412,7,7
1578794134,11,18
1578794914,8,8
1578795574,7,7
1578796293,19,7
1578796810,8,12
1578797013,9,4
1578797733,12,9
1578798751,19,19
1578799413,7,3
1578800134,8,50
1578800853,7,8
1578801573,3,13
1578802292,5,6
1578802586,5,21
1578803013,5,9
1578803780,12,9
1578804743,12,16
1578805459,71,278
1578806133,9,8
1578806649,7,13
1578806853,6,9
1578807573,8,9
1578808294,12,7
1578808577,8,11
1578809013,7,13
1578809734,5,3
1578810504,14,20
1578811173,13,2
1578811893,10,8
1578812413,5,21
1578812853,10,17
1578813573,3,10
1578814293,6,5
1578815012,25,9
1578815533,16,16
1578815732,9,8
1578816694,10,15
1578817459,14,23
1578818133,14,14
1578818853,8,10
1578819377,13,21
1578819573,8,8
1578820357,8,1
1578820772,13,8
1578821285,4,19
1578821493,5,6
1578822212,8,3
1578822934,5,7
1578823218,11,0
1578823653,9,7
1578824613,14,11
1578825130,11,14
1578825333,4,8
1578826052,3,5
1578826773,6,15
1578827300,11,28
1578827732,8,6
1578828453,13,5
1578829225,16,28
1578829892,10,9
1578830853,5,11
1578831391,11,17
1578831573,5,5
1578832293,3,2
1578833012,6,4
1578833532,16,0
1578833734,6,5
1578834694,7,13
1578835213,13,0
1578835458,22,32
1578836377,6,10
1578837092,1,7
1578837375,9,19
1578838053,13,9
1578838773,11,7
1578839285,12,23
1578839493,3,4
1578840212,7,7
1578841204,7,13
1578841892,17,10
1578842613,2,4
1578843141,8,21
1578843573,3,19
1578844293,9,2
1578845067,7,26
1578845734,4,15
1578846452,7,5
1578846992,6,12
1578847174,3,4
1578847893,3,7
1578848613,4,7
1578849147,17,8
1578849573,5,4
1578850093,11,0
1578850292,10,5
1578851059,19,30
1578851733,8,4
1578852693,7,8
1578853217,11,16
1578853413,9,5
1578854180,8,7
1578854853,4,8
1578855125,18,12
1578855572,6,8
