DateTime,AddedIPs,RemovedIPs
1578020661,25,11
1578022579,19,14
1578024764,21,20
1578026655,17,19
1578028570,14,14
1578030500,17,16
1578032424,20,18
1578034329,20,10
1578036258,16,16
1578038165,27,17
1578040088,17,8
1578042030,19,17
1578043936,15,9
1578046098,17,15
1578048009,25,20
1578049942,15,775
1578051846,21,17
1578053779,480,0
1578055710,16,13
1578057610,24,28
1578059525,20,14
1578061461,24,8
1578063365,10,25
1578065297,12,17
1578067209,14,21
1578069132,17,20
1578071311,26,25
1578073208,25,21
1578075143,15,18
1578077045,19,20
1578079212,17,31
1578081126,15,24
1578083057,17,29
1578084964,19,23
1578086895,12,22
1578088817,11,18
1578090736,14,16
1578093152,12,27
1578095052,10,15
1578096979,423,0
1578099137,23,20
1578101049,21,19
1578102978,17,14
1578104888,18,10
1578106813,21,21
1578108733,23,15
1578110901,18,17
1578112808,12,22
1578114740,20,18
1578116648,20,14
1578118573,18,20
1578120500,19,20
1578122423,18,24
1578124327,19,23
1578126267,20,29
1578128167,15,23
1578130339,9,21
1578132496,16,15
1578134425,18,20
1578136586,22,884
1578138499,30,18
1578140415,489,0
1578142337,25,18
1578144248,21,11
1578146419,35,27
1578148358,10,17
1578150271,16,20
1578152179,8,20
1578154088,10,19
1578156009,26,18
1578157954,7,19
1578159846,12,19
1578161769,19,24
1578163700,7,19
1578165612,18,24
1578167530,13,20
1578169459,17,19
1578171366,12,38
1578173298,18,18
1578175220,16,18
1578177149,7,22
1578179056,15,18
1578180981,15,15
1578182901,422,0
1578184809,18,15
1578186744,8,13
1578188650,12,22
1578190570,47,13
1578192486,19,19
1578194409,15,24
1578196345,14,12
1578198247,18,21
1578200176,12,18
1578202090,12,15
1578204026,13,17
1578205940,13,41
1578208111,18,27
1578210010,11,15
1578211942,9,24
1578213848,7,26
1578215775,11,22
1578217712,10,18
1578219617,9,19
1578221530,18,22
1578223460,13,822
1578225366,26,43
1578227289,460,0
1578229223,14,19
1578231139,11,15
1578233301,37,16
1578235208,51,18
1578237144,40,11
1578239051,27,21
1578240971,18,26
1578242897,11,12
1578244820,20,23
1578246727,18,19
1578248661,30,19
1578250566,16,22
1578252741,29,18
1578254897,30,24
1578256809,19,34
1578258741,8,11
1578260648,10,16
1578262584,13,21
1578264487,11,10
1578266405,20,26
1578268341,32,31
1578270253,400,0
1578272177,24,17
1578274088,18,13
1578276007,31,13
1578277950,33,16
1578280106,45,11
1578282012,21,18
1578283945,16,19
1578285848,22,9
1578287772,20,21
1578289696,23,15
1578291607,21,17
1578293525,22,16
1578295464,18,15
1578297365,28,19
1578299537,22,26
1578301699,36,17
1578303611,13,17
1578305797,10,18
1578307686,13,14
1578309618,12,733
1578311533,25,14
1578313458,327,0
1578315373,28,15
1578317298,10,10
1578319232,18,19
1578321147,16,12
1578323064,8,15
1578324979,11,16
1578326904,12,14
1578328810,7,16
1578330748,16,16
1578332661,12,10
1578334585,11,16
1578336732,18,19
1578338648,18,12
1578340587,17,14
1578342489,10,13
1578344423,24,8
1578346327,15,11
1578348498,25,11
1578350406,19,20
1578352340,18,20
1578354258,12,13
1578356417,298,0
1578358327,19,13
1578360261,23,10
1578362173,24,16
1578364334,14,14
1578366498,20,14
1578368420,15,17
1578370338,16,12
1578372248,20,13
1578374179,22,14
1578376089,20,14
1578378026,22,11
1578379928,14,12
1578381851,15,10
1578383784,15,14
1578385686,13,11
1578387613,9,8
1578389542,11,10
1578391709,18,8
1578393609,13,22
1578395545,11,1025
1578397452,18,22
1578399391,531,0
1578401298,20,18
1578403213,27,21
1578405129,14,21
1578407061,25,30
1578408968,23,27
1578411140,22,39
1578413300,19,27
1578415209,25,23
1578417391,15,21
1578419292,8,19
1578421221,21,20
1578423133,10,20
1578425058,10,19
1578426968,29,27
1578429136,20,28
1578431303,25,36
1578433222,25,18
1578435380,23,19
1578437530,13,20
1578439454,16,15
1578441381,9,19
1578443293,450,0
1578445228,13,19
1578447133,8,14
1578449303,20,26
1578451222,19,26
1578453145,13,35
1578455292,16,19
1578457231,14,20
1578459128,18,19
1578461048,20,14
1578462999,23,23
1578464885,20,14
1578466829,19,24
1578468848,16,12
1578470910,9,26
1578472809,27,25
1578474737,17,30
1578476660,20,12
1578478586,18,16
1578480488,14,14
1578482419,18,752
1578484328,24,20
1578486258,398,0
1578488174,18,18
1578490090,19,15
1578492022,22,19
1578493951,6,13
1578495872,16,17
1578497768,21,19
1578499709,22,12
1578501624,11,20
1578503539,12,15
1578505462,17,20
1578507375,22,19
1578509296,12,18
1578511213,12,23
1578513127,15,12
1578515060,17,25
1578516966,18,18
1578518905,17,11
1578520825,18,19
1578522746,14,17
1578524895,13,13
1578526809,12,18
1578528745,347,0
1578530648,10,10
1578532573,14,16
1578534499,12,11
1578536407,19,16
1578538326,19,11
1578540260,21,13
1578542167,16,15
1578544336,25,15
1578546500,20,15
1578548409,20,23
1578550351,10,16
1578552246,17,14
1578554173,18,21
1578556098,25,9
1578558016,20,24
1578559928,20,11
1578561860,12,14
1578563767,21,15
1578565690,22,15
1578567625,17,843
1578569530,30,24
1578571701,434,0
1578573622,29,13
1578575778,32,10
1578577927,31,19
1578579859,19,11
1578581768,22,18
1578583684,17,19
1578585627,18,19
1578587537,13,14
1578589699,10,18
1578591851,12,20
1578593777,16,21
1578595701,14,14
1578597606,10,24
1578599532,19,19
1578601461,18,18
1578603365,17,26
1578605284,13,20
1578607214,13,24
1578609146,12,17
1578611052,17,13
1578612981,23,28
1578615151,371,0
1578617048,20,8
1578618969,11,8
1578620897,28,17
1578623050,16,9
1578624968,24,13
1578626898,13,15
1578628826,23,17
1578630748,19,13
1578632663,8,15
1578634569,21,21
1578636502,22,15
1578638417,21,13
1578640342,14,19
1578642685,31,19
1578644907,16,19
1578646732,16,21
1578648980,15,24
1578651154,25,23
1578653307,16,15
1578655180,7,809
1578657134,23,39
1578659025,461,0
1578660967,20,6
1578662887,20,13
1578665058,18,11
1578666974,30,25
1578668913,13,21
1578670809,17,25
1578673238,20,16
1578675131,16,24
1578677299,20,25
1578679216,18,13
1578681616,17,22
1578683805,17,26
1578685689,16,23
1578687613,20,24
1578689550,18,25
1578691465,14,10
1578693363,13,20
1578695299,11,18
1578697203,11,19
1578699151,22,31
