DateTime,Entries,UniqueIPs
1578020661,1853,1853
1578022579,1858,1858
1578024764,1859,1859
1578026655,1857,1857
1578028570,1857,1857
1578030500,1858,1858
1578032424,1860,1860
1578034329,1870,1870
1578036258,1870,1870
1578038165,1880,1880
1578040088,1889,1889
1578042030,1891,1891
1578043936,1897,1897
1578046098,1899,1899
1578048009,1904,1904
1578049942,1144,1144
1578051846,1148,1148
1578053779,1628,1628
1578055710,1631,1631
1578057610,1627,1627
1578059525,1633,1633
1578061461,1649,1649
1578063365,1634,1634
1578065297,1629,1629
1578067209,1622,1622
1578069132,1619,1619
1578071311,1620,1620
1578073208,1624,1624
1578075143,1621,1621
1578077045,1620,1620
1578079212,1606,1606
1578081126,1597,1597
1578083057,1585,1585
1578084964,1581,1581
1578086895,1571,1571
1578088817,1564,1564
1578090736,1562,1562
1578093152,1547,1547
1578095052,1542,1542
1578096979,1965,1965
1578099137,1968,1968
1578101049,1970,1970
1578102978,1973,1973
1578104888,1981,1981
1578106813,1981,1981
1578108733,1989,1989
1578110901,1990,1990
1578112808,1980,1980
1578114740,1982,1982
1578116648,1988,1988
1578118573,1986,1986
1578120500,1985,1985
1578122423,1979,1979
1578124327,1975,1975
1578126267,1966,1966
1578128167,1958,1958
1578130339,1946,1946
1578132496,1947,1947
1578134425,1945,1945
1578136586,1083,1083
1578138499,1095,1095
1578140415,1584,1584
1578142337,1591,1591
1578144248,1601,1601
1578146419,1609,1609
1578148358,1602,1602
1578150271,1598,1598
1578152179,1586,1586
1578154088,1577,1577
1578156009,1585,1585
1578157954,1573,1573
1578159846,1566,1566
1578161769,1561,1561
1578163700,1549,1549
1578165612,1543,1543
1578167530,1536,1536
1578169459,1534,1534
1578171366,1508,1508
1578173298,1508,1508
1578175220,1506,1506
1578177149,1491,1491
1578179056,1488,1488
1578180981,1488,1488
1578182901,1910,1910
1578184809,1913,1913
1578186744,1908,1908
1578188650,1898,1898
1578190570,1932,1932
1578192486,1932,1932
1578194409,1923,1923
1578196345,1925,1925
1578198247,1922,1922
1578200176,1916,1916
1578202090,1913,1913
1578204026,1909,1909
1578205940,1881,1881
1578208111,1872,1872
1578210010,1868,1868
1578211942,1853,1853
1578213848,1834,1834
1578215775,1823,1823
1578217712,1815,1815
1578219617,1805,1805
1578221530,1801,1801
1578223460,992,992
1578225366,975,975
1578227289,1435,1435
1578229223,1430,1430
1578231139,1426,1426
1578233301,1447,1447
1578235208,1480,1480
1578237144,1509,1509
1578239051,1515,1515
1578240971,1507,1507
1578242897,1506,1506
1578244820,1503,1503
1578246727,1502,1502
1578248661,1513,1513
1578250566,1507,1507
1578252741,1518,1518
1578254897,1524,1524
1578256809,1509,1509
1578258741,1506,1506
1578260648,1500,1500
1578262584,1492,1492
1578264487,1493,1493
1578266405,1487,1487
1578268341,1488,1488
1578270253,1888,1888
1578272177,1895,1895
1578274088,1900,1900
1578276007,1918,1918
1578277950,1935,1935
1578280106,1969,1969
1578282012,1972,1972
1578283945,1969,1969
1578285848,1982,1982
1578287772,1981,1981
1578289696,1989,1989
1578291607,1993,1993
1578293525,1999,1999
1578295464,2002,2002
1578297365,2011,2011
1578299537,2007,2007
1578301699,2026,2026
1578303611,2022,2022
1578305797,2014,2014
1578307686,2013,2013
1578309618,1292,1292
1578311533,1303,1303
1578313458,1630,1630
1578315373,1643,1643
1578317298,1643,1643
1578319232,1642,1642
1578321147,1646,1646
1578323064,1639,1639
1578324979,1634,1634
1578326904,1632,1632
1578328810,1623,1623
1578330748,1623,1623
1578332661,1625,1625
1578334585,1620,1620
1578336732,1619,1619
1578338648,1625,1625
1578340587,1628,1628
1578342489,1625,1625
1578344423,1641,1641
1578346327,1645,1645
1578348498,1659,1659
1578350406,1658,1658
1578352340,1656,1656
1578354258,1655,1655
1578356417,1953,1953
1578358327,1959,1959
1578360261,1972,1972
1578362173,1980,1980
1578364334,1980,1980
1578366498,1986,1986
1578368420,1984,1984
1578370338,1988,1988
1578372248,1995,1995
1578374179,2003,2003
1578376089,2009,2009
1578378026,2020,2020
1578379928,2022,2022
1578381851,2027,2027
1578383784,2028,2028
1578385686,2030,2030
1578387613,2031,2031
1578389542,2032,2032
1578391709,2042,2042
1578393609,2033,2033
1578395545,1019,1019
1578397452,1015,1015
1578399391,1546,1546
1578401298,1548,1548
1578403213,1554,1554
1578405129,1547,1547
1578407061,1542,1542
1578408968,1538,1538
1578411140,1521,1521
1578413300,1513,1513
1578415209,1515,1515
1578417391,1509,1509
1578419292,1498,1498
1578421221,1499,1499
1578423133,1489,1489
1578425058,1480,1480
1578426968,1482,1482
1578429136,1474,1474
1578431303,1463,1463
1578433222,1470,1470
1578435380,1474,1474
1578437530,1467,1467
1578439454,1468,1468
1578441381,1458,1458
1578443293,1908,1908
1578445228,1902,1902
1578447133,1896,1896
1578449303,1890,1890
1578451222,1883,1883
1578453145,1861,1861
