DateTime,AddedIPs,RemovedIPs
1571649367,7,3
1571664017,12,1
1571678649,28,1
1571693292,15,1
1571707944,16,0
1571722569,12,1
1571737232,17,1
1571751863,18,1
1571766492,11,1
1571781128,12,0
1571796023,11,1
1571810652,5,2
1571825304,14,0
1571839928,12,1
1571854813,12,0
1571869461,4,0
1571884087,15,1
1571898742,12,0
1571913629,14,1
1571928495,5,1
1571943140,6,0
1571957779,7,1
1571972417,10,1
1571987302,6,0
1572001951,8,0
1572016836,8,0
1572031468,9,0
1572046089,12,0
1572060748,12,4
1572075377,4,1
1572090026,8,1
1572104930,10,0
1572119777,14,0
1572134418,13,0
1572149297,15,0
1572163942,13,4
1572178593,8,4
1572193456,16,4
1572208115,9,2
1572222737,9,0
1572237624,13,2
1572252500,15,0
1572267134,10,0
1572281787,12,1
1572296426,7,2
1572311307,16,3
1572325928,4,3
1572340603,15,3
1572355452,8,0
1572370336,9,0
1572384968,6,1
1572399609,8,0
1572414251,7,2
1572429146,9,0
1572443784,5,1
1572458431,8,0
1572473064,5,0
1572487711,9,0
1572502331,13,1
1572517226,8,1
1572531861,9,0
1572546504,10,3
1572561143,17,2
1572575766,9,2
1572590424,17,1
1572605057,9,0
1572619688,8,3
1572634348,4,1
1572648969,7,4
1572663635,5,2
1572678270,7,0
1572692900,7,0
1572707541,10,4
1572722172,9,0
1572736813,9,0
1572751461,5,1
1572766335,8,0
1572780972,0,50956
1572795627,50981,3
1572810249,6,2
1572825139,12,0
1572839780,17,0
1572854451,16,2
1572869066,9,0
1572883701,6,3
1572898329,11,2
1572913215,13,2
1572927867,14,0
1572942747,10,0
1572957383,5,0
1572972014,6,0
1572986672,8,2
1573001315,12,0
1573015959,11,1
1573030824,15,0
1573045718,10,1
1573060332,8,0
1573075216,10,0
1573089861,5,1
1573104732,8,1
1573119373,8,3
1573134257,15,0
1573149130,12,5
1573163784,22,0
1573178418,8,0
1573193312,9,1
1573208176,13,1
1573222808,20,2
1573237453,12,2
1573252334,11,2
1573266970,13,0
1573281609,9,6
1573296255,11,0
1573310889,9,2
1573325536,8,0
1573340437,23,1
1573355052,11,0
1573369701,18,0
1573384352,8,5
1573398977,8,3
1573413627,13,0
1573428261,8,1
