DateTime,AddedIPs,RemovedIPs
1578254407,342,367
1578255306,397,435
1578257107,585,771
1578258007,295,140
1578259807,1050,380
1578261608,472,374
1578262507,184,233
1578264307,503,603
1578265206,242,422
1578266108,160,285
1578267908,517,604
1578268808,385,178
1578269709,447,192
1578271508,664,1187
1578272408,299,283
1578273308,276,273
1578275108,384,288
1578276908,928,366
1578278708,984,649
1578279609,399,389
1578280509,420,1219
1578282308,976,856
1578284108,926,567
1578285908,858,589
1578286809,301,348
1578287709,376,457
1578289508,706,696
1578290408,261,318
1578291307,494,362
1578293107,832,1280
1578294009,320,518
1578294908,169,488
1578296708,658,1101
1578297609,847,854
1578298508,237,546
1578300308,634,761
1578301208,273,426
1578302108,310,202
1578303908,804,280
1578304807,722,399
1578305706,340,227
1578307507,940,482
1578308408,413,387
1578309308,428,502
1578311109,716,533
1578312009,332,219
1578312908,414,145
1578314709,1055,874
1578315608,435,406
1578316508,391,102
1578318308,1070,205
1578319209,767,108
1578320108,556,172
1578321909,1394,602
1578322808,701,323
1578323709,776,1168
1578325508,1400,963
1578326410,747,646
1578327309,587,567
1578329109,1218,987
1578330909,1020,540
1578332708,732,969
1578333608,529,307
1578334507,328,236
1578336308,793,2082
1578337208,360,873
1578338109,378,641
1578339907,947,1083
1578340807,367,448
1578342607,1622,1514
1578344408,1026,1610
1578346207,787,1004
1578348008,862,1019
1578348908,419,288
1578350708,837,444
1578351609,121,39
1578352508,65,9
1578354308,214,50
1578355209,134,28
1578357008,281,186
1578358808,249,52
1578359707,108,21
1578361506,288,66
1578362407,181,39
1578363307,135,33
1578365105,309,95
1578366005,122,27
1578367805,418,76
1578369605,332,51
1578370505,193,32
1578372304,515,98
1578373205,247,77
1578374104,211,70
1578375904,447,124
1578376804,178,37
1578377705,323,107
1578379503,322,595
1578380404,133,450
1578381304,146,341
1578383104,964,744
1578384903,326,860
1578386702,536,1586
1578387603,349,546
1578388502,200,437
1578390302,388,784
1578391203,244,403
1578392102,340,422
1578393902,1247,775
1578394802,254,369
1578396601,534,209
1578398402,522,179
1578400202,202,263
1578402002,535,213
1578403802,666,449
1578405602,531,253
1578406502,172,213
1578408302,371,414
1578409202,247,150
1578411002,705,247
1578412802,425,353
1578414602,480,333
1578416402,207,487
1578418202,336,431
1578420002,239,394
1578420902,195,169
1578422702,404,241
1578423602,403,168
1578425402,741,36
1578427202,590,934
1578428102,256,38
1578429903,491,184
1578430802,299,346
1578432603,364,550
1578434402,390,336
1578435302,163,228
1578437102,326,881
1578438003,176,547
1578438902,189,278
1578440703,1464,434
1578441603,4087,177
1578442502,1148,189
1578444303,829,126
1578445203,391,159
1578447004,574,423
1578448803,502,766
1578449704,288,107
1578451504,607,275
1578452404,244,152
1578453305,230,174
1578455104,489,1158
1578456004,276,662
1578456904,274,1506
1578458704,714,1362
1578459605,301,1918
1578460505,285,1882
1578462305,691,2529
1578464105,726,3649
1578465905,713,2076
1578466806,244,447
1578468606,572,778
1578470405,415,886
1578471307,130,294
1578473107,1379,969
1578474007,1141,421
1578474907,523,208
1578476707,991,494
1578477607,489,232
1578478508,507,224
1578480307,825,380
1578481206,456,202
1578482108,545,160
1578483907,1021,418
1578485708,2316,565
1578487508,1552,507
1578488407,657,232
1578490209,1289,452
1578492007,1205,285
1578493808,1104,232
1578495608,1160,228
1578497406,536,152
1578499207,960,575
1578500107,825,917
1578501907,1016,1126
1578502807,467,391
1578504607,778,927
1578506407,773,1030
1578507308,529,448
1578509107,788,544
1578510005,425,521
1578511806,768,1969
1578513606,721,1341
1578514505,324,424
1578516306,680,1207
1578518105,1091,1214
1578519905,831,1096
1578520805,547,652
1578521705,417,623
1578523505,744,999
1578524406,418,515
1578525305,320,512
1578527106,1061,760
1578528005,374,298
1578528905,531,585
1578530706,1387,1515
1578531605,591,501
1578532505,543,525
1578534305,994,741
1578535205,520,338
1578536105,483,446
1578537905,881,1071
1578538805,409,492
1578539705,516,249
1578541505,774,502
1578542405,399,497
1578544206,953,1002
1578546005,929,1108
1578546905,359,533
1578548705,475,970
1578549605,162,532
1578551405,616,853
1578553205,420,1406
1578554106,183,508
1578555905,362,1205
1578556805,203,621
1578558604,338,840
1578560405,319,1056
1578561305,161,520
1578563105,636,915
1578564005,181,199
1578564905,246,211
1578566705,444,424
1578567604,246,127
1578569405,454,477
1578571205,538,425
1578573005,607,384
1578574805,549,417
1578575705,584,408
1578577504,633,693
1578578404,275,246
1578580205,545,491
1578582004,597,596
1578582904,256,210
1578584705,426,182
1578585604,256,153
1578587404,447,195
1578589205,433,185
1578591004,414,135
1578592804,408,261
1578593704,148,164
1578595503,380,247
1578596404,157,63
1578597304,373,168
1578599104,251,301
1578600004,122,134
1578601804,211,316
1578603605,313,253
1578604505,210,120
1578606304,293,520
1578607204,371,152
1578608104,256,150
1578609903,529,353
1578610804,225,156
1578612604,459,381
1578614404,608,877
1578616204,1017,1222
1578618004,838,943
1578618905,360,512
1578620704,794,888
1578621604,355,600
1578623404,947,1080
1578625204,697,850
1578627004,812,796
1578628804,620,671
1578629705,310,312
1578631505,591,552
1578633304,592,779
1578635104,451,649
1578636005,285,349
1578636905,308,453
1578638704,468,693
1578639604,283,265
1578640505,292,196
1578642305,545,496
1578644105,520,1373
1578645905,556,1149
1578648605,930,1142
1578650405,494,819
1578652205,475,746
1578654005,572,661
1578655804,573,599
1578657605,677,605
1578659406,460,425
1578661205,662,429
1578663005,651,531
1578664805,662,254
1578666605,475,504
1578668404,555,908
1578670205,370,380
1578672005,448,121
1578673805,501,161
1578675605,352,215
1578676505,292,7057
1578678304,6916,0
1578679205,281,226
1578680105,343,296
1578681905,483,414
1578682805,190,148
1578684605,528,413
1578686405,559,525
1578688205,622,425
1578690004,493,433
1578691804,452,533
1578693604,494,495
1578695405,380,585
1578697205,406,487
1578699005,435,774
1578700805,414,715
1578701704,131,287
1578703505,341,396
1578704405,254,175
1578706204,382,453
1578708004,1239,690
1578709805,775,611
1578711605,423,548
1578712504,191,295
1578714304,434,399
1578715205,233,203
1578716104,283,2744
1578717904,2421,8
1578718804,223,257
1578720604,348,529
1578722406,335,663
1578723305,136,946
1578725105,680,9
1578726005,177,271
1578726905,136,277
1578728704,313,318
1578730505,549,370
1578732305,429,439
1578733205,166,198
1578735004,399,289
1578736804,379,363
1578738605,368,429
1578740404,359,741
1578742205,356,669
1578744005,332,804
1578745804,480,453
1578747605,477,386
1578749404,586,467
1578751205,583,477
1578752105,263,219
1578753904,464,360
1578754804,194,75
1578755705,258,142
1578757504,478,283
1578758405,313,140
1578759304,233,160
1578761105,490,374
1578762004,310,47
1578763804,1242,541
1578765605,861,482
1578767404,463,376
1578769204,408,253
1578770105,213,207
1578771904,370,330
1578772804,156,160
1578774605,412,461
1578776405,317,524
1578778204,420,345
1578780004,428,580
1578781805,350,582
1578783604,452,606
1578785404,476,706
1578787205,404,558
1578789004,399,568
1578790805,361,600
1578792605,562,577
1578794405,480,833
1578796204,374,994
1578798005,341,991
1578799805,337,666
1578801605,365,471
1578803405,377,444
1578805205,455,362
1578807005,501,506
1578808805,782,383
1578810605,633,577
1578812404,528,608
1578813305,196,274
1578815105,341,535
1578816005,174,291
1578816905,163,286
1578818705,243,540
1578819605,154,292
1578821405,303,548
1578823205,294,229
1578825007,697,968
1578826807,520,500
1578828607,539,447
1578830407,1239,825
1578832207,629,419
1578834007,543,455
1578835807,368,178
1578837608,457,159
1578839404,397,147
1578841206,297,125
1578843005,375,144
1578844805,243,100
1578846605,267,117
1578848405,323,121
1578850205,961,218
1578852005,612,146
1578853805,428,168
1578855605,405,233
1578857405,337,123
1578859205,241,202
1578861005,321,113
1578862805,258,24
1578864604,393,16
1578866405,339,322
1578868204,336,497
1578870005,335,253
1578870904,192,175
1578872704,621,386
1578873605,140,225
1578875404,328,1161
1578877204,232,536
1578878105,117,8206
1578879904,7683,0
1578880804,151,473
1578882605,350,817
1578884404,332,675
1578885304,162,6999
1578887105,5787,0
1578888005,139,401
1578889805,340,654
1578891605,303,621
1578893404,384,489
1578895205,316,520
1578897005,290,488
1578898804,291,373
1578900605,311,591
1578902404,240,422
1578904205,287,419
1578906004,327,411
1578907805,349,373
1578909605,348,344
1578911405,371,397
1578913205,447,289
1578915005,338,277
1578916805,382,187
1578918605,396,275
1578920405,560,184
1578922205,510,185
1578924005,351,230
1578925805,378,280
1578927605,692,273
1578929405,376,173
1578931205,351,285
1578932106,162,99
1578933904,496,252
1578934805,191,132
1578936605,425,142
1578938405,294,221
1578940205,311,191
1578942005,330,216
1578943804,319,280
1578945605,309,274
1578947405,477,272
1578949204,229,283
1578951005,4959,1464
1578952805,1070,997
1578954605,982,1042
1578956405,672,788
1578958204,583,496
1578960005,580,588
1578961805,763,533
1578963605,330,354
1578965405,263,349
1578967206,248,422
1578969006,367,645
1578970805,262,484
1578972605,418,2842
1578974405,304,2064
1578976205,269,1220
1578978008,295,650
1578978908,134,149
1578980707,215,492
1578981607,145,376
1578983407,442,936
1578985207,282,770
1578987007,375,585
1578988806,415,302
1578990607,380,312
1578992407,342,250
1578994207,219,227
1578996007,434,223
1578997807,495,276
1578999606,287,229
1579001407,358,252
