DateTime,Entries,UniqueIPs
1578254407,6920,6920
1578255306,6882,6882
1578257107,6696,6696
1578258007,6851,6851
1578259807,7521,7521
1578261608,7619,7619
1578262507,7570,7570
1578264307,7470,7470
1578265206,7290,7290
1578266108,7165,7165
1578267908,7078,7078
1578268808,7285,7285
1578269709,7540,7540
1578271508,7017,7017
1578272408,7033,7033
1578273308,7036,7036
1578275108,7132,7132
1578276908,7694,7694
1578278708,8029,8029
1578279609,8039,8039
1578280509,7240,7240
1578282308,7360,7360
1578284108,7719,7719
1578285908,7988,7988
1578286809,7941,7941
1578287709,7860,7860
1578289508,7870,7870
1578290408,7813,7813
1578291307,7945,7945
1578293107,7497,7497
1578294009,7299,7299
1578294908,6980,6980
1578296708,6537,6537
1578297609,6530,6530
1578298508,6221,6221
1578300308,6094,6094
1578301208,5941,5941
1578302108,6049,6049
1578303908,6573,6573
1578304807,6896,6896
1578305706,7009,7009
1578307507,7467,7467
1578308408,7493,7493
1578309308,7419,7419
1578311109,7602,7602
1578312009,7715,7715
1578312908,7984,7984
1578314709,8165,8165
1578315608,8194,8194
1578316508,8483,8483
1578318308,9348,9348
1578319209,10007,10007
1578320108,10391,10391
1578321909,11183,11183
1578322808,11561,11561
1578323709,11169,11169
1578325508,11606,11606
1578326410,11707,11707
1578327309,11727,11727
1578329109,11958,11958
1578330909,12438,12438
1578332708,12201,12201
1578333608,12423,12423
1578334507,12515,12515
1578336308,11226,11226
1578337208,10713,10713
1578338109,10450,10450
1578339907,10314,10314
1578340807,10233,10233
1578342607,10341,10341
1578344408,9757,9757
1578346207,9540,9540
1578348008,9383,9383
1578348908,9514,9514
1578350708,9907,9907
1578351609,9989,9989
1578352508,10045,10045
1578354308,10209,10209
1578355209,10315,10315
1578357008,10410,10410
1578358808,10607,10607
1578359707,10694,10694
1578361506,10916,10916
1578362407,11058,11058
1578363307,11160,11160
1578365105,11374,11374
1578366005,11469,11469
1578367805,11811,11811
1578369605,12092,12092
1578370505,12253,12253
1578372304,12670,12670
1578373205,12840,12840
1578374104,12981,12981
1578375904,13304,13304
1578376804,13445,13445
1578377705,13661,13661
1578379503,13388,13388
1578380404,13071,13071
1578381304,12876,12876
1578383104,13096,13096
1578384903,12562,12562
1578386702,11512,11512
1578387603,11315,11315
1578388502,11078,11078
1578390302,10682,10682
1578391203,10523,10523
1578392102,10441,10441
1578393902,10913,10913
1578394802,10798,10798
1578396601,11123,11123
1578398402,11466,11466
1578400202,11405,11405
1578402002,11727,11727
1578403802,11944,11944
1578405602,12222,12222
1578406502,12181,12181
1578408302,12138,12138
1578409202,12235,12235
1578411002,12693,12693
1578412802,12765,12765
1578414602,12912,12912
1578416402,12632,12632
1578418202,12537,12537
1578420002,12382,12382
1578420902,12408,12408
1578422702,12571,12571
1578423602,12806,12806
1578425402,13511,13511
1578427202,13167,13167
1578428102,13385,13385
1578429903,13692,13692
1578430802,13645,13645
1578432603,13459,13459
1578434402,13513,13513
1578435302,13448,13448
1578437102,12893,12893
1578438003,12522,12522
1578438902,12433,12433
1578440703,13463,13463
1578441603,17373,17373
1578442502,18332,18332
1578444303,19035,19035
1578445203,19267,19267
1578447004,19418,19418
1578448803,19154,19154
1578449704,19335,19335
1578451504,19667,19667
1578452404,19759,19759
1578453305,19815,19815
1578455104,19146,19146
1578456004,18760,18760
1578456904,17528,17528
1578458704,16880,16880
1578459605,15263,15263
1578460505,13666,13666
1578462305,11828,11828
1578464105,8905,8905
1578465905,7542,7542
1578466806,7339,7339
1578468606,7133,7133
1578470405,6662,6662
1578471307,6498,6498
1578473107,6908,6908
1578474007,7628,7628
1578474907,7943,7943
1578476707,8440,8440
1578477607,8697,8697
1578478508,8980,8980
1578480307,9425,9425
1578481206,9679,9679
1578482108,10064,10064
1578483907,10667,10667
1578485708,12418,12418
1578487508,13463,13463
1578488407,13888,13888
1578490209,14725,14725
1578492007,15645,15645
1578493808,16517,16517
1578495608,17449,17449
1578497406,17833,17833
1578499207,18218,18218
1578500107,18126,18126
1578501907,18016,18016
1578502807,18092,18092
1578504607,17943,17943
1578506407,17686,17686
1578507308,17767,17767
1578509107,18011,18011
1578510005,17915,17915
1578511806,16714,16714
1578513606,16094,16094
1578514505,15994,15994
1578516306,15467,15467
1578518105,15344,15344
1578519905,15079,15079
1578520805,14974,14974
1578521705,14768,14768
1578523505,14513,14513
1578524406,14416,14416
1578525305,14224,14224
1578527106,14525,14525
1578528005,14601,14601
1578528905,14547,14547
1578530706,14419,14419
1578531605,14509,14509
1578532505,14527,14527
1578534305,14780,14780
1578535205,14962,14962
1578536105,14999,14999
1578537905,14809,14809
1578538805,14726,14726
1578539705,14993,14993
1578541505,15265,15265
1578542405,15167,15167
1578544206,15118,15118
1578546005,14939,14939
1578546905,14765,14765
1578548705,14270,14270
1578549605,13900,13900
1578551405,13663,13663
1578553205,12677,12677
1578554106,12352,12352
