DateTime,AddedIPs,RemovedIPs
1576566636,2,5
1576570836,0,4
1576578635,2,0
1576582246,2,5
1576590036,4,3
1576595436,0,2
1576600836,0,2
1576606236,2,5
1576614041,2,7
1576618836,0,1
1576623637,2,3
1576627236,2,0
1576631436,2,23
1576637437,2,0
1576642838,1,20
1576647636,2,0
1576659636,1,0
1576670434,1,0
1576675835,1,6
1576679434,3,0
1576683035,0,3
1576686635,1,6
1576696833,3,8
1576704034,0,5
1576711834,2,12
1576715435,2,0
1576719033,1,7
1576722636,0,10
1576726233,2,5
1576729835,3,0
1576732833,0,8
1576737036,7,1
1576742436,6,10
1576746635,1,0
1576752035,5,3
1576755043,2,0
1576758636,0,5
1576762233,1,0
1576765834,1,6
1576770034,0,4
1576774236,0,2
1576782034,7,0
1576785636,0,7
1576789234,1,6
1576792837,1,0
1576796437,3,7
1576800037,2,9
1576803634,1,0
1576806636,0,8
1576810835,1,3
1576814435,1,0
1576818035,0,4
1576821634,1,5
1576833036,1,13
1576839638,1,6
1576850433,0,9
1576854037,2,12
1576857634,2,0
1576861235,2,7
1576864836,2,0
1576868438,1,5
1576872034,0,6
1576879234,4,9
1576882835,1,0
1576887035,1,14
1576891834,1,0
1576899033,2,5
1576902634,2,1
1576910435,0,10
1576915235,0,1
1576926034,2,10
1576929635,0,16
1576933233,0,8
1576936837,4,0
1576940433,0,9
1576947033,0,5
1576951235,0,5
1576954842,0,9
1576958434,3,0
1576961434,0,3
1576965635,1,12
1576969248,1,0
1576976444,0,11
1576980043,1,0
1576987242,0,9
1576990847,1,0
1576994444,0,7
1577001043,0,4
1577005842,1,6
1577011242,0,10
1577017842,0,5
1577021445,0,4
1577028641,0,7
1577032242,1,0
1577036443,5,9
1577041242,4,4
1577044841,2,0
1577048441,1,5
1577052641,1,4
1577057442,2,3
1577061041,3,0
1577065249,1,5
1577070645,2,8
1577073639,1,0
1577077242,1,0
1577080844,0,2
1577088040,0,8
1577095237,5,3
1577098850,5,2
1577102437,2,7
1577106644,2,4
1577111447,5,6
1577114441,1,0
1577118637,1,3
1577122234,1,3
1577129436,1,5
1577132438,1,6
1577140245,3,10
1577147436,3,0
1577151044,3,4
1577154037,0,5
1577157637,3,0
1577161242,2,4
1577164835,0,6
1577172040,0,5
1577179839,5,4
1577183443,0,2
1577186455,1,0
1577190040,1,4
1577193043,1,2
1577197840,1,1
1577204436,1,3
1577208041,2,0
1577212239,6,11
1577219439,11,1
1577222440,8,0
1577226044,4,12
1577233839,1,14
1577237438,2,1
1577240441,1,5
1577248237,4,3
1577255444,1,4
1577262640,1,6
1577266244,2,5
1577269835,4,3
1577277040,4,2
1577280640,3,5
1577284236,2,3
1577290838,1,4
1577298639,5,0
1577302240,0,2
1577305839,1,5
1577309435,0,4
1577313044,2,4
1577320236,2,6
1577323842,3,1
1577331043,1,15
1577338240,9,0
1577341233,3,6
1577349041,3,23
1577361639,0,5
1577368847,0,7
1577372439,0,7
1577376040,1,0
1577379641,1,7
1577383243,3,0
1577386836,0,2
1577390445,3,3
1577394038,2,8
1577397646,2,0
1577401245,2,7
1577404848,1,5
1577408440,1,0
1577412045,3,1
1577415640,1,4
1577419241,0,5
1577422839,6,0
1577430044,106,7
1577436645,20,3
1577440841,5,5
1577444441,6,0
1577448045,3,4
1577451639,2,4
1577455241,1,2
1577458836,3,4
1577463043,1,12
1577471436,3,2
1577474444,1,4
1577481637,10,7
1577488846,13,2
1577492444,2,0
1577501442,2,6
1577505641,3,10
1577509841,7,7
1577514644,2,0
1577517645,2,9
1577521239,2,0
1577524839,5,9
1577529052,2,11
1577533249,0,9
1577537447,0,3
1577541641,1,5
1577545244,3,0
1577548841,8,9
1577553046,1,10
1577557850,1,2
1577561443,4,0
1577564439,2,7
1577568055,2,0
1577572241,1,15
1577575843,6,0
1577579441,5,6
1577584238,4,5
1577588443,1,5
1577592037,4,0
1577596242,2,7
1577602845,5,0
1577606439,6,2
1577609436,3,0
1577614843,7,8
1577620846,2,4
1577628044,5,7
1577635839,6,5
1577640635,3,7
1577644234,1,0
1577647237,2,7
1577654437,3,6
1577658036,1,0
1577662236,21,16
1577665833,16,0
1577669435,10,2
1577673038,11,0
1577676638,4,5
1577680238,2,0
1577683839,3,6
1577687438,4,7
1577694038,5,10
1577697642,2,0
1577701253,1,4
1577712634,6,12
1577716238,6,0
1577719239,7,5
1577723438,3,7
1577727043,1,0
1577730635,5,1
1577734237,5,5
1577737242,1,2
1577744442,3,4
1577748041,0,5
1577752239,2,2
1577755836,1,0
1577758842,0,4
1577762438,2,0
1577766037,3,6
1577769637,1,6
1577773841,10,6
1577777439,1,3
1577780439,12,0
1577784643,1,5
1577788237,3,0
1577795438,4,13
1577802643,5,9
1577806241,1,0
1577809840,0,3
1577813445,0,3
1577816440,2,6
1577820643,2,3
1577827838,3,2
1577830838,3,3
1577834442,2,10
1577838636,5,2
1577845233,1,0
1577852436,2,4
1577856635,0,8
1577860236,3,0
1577863840,1,0
1577868040,1,4
1577879440,4,12
1577883034,2,1
1577890239,1,4
1577897441,2,7
1577901639,0,13
1577908233,2,0
1577911836,2,8
1577915435,1,9
1577922632,1,2
1577929835,2,2
1577933434,2,7
1577937038,2,8
1577940642,1,0
1577944239,2,7
1577947841,1,0
1577952038,2,15
1577955636,1,0
1577965838,5,4
1577973038,3,19
1577977243,0,5
1577983840,9,5
1577987439,6,1
1577991644,4,7
1577995246,1,0
1578002440,5,7
1578006642,1,6
1578010244,1,0
1578016245,2,5
1578020447,2,11
1578024644,2,0
1578031243,2,2
1578035442,0,8
1578040839,1,2
1578045040,2,2
1578049241,0,1
1578052838,1,0
1578056437,0,4
1578059433,2,10
1578064238,0,6
1578069632,1,5
1578074432,0,9
1578078029,2,0
1578085230,2,8
1578088231,2,0
1578091830,2,4
1578099029,0,12
1578109828,3,3
1578114031,2,1
1578118235,7,6
1578122431,0,4
1578126029,4,0
1578133830,3,3
1578137434,1,5
1578141029,1,7
1578147631,0,5
1578151231,0,13
1578154831,1,0
1578158430,1,5
1578169229,1,13
1578172833,2,0
1578176430,1,0
1578183631,121,7
1578191430,35,4
1578195631,4,9
1578200432,17,8
1578205231,9,1
1578210032,8,4
1578214832,11,8
1578222632,3,12
1578227431,2,4
1578234630,6,15
1578238232,6,0
1578241830,6,0
1578245431,17,4
1578249030,13,2
1578252032,8,2
1578255629,13,3
1578259232,3,0
1578263432,14,10
1578267030,4,0
1578270631,7,5
1578274230,1,3
1578277832,1,0
1578285031,2,3
1578292230,2,7
1578296431,6,8
1578301232,9,0
1578304231,9,1
1578308434,5,3
1578312031,10,0
1578315631,2,2
1578319831,4,8
1578327631,3,2
1578333031,2,2
1578337832,6,4
1578340830,1,0
1578345032,3,1
1578349832,6,4
1578354032,3,2
1578359431,7,0
1578364831,11,0
1578370231,13,3
1578376232,6,5
1578381033,6,0
1578388233,2,2
1578391833,1,6
1578397835,5,2
1578403234,2,5
1578408034,3,0
1578414634,5,5
1578418835,9,16
1578424234,10,3
1578429037,5,9
1578433235,3,0
1578438037,3,8
1578441641,3,0
1578445235,1,5
1578449437,0,4
1578455437,1,0
1578461436,1,8
1578466237,0,2
1578471036,2,1
1578475237,4,1
1578480646,4,0
1578486036,6,8
1578493833,2,4
1578501033,5,4
1578505835,0,5
1578511236,4,12
1578515436,3,2
1578519636,0,3
1578531035,2,7
1578535237,10,3
1578539436,0,6
1578544236,2,5
1578549037,2,4
1578554437,0,3
1578559836,3,0
1578565237,1,15
1578570037,0,7
1578576637,1,0
1578580234,1,0
1578583836,1,5
1578590436,4,4
1578597634,5,20
1578601235,1,8
1578604834,5,0
1578612635,8,7
1578615635,9,6
1578619836,3,6
1578624636,3,0
