DateTime,AddedIPs,RemovedIPs
1572883824,83,136
1572894623,105,150
1572907223,158,227
1572914421,113,0
1572922222,135,155
1572936022,166,68
1572944423,83,97
1572958223,95,73
1572972023,77,244
1572979223,112,148
1572993623,152,0
1573004421,139,304
1573017621,192,165
1573031424,163,100
1573039223,88,254
1573053623,100,0
1573068023,115,73
1573080022,112,334
1573092622,160,0
1573106421,166,343
1573119024,166,86
1573126227,64,125
1573140024,79,147
1573152023,94,156
1573164023,130,0
1573188022,140,416
1573202423,154,157
1573216823,155,83
1573229422,85,228
1573240822,81,176
1573252223,104,365
1573261821,88,0
1573273221,139,0
1573284021,139,226
1573298423,182,141
1573309822,150,138
1573320622,131,130
1573330822,117,139
1573341027,127,105
1573352425,201,161
1573365021,184,89
1573375829,146,66
1573387224,124,68
1573398623,84,88
1573410622,121,106
1573420822,130,97
1573431621,187,141
1573443021,150,128
1573455621,129,87
1573468223,120,75
1573479623,88,113
1573490422,90,130
1573503022,161,119
1573515622,163,117
1573524622,131,78
1573536021,106,94
1573546824,117,128
1573558823,106,128
1573572023,110,168
1573584622,133,194
1573596022,107,132
1573606221,84,74
1573611622,57,84
1573623021,57,122
1573633223,81,202
1573644624,120,0
1573654822,107,226
1573666222,113,210
1573676422,101,114
1573690222,114,92
1573704621,96,61
1573716020,69,231
1573726224,132,133
1573740623,126,174
1573750223,142,95
1573761022,102,78
1573771822,97,87
1573783821,97,107
1573794620,61,150
1573806024,102,132
1573817425,193,194
1573828223,185,64
1573840823,105,69
1573850423,92,71
1573862422,99,107
1573873821,91,143
1573883421,99,102
1573894823,136,139
1573905623,119,87
1573915822,105,94
1573927221,78,74
1573937421,64,97
1573947621,56,137
1573959621,87,0
1573969820,61,122
1573980020,156,292
1573992619,142,0
1574003419,80,187
1574012419,86,83
1574023818,79,0
1574034618,64,74
1574045417,64,272
1574086822,140,274
1574098823,170,56
1574112622,97,247
1574126421,168,258
1574136621,143,321
1574147420,125,0
1574158824,125,0
1574169623,102,0
1574184023,83,82
1574194222,89,93
1574205022,135,119
1574216421,175,133
1574227221,136,107
1574238023,94,87
1574248822,94,85
1574259022,61,113
1574270421,114,105
1574284221,144,0
1574295633,139,228
1574306421,115,86
1574317820,122,94
1574327423,61,101
1574339423,72,92
1574349022,84,129
1574360421,92,132
1574374221,130,100
1574385020,117,60
1574399420,115,87
1574410823,101,72
1574421622,98,123
1574433022,114,152
1574442622,133,147
1574453421,163,116
1574464221,109,80
1574469620,46,94
1574481020,81,0
1574492419,58,90
1574502622,80,106
1574512823,105,116
1574523022,102,131
1574532622,92,66
1574543421,72,91
1574557221,74,43
1574571021,101,230
1574581820,106,130
1574592623,135,114
1574603422,107,137
1574613622,87,69
1574628022,79,84
1574640622,67,101
1574653821,126,101
1574664020,124,112
1574675423,92,120
1574689222,112,75
1574703023,100,104
1574712622,97,209
1574723421,125,0
1574737821,156,105
1574750423,127,109
1574757023,72,95
1574766622,75,86
1574778022,91,94
1574788822,97,90
1574800221,109,0
1574809821,108,237
1574824220,122,80
1574835620,109,0
1574846423,88,65
1574857822,53,215
1574868622,116,111
1574883021,106,110
1574893821,90,110
1574907021,82,111
1574917820,94,107
1574927419,274,113
1574938223,136,123
1574948427,102,128
1574959822,106,138
1574970622,97,90
1574983225,98,81
1574994024,139,96
1575004823,150,111
1575015026,104,151
1575026422,105,93
1575037822,76,92
1575048021,79,126
1575058825,140,107
1575069021,123,99
1575081620,126,0
1575093620,73,190
1575103822,57,121
1575117622,103,126
1575130221,94,119
1575142222,98,137
1575156622,119,119
1575168621,100,231
1575181820,76,127
1575193223,90,161
1575207022,96,169
1575220823,101,94
1575232223,118,108
1575246021,139,119
1575257421,135,195
1575271820,137,142
1575284423,128,113
1575297022,106,87
1575309622,144,74
1575322822,178,124
1575337221,168,94
1575348020,88,96
1575360023,82,111
1575372626,103,126
1575382223,85,136
1575394222,93,0
1575408622,84,124
1575423021,99,127
1575437420,95,127
1575451823,111,269
1575464422,110,157
1575478822,128,123
1575493221,115,100
1575507021,149,97
1575517220,138,116
1575531020,139,98
1575545422,119,102
1575558022,108,105
1575569422,107,91
1575582021,114,91
1575596420,139,137
1575610220,82,101
1575621623,76,105
1575635422,91,134
1575648622,91,128
1575660621,110,162
1575674421,120,122
1575686420,108,122
1575698420,100,111
1575712822,106,123
1575723622,108,115
1575735622,105,90
1575747021,92,104
1575761421,130,0
1575772820,79,160
1575784820,143,111
1575794423,85,0
1575808822,105,90
1575822622,104,111
1575835221,76,174
1575847821,102,76
1575858621,106,0
1575869419,94,140
1575883823,86,101
1575898222,101,192
1575910222,100,109
1575922222,153,89
1575933021,145,109
1575945625,113,0
1575956421,126,172
1575970823,106,97
1575981623,100,93
1575992422,122,0
1576001422,125,92
1576012222,90,97
1576026621,113,86
1576038021,54,95
1576042820,79,106
1576054224,127,0
1576065022,79,107
1576075222,67,92
1576089022,68,71
1576102221,80,192
1576112420,74,61
1576126820,88,0
1576134021,74,230
1576146620,76,127
1576161019,83,112
1576174818,103,108
1576189218,85,95
1576202417,149,227
1576213217,128,64
1576226423,94,0
1576240222,112,220
1576252222,124,74
1576263622,105,89
1576278021,115,109
1576288821,116,94
1576300219,60,0
1576311024,72,231
1576323023,116,0
1576337423,89,140
1576348222,71,116
1576361422,74,87
1576375220,73,115
1576389620,111,213
1576401622,70,105
1576416022,100,102
1576426821,89,85
1576437621,89,111
1576452021,145,114
1576463420,114,103
1576476020,92,105
1576486823,105,80
1576497023,90,0
1576510222,147,44
1576520421,113,83
1576533022,121,98
1576546820,99,70
1576558822,77,106
1576570824,108,74
1576582226,91,109
1576595423,122,111
1576609822,90,65
1576623622,94,171
1576637422,152,122
1576647621,95,112
1576659624,81,98
1576670423,96,78
1576683022,86,141
1576696822,127,123
1576708222,106,121
1576722622,89,0
1576737020,100,107
1576746623,93,171
1576758622,135,123
1576770022,86,125
1576782022,122,102
1576796424,104,0
1576810821,90,204
1576825221,106,140
1576839624,112,118
1576854023,98,119
1576868425,136,69
1576882821,121,237
1576896021,114,123
1576910421,114,0
1576936825,110,244
1576951222,108,112
1576965621,118,134
1576980027,99,114
1576994426,116,126
1577005828,98,205
1577017827,93,0
1577032227,100,85
1577044827,119,90
1577057426,127,118
1577070629,101,99
1577084421,100,95
1577098826,114,96
1577111430,83,88
1577125834,101,113
1577140227,82,101
1577154022,68,113
1577168422,64,129
1577179826,87,146
1577193030,84,132
1577204424,83,120
1577215823,98,117
1577230229,120,106
1577240425,82,100
1577251827,121,0
1577266229,90,77
1577280626,114,150
1577295027,125,67
1577309423,95,96
1577323826,113,70
1577338225,95,80
1577352624,120,128
1577365228,104,85
1577379627,105,110
1577394025,109,89
1577408425,144,77
1577422825,92,99
1577436631,188,130
