DateTime,Entries,UniqueIPs
1572883824,4905,5018
1572894623,4905,5018
1572907223,4898,5012
1572914421,4897,5010
1572922222,4912,5025
1572936022,4914,5027
1572944423,4895,5006
1572958223,4893,5004
1572972023,4851,4958
1572979223,4900,5008
1572993623,4929,5038
1573004421,4929,5039
1573017621,4938,5049
1573031424,4945,5056
1573039223,4924,5035
1573053623,4935,5046
1573068023,4955,5066
1573080022,4934,5044
1573092622,4940,5050
1573106421,4915,5023
1573119024,4905,5014
1573126227,4889,4998
1573140024,4894,5003
1573152023,4876,4987
1573164023,4877,4987
1573188022,4837,4947
1573202423,4834,4944
1573216823,4828,4938
1573229422,4824,4934
1573240822,4794,4903
1573252223,4801,4911
1573261821,4795,4905
1573273221,4780,4887
1573284021,4782,4888
1573298423,4786,4891
1573309822,4815,4921
1573320622,4823,4928
1573330822,4830,4935
1573341027,4833,4937
1573352425,4835,4940
1573365021,4836,4938
1573375829,4829,4932
1573387224,4832,4940
1573398623,4832,4938
1573410622,4833,4940
1573420822,4850,4957
1573431621,4833,4940
1573443021,4827,4932
1573455621,4835,4939
1573468223,4847,4952
1573479623,4821,4923
1573490422,4819,4921
1573503022,4818,4922
1573515622,4815,4917
1573524622,4806,4906
1573536021,4783,4884
1573546824,4790,4890
1573558823,4781,4881
1573572023,4775,4876
1573584622,4784,4885
1573596022,4751,4849
1573606221,4762,4861
1573611622,4753,4848
1573623021,4726,4819
1573633223,4716,4809
1573644624,4737,4831
1573654822,4695,4789
1573666222,4712,4806
1573676422,4708,4802
1573690222,4702,4796
1573704621,4674,4768
1573716020,4647,4742
1573726224,4641,4736
1573740623,4630,4725
1573750223,4618,4712
1573761022,4608,4698
1573771822,4546,4637
1573783821,4560,4653
1573794620,4569,4662
1573806024,4524,4614
1573817425,4543,4634
1573828223,4529,4620
1573840823,4509,4600
1573850423,4487,4578
1573862422,4482,4572
1573873821,4468,4558
1573883421,4467,4558
1573894823,4469,4562
1573905623,4466,4560
1573915822,4453,4546
1573927221,4440,4533
1573937421,4420,4513
1573947621,4401,4496
1573959621,4384,4479
1573969820,4378,4470
1573980020,4388,4482
1573992619,4389,4483
1574003419,4354,4447
1574012419,4356,4449
1574023818,4339,4432
1574034618,4317,4410
1574045417,4311,4404
1574086822,4222,4312
1574098823,4211,4301
1574112622,4185,4274
1574126421,4194,4283
1574136621,4188,4277
1574147420,4179,4269
1574158824,4156,4243
1574169623,4122,4209
1574184023,4079,4165
1574194222,4055,4141
1574205022,4042,4128
1574216421,4050,4137
1574227221,4042,4127
1574238023,4025,4110
1574248822,3973,4057
1574259022,3979,4063
1574270421,3972,4056
1574284221,3961,4042
1574295633,3926,4007
1574306421,3920,4001
1574317820,3937,4018
1574327423,3923,4004
1574339423,3893,3974
1574349022,3889,3970
1574360421,3890,3976
1574374221,3893,3979
1574385020,3892,3976
1574399420,3887,3971
1574410823,3859,3943
1574421622,3874,3959
1574433022,3873,3958
1574442622,3877,3954
1574453421,3898,3974
1574464221,3890,3962
1574469620,3875,3944
1574481020,3870,3939
