DateTime,AddedIPs,RemovedIPs
1576758627,5,6
1576762225,3,0
1576765826,2,6
1576770026,6,6
1576774227,3,11
1576782026,3,0
1576785627,2,6
1576789225,3,4
1576792827,4,0
1576796428,5,2
1576800027,5,3
1576803625,4,0
1576806627,7,2
1576810827,3,3
1576814426,4,0
1576818026,4,5
1576821626,3,5
1576833028,2,13
1576836026,5,0
1576839629,7,4
1576843226,3,0
1576850425,3,8
1576854028,5,6
1576857626,6,0
1576861227,2,4
1576864827,5,0
1576868430,7,6
1576872026,0,8
1576879226,1,6
1576882827,3,0
1576887027,3,13
1576891826,5,0
1576899025,2,3
1576902627,3,5
1576905625,2,0
1576910427,0,9
1576915226,0,5
1576926026,3,6
1576929627,0,5
1576933225,0,4
1576936829,4,0
1576940425,0,4
1576944027,3,0
1576947025,3,8
1576951227,0,2
1576954834,0,3
1576958426,5,0
1576961427,0,3
1576965627,4,6
1576969236,5,0
1576972232,3,0
1576976432,9,8
1576980031,5,0
1576983632,3,0
1576987229,2,8
1576990834,3,0
1576994432,3,6
1576998034,5,0
1577001029,2,1
1577005832,1,6
1577011232,4,3
1577014231,4,0
1577017831,3,4
1577021431,5,3
1577025030,4,0
1577028630,3,4
1577032233,1,0
1577036433,6,9
1577041232,3,5
1577044831,5,0
1577048431,3,4
1577052632,3,3
1577057432,5,2
1577061030,6,0
1577065235,3,3
1577070636,6,5
1577073630,4,0
1577080831,5,0
1577084428,2,0
1577088028,6,5
1577095227,4,4
1577098830,3,3
1577102428,5,2
1577106632,0,4
1577111435,3,3
1577114431,6,0
1577118629,7,2
1577122226,6,4
1577125839,2,0
1577129428,3,4
1577132429,1,3
1577136027,4,0
1577140233,1,9
1577147428,4,0
1577151034,1,5
1577154027,0,5
1577157629,3,0
1577161232,2,4
1577164827,3,5
1577172031,3,5
1577179828,8,5
1577183433,6,5
1577186431,6,0
1577190031,5,4
1577193032,4,5
1577197831,0,3
1577201433,3,0
1577204428,5,4
1577208031,6,0
1577212230,1,5
1577219430,3,5
1577222429,2,0
1577226034,2,9
1577230235,4,5
1577233830,0,2
1577237429,5,3
1577240430,3,4
1577248227,3,1
1577251833,5,0
1577255432,6,5
1577262630,4,6
1577266232,3,3
1577269827,4,4
1577277028,1,5
1577280630,2,6
1577284227,5,3
1577290828,4,4
1577298628,3,7
1577302227,5,5
1577305830,4,3
1577309427,0,3
1577313034,5,6
1577320227,4,1
1577323832,6,3
1577331032,3,15
1577338231,3,0
1577341225,5,5
1577349031,6,10
1577352627,4,0
1577356830,4,0
1577361629,6,3
1577365233,3,0
1577368832,5,4
1577372429,0,5
1577376030,6,0
1577379633,4,5
1577383231,3,0
1577386828,4,4
1577390430,5,5
1577394029,3,3
1577397634,2,0
1577401232,5,3
1577404839,4,6
1577408430,2,0
1577412033,1,5
1577415632,4,1
1577419232,4,2
1577422830,3,0
1577430032,6,6
1577436635,5,5
1577440832,3,6
1577444430,6,0
1577448033,2,2
1577451629,5,5
1577455232,5,5
1577458828,5,8
1577463034,3,3
1577471428,2,7
1577474433,4,2
1577481628,3,11
1577488832,1,5
1577492433,3,0
1577501431,7,15
1577505630,5,2
1577509828,6,5
1577514631,3,0
1577517632,6,3
1577521229,7,0
1577524829,2,4
1577529037,5,7
1577533234,3,3
1577537434,1,1
1577541629,3,1
1577545232,5,0
1577548830,5,3
1577553034,4,4
1577557837,4,4
1577561432,5,0
1577564430,5,3
1577568034,4,0
1577572230,4,6
1577575832,3,0
1577579430,2,4
1577584229,4,2
1577588432,5,4
1577592027,2,0
1577596233,4,4
1577602833,6,0
1577606430,4,4
1577609428,3,0
1577614832,8,7
1577620835,6,1
1577628033,5,4
1577635830,6,4
1577640628,6,9
1577644228,3,0
1577647229,5,4
1577654431,5,2
1577658029,4,0
1577662229,7,10
1577665827,5,0
1577669428,3,5
1577673031,6,0
1577676629,5,10
1577680231,8,0
1577683832,6,8
1577687430,4,8
1577694031,5,4
1577697633,6,0
1577701233,4,4
1577712627,5,16
1577716230,3,0
1577719231,2,8
1577723430,1,3
1577727033,4,0
1577730628,5,3
1577734229,2,6
1577737232,6,5
1577744432,4,6
1577748030,3,5
1577752230,5,1
1577755825,4,0
1577758831,4,2
1577762430,6,0
1577766029,3,1
1577769628,1,2
1577773831,3,8
1577777429,3,4
1577780430,4,0
1577784633,3,7
1577788229,2,0
1577795430,5,10
1577802632,7,10
1577806231,2,1
1577809832,5,6
1577813435,5,0
1577816433,4,8
1577820634,2,5
1577827828,1,4
1577830830,6,6
1577834435,1,4
1577838629,5,5
1577842229,3,0
1577845227,3,0
1577852428,2,9
1577856629,3,8
1577860229,3,0
1577863833,5,0
1577868032,2,9
1577879432,3,12
1577883028,8,5
1577890231,2,5
1577897433,1,6
1577901633,4,11
